<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BFIT.US,D,20160921,000000,15.29,15.29,15.29,15.29,522.008061224,0
BFIT.US,D,20160926,000000,15.27,15.27,15.1276,15.1276,675.5988946226,0
BFIT.US,D,20160927,000000,15.3477,15.3477,15.3477,15.3477,114.4402288068,0
BFIT.US,D,20161003,000000,15.2033,15.2033,15.2033,15.2033,173.6680665226,0
BFIT.US,D,20161013,000000,14.6793,14.6793,14.6793,14.6793,156.6024183672,0
BFIT.US,D,20161017,000000,14.7142,14.7142,14.7142,14.7142,521.0041995678,0
BFIT.US,D,20161026,000000,14.5658,14.5658,14.5658,14.5658,104.4016122448,0
BFIT.US,D,20161101,000000,14.5598,14.5598,14.3795,14.3795,419.6141722916,0
BFIT.US,D,20161109,000000,13.992,13.992,13.992,13.992,701.6992976838,0
BFIT.US,D,20161209,000000,14.4861,14.4861,14.4861,14.4861,201.7761928962,0
BFIT.US,D,20161219,000000,14.24,14.24,14.24,14.24,1038.996814167,0
BFIT.US,D,20161227,000000,14.0677,14.0677,14.0677,14.0677,1092.2014819456,0
BFIT.US,D,20161229,000000,14.0029,14.0029,14.0029,14.0029,219.8457027078,0
BFIT.US,D,20161230,000000,14.0517,14.0517,14.0517,14.0517,171.6603432102,0
BFIT.US,D,20170109,000000,14.3048,14.3048,14.3048,14.3048,127.4904303374,0
BFIT.US,D,20170117,000000,14.4502,14.5259,14.4502,14.5259,205.791639521,0
BFIT.US,D,20170120,000000,14.498,14.498,14.498,14.498,175.675789835,0
BFIT.US,D,20170123,000000,14.4323,14.4323,14.3536,14.3934,2362.0864770386,0
BFIT.US,D,20170125,000000,14.513,14.513,14.513,14.513,205.791639521,0
BFIT.US,D,20170127,000000,14.3934,14.3934,14.3934,14.3934,173.6680665226,0
BFIT.US,D,20170130,000000,14.3327,14.3327,14.3327,14.3327,140.540631868,0
BFIT.US,D,20170206,000000,14.3346,14.3346,14.3346,14.3346,276.061955455,0
BFIT.US,D,20170214,000000,14.3247,14.3247,14.3247,14.3247,141.5444935242,0
BFIT.US,D,20170215,000000,14.3835,14.3835,14.3835,14.3835,261.004030612,0
BFIT.US,D,20170221,000000,14.3835,14.3894,14.3835,14.3894,205.791639521,0
BFIT.US,D,20170314,000000,14.3914,14.3914,14.3914,14.3914,491.892211538,0
BFIT.US,D,20170321,000000,14.6066,14.6066,14.5847,14.5847,679.6143412474,0
BFIT.US,D,20170327,000000,14.6544,14.6544,14.6544,14.6544,205.791639521,0
BFIT.US,D,20170330,000000,14.7132,14.7132,14.7132,14.7132,156.6024183672,0
BFIT.US,D,20170420,000000,15.011,15.011,15.011,15.011,633.4367050622,0
BFIT.US,D,20170426,000000,15.1186,15.1186,15.0758,15.0758,353.3593029824,0
BFIT.US,D,20170503,000000,14.9911,14.9911,14.9831,14.9831,2145.2523592994,0
BFIT.US,D,20170504,000000,15.027,15.027,15.027,15.027,307.1816667972,0
BFIT.US,D,20170505,000000,15.1923,15.1923,15.1923,15.1923,448.7261603214,0
BFIT.US,D,20170508,000000,15.1854,15.1854,15.1186,15.1186,461.776361852,0
BFIT.US,D,20170509,000000,15.2521,15.2521,15.2521,15.2521,378.4558443874,0
BFIT.US,D,20170510,000000,15.2621,15.2621,15.2621,15.2621,281.081263736,0
BFIT.US,D,20170512,000000,15.1286,15.1286,15.1057,15.1286,611.3517486258,0
BFIT.US,D,20170515,000000,15.1943,15.2043,15.1326,15.1485,2834.9053171088,0
BFIT.US,D,20170518,000000,14.9144,14.9144,14.9144,14.9144,432.6643738222,0
BFIT.US,D,20170519,000000,14.9632,14.9632,14.9244,14.9244,415.5987256668,0
BFIT.US,D,20170526,000000,15.027,15.027,15.027,15.027,141.5444935242,0
BFIT.US,D,20170530,000000,15.0588,15.0588,15.0588,15.0588,108.4170588696,0
BFIT.US,D,20170531,000000,15.0459,15.0459,15.0459,15.0459,517.9926145992,0
BFIT.US,D,20170605,000000,15.289,15.289,15.289,15.289,189.7298530218,0
