<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTEC.US,D,20160823,000000,25.519,25.549,25.519,25.549,1495,0
BTEC.US,D,20160824,000000,25.371,25.371,25.371,25.371,100,0
BTEC.US,D,20160830,000000,24.743,24.743,24.545,24.545,399,0
BTEC.US,D,20160907,000000,25.221,25.271,25.221,25.271,201,0
BTEC.US,D,20160909,000000,25.192,25.192,25.192,25.192,100,0
BTEC.US,D,20160913,000000,24.839,24.839,24.839,24.839,216,0
BTEC.US,D,20160914,000000,25.351,25.351,25.343,25.343,201,0
BTEC.US,D,20160919,000000,26.325,26.325,26.315,26.315,3518,0
BTEC.US,D,20160921,000000,26.275,26.275,26.275,26.275,100,0
BTEC.US,D,20160927,000000,26.867,27.002,26.867,27.002,543,0
BTEC.US,D,20160929,000000,26.365,26.365,26.365,26.365,201,0
BTEC.US,D,20160930,000000,25.868,26.166,25.868,26.166,311,0
BTEC.US,D,20161003,000000,26.744,26.744,25.848,25.848,412,0
BTEC.US,D,20161004,000000,25.918,25.918,25.918,25.918,583,0
BTEC.US,D,20161005,000000,26.186,26.245,26.157,26.245,311,0
BTEC.US,D,20161006,000000,25.948,25.948,25.948,25.948,100,0
BTEC.US,D,20161007,000000,25.112,25.112,25.112,25.112,100,0
BTEC.US,D,20161010,000000,25.45,25.45,25.45,25.45,309,0
BTEC.US,D,20161011,000000,25.469,25.469,24.873,24.873,301,0
BTEC.US,D,20161013,000000,24.185,24.185,24.185,24.185,372,0
BTEC.US,D,20161014,000000,24.027,24.027,24.027,24.027,201,0
BTEC.US,D,20161017,000000,23.38,23.38,23.38,23.38,201,0
BTEC.US,D,20161026,000000,23.35,23.35,23.35,23.35,106,0
BTEC.US,D,20161028,000000,22.465,22.465,22.465,22.465,429,0
BTEC.US,D,20161031,000000,22.386,22.386,22.386,22.386,222,0
BTEC.US,D,20161102,000000,22.973,22.973,22.226,22.226,2930,0
BTEC.US,D,20161103,000000,21.769,21.769,21.52,21.52,374,0
BTEC.US,D,20161108,000000,22.505,22.505,22.505,22.505,201,0
BTEC.US,D,20161109,000000,23.878,24.515,23.878,24.515,897,0
BTEC.US,D,20161110,000000,25.558,25.558,25.102,25.285,903,0
BTEC.US,D,20161116,000000,26.117,26.117,26.117,26.117,100,0
BTEC.US,D,20161117,000000,25.854,25.87,25.808,25.848,734,0
BTEC.US,D,20161118,000000,25.475,25.599,25.475,25.599,817,0
BTEC.US,D,20161121,000000,25.49,25.49,25.49,25.49,109,0
BTEC.US,D,20161128,000000,25.112,25.112,25.112,25.112,654,0
BTEC.US,D,20161129,000000,24.863,24.897,24.863,24.897,355,0
BTEC.US,D,20161130,000000,24.575,24.575,24.385,24.385,349,0
BTEC.US,D,20161202,000000,23.977,23.977,23.977,23.977,133,0
BTEC.US,D,20161207,000000,24.008,24.008,24.008,24.008,451,0
BTEC.US,D,20161215,000000,23.837,23.837,23.837,23.837,624,0
BTEC.US,D,20161221,000000,23.948,23.948,23.948,23.948,603,0
BTEC.US,D,20161222,000000,23.082,23.082,23.082,23.082,100,0
BTEC.US,D,20161229,000000,24.186,24.186,24.186,24.186,161,0
BTEC.US,D,20161230,000000,22.993,22.993,22.883,22.883,301,0
BTEC.US,D,20170103,000000,22.873,23.032,22.873,23.003,1549,0
BTEC.US,D,20170104,000000,23.948,23.948,23.948,23.948,1005,0
BTEC.US,D,20170105,000000,23.908,23.908,23.908,23.908,100,0
BTEC.US,D,20170109,000000,24.625,24.873,24.625,24.873,1512,0
BTEC.US,D,20170110,000000,24.873,24.873,24.873,24.873,341,0
BTEC.US,D,20170111,000000,25.022,25.022,24.176,24.216,3005,0
BTEC.US,D,20170112,000000,24.146,24.146,24.146,24.146,100,0
BTEC.US,D,20170113,000000,25.132,25.171,25.132,25.171,805,0
BTEC.US,D,20170118,000000,24.276,24.276,24.276,24.276,437,0
BTEC.US,D,20170119,000000,24.251,24.251,24.251,24.251,312,0
BTEC.US,D,20170120,000000,24.047,24.047,24.037,24.037,1019,0
BTEC.US,D,20170124,000000,23.749,23.789,23.749,23.789,462,0
BTEC.US,D,20170203,000000,25.062,25.062,25.062,25.062,100,0
BTEC.US,D,20170206,000000,25.122,25.122,25.122,25.122,100,0
BTEC.US,D,20170208,000000,24.743,25.112,24.694,25.112,704,0
BTEC.US,D,20170209,000000,25.639,25.639,25.639,25.639,301,0
BTEC.US,D,20170210,000000,25.579,25.579,25.579,25.579,100,0
BTEC.US,D,20170213,000000,25.499,25.699,25.499,25.579,955,0
BTEC.US,D,20170215,000000,26.077,26.443,26.077,26.443,215,0
BTEC.US,D,20170217,000000,26.345,26.425,26.345,26.425,201,0
BTEC.US,D,20170221,000000,26.415,26.415,26.415,26.415,133,0
BTEC.US,D,20170222,000000,26.126,26.127,26.126,26.127,985,0
BTEC.US,D,20170224,000000,25.45,25.798,25.45,25.798,392,0
BTEC.US,D,20170228,000000,27.161,27.161,26.564,26.564,201,0
BTEC.US,D,20170301,000000,27.081,27.131,27.081,27.131,834,0
BTEC.US,D,20170302,000000,27.47,27.47,27.47,27.47,273,0
BTEC.US,D,20170303,000000,27.071,27.071,27.042,27.042,1022,0
BTEC.US,D,20170306,000000,27.688,27.688,26.684,26.684,302,0
BTEC.US,D,20170307,000000,26.584,26.584,26.584,26.584,982,0
BTEC.US,D,20170308,000000,26.922,26.922,26.883,26.883,603,0
BTEC.US,D,20170309,000000,26.863,26.863,26.754,26.754,323,0
BTEC.US,D,20170310,000000,26.783,26.803,26.783,26.783,814,0
BTEC.US,D,20170313,000000,26.783,26.783,26.783,26.783,151,0
BTEC.US,D,20170314,000000,26.714,26.714,26.544,26.544,421,0
BTEC.US,D,20170315,000000,27.171,27.171,27.161,27.161,413,0
BTEC.US,D,20170316,000000,26.833,26.932,26.833,26.932,1274,0
BTEC.US,D,20170317,000000,26.922,26.922,26.803,26.803,201,0
BTEC.US,D,20170320,000000,26.803,26.803,26.803,26.803,557,0
BTEC.US,D,20170321,000000,26.073,26.073,26.073,26.073,543,0
BTEC.US,D,20170322,000000,25.938,25.938,25.938,25.938,196,0
BTEC.US,D,20170324,000000,26.297,26.297,26.297,26.297,162,0
BTEC.US,D,20170328,000000,26.554,26.554,26.55,26.554,3618,0
BTEC.US,D,20170405,000000,26.521,26.521,26.521,26.521,282,0
BTEC.US,D,20170406,000000,25.743,25.743,25.743,25.743,201,0
BTEC.US,D,20170411,000000,25.669,25.669,25.669,25.669,156,0
BTEC.US,D,20170413,000000,26.255,26.255,26.255,26.255,205,0
BTEC.US,D,20170419,000000,26.295,26.295,26.295,26.295,336,0
BTEC.US,D,20170427,000000,27.211,27.211,27.022,27.022,1891,0
BTEC.US,D,20170502,000000,27.211,27.211,27.211,27.211,888,0
BTEC.US,D,20170503,000000,26.823,26.823,26.823,26.823,1005,0
BTEC.US,D,20170504,000000,26.654,26.654,26.654,26.654,201,0
BTEC.US,D,20170509,000000,27.281,27.281,26.072,26.072,1890,0
BTEC.US,D,20170510,000000,26.396,26.396,26.396,26.396,103,0
BTEC.US,D,20170511,000000,26.157,26.405,26.157,26.405,304,0
BTEC.US,D,20170526,000000,26.265,26.265,26.117,26.117,402,0
BTEC.US,D,20170531,000000,25.261,25.261,25.261,25.261,100,0
BTEC.US,D,20170609,000000,26.892,27.234,26.764,26.764,503,0
BTEC.US,D,20170612,000000,26.584,26.584,26.584,26.584,100,0
BTEC.US,D,20170621,000000,28.654,28.654,28.654,28.654,100,0
BTEC.US,D,20170627,000000,29.021,29.021,29.021,29.021,100,0
BTEC.US,D,20170628,000000,28.797,28.797,28.797,28.797,197,0
BTEC.US,D,20170629,000000,28.982,28.982,28.514,28.514,377,0
BTEC.US,D,20170707,000000,28.743,28.743,28.708,28.708,201,0
BTEC.US,D,20170710,000000,28.353,28.353,28.353,28.353,100,0
BTEC.US,D,20170712,000000,28.833,28.833,28.833,28.833,375,0
BTEC.US,D,20170713,000000,28.454,28.454,28.454,28.454,201,0
BTEC.US,D,20170717,000000,28.444,28.832,28.444,28.832,324,0
BTEC.US,D,20170718,000000,28.733,28.744,28.624,28.744,1056,0
BTEC.US,D,20170719,000000,29.423,29.423,29.19,29.208,1222,0
BTEC.US,D,20170721,000000,29.599,29.599,29.599,29.599,171,0
BTEC.US,D,20170725,000000,29.45,29.679,29.45,29.649,503,0
BTEC.US,D,20170726,000000,29.549,29.559,29.549,29.559,324,0
BTEC.US,D,20170727,000000,29.39,29.397,29.37,29.37,316,0
BTEC.US,D,20170728,000000,29.002,29.076,29.002,29.076,301,0
BTEC.US,D,20170731,000000,28.783,28.783,28.783,28.783,100,0
BTEC.US,D,20170801,000000,28.077,28.077,28.077,28.077,234,0
BTEC.US,D,20170802,000000,28.037,28.067,28.037,28.067,2382,0
BTEC.US,D,20170803,000000,28.037,28.051,28.037,28.049,1270,0
BTEC.US,D,20170808,000000,28.614,28.614,28.394,28.394,402,0
BTEC.US,D,20170811,000000,26.88,26.88,26.88,26.88,297,0
BTEC.US,D,20170816,000000,27.829,27.829,27.829,27.829,100,0
BTEC.US,D,20170818,000000,27.131,27.38,27.131,27.231,1418,0
BTEC.US,D,20170822,000000,27.637,27.637,27.637,27.637,101,0
BTEC.US,D,20170825,000000,28.154,28.154,28.152,28.152,353,0
BTEC.US,D,20170828,000000,28.783,28.783,28.783,28.783,106,0
BTEC.US,D,20170829,000000,29.039,29.051,29.039,29.051,345,0
BTEC.US,D,20170830,000000,29.299,29.299,29.299,29.299,251,0
BTEC.US,D,20170831,000000,30.094,30.094,30.066,30.066,274,0
BTEC.US,D,20170905,000000,30.066,30.066,30.066,30.066,1508,0
BTEC.US,D,20170906,000000,30.305,30.305,30.305,30.305,657,0
BTEC.US,D,20170907,000000,30.106,30.106,30.071,30.085,358,0
BTEC.US,D,20170908,000000,30.066,30.066,29.927,29.927,465,0
BTEC.US,D,20170911,000000,30.016,30.086,30.016,30.086,202,0
BTEC.US,D,20170912,000000,29.917,29.977,29.917,29.977,202,0
BTEC.US,D,20170913,000000,30.026,30.026,30.026,30.026,117,0
BTEC.US,D,20170914,000000,29.957,29.957,29.659,29.699,1290,0
BTEC.US,D,20170915,000000,29.987,30.106,29.987,30.106,326,0
BTEC.US,D,20170918,000000,30.007,30.007,30.007,30.007,151,0
BTEC.US,D,20170919,000000,29.827,29.827,29.827,29.827,110,0
BTEC.US,D,20170920,000000,30.405,30.544,30.305,30.305,7036,0
BTEC.US,D,20170922,000000,30.036,30.221,30.036,30.221,2014,0
BTEC.US,D,20170925,000000,30.176,30.176,30.176,30.176,100,0
BTEC.US,D,20170926,000000,29.917,29.917,29.847,29.847,201,0
BTEC.US,D,20170927,000000,30.204,30.305,30.204,30.305,331,0
BTEC.US,D,20170929,000000,30.345,30.445,30.334,30.445,1880,0
BTEC.US,D,20171002,000000,30.942,30.948,30.826,30.948,3870,0
BTEC.US,D,20171003,000000,31.25,31.25,30.739,30.815,1067,0
BTEC.US,D,20171004,000000,31.26,31.26,31.098,31.118,508,0
BTEC.US,D,20171005,000000,31.091,31.25,31.091,31.195,1949,0
BTEC.US,D,20171006,000000,31.181,31.2,31.181,31.2,1230,0
BTEC.US,D,20171009,000000,31.678,31.678,30.912,30.912,1910,0
BTEC.US,D,20171010,000000,31.28,31.28,30.623,30.773,3762,0
BTEC.US,D,20171012,000000,30.743,30.743,30.637,30.643,1561,0
BTEC.US,D,20171013,000000,31.111,31.111,30.599,30.599,1096,0
BTEC.US,D,20171016,000000,31.19,31.19,30.662,30.703,7147,0
BTEC.US,D,20171017,000000,30.808,30.813,30.753,30.753,331,0
