<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSML.US,D,20170517,000000,23.6972,23.6972,23.04,23.05,45947.526217465,0
CSML.US,D,20170518,000000,23.0957,23.1335,23.0639,23.0957,14257.253023035,0
CSML.US,D,20170519,000000,23.2249,23.2399,23.1782,23.2349,1326285.6652589,0
CSML.US,D,20170522,000000,23.3402,23.3492,23.3254,23.3492,11166.991166917,0
CSML.US,D,20170523,000000,23.3402,23.4675,23.3402,23.4605,11783.63521568,0
CSML.US,D,20170524,000000,23.5192,23.5292,23.4357,23.4357,11627.713800413,0
CSML.US,D,20170525,000000,23.558,23.558,23.3492,23.4525,10929.588237866,0
CSML.US,D,20170526,000000,23.3204,23.4347,23.3204,23.4257,12003.937086282,0
CSML.US,D,20170530,000000,23.368,23.368,23.2727,23.2787,18778.974065759,0
CSML.US,D,20170531,000000,24.1206,24.1206,23.1245,23.2527,14026.891706287,0
CSML.US,D,20170601,000000,23.4069,23.6524,23.3969,23.6355,61121.19478442,0
CSML.US,D,20170602,000000,23.8005,24.06,23.7717,23.896,23032.10789638,0
CSML.US,D,20170605,000000,24.6961,24.6961,23.6882,23.6882,18436.952896788,0
CSML.US,D,20170606,000000,23.548,23.6544,23.5092,23.5768,37177.701067192,0
CSML.US,D,20170607,000000,23.5719,23.6325,23.5192,23.5768,17038.689882464,0
CSML.US,D,20170608,000000,23.6255,24.0888,23.6255,24.0172,88492.947748279,0
CSML.US,D,20170609,000000,24.1295,24.3383,24.1295,24.2071,35463.571443877,0
CSML.US,D,20170612,000000,24.3095,24.4526,24.1465,24.1495,42315.060214066,0
CSML.US,D,20170613,000000,24.2648,24.4805,24.2648,24.3015,26198.82154321,0
CSML.US,D,20170614,000000,24.5193,24.5193,24.0838,24.1395,24352.913175379,0
CSML.US,D,20170615,000000,24.1395,24.227,23.9625,24.0103,14975.497477874,0
CSML.US,D,20170616,000000,23.8681,23.9447,23.7617,23.8582,52286.989178811,0
CSML.US,D,20170619,000000,23.9337,24.0192,23.9337,24.0192,14145.593170812,0
CSML.US,D,20170620,000000,23.8681,23.9059,23.7438,23.7757,1360990.7544633,0
CSML.US,D,20170621,000000,23.7369,23.8612,23.4735,23.5699,48252.145329563,0
CSML.US,D,20170622,000000,23.561,23.7647,23.3045,23.5798,38336.549263237,0
CSML.US,D,20170623,000000,23.5987,23.7836,23.5798,23.7647,51469.156207125,0
CSML.US,D,20170626,000000,23.8612,23.9477,23.709,23.9278,16293.284923029,0
CSML.US,D,20170627,000000,24.0123,24.0401,23.729,23.729,38926.032807404,0
CSML.US,D,20170628,000000,24.1525,24.1525,23.89,24.1286,51589.869560879,0
CSML.US,D,20170629,000000,24.3503,24.3503,23.7548,24.0162,22803.758468861,0
CSML.US,D,20170630,000000,23.9923,24.0948,23.9655,24.0311,17009.51748864,0
CSML.US,D,20170703,000000,24.3045,24.3413,24.1146,24.1613,30386.56897388,0
CSML.US,D,20170705,000000,23.9745,24.0948,23.897,24.0948,22006.044389466,0
CSML.US,D,20170706,000000,24.0401,24.0401,23.7836,23.7836,35672.807923718,0
CSML.US,D,20170707,000000,24.0033,24.1146,23.8423,24.1146,28886.705553479,0
CSML.US,D,20170710,000000,24.0868,24.1525,23.9377,24.0212,20067.58911709,0
CSML.US,D,20170711,000000,23.9755,24.0311,23.9755,23.9933,128100.00505978,0
CSML.US,D,20170712,000000,24.3224,24.3691,24.0898,24.1525,30874.452111972,0
CSML.US,D,20170713,000000,24.1613,24.23,24.0778,24.23,980192.43248747,0
CSML.US,D,20170714,000000,24.1912,24.3224,24.1663,24.2498,29890.638278872,0
CSML.US,D,20170717,000000,24.1912,24.388,24.1763,24.3224,28347.519240042,0
CSML.US,D,20170718,000000,24.4168,24.4168,24.1535,24.2678,50793.161426098,0
CSML.US,D,20170719,000000,24.4368,24.4934,24.4069,24.4835,16350.623766063,0
CSML.US,D,20170720,000000,24.4855,24.4934,24.386,24.4825,18560.684084387,0
CSML.US,D,20170721,000000,24.4934,24.4934,24.2578,24.2578,21134.896353204,0
CSML.US,D,20170724,000000,24.1912,24.2956,24.1583,24.2956,19917.703369511,0
CSML.US,D,20170725,000000,24.4069,24.559,24.4069,24.5401,18497.309573665,0
CSML.US,D,20170726,000000,24.7191,24.7191,24.3313,24.3592,30682.316690579,0
CSML.US,D,20170727,000000,24.3224,24.4556,24.1525,24.1783,22165.989583192,0
CSML.US,D,20170728,000000,24.2578,24.2578,24.0033,24.0033,34018.029032665,0
CSML.US,D,20170731,000000,24.0868,24.1613,23.9845,24.0401,70808.441423228,0
CSML.US,D,20170801,000000,24.0868,24.1226,23.9477,24.1226,33971.755580393,0
CSML.US,D,20170802,000000,24.23,24.23,23.7836,23.8711,36387.0286001,0
CSML.US,D,20170803,000000,24.0401,24.0401,23.6315,23.6475,48314.51389567,0
CSML.US,D,20170804,000000,23.732,23.8323,23.6932,23.8135,36449.397166206,0
CSML.US,D,20170807,000000,23.7647,23.8492,23.709,23.7697,24316.699169253,0
CSML.US,D,20170808,000000,24.23,24.23,23.6077,23.6713,37602.209694563,0
CSML.US,D,20170809,000000,23.8135,23.8135,23.2557,23.2747,631654.75430255,0
CSML.US,D,20170810,000000,23.4555,23.4555,23.0232,23.052,81794.362559513,0
CSML.US,D,20170811,000000,23.0877,23.0877,22.9267,22.9972,29768.918980503,0
CSML.US,D,20170814,000000,23.2797,23.4148,23.2468,23.381,22090.543737095,0
CSML.US,D,20170815,000000,23.3572,23.3661,23.1633,23.1912,83027.650657039,0
CSML.US,D,20170816,000000,22.9357,23.3035,22.9357,23.1633,30005.315964939,0
CSML.US,D,20170817,000000,23.1355,23.1434,22.6931,22.711,13703.983484993,0
CSML.US,D,20170818,000000,22.8174,22.8174,22.5221,22.6931,41230.651919503,0
CSML.US,D,20170821,000000,22.6066,22.6971,22.5579,22.6544,37641.441534533,0
CSML.US,D,20170822,000000,22.881,22.881,22.6642,22.8352,19992.143270994,0
CSML.US,D,20170823,000000,22.8532,22.8681,22.7776,22.7975,6358.5759090244,0
