<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVD.US,D,20230824,000000,19.3138,21.3791,19.3138,21.3445,104371.92245422,0
NVD.US,D,20230825,000000,21.5951,22.7704,20.9988,22.1568,60558.928585084,0
NVD.US,D,20230828,000000,21.4396,22.7012,21.4396,21.5692,14145.691795155,0
NVD.US,D,20230829,000000,21.8198,21.8198,20.0396,20.2298,13962.853174112,0
NVD.US,D,20230830,000000,20.3239,20.3239,19.573,19.9187,48056.469966394,0
NVD.US,D,20230831,000000,19.8461,20.0459,19.6767,19.8582,25151.882458091,0
NVD.US,D,20230901,000000,19.7026,20.5689,19.7026,20.3767,21645.546877321,0
NVD.US,D,20230905,000000,20.705,20.7482,19.9748,20.368,52644.793589414,0
NVD.US,D,20230906,000000,20.4199,21.5692,20.3939,21.1803,34607.416461544,0
NVD.US,D,20230907,000000,22.4506,22.5025,21.7895,21.8889,48218.478871116,0
NVD.US,D,20230908,000000,22.1136,22.4938,21.6384,22.2986,40957.008320184,0
NVD.US,D,20230911,000000,21.984,23.0901,21.984,22.658,16982.004834253,0
NVD.US,D,20230912,000000,23.0296,23.0296,22.3296,22.7926,13965.167587036,0
NVD.US,D,20230913,000000,22.9777,22.9864,22.0401,22.1482,19166.810635075,0
NVD.US,D,20230914,000000,22.1222,22.5025,22.079,22.2951,41088.929856886,0
NVD.US,D,20230915,000000,22.3901,23.6518,22.3901,23.6172,32552.217784499,0
NVD.US,D,20230918,000000,24.5937,24.8937,23.4968,23.5567,71201.756418857,0
NVD.US,D,20230919,000000,23.6604,24.274,23.4357,23.9027,35132.788195428,0
NVD.US,D,20230920,000000,23.4357,24.8789,23.4012,24.5419,39092.748709419,0
NVD.US,D,20230921,000000,25.648,26.0887,25.0776,26.0541,94196.60603122,0
NVD.US,D,20230922,000000,25.5356,25.8381,25.0604,25.4665,66005.89940313,0
NVD.US,D,20230925,000000,25.6653,25.7862,24.7493,24.8789,47908.34753922,0
NVD.US,D,20230926,000000,25.2245,25.406,24.6127,25.2269,26160.966493216,0
NVD.US,D,20230927,000000,24.9394,25.3801,24.4122,24.7147,17751.547131682,0
NVD.US,D,20230928,000000,24.6542,25.0604,24.0147,24.2003,32242.086452603,0
NVD.US,D,20230929,000000,23.5922,23.9197,23.453,23.8505,12232.829512973,0
NVD.US,D,20231002,000000,23.4962,23.5827,22.5284,22.6926,28138.632337287,0
NVD.US,D,20231003,000000,22.8411,23.8592,22.6234,23.7987,14537.984785875,0
NVD.US,D,20231004,000000,23.7382,23.8333,23.3675,23.4012,11118.439689778,0
NVD.US,D,20231005,000000,22.9173,23.4876,22.7444,22.8862,32283.745885245,0
NVD.US,D,20231006,000000,23.3148,23.3407,22.0445,22.0445,67135.332910335,0
NVD.US,D,20231009,000000,22.7012,22.995,22.1611,22.4506,42651.158580991,0
NVD.US,D,20231010,000000,22.442,22.442,21.7334,22.079,15945.147844032,0
NVD.US,D,20231011,000000,22.0099,22.0099,21.2408,21.2408,74601.629005094,0
NVD.US,D,20231012,000000,21.2408,21.647,20.8476,21.2408,17374.297824972,0
NVD.US,D,20231013,000000,21.3359,22.3556,21.2494,21.8976,23766.706322717,0
NVD.US,D,20231016,000000,22.4247,22.4247,21.6936,21.6936,11042.064063267,0
NVD.US,D,20231017,000000,23.3753,24.3777,22.7704,23.453,74042.698283803,0
NVD.US,D,20231018,000000,24.4468,24.9567,23.9629,24.7406,105183.1241843,0
NVD.US,D,20231019,000000,24.0666,24.8875,23.7901,24.7147,16210.148123898,0
NVD.US,D,20231020,000000,25.3023,25.6912,24.3863,25.4492,22187.119501678,0
NVD.US,D,20231023,000000,25.648,25.8035,23.9197,24.0147,130698.36947155,0
NVD.US,D,20231024,000000,23.9629,24.2653,23.3925,23.4617,47064.744028203,0
NVD.US,D,20231025,000000,23.9605,25.069,23.695,24.9795,25201.642335969,0
NVD.US,D,20231026,000000,24.9999,26.6331,24.6024,26.106,57047.964178465,0
NVD.US,D,20231027,000000,25.6134,26.4343,25.5961,26.0628,20263.842361335,0
NVD.US,D,20231030,000000,25.4493,25.9504,24.853,25.5011,19329.976746259,0
NVD.US,D,20231031,000000,26.0541,27.1811,25.6825,25.6912,53655.034831002,0
NVD.US,D,20231101,000000,25.4665,25.5953,24.2956,24.3085,29518.022440348,0
NVD.US,D,20231102,000000,23.2975,23.8073,23.0382,23.3321,10721.51787321,0
NVD.US,D,20231103,000000,22.9259,22.987,21.9581,22.0531,35903.48769932,0
NVD.US,D,20231106,000000,22.0531,22.1421,21.5605,21.5951,13081.061849839,0
NVD.US,D,20231107,000000,21.5001,21.7324,21.3099,21.4223,13104.205979085,0
NVD.US,D,20231108,000000,21.1717,21.3618,20.8865,21.0334,22290.110876823,0
NVD.US,D,20231109,000000,20.2557,20.8777,19.9973,20.7914,52433.024806813,0
NVD.US,D,20231110,000000,20.489,20.4976,19.8316,19.9359,58618.293347807,0
NVD.US,D,20231113,000000,19.9187,20.0396,19.4434,19.7458,68138.630913149,0
NVD.US,D,20231114,000000,19.2446,19.4004,19.0199,19.1236,25975.813459248,0
NVD.US,D,20231115,000000,19.1496,19.8832,19.1496,19.5644,60126.133368183,0
NVD.US,D,20231116,000000,19.7372,19.8755,19.1928,19.2273,27809.985701994,0
NVD.US,D,20231117,000000,19.3138,19.4088,19.115,19.331,14474.338430448,0
NVD.US,D,20231120,000000,19.3224,19.331,18.6224,18.7002,52921.365933904,0
NVD.US,D,20231121,000000,18.8903,19.3051,18.6841,18.9249,82152.401171602,0
NVD.US,D,20231122,000000,18.994,20.0975,18.7245,19.5644,49394.200636813,0
NVD.US,D,20231124,000000,19.8841,20.2375,19.5384,20.1693,31440.142374229,0
NVD.US,D,20231127,000000,20.2643,20.2643,19.7678,19.8495,23252.906653456,0
NVD.US,D,20231128,000000,19.8582,20.3075,19.8582,20.1693,11772.261340978,0
NVD.US,D,20231129,000000,19.6853,19.9964,19.5903,19.9532,8876.9307723033,0
NVD.US,D,20231130,000000,20.0396,21.0334,20.0138,20.826,83880.110419816,0
NVD.US,D,20231201,000000,20.9384,21.2149,20.6705,20.8735,32449.226409354,0
NVD.US,D,20231204,000000,21.3964,21.9938,21.3964,21.6556,38606.721995253,0
NVD.US,D,20231205,000000,21.7593,21.8544,20.9038,20.9038,27553.085867363,0
NVD.US,D,20231206,000000,20.3767,21.7074,20.3767,21.6383,32392.523292702,0
NVD.US,D,20231207,000000,21.2488,21.4596,20.8865,20.8943,29244.921715246,0
NVD.US,D,20231208,000000,20.7828,20.8951,20.1269,20.1347,51891.452182457,0
NVD.US,D,20231211,000000,20.6359,21.3271,20.5754,20.8002,45386.794657868,0
NVD.US,D,20231212,000000,21.1112,21.1112,20.0656,20.1433,28697.563058578,0
NVD.US,D,20231213,000000,19.8319,20.0621,19.5644,19.8668,31148.526345729,0
NVD.US,D,20231214,000000,19.6248,20.1433,19.6248,19.7199,12066.191782402,0
NVD.US,D,20231215,000000,19.7285,19.7458,19.1496,19.3224,49237.977764403,0
NVD.US,D,20231218,000000,19.2101,19.2101,18.5619,18.6916,97882.308613645,0
NVD.US,D,20231219,000000,19.0804,19.331,18.9595,18.9767,55339.927440111,0
NVD.US,D,20231220,000000,18.9508,19.8409,18.7693,19.815,56965.802519642,0
NVD.US,D,20231221,000000,19.2965,19.5989,19.2101,19.2536,24679.742221472,0
NVD.US,D,20231222,000000,19.0804,19.5134,19.0374,19.4054,20968.581096876,0
NVD.US,D,20231226,000000,19.3397,19.3397,18.9681,19.1157,8314.5284316255,0
NVD.US,D,20231227,000000,19.18,19.23,18.94,19.0825,25965,0
NVD.US,D,20231228,000000,18.94,19.08,18.8299,19.0296,31980,0
NVD.US,D,20231229,000000,18.909,19.45,18.81,19.04,47557,0
NVD.US,D,20240102,000000,19.23,20.11,19.23,19.79,78795,0
NVD.US,D,20240103,000000,20.26,20.31,19.86,20.17,47359,0
NVD.US,D,20240104,000000,20.06,20.22,19.6201,19.93,47370,0
NVD.US,D,20240105,000000,19.59,19.638,19.01,19.2633,57737,0
NVD.US,D,20240108,000000,19.01,19.01,17.38,17.38,332175,0
NVD.US,D,20240109,000000,17.3,17.61,16.35,16.93,174702,0
NVD.US,D,20240110,000000,16.7,16.73,16.26,16.37,421340,0
NVD.US,D,20240111,000000,16.16,16.71,15.94,16.1515,175518,0
NVD.US,D,20240112,000000,16.35,16.35,16.14,16.21,49746,0
NVD.US,D,20240116,000000,16.06,16.06,15.2799,15.46,350894,0
NVD.US,D,20240117,000000,15.5,16.12,15.46,15.61,134500,0
NVD.US,D,20240118,000000,15.13,15.56,14.96,15.1628,192704,0
NVD.US,D,20240119,000000,14.835,15.07,14.21,14.22,149705,0
NVD.US,D,20240122,000000,13.87,14.4099,13.83,14.1309,119481,0
NVD.US,D,20240123,000000,14.24,14.61,14.03,14.1,113136,0
NVD.US,D,20240124,000000,13.8,14,12.72,13.35,303017,0
