<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
POTX.US,D,20190923,000000,129.91,129.91,126.553,126.659,1528.7281042391,0
POTX.US,D,20190924,000000,126.877,126.877,119.946,121.053,950.55203016,0
POTX.US,D,20190925,000000,120.481,120.481,116.353,119.41,748.31775579049,0
POTX.US,D,20190926,000000,119.41,120.758,119.251,120.635,639.98403030958,0
POTX.US,D,20190927,000000,120.317,120.529,116.477,117.142,1149.2204609008,0
POTX.US,D,20190930,000000,116.371,116.371,111.147,111.565,966.17382129518,0
POTX.US,D,20191001,000000,110.823,110.823,106.406,106.618,1420.0547746031,0
POTX.US,D,20191002,000000,107.472,109.227,102.025,107.39,1090.8085462215,0
POTX.US,D,20191003,000000,106.983,111.436,106.983,111.436,73.184695426753,0
POTX.US,D,20191004,000000,112.796,114.881,111.012,111.012,393.60121577544,0
POTX.US,D,20191007,000000,111.094,111.094,108.002,108.002,1217.9903023111,0
POTX.US,D,20191008,000000,107.943,107.943,105.37,106.618,845.95395038534,0
POTX.US,D,20191009,000000,106.883,106.919,105.128,105.128,870.40544955344,0
POTX.US,D,20191010,000000,103.479,103.479,95.9588,95.9588,5637.0893707131,0
POTX.US,D,20191011,000000,96.7538,98.7208,95.1343,95.1343,615.53253114148,0
POTX.US,D,20191014,000000,94.139,94.8693,94.086,94.7279,1599.195966425,0
POTX.US,D,20191015,000000,96.3298,101.336,95.099,99.8751,4038.9122167535,0
POTX.US,D,20191016,000000,98.9387,101.124,97.172,97.8257,1844.5599684938,0
POTX.US,D,20191017,000000,103.367,103.367,99.4216,102.019,1515.1439380346,0
POTX.US,D,20191018,000000,104.586,104.586,98.6207,99.2626,1940.3283402355,0
POTX.US,D,20191021,000000,99.5218,100.27,96.4476,100.164,1663.5509538188,0
POTX.US,D,20191022,000000,98.6325,99.4511,98.0259,98.0848,1086.5634942826,0
POTX.US,D,20191023,000000,98.6207,101.336,97.8257,101.124,2368.5691798324,0
POTX.US,D,20191024,000000,103.791,103.791,100.794,102.402,2277.5552662623,0
POTX.US,D,20191025,000000,101.925,103.526,101.23,103.073,1593.2528937105,0
POTX.US,D,20191028,000000,104.48,104.539,101.654,101.654,1535.0107811087,0
POTX.US,D,20191029,000000,101.124,101.124,97.5548,97.5548,1829.6173856688,0
POTX.US,D,20191030,000000,97.3369,98.3498,96.0648,96.5713,1592.9132895554,0
POTX.US,D,20191031,000000,96.4299,96.4299,94.1861,95.6879,2416.4533657033,0
