<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPR.US,D,20240402,000000,24.73,24.75,24.67,24.74,144091,0
AAPR.US,D,20240403,000000,24.73,24.78,24.69,24.7102,376834,0
AAPR.US,D,20240404,000000,24.84,24.84,24.64,24.65,70467,0
AAPR.US,D,20240405,000000,24.72,24.8,24.65,24.7316,74916,0
AAPR.US,D,20240408,000000,24.77,24.77,24.73,24.75,99142,0
AAPR.US,D,20240409,000000,24.74,24.74,24.65,24.74,36240,0
AAPR.US,D,20240410,000000,24.69,24.69,24.56,24.62,95140,0
AAPR.US,D,20240411,000000,24.64,24.6895,24.545,24.61,51678,0
AAPR.US,D,20240412,000000,24.63,24.63,24.5161,24.5502,39115,0
AAPR.US,D,20240415,000000,24.56,24.585,24.42,24.42,34635,0
AAPR.US,D,20240416,000000,24.44,24.49,24.4,24.4345,32316,0
AAPR.US,D,20240417,000000,24.44,24.48,24.35,24.35,60885,0
AAPR.US,D,20240418,000000,24.43,24.45,24.35,24.37,51475,0
AAPR.US,D,20240419,000000,24.35,24.38,24.26,24.2987,75608,0
AAPR.US,D,20240422,000000,24.36,24.41,24.2741,24.34,79572,0
AAPR.US,D,20240423,000000,24.42,24.48,24.33,24.4,77371,0
AAPR.US,D,20240424,000000,24.47,24.47,24.38,24.4427,63568,0
AAPR.US,D,20240425,000000,24.32,24.41,24.26,24.386,97779,0
AAPR.US,D,20240426,000000,24.45,24.52,24.42,24.4597,54073,0
AAPR.US,D,20240429,000000,24.52,24.58,24.4445,24.52,62448,0
AAPR.US,D,20240430,000000,24.58,24.58,24.34,24.34,141525,0
AAPR.US,D,20240501,000000,24.37,24.46,24.2701,24.36,111594,0
AAPR.US,D,20240502,000000,24.41,24.45,24.3443,24.3957,78851,0
AAPR.US,D,20240503,000000,24.59,24.61,24.47,24.5409,73242,0
AAPR.US,D,20240506,000000,24.62,24.67,24.56,24.67,53450,0
AAPR.US,D,20240507,000000,24.69,24.7,24.61,24.62,41744,0
AAPR.US,D,20240508,000000,24.5967,24.68,24.5939,24.66,58709,0
AAPR.US,D,20240509,000000,24.67,24.71,24.6375,24.69,103533,0
AAPR.US,D,20240510,000000,24.7532,24.7532,24.66,24.6926,29873,0
AAPR.US,D,20240513,000000,24.73,24.75,24.67,24.72,39773,0
AAPR.US,D,20240514,000000,24.74,24.78,24.7,24.75,58717,0
AAPR.US,D,20240515,000000,24.84,24.88,24.8,24.8653,75670,0
AAPR.US,D,20240516,000000,24.89,24.91,24.83,24.87,49991,0
AAPR.US,D,20240517,000000,24.88,24.8899,24.82,24.83,50615,0
AAPR.US,D,20240520,000000,24.88,24.92,24.84,24.9,40609,0
AAPR.US,D,20240521,000000,24.9,24.93,24.8601,24.93,34657,0
AAPR.US,D,20240522,000000,24.89,24.93,24.86,24.895,36168,0
AAPR.US,D,20240523,000000,24.9,24.91,24.7697,24.84,52430,0
AAPR.US,D,20240524,000000,24.88,24.9087,24.83,24.86,46415,0
AAPR.US,D,20240528,000000,24.86,24.92,24.8564,24.9,47481,0
AAPR.US,D,20240529,000000,24.82,24.87,24.7968,24.8,60423,0
AAPR.US,D,20240530,000000,24.8,24.82,24.76,24.76,33893,0
AAPR.US,D,20240531,000000,24.805,24.87,24.73,24.87,53588,0
AAPR.US,D,20240603,000000,24.91,24.93,24.82,24.9,94316,0
AAPR.US,D,20240604,000000,24.86,24.93,24.82,24.91,23376,0
AAPR.US,D,20240605,000000,24.925,25.03,24.9156,25,16987,0
AAPR.US,D,20240606,000000,25.0192,25.05,24.9917,25.04,52109,0
AAPR.US,D,20240607,000000,25.03,25.06,24.95,24.95,55666,0
AAPR.US,D,20240610,000000,24.945,25.009,24.94,24.9862,13092,0
AAPR.US,D,20240611,000000,24.98,25.05,24.96,25.02,47599,0
AAPR.US,D,20240612,000000,25.13,25.19,25.1198,25.14,24690,0
AAPR.US,D,20240613,000000,25.1562,25.18,25.11,25.18,10275,0
AAPR.US,D,20240614,000000,25.17,25.2,25.14,25.19,26834,0
AAPR.US,D,20240617,000000,25.15,25.27,25.11,25.21,24175,0
AAPR.US,D,20240618,000000,25.27,25.27,25.2209,25.2572,7296,0
AAPR.US,D,20240620,000000,25.3,25.32,25.2171,25.27,35834,0
AAPR.US,D,20240621,000000,25.25,25.26,25.21,25.26,18915,0
