<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AEMB.US,D,20210702,000000,48.9432,48.9432,48.9432,48.9432,100.99059802759,0
AEMB.US,D,20210707,000000,49.1432,49.1432,49.1432,49.1432,1.0099059802759,0
AEMB.US,D,20210709,000000,49.0016,49.0016,48.9718,48.9718,306.0015120236,0
AEMB.US,D,20210712,000000,49.0016,49.0016,49.0016,49.0016,1.0099059802759,0
AEMB.US,D,20210713,000000,48.8837,48.8837,48.8837,48.8837,1.0099059802759,0
AEMB.US,D,20210714,000000,49.0461,49.0461,49.0461,49.0461,2.0198119605518,0
AEMB.US,D,20210720,000000,49.1927,49.1927,49.1927,49.1927,2.0198119605518,0
AEMB.US,D,20210721,000000,49.0709,49.0798,48.9917,48.9917,401.94258014982,0
AEMB.US,D,20210722,000000,49.1877,49.2175,49.1244,49.1244,612.00302404721,0
AEMB.US,D,20210723,000000,49.1828,49.2175,49.1828,49.1828,205.01091399601,0
AEMB.US,D,20210727,000000,48.8402,48.8402,48.8402,48.8402,2.0198119605518,0
AEMB.US,D,20210729,000000,48.9917,48.9917,48.9917,48.9917,1.0099059802759,0
AEMB.US,D,20210730,000000,49.1244,49.1244,49.1244,49.1244,1.0099059802759,0
AEMB.US,D,20210802,000000,49.0798,49.0798,49.0798,49.0798,614129.88604167,0
AEMB.US,D,20210803,000000,49.0066,49.0066,49.0066,49.0066,1431.036774051,0
AEMB.US,D,20210804,000000,49.0184,49.0184,49.0184,49.0184,10.099059802759,0
AEMB.US,D,20210805,000000,49.0056,49.0056,49.0056,49.0056,1.0099059802759,0
AEMB.US,D,20210806,000000,48.7729,48.7729,48.7729,48.7729,1.0099059802759,0
AEMB.US,D,20210809,000000,48.6392,48.6392,48.6392,48.6392,16.158495684415,0
AEMB.US,D,20210810,000000,48.6659,48.6659,48.6659,48.6659,3.0297179408278,0
AEMB.US,D,20210811,000000,48.7421,48.7421,48.7421,48.7421,2.0198119605518,0
AEMB.US,D,20210812,000000,48.7669,48.7669,48.7669,48.7669,1.0099059802759,0
AEMB.US,D,20210813,000000,48.9432,48.9432,48.9432,48.9432,1.0099059802759,0
AEMB.US,D,20210816,000000,48.9917,48.9917,48.9917,48.9917,2.0198119605518,0
AEMB.US,D,20210817,000000,48.8837,48.8837,48.8837,48.8837,1.0099059802759,0
AEMB.US,D,20210818,000000,48.8837,48.8837,48.8837,48.8837,1.0099059802759,0
AEMB.US,D,20210819,000000,48.8778,48.8778,48.8778,48.8778,1.0099059802759,0
AEMB.US,D,20210820,000000,48.7867,48.7867,48.7867,48.7867,1.0099059802759,0
AEMB.US,D,20210823,000000,48.9333,48.9333,48.9333,48.9333,8.0792478422073,0
AEMB.US,D,20210824,000000,48.9481,48.9481,48.9481,48.9481,1.0099059802759,0
AEMB.US,D,20210825,000000,48.8887,48.8887,48.8887,48.8887,1.0099059802759,0
AEMB.US,D,20210826,000000,48.854,48.854,48.854,48.854,40.396239211037,0
AEMB.US,D,20210827,000000,49.1244,49.1244,49.1244,49.1244,1.0099059802759,0
AEMB.US,D,20210830,000000,49.1977,49.1977,49.1977,49.1977,1.0099059802759,0
AEMB.US,D,20210831,000000,49.0511,49.2412,49.0511,49.2412,612.00302404721,0
AEMB.US,D,20210901,000000,49.1779,49.1779,49.1779,49.1779,1.0099059802759,0
AEMB.US,D,20210902,000000,49.1967,49.1967,49.1967,49.1967,20.198119605518,0
AEMB.US,D,20210903,000000,49.162,49.162,49.162,49.162,1.0099059802759,0
AEMB.US,D,20210907,000000,49.1194,49.1194,49.1194,49.1194,1.0099059802759,0
AEMB.US,D,20210908,000000,49.1877,49.1877,49.1877,49.1877,1.0099059802759,0
AEMB.US,D,20210909,000000,49.2363,49.2363,49.2363,49.2363,1.0099059802759,0
AEMB.US,D,20210910,000000,49.1432,49.1432,49.1432,49.1432,1.0099059802759,0
AEMB.US,D,20210913,000000,49.1917,49.1917,49.1917,49.1917,1.0099059802759,0
AEMB.US,D,20210914,000000,49.2858,49.2858,49.2858,49.2858,1.0099059802759,0
AEMB.US,D,20210915,000000,49.2264,49.2264,49.2264,49.2264,1.0099059802759,0
AEMB.US,D,20210916,000000,49.0848,49.0848,49.0848,49.0848,1.0099059802759,0
AEMB.US,D,20210917,000000,48.958,48.958,48.958,48.958,5.0495299013796,0
AEMB.US,D,20210920,000000,48.7551,48.7551,48.7551,48.7551,1.0099059802759,0
AEMB.US,D,20210921,000000,48.7669,48.7669,48.7669,48.7669,1.0099059802759,0
AEMB.US,D,20210922,000000,48.8788,48.8788,48.8788,48.8788,69.683512639038,0
AEMB.US,D,20210923,000000,48.8352,48.8352,48.5798,48.5798,12258.238788589,0
AEMB.US,D,20210924,000000,48.4342,48.4342,48.4342,48.4342,1.0099059802759,0
