<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGQI.US,D,20231122,000000,12.73,12.76,12.56,12.71,2415554,0
AGQI.US,D,20231124,000000,12.75,12.8,12.74,12.7829,1860716,0
AGQI.US,D,20231127,000000,12.79,12.79,12.76,12.77,2327249,0
AGQI.US,D,20231128,000000,12.76,12.8134,12.7401,12.77,1535181,0
AGQI.US,D,20231129,000000,12.77,12.77,12.72,12.7397,489493,0
AGQI.US,D,20231130,000000,12.74,12.75,12.7,12.75,716403,0
AGQI.US,D,20231201,000000,12.74,12.8499,12.74,12.8,734953,0
AGQI.US,D,20231204,000000,12.74,12.78,12.72,12.78,62933,0
AGQI.US,D,20231205,000000,12.73,12.76,12.71,12.74,32031,0
AGQI.US,D,20231206,000000,12.81,12.81,12.73,12.73,29534,0
AGQI.US,D,20231207,000000,12.75,12.81,12.75,12.79,20777,0
AGQI.US,D,20231208,000000,12.76,12.8401,12.76,12.84,16655,0
AGQI.US,D,20231211,000000,12.81,12.87,12.81,12.86,73403,0
AGQI.US,D,20231212,000000,12.86,12.92,12.84,12.9,60263,0
AGQI.US,D,20231213,000000,12.9,13.06,12.87,13.04,33585,0
AGQI.US,D,20231214,000000,13.09,13.1552,13.08,13.08,50667,0
AGQI.US,D,20231215,000000,13.05,13.075,12.99,13.005,18035,0
AGQI.US,D,20231218,000000,13.06,13.08,13.03,13.0618,42556,0
AGQI.US,D,20231219,000000,13.05,13.105,13.05,13.07,11992,0
AGQI.US,D,20231220,000000,13.09,13.13,12.94,12.94,57363,0
AGQI.US,D,20231221,000000,13.05,13.115,12.94,13.115,50520,0
AGQI.US,D,20231222,000000,13.13,13.1895,13.13,13.142,14623,0
AGQI.US,D,20231226,000000,13.15,13.25,13.15,13.225,10812,0
AGQI.US,D,20231227,000000,13.21,13.2783,13.21,13.27,35043,0
AGQI.US,D,20231228,000000,13.2811,13.295,13.25,13.26,126534,0
AGQI.US,D,20231229,000000,13.3,13.3,13.2345,13.2646,11116,0
AGQI.US,D,20240102,000000,13.15,13.245,13.14,13.2,43944,0
AGQI.US,D,20240103,000000,13.1,13.175,13.0822,13.1243,23708,0
AGQI.US,D,20240104,000000,13.16,13.22,13.15,13.15,56756,0
AGQI.US,D,20240105,000000,13.12,13.215,13.12,13.1385,42104,0
AGQI.US,D,20240108,000000,13.15,13.2506,13.1314,13.2506,78092,0
AGQI.US,D,20240109,000000,13.1,13.19,13.1,13.17,33145,0
AGQI.US,D,20240110,000000,13.2,13.25,13.18,13.22,61960,0
AGQI.US,D,20240111,000000,13.25,13.26,13.1106,13.2141,45947,0
AGQI.US,D,20240112,000000,13.28,13.28,13.23,13.26,9914,0
AGQI.US,D,20240116,000000,13.1542,13.1751,13.09,13.11,20713,0
AGQI.US,D,20240117,000000,13.01,13.02,12.956,13.02,52211,0
AGQI.US,D,20240118,000000,13.09,13.18,13.08,13.17,103399,0
AGQI.US,D,20240119,000000,13.17,13.24,13.131,13.2399,36503,0
AGQI.US,D,20240122,000000,13.21,13.26,13.21,13.22,22212,0
AGQI.US,D,20240123,000000,13.21,13.28,13.21,13.2794,18273,0
AGQI.US,D,20240124,000000,13.38,13.405,13.31,13.3105,46153,0
AGQI.US,D,20240125,000000,13.34,13.4,13.34,13.4,14614,0
AGQI.US,D,20240126,000000,13.46,13.48,13.4301,13.45,19572,0
AGQI.US,D,20240129,000000,13.46,13.53,13.43,13.53,29118,0
AGQI.US,D,20240130,000000,13.51,13.56,13.5,13.54,16133,0
AGQI.US,D,20240131,000000,13.59,13.59,13.42,13.42,57849,0
AGQI.US,D,20240201,000000,13.47,13.5699,13.42,13.56,26574,0
AGQI.US,D,20240202,000000,13.51,13.52,13.46,13.49,29356,0
AGQI.US,D,20240205,000000,13.38,13.41,13.3,13.34,40449,0
AGQI.US,D,20240206,000000,13.3714,13.3911,13.3502,13.3911,25794,0
