<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARKA.US,D,20231115,000000,36.84,38.3415,36.7299,38.3415,5688,0
ARKA.US,D,20231116,000000,37.31,37.79,36.495,36.6688,4110,0
ARKA.US,D,20231117,000000,36.98,37.3,36.665,37.1825,3244,0
ARKA.US,D,20231120,000000,37.92,38.46,37.92,38.3027,6740,0
ARKA.US,D,20231121,000000,37.89,37.935,37.53,37.6252,702,0
ARKA.US,D,20231122,000000,37.2,38.3419,37.1,38.3419,2493,0
ARKA.US,D,20231124,000000,38.89,39.16,38.6323,38.6323,592,0
ARKA.US,D,20231127,000000,37.27,37.61,37.27,37.2807,13682,0
ARKA.US,D,20231128,000000,38.04,39.12,37.9682,38.9825,11221,0
ARKA.US,D,20231129,000000,38.68,38.68,38.1092,38.1092,1812,0
ARKA.US,D,20231130,000000,38.33,38.35,38.2,38.2,1851,0
ARKA.US,D,20231201,000000,39.17,39.47,39.17,39.3079,6935,0
ARKA.US,D,20231204,000000,42.15,42.54,42.15,42.36,1075,0
ARKA.US,D,20231205,000000,42.69,44.37,42.69,44.36,8879,0
ARKA.US,D,20231206,000000,44.71,44.7906,44.25,44.3266,6569,0
ARKA.US,D,20231207,000000,43.96,44.3501,43.751,43.8235,4732,0
ARKA.US,D,20231208,000000,44.42,45.0052,44.35,45.0052,1455,0
ARKA.US,D,20231211,000000,42.05,42.05,40.53,40.93,6718,0
ARKA.US,D,20231212,000000,42,42,41.5,41.5805,931,0
ARKA.US,D,20231213,000000,41.805,43.2779,41.805,43.2779,564,0
ARKA.US,D,20231214,000000,43.01,43.19,42.9,43.19,2842,0
ARKA.US,D,20231215,000000,42.149,42.5849,42.149,42.5849,77430,0
ARKA.US,D,20231218,000000,41.8101,42.3071,41.8101,42.3071,474,0
ARKA.US,D,20231219,000000,42.78,42.78,42.1899,42.24,9704,0
ARKA.US,D,20231220,000000,43.4,44.585,43.4,43.8472,6571,0
ARKA.US,D,20231221,000000,43.95,44.15,43.73,44.049,19057,0
ARKA.US,D,20231222,000000,44.1412,44.54,43.89,43.89,3187,0
ARKA.US,D,20231226,000000,42.92,42.92,42,42.44,1510,0
ARKA.US,D,20231227,000000,43.7,43.87,43.2116,43.8306,24158,0
ARKA.US,D,20231228,000000,42.88,42.909,42.39,42.52,76459,0
ARKA.US,D,20231229,000000,43.13,43.1585,41.5,41.9289,51590,0
ARKA.US,D,20240102,000000,46.16,46.16,44.75,44.7852,36305,0
ARKA.US,D,20240103,000000,41.93,43.29,41.9098,42.5668,28828,0
ARKA.US,D,20240104,000000,43.11,44.43,43.11,44.045,27278,0
ARKA.US,D,20240105,000000,43.33,44.01,43.055,43.7767,9373,0
ARKA.US,D,20240108,000000,44.89,47.11,44.59,46.63,32311,0
ARKA.US,D,20240109,000000,46.82,46.82,46.27,46.4336,30853,0
ARKA.US,D,20240110,000000,45.13,46.48,44.421,45.69,35739,0
ARKA.US,D,20240111,000000,47.67,48.82,45.15,46,195903,0
ARKA.US,D,20240112,000000,45.44,45.81,42.68,43.29,46863,0
ARKA.US,D,20240116,000000,42.38,43,41.63,42.7368,21235,0
ARKA.US,D,20240117,000000,42.04,42.2705,41.9262,42.248,9138,0
ARKA.US,D,20240118,000000,42.02,42.42,40.28,40.5369,18172,0
ARKA.US,D,20240119,000000,40.5,41.54,39.8809,41.1922,13901,0
ARKA.US,D,20240122,000000,40.44,40.44,39,39.6592,7423,0
ARKA.US,D,20240123,000000,38.36,38.9701,38.17,38.61,10143,0
ARKA.US,D,20240124,000000,39.6,39.64,39.08,39.0873,2291,0
ARKA.US,D,20240125,000000,39.52,39.5201,39.131,39.19,6675,0
ARKA.US,D,20240126,000000,40.71,41.769,40.71,41.488,6458,0
ARKA.US,D,20240129,000000,41.48,42.66,41.34,42.6503,5257,0
ARKA.US,D,20240130,000000,43.07,43.1,42.7501,43.0757,9007,0
ARKA.US,D,20240131,000000,42.49,43.06,42.0899,42.0899,3487,0
ARKA.US,D,20240201,000000,41.85,42.52,41.85,42.4105,1661,0
ARKA.US,D,20240202,000000,42.2411,42.5616,42.2411,42.3595,1779,0
ARKA.US,D,20240205,000000,42.76,42.76,41.7504,41.7504,6571,0
ARKA.US,D,20240206,000000,42.24,42.655,42.24,42.5312,711,0
ARKA.US,D,20240207,000000,42.54,43.62,42.32,43.5813,4297,0
ARKA.US,D,20240208,000000,44.48,45.03,44.4,44.9155,6739,0
ARKA.US,D,20240209,000000,46.23,47.55,46.23,46.88,10339,0
