<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BAMD.US,D,20231004,000000,24.45,24.45,24.45,24.45,1,0
BAMD.US,D,20231005,000000,24.3572,24.3572,24.3572,24.3572,1,0
BAMD.US,D,20231006,000000,24.5071,24.5071,24.5071,24.5071,1,0
BAMD.US,D,20231009,000000,24.7738,24.7738,24.7738,24.7738,1,0
BAMD.US,D,20231010,000000,25.015,25.015,25.015,25.015,2,0
BAMD.US,D,20231011,000000,25.08,25.1033,25.08,25.1033,4742,0
BAMD.US,D,20231012,000000,24.74,24.7996,24.721,24.7996,1607,0
BAMD.US,D,20231013,000000,24.81,24.8595,24.81,24.8595,1688,0
BAMD.US,D,20231016,000000,24.95,25.1585,24.95,25.1585,1031,0
BAMD.US,D,20231017,000000,25.2,25.282,25.19,25.282,2191,0
BAMD.US,D,20231018,000000,24.98,24.98,24.9202,24.9202,196,0
BAMD.US,D,20231019,000000,24.67,24.6939,24.67,24.6939,2192,0
BAMD.US,D,20231020,000000,24.46,24.46,24.4125,24.4125,2267,0
BAMD.US,D,20231023,000000,24.16,24.17,24.1484,24.1484,103351,0
BAMD.US,D,20231024,000000,24.5292,24.55,24.5275,24.5275,401930,0
BAMD.US,D,20231025,000000,24.3288,24.4416,24.3288,24.4416,5843,0
BAMD.US,D,20231026,000000,24.59,24.5901,24.5892,24.5892,4206,0
BAMD.US,D,20231027,000000,24.23,24.2301,24.04,24.0499,7493,0
BAMD.US,D,20231030,000000,24.12,24.32,24.12,24.3144,2639,0
BAMD.US,D,20231031,000000,24.48,24.4883,24.45,24.4883,6785,0
BAMD.US,D,20231101,000000,24.6576,24.6576,24.6163,24.6163,989,0
BAMD.US,D,20231102,000000,25.13,25.2,25.12,25.1573,1719,0
BAMD.US,D,20231103,000000,25.6017,25.6017,25.483,25.483,4762,0
BAMD.US,D,20231106,000000,25.32,25.3309,25.27,25.3004,6990,0
BAMD.US,D,20231107,000000,25.16,25.16,25.1325,25.1325,741,0
BAMD.US,D,20231108,000000,25,25.03,24.96,25.025,223927,0
BAMD.US,D,20231109,000000,25.04,25.04,24.8,24.8095,385277,0
BAMD.US,D,20231110,000000,24.9,24.932,24.9,24.932,460218,0
BAMD.US,D,20231113,000000,24.76,24.7917,24.76,24.7798,12115,0
BAMD.US,D,20231114,000000,24.81,25.5803,24.81,25.5279,67105,0
BAMD.US,D,20231115,000000,25.81,25.81,25.69,25.7573,18054,0
BAMD.US,D,20231116,000000,25.67,25.7416,25.67,25.7416,5886,0
