<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBBL.US,D,20240126,000000,49.88,49.88,49.67,49.7594,3085,0
BBBL.US,D,20240129,000000,49.82,50.02,49.82,50.0192,403,0
BBBL.US,D,20240130,000000,50.64,50.64,49.95,50.2898,11233,0
BBBL.US,D,20240131,000000,50.54,50.54,50.33,50.33,988,0
BBBL.US,D,20240201,000000,50.83,51.07,50.83,50.9802,3007,0
BBBL.US,D,20240202,000000,50.3776,50.3776,50.3776,50.3776,28,0
BBBL.US,D,20240205,000000,49.69,49.69,49.5,49.6219,3452,0
BBBL.US,D,20240206,000000,50.0404,50.0404,49.9922,49.9922,110,0
BBBL.US,D,20240207,000000,49.8147,49.8147,49.8147,49.8147,91,0
BBBL.US,D,20240208,000000,49.36,49.3787,49.36,49.3787,114,0
BBBL.US,D,20240209,000000,49.2582,49.2582,49.2582,49.2582,38,0
BBBL.US,D,20240212,000000,49.1,49.29,49.1,49.2461,4402,0
BBBL.US,D,20240213,000000,48.5726,48.5726,48.5726,48.5726,2,0
BBBL.US,D,20240214,000000,48.64,48.8647,48.64,48.8647,303,0
BBBL.US,D,20240215,000000,49.1,49.12,49.0915,49.0915,520,0
BBBL.US,D,20240216,000000,48.8781,48.8781,48.8781,48.8781,64,0
BBBL.US,D,20240220,000000,49.0523,49.0523,49.0523,49.0523,1,0
BBBL.US,D,20240221,000000,48.92,48.9286,48.86,48.9286,280,0
BBBL.US,D,20240222,000000,49.0798,49.0798,49.0798,49.0798,42,0
BBBL.US,D,20240223,000000,49.2944,49.2944,49.2944,49.2944,1,0
BBBL.US,D,20240226,000000,49.0175,49.0175,49.0175,49.0175,1,0
BBBL.US,D,20240227,000000,49.03,49.03,48.95,48.95,354,0
BBBL.US,D,20240228,000000,48.9183,48.9183,48.9183,48.9183,10,0
BBBL.US,D,20240229,000000,48.9614,48.9614,48.9614,48.9614,2,0
BBBL.US,D,20240301,000000,48.72,49.1317,48.69,49.1317,1200,0
BBBL.US,D,20240304,000000,49.0445,49.0445,49.0445,49.0445,1,0
BBBL.US,D,20240305,000000,49.33,49.56,49.28,49.4032,2102,0
BBBL.US,D,20240306,000000,49.5924,49.5924,49.5924,49.5924,1,0
BBBL.US,D,20240307,000000,49.7198,49.7198,49.7198,49.7198,53,0
BBBL.US,D,20240308,000000,49.769,49.769,49.769,49.769,3,0
BBBL.US,D,20240311,000000,49.8294,49.8294,49.8294,49.8294,1,0
BBBL.US,D,20240312,000000,49.72,49.72,49.6172,49.6172,407,0
BBBL.US,D,20240313,000000,49.5995,49.5995,49.5995,49.5995,1,0
BBBL.US,D,20240314,000000,49.0423,49.0423,49.0423,49.0423,50,0
BBBL.US,D,20240315,000000,49.1375,49.1375,49.1375,49.1375,1,0
BBBL.US,D,20240318,000000,48.99,48.99,48.99,48.99,300,0
BBBL.US,D,20240319,000000,49.1374,49.1374,49.1374,49.1374,1,0
BBBL.US,D,20240320,000000,49.05,49.1528,49.05,49.1528,513,0
BBBL.US,D,20240321,000000,49.32,49.3285,49.32,49.3285,200,0
BBBL.US,D,20240322,000000,49.5962,49.5962,49.5962,49.5962,1,0
BBBL.US,D,20240325,000000,49.3158,49.3158,49.3158,49.3158,2,0
BBBL.US,D,20240326,000000,49.31,49.36,49.27,49.3,2300,0
BBBL.US,D,20240327,000000,49.6,49.7597,49.6,49.7597,201,0
BBBL.US,D,20240328,000000,49.8415,49.8415,49.8415,49.8415,2,0
BBBL.US,D,20240401,000000,49.21,49.22,48.86,48.8756,4436,0
BBBL.US,D,20240402,000000,48.27,48.7538,48.27,48.7538,1181,0
BBBL.US,D,20240403,000000,48.54,48.8,48.54,48.7718,4076,0
BBBL.US,D,20240404,000000,48.8391,48.8391,48.8391,48.8391,180,0
BBBL.US,D,20240405,000000,48.47,48.63,48.46,48.5,8800,0
BBBL.US,D,20240408,000000,48.49,48.6768,48.49,48.6768,202,0
BBBL.US,D,20240409,000000,49.0018,49.0018,49.0018,49.0018,12,0
BBBL.US,D,20240410,000000,48.39,48.39,48.072,48.072,244,0
BBBL.US,D,20240411,000000,47.91,47.9172,47.84,47.9172,1301,0
BBBL.US,D,20240412,000000,48.05,48.09,48.05,48.0527,414,0
BBBL.US,D,20240415,000000,47.2,47.2,47.2,47.2,128,0
BBBL.US,D,20240416,000000,46.87,47.02,46.77,46.95,2295,0
BBBL.US,D,20240417,000000,47.31,47.32,47.31,47.3196,1482,0
BBBL.US,D,20240418,000000,47.24,47.31,47.2063,47.2063,406,0
BBBL.US,D,20240419,000000,47.2894,47.2894,47.2894,47.2894,5,0
BBBL.US,D,20240422,000000,47.4465,47.4465,47.4465,47.4465,1,0
BBBL.US,D,20240423,000000,47.5317,47.5317,47.5317,47.5317,12,0
BBBL.US,D,20240424,000000,47.2013,47.2013,47.2013,47.2013,5,0
BBBL.US,D,20240425,000000,46.92,47.0205,46.92,47.0205,202,0
BBBL.US,D,20240426,000000,47.3274,47.3274,47.3274,47.3274,1,0
BBBL.US,D,20240429,000000,47.5986,47.5986,47.5986,47.5986,54,0
BBBL.US,D,20240430,000000,47.205,47.205,47.205,47.205,12,0
BBBL.US,D,20240501,000000,47.21,47.29,47.16,47.2898,7135,0
BBBL.US,D,20240502,000000,47.25,47.6,47.18,47.6,1900,0
BBBL.US,D,20240503,000000,48.12,48.15,47.99,48.05,6950,0
BBBL.US,D,20240506,000000,48.12,48.25,48.11,48.25,4040,0
BBBL.US,D,20240507,000000,48.47,48.54,48.3408,48.3408,637,0
BBBL.US,D,20240508,000000,48.1431,48.1431,48.1431,48.1431,128,0
BBBL.US,D,20240509,000000,48.2513,48.2513,48.2513,48.2513,114,0
BBBL.US,D,20240510,000000,48.17,48.17,48.0488,48.0488,2016,0
BBBL.US,D,20240513,000000,48.23,48.23,48.0621,48.0621,400,0
BBBL.US,D,20240514,000000,48.2571,48.2571,48.2571,48.2571,8,0
BBBL.US,D,20240515,000000,48.82,48.92,48.82,48.8548,1029,0
BBBL.US,D,20240516,000000,48.9,48.9,48.78,48.78,539,0
BBBL.US,D,20240517,000000,48.66,48.66,48.6491,48.6491,520,0
BBBL.US,D,20240520,000000,48.56,48.61,48.55,48.5706,2869,0
BBBL.US,D,20240521,000000,48.74,48.74,48.7148,48.7148,122,0
BBBL.US,D,20240522,000000,48.655,48.68,48.626,48.626,626,0
BBBL.US,D,20240523,000000,48.3332,48.3332,48.3332,48.3332,21,0
BBBL.US,D,20240524,000000,48.5127,48.5127,48.5127,48.5127,14,0
BBBL.US,D,20240528,000000,48.54,48.54,48.03,48.05,1914,0
BBBL.US,D,20240529,000000,47.82,47.82,47.68,47.71,3161,0
