<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBBS.US,D,20240126,000000,50.2281,50.24,50.2177,50.2177,531,0
BBBS.US,D,20240129,000000,50.27,50.27,50.27,50.27,35,0
BBBS.US,D,20240130,000000,50.27,50.27,50.194,50.2575,979,0
BBBS.US,D,20240131,000000,50.39,50.39,50.3506,50.3506,132,0
BBBS.US,D,20240201,000000,50.49,50.49,50.46,50.46,695,0
BBBS.US,D,20240202,000000,50.32,50.32,50.3,50.3,2501,0
BBBS.US,D,20240205,000000,50.2234,50.2234,50.1782,50.1782,362,0
BBBS.US,D,20240206,000000,50.29,50.29,50.27,50.27,126,0
BBBS.US,D,20240207,000000,50.2671,50.29,50.2671,50.29,201,0
BBBS.US,D,20240208,000000,50.24,50.24,50.23,50.24,8411,0
BBBS.US,D,20240209,000000,50.22,50.22,50.2001,50.2001,824,0
BBBS.US,D,20240212,000000,50.25,50.25,50.25,50.25,201,0
BBBS.US,D,20240213,000000,50.025,50.025,50.025,50.025,3,0
BBBS.US,D,20240214,000000,50.1372,50.1372,50.1372,50.1372,2,0
BBBS.US,D,20240215,000000,50.195,50.195,50.195,50.195,65,0
BBBS.US,D,20240216,000000,50.0993,50.1051,50.0993,50.1051,101,0
BBBS.US,D,20240220,000000,50.185,50.185,50.185,50.185,1,0
BBBS.US,D,20240221,000000,50.1433,50.1433,50.1433,50.1433,1,0
BBBS.US,D,20240222,000000,50.1173,50.1173,50.1173,50.1173,1,0
BBBS.US,D,20240223,000000,50.145,50.145,50.145,50.145,1,0
BBBS.US,D,20240226,000000,50.07,50.07,50.0569,50.0569,209,0
BBBS.US,D,20240227,000000,50.1,50.1,50.07,50.07,301,0
BBBS.US,D,20240228,000000,50.105,50.105,50.105,50.105,1,0
BBBS.US,D,20240229,000000,50.12,50.12,50.12,50.12,300,0
BBBS.US,D,20240301,000000,49.99,50.005,49.99,50.005,216,0
BBBS.US,D,20240304,000000,49.99,49.99,49.97,49.97,280,0
BBBS.US,D,20240305,000000,50.0356,50.0356,50.0356,50.0356,1,0
BBBS.US,D,20240306,000000,50.08,50.08,50.0525,50.0525,8412,0
BBBS.US,D,20240307,000000,50.14,50.14,50.14,50.14,428,0
BBBS.US,D,20240308,000000,50.24,50.24,50.19,50.19,493,0
BBBS.US,D,20240311,000000,50.155,50.155,50.155,50.155,61,0
BBBS.US,D,20240312,000000,50.1034,50.1034,50.1,50.1,402,0
BBBS.US,D,20240313,000000,50.0883,50.0883,50.0883,50.0883,408,0
BBBS.US,D,20240314,000000,50.02,50.02,49.995,49.995,358,0
BBBS.US,D,20240315,000000,49.975,49.975,49.975,49.975,1,0
BBBS.US,D,20240318,000000,50,50,49.84,49.9909,2452,0
BBBS.US,D,20240319,000000,50.08,50.08,50.0606,50.0606,836,0
BBBS.US,D,20240320,000000,50.15,50.15,50.15,50.15,11,0
BBBS.US,D,20240321,000000,50.17,50.17,50.17,50.17,89,0
BBBS.US,D,20240322,000000,50.2299,50.2299,50.2299,50.2299,51,0
BBBS.US,D,20240325,000000,50.1798,50.1798,50.1798,50.1798,109,0
BBBS.US,D,20240326,000000,50.1692,50.1692,50.1692,50.1692,2,0
BBBS.US,D,20240327,000000,50.29,50.29,50.29,50.29,352,0
BBBS.US,D,20240328,000000,50.25,50.25,50.2345,50.2345,344,0
BBBS.US,D,20240401,000000,49.93,49.93,49.9184,49.9184,727,0
BBBS.US,D,20240402,000000,49.8615,49.9086,49.8615,49.9086,260,0
BBBS.US,D,20240403,000000,49.94,49.955,49.94,49.955,5229,0
BBBS.US,D,20240404,000000,50,50,50,50,31,0
BBBS.US,D,20240405,000000,49.9271,49.9271,49.9271,49.9271,7,0
BBBS.US,D,20240408,000000,49.8894,49.8894,49.8894,49.8894,2,0
BBBS.US,D,20240409,000000,49.95,49.95,49.93,49.93,328,0
BBBS.US,D,20240410,000000,49.65,49.65,49.65,49.65,42,0
BBBS.US,D,20240411,000000,49.6797,49.6797,49.6797,49.6797,8,0
BBBS.US,D,20240412,000000,49.73,49.73,49.73,49.73,106,0
BBBS.US,D,20240415,000000,49.6,49.61,49.6,49.61,560,0
BBBS.US,D,20240416,000000,49.57,49.57,49.53,49.53,1506,0
BBBS.US,D,20240417,000000,49.61,49.61,49.61,49.61,165,0
BBBS.US,D,20240418,000000,49.59,49.59,49.5652,49.5652,1915,0
BBBS.US,D,20240419,000000,49.5908,49.5908,49.5908,49.5908,80,0
BBBS.US,D,20240422,000000,49.6504,49.6504,49.6504,49.6504,109,0
BBBS.US,D,20240423,000000,49.72,49.72,49.72,49.72,15,0
BBBS.US,D,20240424,000000,49.6893,49.6893,49.6893,49.6893,83,0
BBBS.US,D,20240425,000000,49.65,49.65,49.65,49.65,83,0
BBBS.US,D,20240426,000000,49.69,49.69,49.69,49.69,1,0
BBBS.US,D,20240429,000000,49.74,49.74,49.74,49.74,3,0
BBBS.US,D,20240430,000000,49.6656,49.6656,49.6656,49.6656,90,0
BBBS.US,D,20240501,000000,49.5726,49.5726,49.5726,49.5726,1,0
BBBS.US,D,20240502,000000,49.73,49.73,49.73,49.73,100,0
BBBS.US,D,20240503,000000,49.8643,49.8643,49.8643,49.8643,3,0
BBBS.US,D,20240506,000000,49.88,49.88,49.88,49.88,1,0
BBBS.US,D,20240507,000000,49.9,49.94,49.89,49.89,278,0
BBBS.US,D,20240508,000000,49.8552,49.8552,49.8552,49.8552,9,0
BBBS.US,D,20240509,000000,49.8818,49.8818,49.8818,49.8818,1,0
BBBS.US,D,20240510,000000,49.8269,49.8269,49.8269,49.8269,5,0
BBBS.US,D,20240513,000000,49.82,49.82,49.82,49.82,154,0
BBBS.US,D,20240514,000000,49.86,49.89,49.856,49.89,1981,0
BBBS.US,D,20240515,000000,50.04,50.04,50.04,50.04,330,0
BBBS.US,D,20240516,000000,49.9825,49.9825,49.9825,49.9825,40,0
BBBS.US,D,20240517,000000,49.99,49.99,49.98,49.98,1159,0
BBBS.US,D,20240520,000000,49.97,49.97,49.97,49.97,77,0
BBBS.US,D,20240521,000000,49.99,49.99,49.99,49.99,832,0
BBBS.US,D,20240522,000000,49.97,49.97,49.96,49.96,1120,0
BBBS.US,D,20240523,000000,49.89,49.9,49.88,49.89,242595,0
BBBS.US,D,20240524,000000,49.89,49.94,49.89,49.905,4600,0
BBBS.US,D,20240528,000000,49.93,49.93,49.8304,49.85,5251,0
BBBS.US,D,20240529,000000,49.82,49.839,49.79,49.8144,3315,0
BBBS.US,D,20240530,000000,49.9,49.9,49.886,49.8905,529617,0
BBBS.US,D,20240531,000000,50,50.01,49.96,50.0038,12116,0
BBBS.US,D,20240603,000000,50.05,50.12,50.04,50.09,7782,0
BBBS.US,D,20240604,000000,50.15,50.19,50.13,50.175,14686,0
BBBS.US,D,20240605,000000,50.16,50.24,50.16,50.24,8715,0
BBBS.US,D,20240606,000000,50.2,50.24,50.2,50.22,9501,0
BBBS.US,D,20240607,000000,50.08,50.08,50.0447,50.0447,14666,0
BBBS.US,D,20240610,000000,50.0339,50.05,50.02,50.029,16538,0
BBBS.US,D,20240611,000000,50.0522,50.095,50.0522,50.09,1378,0
BBBS.US,D,20240612,000000,50.27,50.35,50.2303,50.2303,3301,0
BBBS.US,D,20240613,000000,50.32,50.34,50.32,50.3283,5522,0
BBBS.US,D,20240614,000000,50.26,50.3,50.26,50.2751,3406,0
BBBS.US,D,20240617,000000,50.24,50.25,50.21,50.23,4488,0
BBBS.US,D,20240618,000000,50.33,50.33,50.275,50.295,6535,0
BBBS.US,D,20240620,000000,50.26,50.3,50.24,50.2924,11248,0
BBBS.US,D,20240621,000000,50.24,50.31,50.24,50.285,6066,0
