<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCIM.US,D,20210929,000000,24.598,24.598,24.214,24.214,2588,0
BCIM.US,D,20210930,000000,23.823,23.823,23.823,23.823,53,0
BCIM.US,D,20211001,000000,23.998,24.126,23.998,24.105,583,0
BCIM.US,D,20211004,000000,24.342,24.342,24.321,24.321,203,0
BCIM.US,D,20211005,000000,24.273,24.288,24.256,24.288,403,0
BCIM.US,D,20211006,000000,24.136,24.136,24.136,24.136,22,0
BCIM.US,D,20211007,000000,24.497,24.497,24.497,24.497,22,0
BCIM.US,D,20211008,000000,24.854,24.9,24.854,24.9,203,0
BCIM.US,D,20211011,000000,25.341,25.341,25.341,25.341,26,0
BCIM.US,D,20211012,000000,25.36,25.36,25.36,25.36,1,0
BCIM.US,D,20211013,000000,25.922,25.922,25.922,25.922,61,0
BCIM.US,D,20211014,000000,26.604,26.604,26.604,26.604,81,0
BCIM.US,D,20211015,000000,27.402,27.654,27.215,27.654,950,0
BCIM.US,D,20211018,000000,28.091,28.091,27.255,27.279,913,0
BCIM.US,D,20211019,000000,27.137,27.914,26.846,26.846,3034,0
BCIM.US,D,20211020,000000,27.321,27.321,27.321,27.321,116,0
BCIM.US,D,20211021,000000,26.074,26.074,25.883,25.883,724,0
BCIM.US,D,20211022,000000,25.897,25.897,25.666,25.666,321,0
BCIM.US,D,20211025,000000,25.859,25.859,25.859,25.859,28,0
BCIM.US,D,20211026,000000,25.582,25.607,25.582,25.607,211,0
BCIM.US,D,20211027,000000,24.67,24.67,24.67,24.67,61,0
BCIM.US,D,20211028,000000,25.006,25.006,25.006,25.006,73,0
BCIM.US,D,20211029,000000,24.903,24.96,24.903,24.96,146,0
BCIM.US,D,20211101,000000,24.834,24.892,24.834,24.892,153,0
BCIM.US,D,20211102,000000,24.726,24.726,24.657,24.657,361,0
BCIM.US,D,20211103,000000,24.598,24.598,24.529,24.529,728,0
BCIM.US,D,20211104,000000,24.431,24.431,24.032,24.032,5595,0
BCIM.US,D,20211105,000000,24.062,24.062,24.062,24.062,140,0
BCIM.US,D,20211108,000000,24.254,24.923,24.254,24.524,876,0
BCIM.US,D,20211109,000000,24.239,24.239,24.239,24.239,44,0
BCIM.US,D,20211110,000000,24.451,24.5,24.18,24.18,1029,0
BCIM.US,D,20211111,000000,24.647,24.824,24.647,24.811,864,0
BCIM.US,D,20211112,000000,24.859,24.859,24.859,24.859,25,0
BCIM.US,D,20211115,000000,25.11,25.11,24.602,24.602,692,0
BCIM.US,D,20211116,000000,24.204,24.204,24.155,24.155,102,0
BCIM.US,D,20211117,000000,24.372,24.372,24.003,24.003,1832,0
BCIM.US,D,20211118,000000,24.185,24.185,24.185,24.185,13,0
BCIM.US,D,20211119,000000,24.588,24.741,24.588,24.741,509,0
BCIM.US,D,20211122,000000,24.736,25.017,24.736,25.017,407,0
BCIM.US,D,20211123,000000,24.908,24.908,24.908,24.908,1,0
BCIM.US,D,20211124,000000,25.208,25.208,25.208,25.208,30,0
BCIM.US,D,20211126,000000,24.647,24.647,24.219,24.219,859,0
