<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BETE.US,D,20231004,000000,40.1054,40.1054,40.1054,40.1054,129,0
BETE.US,D,20231005,000000,40.4,40.4,39.56,39.6017,3529,0
BETE.US,D,20231006,000000,40.49,40.49,40.3,40.4062,670,0
BETE.US,D,20231009,000000,39.21,39.33,39,39.2814,1601,0
BETE.US,D,20231010,000000,38.9,38.9,38.8896,38.8896,731,0
BETE.US,D,20231011,000000,38.26,38.3433,38.26,38.3433,824,0
BETE.US,D,20231012,000000,38.31,38.31,37.8199,37.9353,1069,0
BETE.US,D,20231013,000000,38.1644,38.1644,38.1644,38.1644,56,0
BETE.US,D,20231016,000000,41.21,41.21,39.54,39.9363,2126,0
BETE.US,D,20231017,000000,39.98,39.98,39.6969,39.6969,562,0
BETE.US,D,20231018,000000,39.57,39.57,39.47,39.47,386,0
BETE.US,D,20231019,000000,39.9628,39.9628,39.9628,39.9628,144,0
BETE.US,D,20231020,000000,40.96,41.09,40.96,41.0423,823,0
BETE.US,D,20231023,000000,42.46,43.6305,42.46,43.6305,1149,0
BETE.US,D,20231024,000000,47,47.18,46.109,46.1688,1631,0
BETE.US,D,20231025,000000,46.779,47.0358,46.779,47.0358,1286,0
BETE.US,D,20231026,000000,46.2,46.4862,46.2,46.4862,1396,0
BETE.US,D,20231027,000000,46.76,46.76,45.9525,45.9525,677,0
BETE.US,D,20231030,000000,47.4,47.4,46.82,46.9002,250,0
BETE.US,D,20231031,000000,46.61,47.0999,46.61,47.0999,331,0
BETE.US,D,20231101,000000,47.08,47.5316,47.08,47.5316,356,0
BETE.US,D,20231102,000000,47.6,47.61,47.38,47.3914,775,0
BETE.US,D,20231103,000000,47.2215,47.35,47.1274,47.1274,270,0
BETE.US,D,20231106,000000,48.37,48.3791,48.37,48.3791,229,0
BETE.US,D,20231107,000000,47.95,49.2625,47.95,49.2625,393,0
BETE.US,D,20231108,000000,48.525,48.8808,48.525,48.8808,225,0
BETE.US,D,20231109,000000,51.67,52.09,51.3724,51.3724,743,0
BETE.US,D,20231110,000000,52.5964,52.5964,52.5964,52.5964,161,0
BETE.US,D,20231113,000000,52.1,52.1,52.0886,52.0886,447,0
BETE.US,D,20231114,000000,51.52,51.52,49.4674,49.4674,559,0
BETE.US,D,20231115,000000,52.1069,52.1069,52.1069,52.1069,134,0
BETE.US,D,20231116,000000,50.7023,50.7023,49.7815,49.7815,1298,0
BETE.US,D,20231117,000000,49.52,50.21,49.52,49.9145,2955,0
BETE.US,D,20231120,000000,51.4103,51.8012,51.4103,51.73,613,0
BETE.US,D,20231121,000000,49.8301,50.8818,49.8301,50.7243,454,0
BETE.US,D,20231122,000000,52.2704,52.2704,52.2704,52.2704,25,0
BETE.US,D,20231124,000000,52.66,52.8787,52.66,52.8787,183,0
BETE.US,D,20231127,000000,50.84,50.84,50.2897,50.2897,375,0
BETE.US,D,20231128,000000,51.3,52.471,51.3,52.471,522,0
BETE.US,D,20231129,000000,52.05,52.05,51.2462,51.2462,395,0
BETE.US,D,20231130,000000,51.5086,51.5086,51.5086,51.5086,71,0
BETE.US,D,20231201,000000,52.7829,52.7829,52.7829,52.7829,121,0
BETE.US,D,20231204,000000,56.2,56.59,56.2,56.5089,1313,0
BETE.US,D,20231205,000000,56.67,58.61,56.57,58.3504,1243,0
BETE.US,D,20231206,000000,58.73,58.73,58.2108,58.2108,1357,0
BETE.US,D,20231207,000000,59.0276,59.0276,59.0276,59.0276,267,0
BETE.US,D,20231208,000000,59.73,60.075,59.3,60.075,1350,0
BETE.US,D,20231211,000000,56.42,56.42,54.51,55.2352,1012,0
BETE.US,D,20231212,000000,55.53,55.53,55.2248,55.3725,427,0
BETE.US,D,20231213,000000,56.3114,57.4545,56.1868,57.4545,238,0
BETE.US,D,20231214,000000,57.3552,57.88,57.3552,57.84,601,0
BETE.US,D,20231215,000000,56.71,56.8271,56.24,56.8271,833,0
BETE.US,D,20231218,000000,55,55.7801,54.89,55.7801,849,0
BETE.US,D,20231219,000000,56.24,56.24,55,55.7246,695,0
BETE.US,D,20231220,000000,57.54,57.54,56.43,56.5245,591,0
BETE.US,D,20231221,000000,57.2,57.2644,57.2,57.2644,116,0
BETE.US,D,20231222,000000,58.39,58.39,58.1508,58.2455,499,0
BETE.US,D,20231226,000000,56.567,56.567,55.6056,55.8851,828,0
BETE.US,D,20231227,000000,57.98,58.551,57.9799,58.551,2171,0
BETE.US,D,20231228,000000,58.43,58.43,57.67,57.926,3445,0
BETE.US,D,20231229,000000,57.93,58.2693,56.5,56.6339,2024,0
BETE.US,D,20240102,000000,59.53,59.62,59.2075,59.2075,10659,0
BETE.US,D,20240103,000000,55.43,56.1483,55.15,55.8464,2220,0
BETE.US,D,20240104,000000,57.77,57.77,57.483,57.483,591,0
BETE.US,D,20240105,000000,56.9932,56.9932,56.9932,56.9932,281,0
BETE.US,D,20240108,000000,57.92,60.359,57.92,60.158,1079,0
BETE.US,D,20240109,000000,58.89,59.2,58.6834,58.6834,1602,0
BETE.US,D,20240110,000000,59.97,61.0059,59.345,61.0059,3365,0
BETE.US,D,20240111,000000,64.58,68.275,62.185,62.7268,9295,0
BETE.US,D,20240112,000000,63.06,63.354,60.4255,60.4255,4425,0
BETE.US,D,20240116,000000,59.84,60.49,59.3215,60.4354,3825,0
BETE.US,D,20240117,000000,59.4761,59.4761,59.4058,59.4058,601,0
BETE.US,D,20240118,000000,59.5,59.5,57.1395,57.1395,1009,0
BETE.US,D,20240119,000000,57.4507,58.051,56.29,58.051,2518,0
BETE.US,D,20240122,000000,56.19,56.19,54.6116,55.1486,1655,0
BETE.US,D,20240123,000000,52.11,52.9302,52.11,52.6818,3521,0
BETE.US,D,20240124,000000,53.69,53.76,53.11,53.11,2730,0
BETE.US,D,20240125,000000,52.731,53.342,52.731,53.342,617,0
BETE.US,D,20240126,000000,55.29,55.501,55.29,55.4386,810,0
BETE.US,D,20240129,000000,55.26,56.6692,55.26,56.6692,2589,0
BETE.US,D,20240130,000000,57.5811,57.6956,57.5811,57.6956,614,0
