<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGIG.US,D,20230919,000000,24.62,24.68,24.6,24.6524,4217,0
BGIG.US,D,20230920,000000,24.74,24.79,24.56,24.56,3804,0
BGIG.US,D,20230921,000000,24.27,24.27,24.14,24.14,4402,0
BGIG.US,D,20230922,000000,24.125,24.25,24.12,24.1222,6496,0
BGIG.US,D,20230925,000000,23.91,23.9793,23.8999,23.9793,14692,0
BGIG.US,D,20230926,000000,24,24,23.8876,23.8876,4000,0
BGIG.US,D,20230927,000000,23.89,23.89,23.7485,23.83,10713,0
BGIG.US,D,20230928,000000,23.82,23.92,23.82,23.887,4594,0
BGIG.US,D,20230929,000000,23.87,23.87,23.7107,23.7107,5001,0
BGIG.US,D,20231002,000000,23.36,23.447,23.3398,23.447,2500,0
BGIG.US,D,20231003,000000,23.43,23.43,23.1833,23.2499,6340,0
BGIG.US,D,20231004,000000,23.215,23.35,23.16,23.3474,18406,0
BGIG.US,D,20231005,000000,23.2,23.2,23.1533,23.1837,3111,0
BGIG.US,D,20231006,000000,22.95,23.42,22.95,23.3446,6962,0
BGIG.US,D,20231009,000000,23.45,23.57,23.45,23.5444,3062,0
BGIG.US,D,20231010,000000,23.74,23.74,23.6717,23.73,3778,0
BGIG.US,D,20231011,000000,23.72,23.77,23.5999,23.77,13209,0
BGIG.US,D,20231012,000000,23.69,23.72,23.5514,23.5514,1856,0
BGIG.US,D,20231013,000000,23.5699,23.57,23.5337,23.5337,1600,0
BGIG.US,D,20231016,000000,23.85,23.85,23.7827,23.8171,2197,0
BGIG.US,D,20231017,000000,23.79,23.92,23.79,23.8403,2200,0
BGIG.US,D,20231018,000000,23.8199,23.82,23.74,23.74,2212,0
BGIG.US,D,20231019,000000,23.72,23.72,23.4976,23.4976,1943,0
BGIG.US,D,20231020,000000,23.47,23.47,23.2541,23.2541,3800,0
BGIG.US,D,20231023,000000,23.2199,23.3,23.1,23.1,9238,0
BGIG.US,D,20231024,000000,23.36,23.39,23.2999,23.3411,4279,0
BGIG.US,D,20231025,000000,23.235,23.235,23.1629,23.1629,1958,0
BGIG.US,D,20231026,000000,23.22,23.24,23.1003,23.1003,6378,0
BGIG.US,D,20231027,000000,23.01,23.01,22.7016,22.7016,5380,0
BGIG.US,D,20231030,000000,22.945,22.96,22.9273,22.9273,1900,0
BGIG.US,D,20231031,000000,22.99,23.1,22.9899,23.0862,3370,0
BGIG.US,D,20231101,000000,23.095,23.21,23.095,23.1845,1883,0
BGIG.US,D,20231102,000000,23.6999,23.7583,23.69,23.7583,1348,0
BGIG.US,D,20231103,000000,24,24,23.8644,23.8644,825,0
BGIG.US,D,20231106,000000,23.87,23.87,23.8529,23.8529,2102,0
BGIG.US,D,20231107,000000,23.76,23.78,23.7215,23.7215,2458,0
BGIG.US,D,20231108,000000,23.7,23.83,23.685,23.7769,4200,0
BGIG.US,D,20231109,000000,23.7,23.7,23.57,23.57,1564,0
BGIG.US,D,20231110,000000,23.5999,23.7848,23.5933,23.7848,2012,0
BGIG.US,D,20231113,000000,23.71,23.83,23.7,23.7885,15545,0
BGIG.US,D,20231114,000000,24.09,24.27,24.09,24.1972,43362,0
BGIG.US,D,20231115,000000,24.24,24.25,24.24,24.2436,1606,0
BGIG.US,D,20231116,000000,24.2,24.29,24.17,24.29,39598,0
BGIG.US,D,20231117,000000,24.245,24.33,24.239,24.3079,3740,0
BGIG.US,D,20231120,000000,24.3,24.43,24.3,24.3852,4248,0
BGIG.US,D,20231121,000000,24.31,24.36,24.31,24.3483,1471,0
BGIG.US,D,20231122,000000,24.4,24.4235,24.4,24.4235,4002,0
BGIG.US,D,20231124,000000,24.4759,24.51,24.4701,24.4701,1900,0
BGIG.US,D,20231127,000000,24.42,24.42,24.384,24.384,2500,0
BGIG.US,D,20231128,000000,24.41,24.41,24.2945,24.2945,2200,0
BGIG.US,D,20231129,000000,24.44,24.44,24.3016,24.3016,2799,0
BGIG.US,D,20231130,000000,24.31,24.4867,24.31,24.4867,601,0
BGIG.US,D,20231201,000000,24.57,24.6929,24.57,24.6929,6369,0
BGIG.US,D,20231204,000000,24.68,24.73,24.6733,24.7252,6272,0
BGIG.US,D,20231205,000000,24.62,24.62,24.5152,24.5152,2095,0
BGIG.US,D,20231206,000000,24.6,24.63,24.562,24.562,4576,0
BGIG.US,D,20231207,000000,24.61,24.66,24.59,24.6153,10236,0
BGIG.US,D,20231208,000000,24.7,24.76,24.6988,24.6988,3513,0
BGIG.US,D,20231211,000000,24.97,25.0097,24.97,24.9825,2260,0
BGIG.US,D,20231212,000000,24.97,25.0667,24.97,25.0667,3077,0
BGIG.US,D,20231213,000000,25.15,25.53,25.1433,25.5147,2824,0
BGIG.US,D,20231214,000000,25.67,25.68,25.59,25.59,1698,0
BGIG.US,D,20231215,000000,25.48,25.5291,25.48,25.5291,1916,0
BGIG.US,D,20231218,000000,25.58,25.63,25.5715,25.5733,6862,0
BGIG.US,D,20231219,000000,25.6599,25.6797,25.6499,25.6619,2798,0
BGIG.US,D,20231220,000000,25.65,25.65,25.2788,25.2788,2552,0
BGIG.US,D,20231221,000000,25.29,25.4306,25.29,25.4306,8887,0
BGIG.US,D,20231222,000000,25.54,25.56,25.54,25.5447,2064,0
BGIG.US,D,20231226,000000,25.66,25.7424,25.6532,25.7242,2218,0
BGIG.US,D,20231227,000000,25.73,25.75,25.71,25.711,4982,0
BGIG.US,D,20231228,000000,25.67,25.72,25.6655,25.674,2684,0
BGIG.US,D,20231229,000000,25.595,25.6423,25.595,25.6423,1867,0
BGIG.US,D,20240102,000000,25.82,25.84,25.7732,25.7732,8436,0
BGIG.US,D,20240103,000000,25.7,25.71,25.6852,25.6852,3500,0
BGIG.US,D,20240104,000000,25.78,25.78,25.6604,25.6604,1049,0
BGIG.US,D,20240105,000000,25.69,25.7,25.61,25.676,1861,0
BGIG.US,D,20240108,000000,25.74,25.8998,25.73,25.8998,3040,0
BGIG.US,D,20240109,000000,25.82,25.82,25.76,25.7761,1105,0
BGIG.US,D,20240110,000000,25.78,25.86,25.78,25.8059,1777,0
BGIG.US,D,20240111,000000,25.7402,25.7665,25.7233,25.7665,1106,0
BGIG.US,D,20240112,000000,25.84,25.84,25.8,25.8253,1606,0
BGIG.US,D,20240116,000000,25.645,25.6615,25.645,25.6615,1102,0
BGIG.US,D,20240117,000000,25.58,25.58,25.5209,25.5209,700,0
BGIG.US,D,20240118,000000,25.5,25.6209,25.48,25.6209,13445,0
BGIG.US,D,20240119,000000,25.77,25.99,25.7632,25.9645,7565,0
BGIG.US,D,20240122,000000,25.99,25.99,25.97,25.9705,2818,0
BGIG.US,D,20240123,000000,26.025,26.0674,26.025,26.0674,573,0
BGIG.US,D,20240124,000000,26.06,26.06,25.9677,25.9677,521,0
BGIG.US,D,20240125,000000,26.02,26.1399,26.0057,26.0813,714,0
BGIG.US,D,20240126,000000,26.1,26.11,26.089,26.1086,1240,0
BGIG.US,D,20240129,000000,26.16,26.16,26.04,26.1372,2269,0
BGIG.US,D,20240130,000000,26.2399,26.2399,26.2198,26.2198,602,0
BGIG.US,D,20240131,000000,26.165,26.18,25.9808,25.9808,3976,0
BGIG.US,D,20240201,000000,26.22,26.2455,26.2066,26.2455,3202,0
BGIG.US,D,20240202,000000,26.2,26.3356,26.19,26.3356,7711,0
BGIG.US,D,20240205,000000,26.16,26.2,26.1155,26.1155,1634,0
BGIG.US,D,20240206,000000,26.14,26.1845,26.129,26.1845,796,0
BGIG.US,D,20240207,000000,26.32,26.32,26.2952,26.2952,253,0
BGIG.US,D,20240208,000000,26.3899,26.44,26.3832,26.4229,4578,0
BGIG.US,D,20240209,000000,26.4,26.4,26.3472,26.3858,2906,0
BGIG.US,D,20240212,000000,26.49,26.49,26.4232,26.4232,591,0
BGIG.US,D,20240213,000000,26.08,26.15,25.9699,26.1269,4711,0
BGIG.US,D,20240214,000000,26.18,26.3,26.18,26.3,1852,0
BGIG.US,D,20240215,000000,26.38,26.54,26.38,26.504,963,0
BGIG.US,D,20240216,000000,26.485,26.5231,26.485,26.5231,6088,0
BGIG.US,D,20240220,000000,26.46,26.46,26.4451,26.4451,2223,0
BGIG.US,D,20240221,000000,26.48,26.555,26.43,26.555,8479,0
BGIG.US,D,20240222,000000,26.8932,26.8932,26.8932,26.8932,2,0
BGIG.US,D,20240223,000000,26.985,27,26.9299,26.9323,1900,0
BGIG.US,D,20240226,000000,26.895,26.895,26.8303,26.8303,9526,0
BGIG.US,D,20240227,000000,26.725,26.7481,26.72,26.7481,551,0
BGIG.US,D,20240228,000000,26.79,26.79,26.68,26.6967,4838,0
BGIG.US,D,20240229,000000,26.81,26.81,26.7981,26.7981,429,0
BGIG.US,D,20240301,000000,27.0999,27.0999,27.0989,27.0989,514,0
BGIG.US,D,20240304,000000,27.15,27.21,27.1423,27.1423,11320,0
BGIG.US,D,20240305,000000,27.01,27.01,26.9389,26.9389,501,0
BGIG.US,D,20240306,000000,27.1,27.1843,27.04,27.11,11398,0
BGIG.US,D,20240307,000000,27.295,27.2999,27.22,27.2297,2253,0
BGIG.US,D,20240308,000000,27.19,27.19,27.0445,27.0445,3241,0
BGIG.US,D,20240311,000000,27.05,27.12,27.05,27.0984,1349,0
BGIG.US,D,20240312,000000,27.22,27.22,27.065,27.1764,11811,0
BGIG.US,D,20240313,000000,27.19,27.19,27.09,27.1002,938,0
BGIG.US,D,20240314,000000,27,27.06,26.8581,26.9805,8233,0
BGIG.US,D,20240315,000000,26.9,26.9,26.8767,26.8767,503,0
BGIG.US,D,20240318,000000,27.02,27.06,26.9509,26.9509,115928,0
BGIG.US,D,20240319,000000,27,27.1115,27,27.1115,8595,0
BGIG.US,D,20240320,000000,27.11,27.3139,27.11,27.2912,10719,0
BGIG.US,D,20240321,000000,27.56,27.57,27.5388,27.5388,6003,0
BGIG.US,D,20240322,000000,27.57,27.57,27.49,27.5204,3614,0
BGIG.US,D,20240325,000000,27.4369,27.45,27.4076,27.4076,611,0
BGIG.US,D,20240326,000000,27.37,27.38,27.2456,27.2456,71649,0
BGIG.US,D,20240327,000000,27.44,27.5981,27.4313,27.5981,18826,0
BGIG.US,D,20240328,000000,27.73,27.7569,27.69,27.7569,899,0
BGIG.US,D,20240401,000000,27.66,27.66,27.58,27.6154,5013,0
BGIG.US,D,20240402,000000,27.5,27.5236,27.4998,27.5236,509,0
BGIG.US,D,20240403,000000,27.51,27.59,27.51,27.5309,1524,0
BGIG.US,D,20240404,000000,27.76,27.76,27.2733,27.2733,1163,0
BGIG.US,D,20240405,000000,27.51,27.53,27.477,27.477,13023,0
BGIG.US,D,20240408,000000,27.49,27.49,27.4376,27.4376,466,0
BGIG.US,D,20240409,000000,27.41,27.4219,27.325,27.4219,4357,0
BGIG.US,D,20240410,000000,27.145,27.1897,27.1441,27.1441,524,0
BGIG.US,D,20240411,000000,27.2041,27.2041,27.1723,27.1723,503,0
BGIG.US,D,20240412,000000,27.045,27.06,26.7875,26.7875,2779,0
BGIG.US,D,20240415,000000,26.92,26.92,26.62,26.65,1947,0
BGIG.US,D,20240416,000000,26.66,26.66,26.5397,26.5976,6100,0
BGIG.US,D,20240417,000000,26.52,26.54,26.3799,26.49,9320,0
BGIG.US,D,20240418,000000,26.47,26.52,26.4449,26.4449,202001,0
BGIG.US,D,20240419,000000,26.56,26.56,26.56,26.56,2561,0
BGIG.US,D,20240422,000000,26.6401,26.77,26.6401,26.7659,5525,0
BGIG.US,D,20240423,000000,26.99,26.99,26.9603,26.9603,1100,0
BGIG.US,D,20240424,000000,26.98,27.0935,26.9169,27.0935,5151,0
BGIG.US,D,20240425,000000,27.01,27.1395,27.0005,27.1395,2212,0
BGIG.US,D,20240426,000000,27.06,27.17,27.06,27.0861,1263,0
BGIG.US,D,20240429,000000,27.1696,27.1973,27.14,27.1973,908,0
BGIG.US,D,20240430,000000,27.21,27.21,27.0568,27.0568,2986,0
BGIG.US,D,20240501,000000,26.98,26.99,26.801,26.801,5323,0
BGIG.US,D,20240502,000000,26.82,26.9,26.8199,26.8731,2318,0
BGIG.US,D,20240503,000000,27.04,27.05,27.02,27.0324,2913,0
