<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BINC.US,D,20230524,000000,50.4,50.4,50.11,50.15,64697,0
BINC.US,D,20230525,000000,50.17,50.18,50.11,50.11,41461,0
BINC.US,D,20230526,000000,50.1,50.1693,50.0909,50.16,17239,0
BINC.US,D,20230530,000000,50.25,50.3,50.2,50.2851,25162,0
BINC.US,D,20230531,000000,50.345,50.429,50.28,50.41,88170,0
BINC.US,D,20230601,000000,50.41,50.519,50.3915,50.4883,101325,0
BINC.US,D,20230602,000000,50.56,50.57,50.5301,50.5552,77107,0
BINC.US,D,20230605,000000,50.54,50.85,50.54,50.595,51922,0
BINC.US,D,20230606,000000,50.57,50.62,50.55,50.62,22700,0
BINC.US,D,20230607,000000,50.61,50.639,50.51,50.51,38505,0
BINC.US,D,20230608,000000,50.6,50.68,50.55,50.6785,32670,0
BINC.US,D,20230609,000000,50.66,50.6787,50.6228,50.66,14191,0
BINC.US,D,20230612,000000,50.65,50.71,50.61,50.6866,19027,0
BINC.US,D,20230613,000000,50.54,50.7341,50.54,50.68,31705,0
BINC.US,D,20230614,000000,50.75,50.75,50.55,50.6,55396,0
BINC.US,D,20230615,000000,50.64,50.7299,50.6115,50.7,25321,0
BINC.US,D,20230616,000000,50.76,50.76,50.69,50.715,34250,0
BINC.US,D,20230620,000000,50.72,50.76,50.67,50.715,15590,0
BINC.US,D,20230621,000000,50.71,50.71,50.6,50.6401,30763,0
BINC.US,D,20230622,000000,50.6,50.6177,50.555,50.555,15805,0
BINC.US,D,20230623,000000,50.6185,50.6185,50.561,50.605,11051,0
BINC.US,D,20230626,000000,50.67,50.67,50.56,50.6,15660,0
BINC.US,D,20230627,000000,50.77,50.77,50.5601,50.6195,18303,0
BINC.US,D,20230628,000000,50.7,50.76,50.6463,50.7459,28599,0
BINC.US,D,20230629,000000,50.7,50.7,50.6,50.6423,17049,0
BINC.US,D,20230630,000000,50.65,50.8,50.6201,50.767,15022,0
BINC.US,D,20230703,000000,50.5,50.8,50.48,50.525,37702,0
BINC.US,D,20230705,000000,50.52,50.52,50.42,50.44,27009,0
BINC.US,D,20230706,000000,50.36,50.36,50.18,50.24,422433,0
BINC.US,D,20230707,000000,50.24,50.33,50.24,50.27,20693,0
BINC.US,D,20230710,000000,50.26,50.36,50.2597,50.34,13645,0
BINC.US,D,20230711,000000,50.4,50.44,50.37,50.42,17045,0
BINC.US,D,20230712,000000,50.57,50.75,50.57,50.705,18171,0
BINC.US,D,20230713,000000,50.82,50.9294,50.82,50.9,16512,0
BINC.US,D,20230714,000000,50.84,50.84,50.78,50.79,12305,0
BINC.US,D,20230717,000000,50.85,50.89,50.78,50.88,23935,0
BINC.US,D,20230718,000000,51.03,51.03,50.899,50.97,24783,0
BINC.US,D,20230719,000000,51.06,51.06,51.02,51.02,227751,0
BINC.US,D,20230720,000000,51.01,51.01,50.8,50.8,16110,0
BINC.US,D,20230721,000000,50.8601,50.915,50.86,50.875,21238,0
BINC.US,D,20230724,000000,50.8907,50.96,50.875,50.9,33132,0
BINC.US,D,20230725,000000,50.91,50.93,50.8812,50.92,16261,0
BINC.US,D,20230726,000000,50.9,51.05,50.8932,51.02,26803,0
BINC.US,D,20230727,000000,51.02,51.51,50.88,50.9,102285,0
BINC.US,D,20230728,000000,50.9697,51.065,50.95,51.05,20091,0
BINC.US,D,20230731,000000,51.08,51.11,51.02,51.05,18039,0
BINC.US,D,20230801,000000,50.8,50.8291,50.43,50.7,60554,0
BINC.US,D,20230802,000000,50.63,50.7044,50.55,50.63,12899,0
BINC.US,D,20230803,000000,50.55,50.57,50.51,50.533,7778,0
BINC.US,D,20230804,000000,50.58,50.7285,50.58,50.6963,16547,0
BINC.US,D,20230807,000000,50.66,50.6963,50.63,50.685,26071,0
BINC.US,D,20230808,000000,50.7,50.83,50.7,50.76,20850,0
BINC.US,D,20230809,000000,50.78,50.82,50.76,50.775,12501,0
BINC.US,D,20230810,000000,50.8666,50.8666,50.75,50.75,13972,0
BINC.US,D,20230811,000000,50.74,50.79,50.685,50.73,14174,0
BINC.US,D,20230814,000000,50.73,50.83,50.69,50.7,95855,0
BINC.US,D,20230815,000000,50.7,50.7,50.55,50.56,33301,0
BINC.US,D,20230816,000000,50.6,50.8,50.56,50.56,42380,0
BINC.US,D,20230817,000000,50.57,50.57,50.45,50.475,40280,0
BINC.US,D,20230818,000000,50.4,50.6,50.3801,50.52,26571,0
BINC.US,D,20230821,000000,50.36,50.4199,50.321,50.37,24034,0
BINC.US,D,20230822,000000,50.49,50.53,50.4537,50.475,25399,0
BINC.US,D,20230823,000000,50.62,51.16,50.62,50.78,109301,0
BINC.US,D,20230824,000000,50.63,50.69,50.6,50.6237,19870,0
BINC.US,D,20230825,000000,50.63,50.69,50.6,50.65,17859,0
BINC.US,D,20230828,000000,50.71,50.76,50.6719,50.715,20908,0
BINC.US,D,20230829,000000,50.69,50.87,50.67,50.85,20270,0
BINC.US,D,20230830,000000,50.85,50.8879,50.85,50.86,10200,0
BINC.US,D,20230831,000000,50.93,50.94,50.8701,50.9183,13159,0
BINC.US,D,20230901,000000,50.77,50.77,50.61,50.7,28320,0
BINC.US,D,20230905,000000,50.65,50.65,50.54,50.5431,31795,0
BINC.US,D,20230906,000000,50.64,50.64,50.42,50.47,21925,0
BINC.US,D,20230907,000000,50.53,50.6042,50.51,50.585,18139,0
BINC.US,D,20230908,000000,50.65,50.66,50.6,50.6312,8595,0
BINC.US,D,20230911,000000,50.62,50.66,50.6,50.61,92228,0
BINC.US,D,20230912,000000,50.65,50.71,50.6,50.64,16938,0
BINC.US,D,20230913,000000,50.63,50.7199,50.63,50.7,17359,0
BINC.US,D,20230914,000000,50.71,50.81,50.66,50.765,29862,0
BINC.US,D,20230915,000000,50.7,50.7059,50.65,50.7,13072,0
BINC.US,D,20230918,000000,50.65,50.73,50.6,50.7,34502,0
BINC.US,D,20230919,000000,50.63,50.6518,50.5227,50.58,27032,0
BINC.US,D,20230920,000000,50.67,50.69,50.5944,50.5944,12279,0
BINC.US,D,20230921,000000,50.54,50.55,50.48,50.49,40038,0
BINC.US,D,20230922,000000,50.55,50.65,50.535,50.56,14047,0
BINC.US,D,20230925,000000,50.51,50.51,50.46,50.4608,15691,0
BINC.US,D,20230926,000000,50.49,50.49,50.3824,50.4094,14733,0
BINC.US,D,20230927,000000,50.56,50.56,50.2705,50.3398,18839,0
BINC.US,D,20230928,000000,50.26,50.4698,50.26,50.44,69217,0
BINC.US,D,20230929,000000,50.51,50.5799,50.4399,50.4399,68278,0
BINC.US,D,20231002,000000,50.25,50.25,50.01,50.04,31566,0
BINC.US,D,20231003,000000,50,50,49.8,49.82,74049,0
BINC.US,D,20231004,000000,49.86,49.91,49.8,49.89,44267,0
BINC.US,D,20231005,000000,49.92,49.98,49.895,49.95,34082,0
BINC.US,D,20231006,000000,49.8153,49.95,49.77,49.925,21789,0
BINC.US,D,20231009,000000,49.92,50.05,49.92,50.05,10053,0
BINC.US,D,20231010,000000,49.99,50.13,49.94,50.13,29062,0
BINC.US,D,20231011,000000,50.14,50.17,50.04,50.0967,34335,0
BINC.US,D,20231012,000000,50.0251,50.04,49.9,49.985,21887,0
BINC.US,D,20231013,000000,50.0028,50.02,49.91,49.91,17015,0
BINC.US,D,20231016,000000,50,50,49.87,49.8985,18090,0
BINC.US,D,20231017,000000,49.82,49.82,49.72,49.73,19662,0
BINC.US,D,20231018,000000,49.68,49.71,49.615,49.615,10927,0
BINC.US,D,20231019,000000,49.58,49.64,49.54,49.54,20509,0
BINC.US,D,20231020,000000,49.68,49.73,49.65,49.7233,22715,0
BINC.US,D,20231023,000000,49.65,49.7999,49.65,49.73,35536,0
BINC.US,D,20231024,000000,49.86,49.86,49.7199,49.7305,31217,0
BINC.US,D,20231025,000000,49.75,49.75,49.67,49.73,10991,0
BINC.US,D,20231026,000000,49.74,49.8,49.66,49.7468,40495,0
BINC.US,D,20231027,000000,49.812,49.87,49.8,49.84,22176,0
BINC.US,D,20231030,000000,49.88,50.1,49.79,50.05,139568,0
BINC.US,D,20231031,000000,50.06,50.15,49.985,50.15,168083,0
BINC.US,D,20231101,000000,49.88,50.0799,49.77,50.05,63632,0
BINC.US,D,20231102,000000,50.22,50.325,50.1666,50.28,219698,0
BINC.US,D,20231103,000000,50.5,50.616,50.41,50.55,132337,0
BINC.US,D,20231106,000000,50.59,50.59,50.39,50.4,198268,0
BINC.US,D,20231107,000000,50.49,50.49,50.38,50.395,78582,0
BINC.US,D,20231108,000000,50.44,50.56,50.4,50.54,76627,0
BINC.US,D,20231109,000000,50.55,50.55,50.35,50.37,85844,0
BINC.US,D,20231110,000000,50.45,50.45,50.31,50.31,72381,0
BINC.US,D,20231113,000000,50.4,50.43,50.3351,50.3652,70281,0
BINC.US,D,20231114,000000,50.67,50.88,50.6576,50.87,77063,0
BINC.US,D,20231115,000000,50.81,50.81,50.63,50.65,419896,0
BINC.US,D,20231116,000000,50.79,50.79,50.67,50.69,135192,0
BINC.US,D,20231117,000000,50.86,51.06,50.8156,50.94,299589,0
BINC.US,D,20231120,000000,50.91,50.95,50.8226,50.93,53377,0
BINC.US,D,20231121,000000,50.96,50.97,50.86,50.9,86712,0
BINC.US,D,20231122,000000,50.96,50.9739,50.8601,50.88,59523,0
BINC.US,D,20231124,000000,50.98,50.98,50.9,50.9051,23776,0
BINC.US,D,20231127,000000,51.07,51.0899,50.92,51.02,2393102,0
BINC.US,D,20231128,000000,51.0036,51.21,51.0036,51.16,67217,0
BINC.US,D,20231129,000000,51.35,51.35,51.18,51.34,70051,0
BINC.US,D,20231130,000000,51.32,51.32,51.22,51.2628,77852,0
BINC.US,D,20231201,000000,51.27,51.57,51.19,51.51,51831,0
BINC.US,D,20231204,000000,51.55,51.55,51.27,51.4069,150735,0
BINC.US,D,20231205,000000,51.49,51.52,51.38,51.49,105591,0
BINC.US,D,20231206,000000,51.6,51.6,51.48,51.57,107810,0
BINC.US,D,20231207,000000,51.5,51.66,51.5,51.62,125576,0
BINC.US,D,20231208,000000,51.53,51.565,51.45,51.5,217333,0
BINC.US,D,20231211,000000,51.51,51.51,51.41,51.45,64840,0
BINC.US,D,20231212,000000,51.44,51.59,51.44,51.565,60323,0
BINC.US,D,20231213,000000,51.65,52,51.61,52,68225,0
BINC.US,D,20231214,000000,51.94,52.03,51.86,51.99,175080,0
BINC.US,D,20231215,000000,51.95,51.95,51.77,51.87,154998,0
BINC.US,D,20231218,000000,52.03,52.03,51.82,51.8508,139657,0
BINC.US,D,20231219,000000,51.87,52.0889,51.87,51.975,104916,0
BINC.US,D,20231220,000000,52.06,52.1,51.9,51.99,650135,0
BINC.US,D,20231221,000000,52.16,52.1799,52.09,52.095,78111,0
BINC.US,D,20231222,000000,52.02,52.11,52.02,52.06,122572,0
BINC.US,D,20231226,000000,52.1,52.15,52.0687,52.15,221636,0
BINC.US,D,20231227,000000,52.09,52.39,52.07,52.3,130047,0
BINC.US,D,20231228,000000,52.3,52.3,52.2001,52.21,91438,0
BINC.US,D,20231229,000000,52.25,52.4399,52.1712,52.27,208971,0
BINC.US,D,20240102,000000,52.05,52.1098,52,52.03,87545,0
BINC.US,D,20240103,000000,51.86,51.92,51.81,51.92,81975,0
BINC.US,D,20240104,000000,51.85,51.93,51.8,51.89,74503,0
BINC.US,D,20240105,000000,51.8,51.93,51.7589,51.93,107191,0
BINC.US,D,20240108,000000,51.89,51.97,51.81,51.97,114090,0
BINC.US,D,20240109,000000,51.94,51.98,51.87,51.96,125865,0
BINC.US,D,20240110,000000,52.0654,52.0956,52.01,52.05,76964,0
BINC.US,D,20240111,000000,52.07,52.2072,52.07,52.17,120758,0
BINC.US,D,20240112,000000,52.33,52.34,52.2401,52.32,108524,0
BINC.US,D,20240116,000000,52.34,52.34,52.1,52.22,188737,0
BINC.US,D,20240117,000000,52.11,52.22,52.06,52.21,1469200,0
BINC.US,D,20240118,000000,52.17,52.17,51.979,52.1,353079,0
BINC.US,D,20240119,000000,52.1,52.16,52,52.16,84944,0
BINC.US,D,20240122,000000,52.22,52.22,52.13,52.2,320394,0
BINC.US,D,20240123,000000,52.23,52.23,52.08,52.09,233018,0
BINC.US,D,20240124,000000,52.24,52.3181,52.13,52.13,291502,0
BINC.US,D,20240125,000000,52.35,52.35,52.2,52.26,11073338,0
BINC.US,D,20240126,000000,52.37,52.3932,52.3,52.33,2361510,0
BINC.US,D,20240129,000000,52.33,52.44,52.33,52.44,593160,0
BINC.US,D,20240130,000000,52.45,52.5099,52.38,52.41,605425,0
BINC.US,D,20240131,000000,52.52,52.62,52.35,52.5,579045,0
BINC.US,D,20240201,000000,52.51,52.62,52.43,52.59,507973,0
BINC.US,D,20240202,000000,52.38,52.39,52.24,52.34,1225561,0
BINC.US,D,20240205,000000,52.2,52.2299,52.1,52.16,432947,0
BINC.US,D,20240206,000000,52.22,52.37,52.1901,52.37,371048,0
BINC.US,D,20240207,000000,52.25,52.34,52.2401,52.25,606266,0
BINC.US,D,20240208,000000,52.19,52.2405,52.16,52.23,291008,0
BINC.US,D,20240209,000000,52.22,52.3,52.2,52.3,246676,0
BINC.US,D,20240212,000000,52.28,52.34,52.2429,52.3,281393,0
BINC.US,D,20240213,000000,52.09,52.09,51.8801,51.92,511222,0
BINC.US,D,20240214,000000,52.09,52.18,51.98,52.18,275394,0
BINC.US,D,20240215,000000,52.26,52.29,52.12,52.26,761517,0
BINC.US,D,20240216,000000,52.12,52.17,52.0521,52.17,342293,0
BINC.US,D,20240220,000000,52.25,52.26,52.1801,52.25,191329,0
BINC.US,D,20240221,000000,52.26,52.26,52.152,52.19,328874,0
BINC.US,D,20240222,000000,52.21,52.2499,52.2,52.24,319115,0
BINC.US,D,20240223,000000,52.3,52.3299,52.23,52.32,240266,0
BINC.US,D,20240226,000000,52.31,52.31,52.22,52.26,779361,0
BINC.US,D,20240227,000000,52.21,52.24,52.145,52.2,233879,0
BINC.US,D,20240228,000000,52.16,52.23,52.14,52.23,277524,0
BINC.US,D,20240229,000000,52.2,52.2699,52.17,52.22,252101,0
BINC.US,D,20240301,000000,52,52.17,51.98,52.14,658939,0
BINC.US,D,20240304,000000,52.13,52.13,52.05,52.12,707886,0
BINC.US,D,20240305,000000,52.11,52.18,52.11,52.14,352302,0
BINC.US,D,20240306,000000,52.18,52.26,52.18,52.24,507467,0
BINC.US,D,20240307,000000,52.25,52.3131,52.23,52.3,776077,0
BINC.US,D,20240308,000000,52.33,52.38,52.31,52.37,276207,0
BINC.US,D,20240311,000000,52.36,52.39,52.31,52.35,257208,0
BINC.US,D,20240312,000000,52.38,52.38,52.3,52.34,251587,0
BINC.US,D,20240313,000000,52.37,52.39,52.3397,52.39,308053,0
BINC.US,D,20240314,000000,52.38,52.38,52.19,52.21,12843985,0
BINC.US,D,20240315,000000,52.24,52.24,52.17,52.21,2021105,0
BINC.US,D,20240318,000000,52.26,52.26,52.18,52.2,571872,0
BINC.US,D,20240319,000000,52.21,52.275,52.2,52.25,546475,0
BINC.US,D,20240320,000000,52.31,52.39,52.26,52.39,825988,0
BINC.US,D,20240321,000000,52.44,52.44,52.37,52.37,709141,0
BINC.US,D,20240322,000000,52.46,52.46,52.38,52.42,498061,0
BINC.US,D,20240325,000000,52.31,52.4,52.31,52.35,353487,0
BINC.US,D,20240326,000000,52.42,52.42,52.35,52.36,406748,0
BINC.US,D,20240327,000000,52.45,52.49,52.39,52.46,347655,0
BINC.US,D,20240328,000000,52.48,52.54,52.415,52.46,556233,0
BINC.US,D,20240401,000000,52.25,52.25,52.06,52.11,369351,0
BINC.US,D,20240402,000000,52.06,52.1,52.022,52.1,481087,0
BINC.US,D,20240403,000000,52.08,52.135,52,52.12,350908,0
BINC.US,D,20240404,000000,52.19,52.2,52.12,52.14,406675,0
BINC.US,D,20240405,000000,52.14,52.14,52.0801,52.1,387338,0
BINC.US,D,20240408,000000,52.08,52.11,52.05,52.09,251128,0
BINC.US,D,20240409,000000,52.16,52.21,52.142,52.18,286558,0
BINC.US,D,20240410,000000,52,52.0017,51.84,51.88,2375639,0
BINC.US,D,20240411,000000,51.9,51.91,51.8,51.9,325737,0
BINC.US,D,20240412,000000,51.86,51.87,51.81,51.86,316255,0
BINC.US,D,20240415,000000,51.8,51.8,51.66,51.74,457076,0
BINC.US,D,20240416,000000,51.65,51.65,51.53,51.6,313351,0
BINC.US,D,20240417,000000,51.66,51.6999,51.57,51.63,412755,0
BINC.US,D,20240418,000000,51.72,51.72,51.6052,51.64,280878,0
BINC.US,D,20240419,000000,51.7,51.7254,51.6522,51.72,174083,0
BINC.US,D,20240422,000000,51.73,51.87,51.7101,51.87,477116,0
BINC.US,D,20240423,000000,51.85,51.97,51.8,51.95,1054068,0
BINC.US,D,20240424,000000,51.92,51.92,51.81,51.87,222677,0
BINC.US,D,20240425,000000,51.73,51.8199,51.69,51.79,221932,0
BINC.US,D,20240426,000000,51.81,51.84,51.78,51.83,202641,0
BINC.US,D,20240429,000000,51.83,51.93,51.83,51.91,234998,0
BINC.US,D,20240430,000000,51.88,51.8944,51.795,51.81,366718,0
BINC.US,D,20240501,000000,51.56,51.735,51.56,51.62,316178,0
BINC.US,D,20240502,000000,51.69,51.82,51.6818,51.81,256629,0
BINC.US,D,20240503,000000,51.96,51.97,51.89,51.96,387404,0
BINC.US,D,20240506,000000,52.03,52.03,51.9741,52.02,286068,0
BINC.US,D,20240507,000000,52.09,52.0961,52.03,52.05,431245,0
BINC.US,D,20240508,000000,52.01,52.035,52.0019,52.02,318230,0
BINC.US,D,20240509,000000,52,52.08,52,52.05,1258057,0
BINC.US,D,20240510,000000,52.04,52.04,52,52.01,618650,0
BINC.US,D,20240513,000000,52.02,52.095,52.02,52.03,301017,0
BINC.US,D,20240514,000000,52.09,52.11,52.0516,52.105,226929,0
BINC.US,D,20240515,000000,52.21,52.3,52.165,52.3,418197,0
BINC.US,D,20240516,000000,52.33,52.33,52.22,52.22,341287,0
BINC.US,D,20240517,000000,52.22,52.28,52.21,52.25,447641,0
BINC.US,D,20240520,000000,52.25,52.25,52.21,52.24,290419,0
BINC.US,D,20240521,000000,52.27,52.315,52.27,52.27,524273,0
BINC.US,D,20240522,000000,52.24,52.265,52.19,52.23,293012,0
BINC.US,D,20240523,000000,52.26,52.28,52.14,52.14,561980,0
BINC.US,D,20240524,000000,52.15,52.2,52.11,52.195,222579,0
BINC.US,D,20240528,000000,52.24,52.24,52.12,52.14,542957,0
BINC.US,D,20240529,000000,52.1,52.1,51.99,52.04,269367,0
BINC.US,D,20240530,000000,52.06,52.12,52.06,52.09,255386,0
BINC.US,D,20240531,000000,52.11,52.22,52.11,52.2,273311,0
BINC.US,D,20240603,000000,51.99,52.07,51.9739,52.06,204653,0
BINC.US,D,20240604,000000,52.06,52.1262,52.055,52.12,365203,0
BINC.US,D,20240605,000000,52.12,52.2,52.07,52.2,471346,0
BINC.US,D,20240606,000000,52.18,52.22,52.1557,52.22,1380977,0
BINC.US,D,20240607,000000,52.05,52.06,52,52.04,996261,0
BINC.US,D,20240610,000000,51.98,51.98,51.92,51.98,249454,0
BINC.US,D,20240611,000000,51.97,52.08,51.935,52.05,692404,0
BINC.US,D,20240612,000000,52.25,52.31,52.19,52.2,436475,0
BINC.US,D,20240613,000000,52.24,52.28,52.19,52.23,434356,0
BINC.US,D,20240614,000000,52.19,52.19,52.12,52.14,444282,0
BINC.US,D,20240617,000000,52.1,52.16,52.06,52.16,566673,0
BINC.US,D,20240618,000000,52.16,52.299,52.155,52.25,763239,0
BINC.US,D,20240620,000000,52.19,52.24,52.18,52.23,477698,0
BINC.US,D,20240621,000000,52.24,52.275,52.19,52.27,285020,0
