<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BITU.US,D,20240403,000000,35.57,36.7289,35.3,35.6828,517351,0
BITU.US,D,20240404,000000,37.21,39.355,37,38.44,708439,0
BITU.US,D,20240405,000000,36.67,38.55,36.5268,37.12,473612,0
BITU.US,D,20240408,000000,42.47,42.47,41.38,42.03,757151,0
BITU.US,D,20240409,000000,40.75,41.04,37.85,38.72,792644,0
BITU.US,D,20240410,000000,37.25,40,37,40,846645,0
BITU.US,D,20240411,000000,40.72,40.81,39.25,40.39,589056,0
BITU.US,D,20240412,000000,39.88,40.1191,34.23,36.2,1045999,0
BITU.US,D,20240415,000000,35.56,35.81,31.26,32.32,1496271,0
BITU.US,D,20240416,000000,32.1,32.2693,30.6205,31.71,722695,0
BITU.US,D,20240417,000000,31.26,31.94,28.55,29.92,1148610,0
BITU.US,D,20240418,000000,31.25,33,30.75,32.41,619390,0
BITU.US,D,20240419,000000,33.67,34.04,32.42,33.25,1141142,0
BITU.US,D,20240422,000000,35.02,35.84,34.57,35.51,632858,0
BITU.US,D,20240423,000000,35,36.12,34.93,35.39,393736,0
BITU.US,D,20240424,000000,34.91,35.17,32.29,32.6,719022,0
BITU.US,D,20240425,000000,31.75,33.5,31.48,33.31,508019,0
BITU.US,D,20240426,000000,32.47,33.415,31.87,32.37,357399,0
BITU.US,D,20240429,000000,31.08,31.72,30.24,31.52,505362,0
BITU.US,D,20240430,000000,29.7,29.94,27.7001,27.91,981450,0
BITU.US,D,20240501,000000,26.14,27.87,25.2,25.6,1252742,0
BITU.US,D,20240502,000000,27.19,27.9,26.7,27.7,456097,0
BITU.US,D,20240503,000000,29.4,30.4,29.38,30.32,616848,0
BITU.US,D,20240506,000000,31.74,32.36,30.92,31.27,802771,0
BITU.US,D,20240507,000000,31.7,32.45,30.95,31.2,378941,0
BITU.US,D,20240508,000000,30.06,30.87,29.87,30.25,332105,0
BITU.US,D,20240509,000000,29.45,30.8,28.9573,30.52,477202,0
BITU.US,D,20240510,000000,30.83,31.2,28.275,28.77,740637,0
BITU.US,D,20240513,000000,30.72,31.45,30.5671,31.13,360352,0
BITU.US,D,20240514,000000,30.01,30.21,29.1,29.56,382738,0
BITU.US,D,20240515,000000,32.14,34.295,31.88,34,1118565,0
BITU.US,D,20240516,000000,33.82,34.29,32.31,32.95,736864,0
BITU.US,D,20240517,000000,34.08,35.37,33.59,34.95,839060,0
BITU.US,D,20240520,000000,34.77,38.07,34.5,37.98,985830,0
BITU.US,D,20240521,000000,38.9,39.25,36.91,37.01,852052,0
BITU.US,D,20240522,000000,37.62,38.56,36.98,37.46,551189,0
BITU.US,D,20240523,000000,36.94,37.14,34.2,34.69,970326,0
BITU.US,D,20240524,000000,34.95,37.01,34.45,36.76,519359,0
BITU.US,D,20240528,000000,35.96,36.11,34.64,35.95,770699,0
BITU.US,D,20240529,000000,35.33,35.43,34.53,34.67,514199,0
BITU.US,D,20240530,000000,35.69,37.1199,35.52,36.19,579814,0
BITU.US,D,20240531,000000,36.22,36.22,33.82,34.96,625321,0
BITU.US,D,20240603,000000,37.2,37.763,35.93,36.52,783271,0
BITU.US,D,20240604,000000,36.89,38.6999,36.64,37.89,651997,0
BITU.US,D,20240605,000000,38.73,39.42,37.7799,38.88,796893,0
BITU.US,D,20240606,000000,38.71,39.26,37.8224,37.9,446721,0
BITU.US,D,20240607,000000,38.91,39.1899,35.445,36.5,811990,0
BITU.US,D,20240610,000000,36.5,37.48,36.38,36.71,724598,0
BITU.US,D,20240611,000000,34.26,34.68,33,34.53,1001088,0
BITU.US,D,20240612,000000,36.33,37.2,34.3,34.55,1056583,0
BITU.US,D,20240613,000000,35.24,35.42,33.15,33.6,742975,0
BITU.US,D,20240614,000000,34.27,34.36,31.95,32.47,919377,0
BITU.US,D,20240617,000000,32.61,34.23,31.95,33.6,611653,0
BITU.US,D,20240618,000000,31.76,32.22,30.85,31.27,1028627,0
BITU.US,D,20240620,000000,32.21,32.32,31.35,31.85,636072,0
BITU.US,D,20240621,000000,30.46,31.16,30.1401,31.07,833984,0
