<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BITX.US,D,20230628,000000,15.01,15.26,14.65,14.88,369825,0
BITX.US,D,20230629,000000,15.53,15.58,15.2255,15.3795,234677,0
BITX.US,D,20230630,000000,15.88,15.88,14.06,15,531294,0
BITX.US,D,20230703,000000,15.35,15.91,15.27,15.79,305960,0
BITX.US,D,20230705,000000,14.81,15.23,14.77,15.04,334920,0
BITX.US,D,20230706,000000,15.22,15.22,14.42,14.87,336468,0
BITX.US,D,20230707,000000,14.76,15.02,14.6306,14.75,171525,0
BITX.US,D,20230710,000000,14.7,15.4,14.68,15.4,520095,0
BITX.US,D,20230711,000000,14.87,15.29,14.765,15.06,418144,0
BITX.US,D,20230712,000000,15.13,15.33,14.64,14.75,422498,0
BITX.US,D,20230713,000000,15,16.4,14.95,16.2095,1288290,0
BITX.US,D,20230714,000000,15.62,15.809,14.329,14.54,682158,0
BITX.US,D,20230717,000000,14.58,14.65,14.01,14.24,503384,0
BITX.US,D,20230718,000000,14.12,14.32,13.8,14.05,553571,0
BITX.US,D,20230719,000000,14.25,14.42,14.02,14.36,303055,0
BITX.US,D,20230720,000000,14.53,14.58,13.84,14.06,325249,0
BITX.US,D,20230721,000000,14.2,14.34,14.07,14.17,226788,0
BITX.US,D,20230724,000000,13.55,13.57,13.145,13.4,520696,0
BITX.US,D,20230725,000000,13.42,13.64,13.42,13.48,292374,0
BITX.US,D,20230726,000000,13.4913,13.6781,13.45,13.62,125907,0
BITX.US,D,20230727,000000,13.69,13.7291,13.22,13.32,214692,0
BITX.US,D,20230728,000000,13.48,13.77,13.41,13.54,346456,0
BITX.US,D,20230731,000000,13.65,13.65,13.3,13.33,214613,0
BITX.US,D,20230801,000000,13.07,13.5,12.71,13.44,405968,0
BITX.US,D,20230802,000000,13.55,13.61,13.021,13.29,494987,0
BITX.US,D,20230803,000000,13.3,13.549,13.27,13.4,295986,0
BITX.US,D,20230804,000000,13.33,13.47,13.07,13.14,712198,0
BITX.US,D,20230807,000000,13.18,13.28,12.79,13.25,240483,0
BITX.US,D,20230808,000000,13.59,14.15,13.44,13.99,279347,0
BITX.US,D,20230809,000000,14.04,14.0499,13.43,13.47,370288,0
BITX.US,D,20230810,000000,13.67,13.77,13.36,13.48,169681,0
BITX.US,D,20230811,000000,13.5,13.63,13.3,13.44,198973,0
BITX.US,D,20230814,000000,13.36,13.7,13.27,13.38,226212,0
BITX.US,D,20230815,000000,13.4,13.5253,13.1,13.22,146230,0
BITX.US,D,20230816,000000,13.14,13.25,12.9701,13.14,139662,0
BITX.US,D,20230817,000000,12.59,12.59,11.8,12,567116,0
BITX.US,D,20230818,000000,10.59,10.6999,10.08,10.43,561349,0
BITX.US,D,20230821,000000,10.34,10.4901,10.18,10.43,190202,0
BITX.US,D,20230822,000000,10.35,10.3688,10.11,10.15,126967,0
BITX.US,D,20230823,000000,10.17,10.9,10.16,10.75,375873,0
BITX.US,D,20230824,000000,10.56,10.56,10.14,10.3,305071,0
BITX.US,D,20230825,000000,10.41,10.51,10.08,10.24,250697,0
BITX.US,D,20230828,000000,10.26,10.41,10.1995,10.26,175806,0
BITX.US,D,20230829,000000,10.25,12,10.25,11.73,782486,0
BITX.US,D,20230830,000000,11.37,11.37,11.02,11.13,447678,0
BITX.US,D,20230831,000000,11.12,11.1561,10.01,10.19,2167690,0
BITX.US,D,20230901,000000,10.06,10.08,9.52,9.76,509298,0
BITX.US,D,20230905,000000,9.86,9.94,9.72,9.77,176551,0
BITX.US,D,20230906,000000,9.78,10.06,9.49,9.78,357412,0
BITX.US,D,20230907,000000,9.74,10.02,9.71,9.94,192651,0
BITX.US,D,20230908,000000,9.93,9.99,9.81,9.98,203617,0
BITX.US,D,20230911,000000,9.76,9.84,9.1757,9.24,492506,0
BITX.US,D,20230912,000000,10.05,10.4,9.9099,10.03,379176,0
BITX.US,D,20230913,000000,10.1,10.31,10.04,10.09,250454,0
BITX.US,D,20230914,000000,10.56,10.66,10.43,10.53,226086,0
BITX.US,D,20230915,000000,10.29,10.37,10.14,10.3,94054,0
BITX.US,D,20230918,000000,11.01,11.06,10.4684,10.62,183633,0
BITX.US,D,20230919,000000,10.92,11.18,10.73,10.93,148340,0
BITX.US,D,20230920,000000,10.82,11.025,10.6,10.7,217484,0
BITX.US,D,20230921,000000,10.39,10.5,10.22,10.43,104587,0
BITX.US,D,20230922,000000,10.42,10.49,10.345,10.36,118289,0
BITX.US,D,20230925,000000,10.04,10.27,9.99,10.21,108204,0
BITX.US,D,20230926,000000,10.07,10.14,9.98,10.13,86007,0
BITX.US,D,20230927,000000,10.52,10.56,10,10.12,199846,0
BITX.US,D,20230928,000000,10.35,11.0299,10.31,10.85,244516,0
BITX.US,D,20230929,000000,10.72,10.76,10.41,10.64,242771,0
BITX.US,D,20231002,000000,11.87,12.06,11.21,11.46,368817,0
BITX.US,D,20231003,000000,11.07,11.1392,10.83,10.86,150884,0
BITX.US,D,20231004,000000,11.03,11.3381,10.87,11.16,195576,0
BITX.US,D,20231005,000000,11.56,11.6,10.92,11.02,222618,0
BITX.US,D,20231006,000000,10.94,11.5396,10.94,11.45,246176,0
BITX.US,D,20231009,000000,11.03,11.24,10.81,11.16,333452,0
BITX.US,D,20231010,000000,10.96,11.1,10.8389,10.92,224096,0
BITX.US,D,20231011,000000,10.72,10.72,10.19,10.38,336454,0
BITX.US,D,20231012,000000,10.38,10.39,10.19,10.33,143906,0
BITX.US,D,20231013,000000,10.47,10.49,10.28,10.4,203970,0
BITX.US,D,20231016,000000,12.49,13,11.19,11.75,1644126,0
BITX.US,D,20231017,000000,11.6,11.88,11.47,11.81,170433,0
BITX.US,D,20231018,000000,11.65,11.7,11.44,11.54,98459,0
BITX.US,D,20231019,000000,11.79,12.152,11.73,12.05,249666,0
BITX.US,D,20231020,000000,12.68,12.83,12.47,12.68,332157,0
BITX.US,D,20231023,000000,13.53,14.272,13.3501,14.2,807279,0
BITX.US,D,20231024,000000,17.02,17.11,15.92,16.37,962916,0
BITX.US,D,20231025,000000,17.04,17.79,16.87,17.38,841077,0
BITX.US,D,20231026,000000,16.91,17.06,16.33,16.5,700554,0
BITX.US,D,20231027,000000,16.86,16.86,15.8638,16.19,375641,0
BITX.US,D,20231030,000000,17.11,17.31,16.53,16.94,680083,0
BITX.US,D,20231031,000000,16.8,17.14,16.59,17.08,294798,0
BITX.US,D,20231101,000000,17.33,17.34,16.5,17.16,733007,0
