<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLKC.US,D,20211008,000000,24.9526,24.9526,24.7088,24.7463,7152.1480464803,0
BLKC.US,D,20211011,000000,24.9911,25.2151,24.9033,24.9298,32146.660604549,0
BLKC.US,D,20211012,000000,25.0986,25.0986,24.3674,24.3931,11839.505948559,0
BLKC.US,D,20211013,000000,24.4306,24.7808,24.2994,24.7808,6641.3527205024,0
BLKC.US,D,20211014,000000,24.9131,25.0789,24.8648,25.0108,6176.1641200583,0
BLKC.US,D,20211015,000000,25.585,25.888,25.508,25.8298,7286.9412575023,0
BLKC.US,D,20211018,000000,26.3458,26.3458,25.8051,25.8346,8509.2015018065,0
BLKC.US,D,20211019,000000,26.3952,26.3952,25.8683,26.3635,13459.051446402,0
BLKC.US,D,20211020,000000,26.5215,27.2239,26.4297,27.0187,6381.9011263549,0
BLKC.US,D,20211021,000000,26.9802,26.9802,26.4139,26.4632,2393.8463491266,0
BLKC.US,D,20211022,000000,26.2689,26.2689,25.9176,25.9561,2081.6936499179,0
BLKC.US,D,20211025,000000,26.551,26.8431,26.551,26.7355,6504.5325439012,0
BLKC.US,D,20211026,000000,26.8145,26.8332,26.5698,26.5698,5492.0632370521,0
BLKC.US,D,20211027,000000,26.1129,26.2392,25.8909,25.8909,3078.9607149224,0
BLKC.US,D,20211028,000000,26.6191,26.6665,26.5895,26.6615,2793.1585682443,0
BLKC.US,D,20211029,000000,26.6881,27.1944,26.6881,27.1224,5185.9914345812,0
BLKC.US,D,20211101,000000,27.3009,27.448,27.2525,27.367,1929.6712314721,0
BLKC.US,D,20211102,000000,27.6433,27.9354,27.6137,27.9354,7136.9458046357,0
BLKC.US,D,20211103,000000,27.9837,28.2462,27.6808,28.2363,8094.6870408443,0
BLKC.US,D,20211104,000000,28.5491,28.5491,26.8243,28.179,10040.573996951,0
BLKC.US,D,20211105,000000,28.3586,28.3833,28.1297,28.188,8338.9363931472,0
BLKC.US,D,20211108,000000,28.2758,29.5536,28.2758,29.4549,4078.2547455061,0
BLKC.US,D,20211109,000000,30.2551,30.2551,29.4115,29.6799,4123.8614710399,0
BLKC.US,D,20211110,000000,29.8644,29.8644,28.8135,28.8135,8070.363453893,0
BLKC.US,D,20211111,000000,29.0454,29.1915,29.0079,29.0079,3959.6772591184,0
BLKC.US,D,20211112,000000,28.7139,29.2033,28.6359,29.2033,8231.5072174455,0
BLKC.US,D,20211115,000000,29.4065,29.5821,28.8411,28.8411,11084.461270278,0
BLKC.US,D,20211116,000000,27.9639,28.8806,27.9639,28.0902,4343.7872363915,0
BLKC.US,D,20211117,000000,27.8959,27.9739,27.8663,27.9384,9486.1989110183,0
BLKC.US,D,20211118,000000,27.6423,27.6423,27.0967,27.1559,1988.4532332711,0
BLKC.US,D,20211119,000000,27.2862,27.8278,27.2862,27.591,2594.5159414751,0
BLKC.US,D,20211122,000000,28.4415,28.5984,26.7059,26.7059,2641.1361497985,0
BLKC.US,D,20211123,000000,26.8046,26.9309,26.5599,26.9309,2506.3429387765,0
BLKC.US,D,20211124,000000,26.6191,27.0039,26.4139,27.0039,671.93908953046,0
BLKC.US,D,20211126,000000,26.2195,26.2195,26.0133,26.1011,1356.0399725366,0
BLKC.US,D,20211129,000000,26.2984,26.9211,26.2984,26.849,2039.1273727531,0
BLKC.US,D,20211130,000000,26.0054,26.3803,26.0054,26.3803,1595.2219108913,0
BLKC.US,D,20211201,000000,26.7256,26.775,25.6245,25.6245,4035.6884683413,0
BLKC.US,D,20211202,000000,25.6048,25.6343,25.1756,25.5643,6932.2222811287,0
BLKC.US,D,20211203,000000,24.7957,24.8253,24.0261,24.2333,4352.9085814982,0
BLKC.US,D,20211206,000000,24.1435,24.2698,22.9447,23.9748,8679.4666104658,0
BLKC.US,D,20211207,000000,25.068,25.068,24.8786,24.8786,1115.8445513922,0
BLKC.US,D,20211208,000000,24.9368,25.0671,24.9368,25.0671,7566.6625074426,0
BLKC.US,D,20211209,000000,24.923,24.923,24.1839,24.1839,1871.9027124627,0
BLKC.US,D,20211210,000000,24.5036,24.5036,24.1691,24.1879,843.2176809794,0
BLKC.US,D,20211213,000000,23.6166,23.6452,23.5002,23.51,3354.6280337041,0
BLKC.US,D,20211214,000000,23.5011,23.5189,23.1696,23.4094,2936.0596415833,0
BLKC.US,D,20211215,000000,23.1883,23.958,22.92,23.9283,3395.1673452897,0
BLKC.US,D,20211216,000000,24.2106,24.2106,23.2653,23.4143,1648.9364987422,0
BLKC.US,D,20211217,000000,23.0423,23.2751,22.8184,22.9644,1452.3208375523,0
BLKC.US,D,20211220,000000,22.4059,22.4059,22.0724,22.2746,2069.5318564422,0
BLKC.US,D,20211221,000000,22.768,23.2189,22.768,23.2189,1256.718659152,0
BLKC.US,D,20211222,000000,23.4143,23.4143,23.2466,23.4094,1671.2331201142,0
BLKC.US,D,20211223,000000,23.4341,24.2866,23.4341,24.2866,1517.1837360891,0
BLKC.US,D,20211227,000000,24.2471,24.5806,24.2471,24.4069,5613.6811718088,0
BLKC.US,D,20211228,000000,24.1593,24.1593,23.4538,23.4538,3199.5651668894,0
BLKC.US,D,20211229,000000,23.2298,23.2298,22.9733,22.993,1505.0219426135,0
BLKC.US,D,20211230,000000,22.8855,23.3659,22.8855,23.067,2041.1543383323,0
BLKC.US,D,20211231,000000,22.9348,22.9348,22.6812,22.6812,803.69185218349,0
BLKC.US,D,20220103,000000,22.9447,23.0818,22.9447,23.0483,1509.075873772,0
BLKC.US,D,20220104,000000,23.1993,23.1993,22.8953,22.923,386.13694285235,0
BLKC.US,D,20220105,000000,22.7819,22.7819,22.0635,22.0635,310.12573362944,0
BLKC.US,D,20220106,000000,21.5534,21.955,21.5534,21.7784,1546.5747369887,0
BLKC.US,D,20220107,000000,21.5534,21.6186,21.5534,21.6186,1029.6985142729,0
BLKC.US,D,20220110,000000,20.9456,21.3413,20.9456,21.3413,1557.7230476747,0
BLKC.US,D,20220111,000000,21.583,22.102,21.583,22.0202,1058.0760323828,0
BLKC.US,D,20220112,000000,22.5036,22.5036,22.4927,22.4927,549.30767198418,0
BLKC.US,D,20220113,000000,21.6926,21.6926,21.6926,21.6926,263.50552530606,0
BLKC.US,D,20220114,000000,21.7517,21.7517,21.7517,21.7517,223.97969651015,0
BLKC.US,D,20220118,000000,21.357,21.357,20.8193,20.8193,1476.6444245036,0
BLKC.US,D,20220119,000000,20.6318,20.6713,20.4956,20.4956,688.15481416468,0
BLKC.US,D,20220120,000000,20.917,20.917,20.4315,20.4315,1485.7657696103,0
BLKC.US,D,20220121,000000,19.9757,19.9757,19.0028,19.0028,2600.5968382129,0
BLKC.US,D,20220124,000000,18.0753,18.9376,17.6342,18.8203,25160.72373557,0
BLKC.US,D,20220125,000000,18.3989,18.7018,18.39,18.614,2297.5654841109,0
BLKC.US,D,20220126,000000,19.2219,19.2504,18.5845,18.7216,3050.5831968125,0
BLKC.US,D,20220127,000000,18.4769,18.4769,17.8868,17.8868,1073.2782742274,0
BLKC.US,D,20220128,000000,18.536,18.536,18.536,18.536,168.23814308002,0
BLKC.US,D,20220131,000000,19.1824,19.4774,19.1824,19.4774,921.25585578158,0
BLKC.US,D,20220201,000000,19.6816,19.9382,19.6816,19.9382,535.11891292923,0
BLKC.US,D,20220202,000000,19.4113,19.4113,19.4113,19.4113,133.77972823231,0
BLKC.US,D,20220203,000000,19.0739,19.0748,18.6575,18.6575,931.39068367797,0
BLKC.US,D,20220204,000000,18.7906,19.7043,18.7906,19.7043,1051.995135645,0
BLKC.US,D,20220207,000000,20.5243,20.6318,20.4848,20.4848,1035.7794110108,0
BLKC.US,D,20220208,000000,20.3773,20.6911,20.3773,20.6792,835.10981866229,0
BLKC.US,D,20220209,000000,21.21,21.4093,21.21,21.4093,755.04467828083,0
BLKC.US,D,20220210,000000,20.9279,20.9279,20.9279,20.9279,121.61793475664,0
BLKC.US,D,20220211,000000,21.0432,21.0432,20.1029,20.1029,2358.3744514893,0
BLKC.US,D,20220214,000000,20.0546,20.0546,19.8563,19.8563,197.62914397955,0
BLKC.US,D,20220215,000000,20.7206,20.841,20.7206,20.841,2554.9901126792,0
BLKC.US,D,20220216,000000,20.6713,20.8686,20.6318,20.7976,2942.1405383212,0
BLKC.US,D,20220217,000000,20.0043,20.024,19.6096,19.6096,818.89409402807,0
BLKC.US,D,20220218,000000,19.0659,19.0659,19.0659,19.0659,111.48310686026,0
BLKC.US,D,20220222,000000,18.7018,18.7117,18.3545,18.4976,839.16374982085,0
BLKC.US,D,20220223,000000,17.9845,18.2223,17.9845,17.9845,483.43129065766,0
BLKC.US,D,20220224,000000,18.5568,18.5568,18.5568,18.5568,360.79987311138,0
BLKC.US,D,20220225,000000,18.4867,18.8676,18.4867,18.8676,325.32797547402,0
BLKC.US,D,20220228,000000,19.2899,19.3905,19.2899,19.3905,266.54597367498,0
BLKC.US,D,20220301,000000,19.5445,19.8089,19.359,19.3669,4815.0567335735,0
BLKC.US,D,20220302,000000,19.4774,19.5543,19.4774,19.5465,289.85607783667,0
BLKC.US,D,20220303,000000,18.7127,18.7127,18.7127,18.7127,55.741553430129,0
BLKC.US,D,20220304,000000,18.536,18.536,17.8602,17.9046,945.57944273291,0
BLKC.US,D,20220307,000000,17.8108,17.8108,17.06,17.06,1450.293871973,0
BLKC.US,D,20220308,000000,17.43,17.43,17.3757,17.3757,261.47855972679,0
BLKC.US,D,20220309,000000,18.4917,18.4917,18.4917,18.4917,67.903346905793,0
BLKC.US,D,20220310,000000,17.8888,18.0753,17.7813,18.0753,1577.9927034675,0
BLKC.US,D,20220311,000000,17.354,17.354,17.354,17.354,28.377518109884,0
BLKC.US,D,20220314,000000,17.3698,17.3698,16.841,16.841,1660.0848094282,0
BLKC.US,D,20220315,000000,17.1853,17.1853,17.1853,17.1853,201.6830751381,0
BLKC.US,D,20220316,000000,18.2479,18.2479,18.2479,18.2479,116.55052080845,0
BLKC.US,D,20220317,000000,18.6042,18.6417,18.4275,18.6417,360.79987311138,0
BLKC.US,D,20220318,000000,19.3097,19.3097,19.3097,19.3097,256.41114577859,0
BLKC.US,D,20220321,000000,19.507,19.507,19.0926,19.2028,1618.532015053,0
BLKC.US,D,20220322,000000,19.4971,19.9214,19.4971,19.8918,359.78639032174,0
BLKC.US,D,20220323,000000,19.7716,19.7716,19.6756,19.6756,151.00893565617,0
