<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRAZ.US,D,20230821,000000,24.7366,24.7366,24.72,24.72,456,0
BRAZ.US,D,20230822,000000,25.219,25.43,25.219,25.43,901,0
BRAZ.US,D,20230823,000000,26.1938,26.1938,26.1938,26.1938,25,0
BRAZ.US,D,20230824,000000,26.09,26.09,25.8145,25.8145,101,0
BRAZ.US,D,20230825,000000,25.633,25.633,25.633,25.633,67,0
BRAZ.US,D,20230828,000000,25.74,25.915,25.74,25.915,121,0
BRAZ.US,D,20230829,000000,26.31,26.3949,26.2413,26.3949,505,0
BRAZ.US,D,20230830,000000,26.1324,26.1324,26.1324,26.1324,101,0
BRAZ.US,D,20230831,000000,25.5262,25.5262,25.5262,25.5262,2,0
BRAZ.US,D,20230901,000000,26.03,26.0714,26.03,26.0714,457,0
BRAZ.US,D,20230905,000000,25.77,25.77,25.64,25.64,391,0
BRAZ.US,D,20230906,000000,25.6,25.705,25.32,25.32,811,0
BRAZ.US,D,20230907,000000,25.14,25.14,24.89,24.89,410,0
BRAZ.US,D,20230908,000000,25.16,25.16,25.16,25.16,200,0
BRAZ.US,D,20230911,000000,25.59,25.73,25.59,25.73,400,0
BRAZ.US,D,20230912,000000,25.59,25.83,25.59,25.83,402,0
BRAZ.US,D,20230913,000000,25.99,26.325,25.99,26.14,1054,0
BRAZ.US,D,20230914,000000,26.63,26.63,26.63,26.63,330,0
BRAZ.US,D,20230915,000000,26.47,26.47,26.47,26.47,200,0
BRAZ.US,D,20230918,000000,26.61,26.61,26.39,26.39,510,0
BRAZ.US,D,20230919,000000,26.34,26.34,26.16,26.16,562,0
BRAZ.US,D,20230920,000000,26.36,26.64,26.3,26.3,550,0
BRAZ.US,D,20230921,000000,25.67,25.67,25.5,25.5,983,0
BRAZ.US,D,20230922,000000,25.5,25.5,25.5,25.5,342,0
BRAZ.US,D,20230925,000000,25.27,25.3,25.27,25.3,783,0
BRAZ.US,D,20230926,000000,25.02,25.02,24.803,24.803,220,0
BRAZ.US,D,20230927,000000,24.79,24.79,24.34,24.54,898,0
BRAZ.US,D,20230928,000000,24.9532,24.9532,24.9532,24.9532,10,0
BRAZ.US,D,20230929,000000,25.1724,25.1724,25.1724,25.1724,20,0
BRAZ.US,D,20231002,000000,24.63,24.6345,24.63,24.6345,196,0
BRAZ.US,D,20231003,000000,24.47,24.47,23.83,23.8405,605,0
BRAZ.US,D,20231004,000000,24.0286,24.0286,24.0286,24.0286,83,0
BRAZ.US,D,20231005,000000,23.9244,23.9244,23.9244,23.9244,40,0
BRAZ.US,D,20231006,000000,24.1642,24.1642,24.1642,24.1642,83,0
BRAZ.US,D,20231009,000000,24.4212,24.4212,24.4212,24.4212,2,0
BRAZ.US,D,20231010,000000,25.1144,25.1144,25.1144,25.1144,83,0
BRAZ.US,D,20231011,000000,25.2556,25.2556,25.2556,25.2556,1,0
BRAZ.US,D,20231012,000000,24.7625,24.7625,24.7625,24.7625,22,0
BRAZ.US,D,20231013,000000,24.9152,24.9152,24.9152,24.9152,60,0
BRAZ.US,D,20231016,000000,25.2684,25.2684,25.2684,25.2684,1,0
BRAZ.US,D,20231017,000000,25.4,25.4,25.1795,25.1795,393,0
BRAZ.US,D,20231018,000000,24.6485,24.6485,24.6485,24.6485,11,0
BRAZ.US,D,20231019,000000,24.6697,24.6697,24.6697,24.6697,12,0
BRAZ.US,D,20231020,000000,24.6,24.6,24.5408,24.5408,161,0
