<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSR.US,D,20230419,000000,24.97,25.0035,24.97,25.0035,5000,0
BSR.US,D,20230420,000000,25.03,25.03,24.9842,24.9842,5201,0
BSR.US,D,20230421,000000,24.95,25.039,24.95,24.9839,5506,0
BSR.US,D,20230424,000000,25,25.0382,25,25.0382,5614,0
BSR.US,D,20230425,000000,25,25,24.88,24.8854,6200,0
BSR.US,D,20230426,000000,24.89,24.89,24.7791,24.7791,6000,0
BSR.US,D,20230427,000000,24.88,25.031,24.88,25.031,6200,0
BSR.US,D,20230428,000000,25.11,25.1944,25.11,25.1944,6401,0
BSR.US,D,20230501,000000,25.13,25.13,25.0838,25.0838,6617,0
BSR.US,D,20230502,000000,24.97,25.0787,24.97,25.0787,6818,0
BSR.US,D,20230503,000000,25.12,25.12,25.026,25.026,7050,0
BSR.US,D,20230504,000000,24.93,24.93,24.9003,24.9003,7414,0
BSR.US,D,20230505,000000,25.01,25.0857,25.01,25.0857,7525,0
BSR.US,D,20230508,000000,25.0899,25.0899,25.04,25.0445,10600,0
BSR.US,D,20230509,000000,25.11,25.11,24.9806,24.9806,9099,0
BSR.US,D,20230510,000000,25.04,25.085,25.04,25.085,8407,0
BSR.US,D,20230511,000000,25.09,25.115,25.09,25.115,8700,0
BSR.US,D,20230512,000000,25.07,25.07,25.0279,25.045,10008,0
BSR.US,D,20230515,000000,25.05,25.0654,25.05,25.0654,9300,0
BSR.US,D,20230516,000000,24.98,24.98,24.9754,24.9754,9600,0
BSR.US,D,20230517,000000,25.02,25.14,25.02,25.1301,13598,0
BSR.US,D,20230518,000000,25.13,25.195,25.13,25.195,10212,0
BSR.US,D,20230519,000000,25.14,25.14,25.112,25.112,10600,0
BSR.US,D,20230522,000000,25.11,25.1572,25.075,25.075,11498,0
BSR.US,D,20230523,000000,25.03,25.03,24.9415,24.9415,11400,0
BSR.US,D,20230524,000000,24.8,24.8037,24.8,24.8037,11810,0
BSR.US,D,20230525,000000,24.82,24.82,24.813,24.813,12200,0
BSR.US,D,20230526,000000,24.97,25.0262,24.97,25.0262,12605,0
BSR.US,D,20230530,000000,25.06,25.06,25.0567,25.0567,13000,0
BSR.US,D,20230531,000000,24.95,25.0098,24.95,25.0098,13500,0
BSR.US,D,20230601,000000,25.08,25.1605,25.08,25.1605,14000,0
BSR.US,D,20230602,000000,25.37,25.43,25.37,25.43,14600,0
BSR.US,D,20230605,000000,25.4,25.4,25.37,25.37,15100,0
BSR.US,D,20230606,000000,25.41,25.48,25.41,25.48,15600,0
