<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTHM.US,D,20211220,000000,24.1921,24.1921,24.1024,24.1701,943.76662366409,0
BTHM.US,D,20211221,000000,24.4102,24.6493,24.4102,24.6493,5583.2831853149,0
BTHM.US,D,20211222,000000,24.8485,24.944,24.7986,24.944,2247.9717770041,0
BTHM.US,D,20211223,000000,25.1174,25.1861,25.1174,25.1542,6806.1637678924,0
BTHM.US,D,20211227,000000,25.3853,25.5108,25.3853,25.5108,811.23769353253,0
BTHM.US,D,20211228,000000,25.4361,25.4361,25.4361,25.4361,5.0200352322558,0
BTHM.US,D,20211229,000000,25.5736,25.5736,25.5048,25.5048,1089.3476453995,0
BTHM.US,D,20211230,000000,25.4949,25.4949,25.3484,25.3484,2370.4606366712,0
BTHM.US,D,20211231,000000,25.3853,25.3853,25.2857,25.2897,8813.1738537483,0
BTHM.US,D,20220103,000000,25.3952,25.3952,25.196,25.3105,3589.3251910629,0
BTHM.US,D,20220104,000000,25.3056,25.4152,25.2857,25.3753,3084.309646698,0
BTHM.US,D,20220105,000000,25.3654,25.3654,24.7648,24.7648,6926.6446134665,0
BTHM.US,D,20220106,000000,24.7488,24.8385,24.6811,24.6811,7458.7683480856,0
BTHM.US,D,20220107,000000,24.6293,24.6293,24.4899,24.5197,5263.004937497,0
BTHM.US,D,20220110,000000,24.3215,24.4142,23.9929,24.4142,9507.9467298925,0
BTHM.US,D,20220111,000000,24.719,24.719,24.6901,24.6901,403.61083267336,0
BTHM.US,D,20220112,000000,24.9281,24.9281,24.7966,24.8375,830.31382741511,0
BTHM.US,D,20220113,000000,24.3903,24.3903,24.3903,24.3903,43.1723029974,0
BTHM.US,D,20220114,000000,24.4102,24.4102,24.4102,24.4102,48.192338229656,0
BTHM.US,D,20220118,000000,24.1821,24.1821,23.8245,23.8245,947.78265184989,0
BTHM.US,D,20220119,000000,24.0078,24.0078,23.5497,23.5497,120.48084557414,0
BTHM.US,D,20220120,000000,23.2011,23.2011,23.2011,23.2011,206.82545156894,0
BTHM.US,D,20220121,000000,23.1981,23.2568,22.8495,22.8495,299.19409984244,0
BTHM.US,D,20220124,000000,22.1034,23.0157,22.1034,23.0157,129.5169089922,0
BTHM.US,D,20220125,000000,22.71,22.71,22.71,22.71,182.72928245411,0
BTHM.US,D,20220126,000000,23.2279,23.2279,22.7688,22.7688,535.13575575847,0
BTHM.US,D,20220127,000000,23.0984,23.0984,22.7169,22.7169,1258.0208292033,0
BTHM.US,D,20220128,000000,22.9192,23.214,22.9192,23.214,1025.0911944266,0
BTHM.US,D,20220131,000000,23.4859,23.7817,23.4859,23.7817,763.04535530288,0
BTHM.US,D,20220201,000000,23.9899,23.9899,23.9899,23.9899,69.27648620513,0
BTHM.US,D,20220202,000000,24.4012,24.45,24.2917,24.45,2962.8247940774,0
BTHM.US,D,20220203,000000,23.9929,24.0029,23.6572,23.6572,1757.0123312895,0
BTHM.US,D,20220204,000000,23.705,23.8036,23.5058,23.8036,2145.5630582661,0
BTHM.US,D,20220207,000000,23.7946,23.7946,23.5536,23.5536,1570.2670206496,0
BTHM.US,D,20220208,000000,23.4979,23.8185,23.4979,23.8185,404.61483971982,0
BTHM.US,D,20220209,000000,24.1721,24.2418,24.1721,24.2418,704.81294660871,0
BTHM.US,D,20220210,000000,23.7807,23.7807,23.7807,23.7807,43.1723029974,0
BTHM.US,D,20220211,000000,23.6453,23.7648,23.1711,23.1711,5913.6015035973,0
BTHM.US,D,20220214,000000,23.0556,23.0556,23.0556,23.0556,22.088155021925,0
BTHM.US,D,20220215,000000,23.3963,23.4252,23.3963,23.4252,104.41673283092,0
BTHM.US,D,20220216,000000,23.5367,23.5367,23.5367,23.5367,4.0160281858046,0
BTHM.US,D,20220217,000000,23.0088,23.0088,22.9152,22.9152,100.40070464512,0
BTHM.US,D,20220218,000000,22.8993,22.8993,22.7768,22.7768,431.723029974,0
BTHM.US,D,20220222,000000,22.6314,22.6314,22.468,22.468,131.5249230851,0
BTHM.US,D,20220223,000000,22.0815,22.0815,22.0815,22.0815,117.46882443479,0
BTHM.US,D,20220224,000000,21.7698,22.5596,21.7698,22.5596,2765.0354059265,0
BTHM.US,D,20220225,000000,23.0716,23.0716,23.0716,23.0716,12.048084557414,0
BTHM.US,D,20220228,000000,23.1084,23.1084,23.0407,23.0407,107.42875397027,0
BTHM.US,D,20220301,000000,22.6542,22.6542,22.6542,22.6542,1.0040070464512,0
BTHM.US,D,20220302,000000,23.1981,23.2031,23.1981,23.2031,104.41673283092,0
BTHM.US,D,20220303,000000,22.9909,22.9909,22.9909,22.9909,137.54896536381,0
BTHM.US,D,20220304,000000,22.6602,22.7688,22.6602,22.7688,419.67494541658,0
BTHM.US,D,20220307,000000,22.0347,22.0347,21.9988,21.9988,105.42073987737,0
BTHM.US,D,20220308,000000,21.965,21.965,21.8743,21.8743,136.54495831736,0
BTHM.US,D,20220309,000000,22.5128,22.5128,22.5128,22.5128,29.116204347084,0
BTHM.US,D,20220310,000000,22.465,22.465,22.465,22.465,152.60907106058,0
BTHM.US,D,20220311,000000,22.1921,22.1921,22.1921,22.1921,7.0280493251581,0
BTHM.US,D,20220314,000000,21.8913,21.8913,21.8913,21.8913,2.0080140929023,0
BTHM.US,D,20220315,000000,22.3833,22.3833,22.3833,22.3833,11.044077510963,0
BTHM.US,D,20220316,000000,22.956,22.956,22.956,22.956,70.280493251581,0
BTHM.US,D,20220317,000000,23.212,23.212,23.212,23.212,100.40070464512,0
BTHM.US,D,20220318,000000,23.5307,23.5307,23.5307,23.5307,37.148260718693,0
BTHM.US,D,20220321,000000,23.5118,23.5118,23.5118,23.5118,13.052091603865,0
BTHM.US,D,20220322,000000,23.7867,23.7867,23.7867,23.7867,142.56900059606,0
BTHM.US,D,20220323,000000,23.5227,23.5227,23.5227,23.5227,35.14024662579,0
BTHM.US,D,20220324,000000,23.8346,23.8346,23.8346,23.8346,19.076133882572,0
BTHM.US,D,20220325,000000,23.9839,23.9839,23.8245,23.9334,1814.2407329372,0
BTHM.US,D,20220328,000000,23.8743,24.0256,23.7846,24.0256,1244.9687375994,0
BTHM.US,D,20220329,000000,24.203,24.3614,24.1631,24.3614,1635.5274786689,0
BTHM.US,D,20220330,000000,24.3026,24.3126,24.0942,24.0942,813.24570762544,0
BTHM.US,D,20220331,000000,23.7542,23.7542,23.7542,23.7542,7.0280493251581,0
BTHM.US,D,20220401,000000,23.7149,23.7317,23.5457,23.7317,1627.4954222973,0
BTHM.US,D,20220404,000000,23.8742,23.9436,23.8742,23.9436,1119.467856793,0
BTHM.US,D,20220405,000000,23.7049,23.7648,23.5626,23.5626,2867.4441246645,0
BTHM.US,D,20220406,000000,23.2269,23.2269,23.1771,23.2153,734.93315800225,0
BTHM.US,D,20220407,000000,23.207,23.2822,23.0775,23.2822,457.82721318173,0
BTHM.US,D,20220408,000000,23.3763,23.3763,23.1894,23.1894,200.80140929023,0
BTHM.US,D,20220411,000000,22.8085,22.8085,22.7477,22.7477,103.41272578447,0
BTHM.US,D,20220412,000000,22.975,22.9779,22.6891,22.7109,837.34187674026,0
BTHM.US,D,20220413,000000,22.9691,22.9691,22.9691,22.9691,8.0320563716093,0
BTHM.US,D,20220414,000000,22.6354,22.6354,22.6354,22.6354,120.48084557414,0
BTHM.US,D,20220418,000000,22.6891,22.6891,22.6351,22.6351,100.40070464512,0
BTHM.US,D,20220419,000000,23.0291,23.0291,23.0291,23.0291,8.0320563716093,0
BTHM.US,D,20220420,000000,23.0974,23.1,23.0974,23.1,213.8535008941,0
BTHM.US,D,20220421,000000,22.6833,22.6833,22.6833,22.6833,37.148260718693,0
BTHM.US,D,20220422,000000,21.9913,21.9913,21.9913,21.9913,36.144253672242,0
BTHM.US,D,20220426,000000,21.8425,21.8425,21.6045,21.6045,302.2061209818,0
BTHM.US,D,20220427,000000,21.633,21.633,21.633,21.633,10.040070464512,0
BTHM.US,D,20220428,000000,22.3131,22.3131,22.3131,22.3131,28.112197300632,0
BTHM.US,D,20220429,000000,21.9122,21.9122,21.5292,21.5292,307.22615621405,0
BTHM.US,D,20220502,000000,21.5137,21.7647,21.5137,21.7647,317.26622667857,0
BTHM.US,D,20220503,000000,21.935,21.935,21.935,21.935,3.0120211393535,0
BTHM.US,D,20220504,000000,21.9222,22.5673,21.9222,22.5673,152.60907106058,0
BTHM.US,D,20220505,000000,21.6359,21.6359,21.6359,21.6359,100.40070464512,0
BTHM.US,D,20220506,000000,21.6632,21.6632,21.3644,21.5363,205.82144452249,0
BTHM.US,D,20220509,000000,20.9026,20.9026,20.9026,20.9026,100.40070464512,0
BTHM.US,D,20220510,000000,20.9588,20.9588,20.9588,20.9588,86.344605994799,0
BTHM.US,D,20220511,000000,20.5281,20.5281,20.5281,20.5281,3.0120211393535,0
BTHM.US,D,20220512,000000,20.6174,20.6174,20.4509,20.4509,103.41272578447,0
BTHM.US,D,20220513,000000,20.9461,20.9942,20.9361,20.9942,910.6343911312,0
BTHM.US,D,20220516,000000,20.8783,20.8783,20.8783,20.8783,65.260458019325,0
BTHM.US,D,20220517,000000,21.3457,21.3457,21.3457,21.3457,90.360634180604,0
BTHM.US,D,20220518,000000,20.3225,20.3225,20.3225,20.3225,5.0200352322558,0
BTHM.US,D,20220519,000000,20.2216,20.2216,20.2216,20.2216,95.38066941286,0
BTHM.US,D,20220520,000000,20.1857,20.1857,20.1857,20.1857,30.120211393535,0
BTHM.US,D,20220523,000000,20.5767,20.5767,20.5767,20.5767,4.0160281858046,0
BTHM.US,D,20220524,000000,19.9899,20.3093,19.9899,20.3093,423.69097360239,0
BTHM.US,D,20220525,000000,20.5427,20.5427,20.5427,20.5427,2.0080140929023,0
BTHM.US,D,20220526,000000,21.0631,21.0631,21.0631,21.0631,62.248436879972,0
BTHM.US,D,20220527,000000,21.6538,21.6538,21.6538,21.6538,2.0080140929023,0
BTHM.US,D,20220531,000000,21.5896,21.5896,21.5896,21.5896,32.128225486437,0
BTHM.US,D,20220601,000000,21.5034,21.5034,21.5034,21.5034,2.0080140929023,0
BTHM.US,D,20220602,000000,21.8643,21.8643,21.8643,21.8643,1.0040070464512,0
