<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BUCK.US,D,20221031,000000,25.39,25.39,25.035,25.05,4582,0
BUCK.US,D,20221101,000000,25.06,25.06,25.06,25.06,167,0
BUCK.US,D,20221102,000000,25.1,25.11,25.07,25.085,26361,0
BUCK.US,D,20221103,000000,25.0949,25.22,25.0949,25.1,23312,0
BUCK.US,D,20221104,000000,25.14,25.15,25.02,25.02,36839,0
BUCK.US,D,20221107,000000,25.1122,25.12,25.105,25.105,2181,0
BUCK.US,D,20221108,000000,25.1011,25.1011,25.08,25.1,900,0
BUCK.US,D,20221109,000000,25.08,25.09,25.02,25.06,7689,0
BUCK.US,D,20221110,000000,25.13,25.13,25,25,18963,0
BUCK.US,D,20221111,000000,25.16,25.16,25.02,25.14,18262,0
BUCK.US,D,20221114,000000,25.1,25.13,25.1,25.1,1432,0
BUCK.US,D,20221115,000000,25.02,25.13,25.02,25.03,1099,0
BUCK.US,D,20221116,000000,25.03,25.14,25.03,25.085,2261,0
BUCK.US,D,20221117,000000,25.0853,25.09,25.04,25.09,1273,0
BUCK.US,D,20221118,000000,25.06,25.09,25.06,25.085,1304,0
BUCK.US,D,20221121,000000,25.0873,25.11,25.07,25.11,5626,0
BUCK.US,D,20221122,000000,25.089,25.11,25.06,25.0808,1151,0
BUCK.US,D,20221123,000000,25.085,25.09,25.06,25.09,1388,0
BUCK.US,D,20221125,000000,25.065,25.1,25.03,25.0483,2817,0
BUCK.US,D,20221128,000000,25.04,25.11,25.04,25.05,29713,0
BUCK.US,D,20221129,000000,25.09,25.09,25.03,25.03,1953,0
BUCK.US,D,20221130,000000,25.0601,25.0864,25.03,25.0544,23809,0
BUCK.US,D,20221201,000000,25.05,25.055,25,25,18703,0
BUCK.US,D,20221202,000000,25.02,25.06,25,25,1059,0
BUCK.US,D,20221205,000000,25.12,25.12,25.0313,25.045,1426,0
BUCK.US,D,20221206,000000,25.03,25.06,25.02,25.045,2907,0
BUCK.US,D,20221207,000000,25.05,25.06,25.045,25.045,470,0
BUCK.US,D,20221208,000000,25.0526,25.06,25.04,25.06,1968,0
BUCK.US,D,20221209,000000,25.06,25.065,25.05,25.065,1659,0
BUCK.US,D,20221212,000000,25.11,25.11,25.075,25.075,124,0
BUCK.US,D,20221213,000000,25.085,25.085,24.551,25.055,1958,0
BUCK.US,D,20221214,000000,25.05,25.05,25.05,25.05,43,0
BUCK.US,D,20221215,000000,25.055,25.055,25.055,25.055,62,0
BUCK.US,D,20221216,000000,25.05,25.053,25.05,25.053,554,0
BUCK.US,D,20221219,000000,25.1,25.1,25.0532,25.0532,192,0
BUCK.US,D,20221220,000000,25.06,25.06,25.06,25.06,292,0
BUCK.US,D,20221221,000000,25.09,25.11,25.08,25.095,812,0
BUCK.US,D,20221222,000000,25.0857,25.0857,25.08,25.08,607,0
BUCK.US,D,20221223,000000,25.105,25.105,25.105,25.105,241,0
BUCK.US,D,20221227,000000,25.05,25.05,25.05,25.05,74,0
BUCK.US,D,20221228,000000,25.035,25.035,25.035,25.035,336,0
BUCK.US,D,20221229,000000,25.06,25.06,25.06,25.06,204,0
BUCK.US,D,20221230,000000,25.045,25.05,25.04,25.05,955,0
BUCK.US,D,20230103,000000,25.01,25.03,25.01,25.03,734,0
BUCK.US,D,20230104,000000,25.02,25.02,25.02,25.02,15,0
BUCK.US,D,20230105,000000,25.02,25.05,25.02,25.045,2527,0
BUCK.US,D,20230106,000000,25.04,25.04,25.04,25.04,132,0
BUCK.US,D,20230109,000000,25.05,25.075,25.04,25.075,990,0
BUCK.US,D,20230110,000000,25.2037,25.2037,25.05,25.065,1725,0
BUCK.US,D,20230111,000000,25.07,25.07,25.065,25.065,539,0
BUCK.US,D,20230112,000000,25.07,25.11,25.05,25.11,1326,0
BUCK.US,D,20230113,000000,26.37,26.37,25.07,25.09,885,0
BUCK.US,D,20230117,000000,25.105,25.105,25.1,25.1,507,0
BUCK.US,D,20230118,000000,25.11,25.11,25.08,25.095,11081,0
BUCK.US,D,20230119,000000,25.11,25.11,25.09,25.09,572,0
BUCK.US,D,20230120,000000,25.1,25.13,25.1,25.13,405,0
BUCK.US,D,20230123,000000,25.1574,25.1574,25.14,25.14,750,0
BUCK.US,D,20230124,000000,25.17,25.17,25.135,25.135,272,0
BUCK.US,D,20230125,000000,25.17,25.17,25.1561,25.1561,370,0
BUCK.US,D,20230126,000000,25.055,25.065,25.055,25.065,122,0
BUCK.US,D,20230127,000000,25.07,25.095,25.07,25.095,246,0
BUCK.US,D,20230130,000000,25.0607,25.0607,25.0603,25.0603,402,0
BUCK.US,D,20230131,000000,25.08,25.08,25.08,25.08,5,0
BUCK.US,D,20230201,000000,25.07,25.07,25.05,25.0633,767,0
BUCK.US,D,20230202,000000,25.07,25.09,25.07,25.075,719,0
BUCK.US,D,20230203,000000,25.05,25.065,25.05,25.065,420,0
BUCK.US,D,20230206,000000,25.055,25.055,25.055,25.055,462,0
BUCK.US,D,20230207,000000,25.1,25.1,25.07,25.07,1451,0
BUCK.US,D,20230208,000000,25.04,25.046,25.04,25.046,211,0
BUCK.US,D,20230209,000000,25.05,25.05,25.05,25.05,5,0
BUCK.US,D,20230210,000000,25.08,25.08,25.06,25.06,131,0
BUCK.US,D,20230213,000000,25.11,25.11,25.08,25.08,224,0
BUCK.US,D,20230214,000000,25.11,25.11,25.085,25.085,173,0
BUCK.US,D,20230215,000000,25.08,25.085,25.07,25.085,1967,0
BUCK.US,D,20230216,000000,25.08,25.08,25.0781,25.0781,222,0
BUCK.US,D,20230217,000000,25.08,25.15,25.08,25.12,3210,0
BUCK.US,D,20230221,000000,25.1499,25.15,25.08,25.0967,2190,0
BUCK.US,D,20230222,000000,25.1,25.15,25.1,25.1309,2332,0
BUCK.US,D,20230223,000000,24.97,24.9765,24.97,24.9765,245,0
BUCK.US,D,20230224,000000,25.035,25.035,25.035,25.035,171,0
BUCK.US,D,20230227,000000,25.04,25.04,25.04,25.04,125,0
BUCK.US,D,20230228,000000,25.05,25.07,25.045,25.05,3230,0
BUCK.US,D,20230301,000000,25.05,25.05,25.05,25.05,94,0
BUCK.US,D,20230302,000000,25.0799,25.0799,25.06,25.0608,411,0
BUCK.US,D,20230303,000000,25.06,25.09,25.06,25.0847,277345,0
BUCK.US,D,20230306,000000,25.055,25.0644,25.055,25.06,614,0
BUCK.US,D,20230307,000000,25.09,25.09,25.06,25.06,4502,0
BUCK.US,D,20230308,000000,25.04,25.065,25.04,25.065,182,0
BUCK.US,D,20230309,000000,25.085,25.0998,25.075,25.075,391,0
BUCK.US,D,20230310,000000,25.11,25.12,25.078,25.085,4217,0
BUCK.US,D,20230313,000000,25.06,25.15,25.06,25.14,23872,0
BUCK.US,D,20230314,000000,25.0749,25.105,25.06,25.105,7943,0
BUCK.US,D,20230315,000000,25.0826,25.0847,25.06,25.0615,3951,0
BUCK.US,D,20230316,000000,25.0811,25.1,25.05,25.0527,2132,0
BUCK.US,D,20230317,000000,25.0943,25.11,25.085,25.085,4374,0
BUCK.US,D,20230320,000000,25.16,25.16,25.09,25.095,5037,0
BUCK.US,D,20230321,000000,25.08,25.11,25.0657,25.11,9751,0
BUCK.US,D,20230322,000000,26.33,26.33,25.0821,25.1,1692,0
BUCK.US,D,20230323,000000,25.07,25.13,25.07,25.13,509,0
BUCK.US,D,20230324,000000,25.112,25.15,25.112,25.115,6737,0
BUCK.US,D,20230327,000000,25.04,25.04,25.015,25.015,1670,0
BUCK.US,D,20230328,000000,25.0478,25.05,24.99,25.02,25202,0
BUCK.US,D,20230329,000000,25.0239,25.04,25.0239,25.04,370,0
BUCK.US,D,20230330,000000,24.94,25.05,24.94,25.01,24098,0
BUCK.US,D,20230331,000000,25.01,25.0126,25.01,25.0126,152,0
BUCK.US,D,20230403,000000,25.025,25.025,25.0211,25.0211,347,0
BUCK.US,D,20230404,000000,25.05,25.06,24.99,25.053,29132,0
BUCK.US,D,20230405,000000,25.04,25.06,25.04,25.05,12595,0
BUCK.US,D,20230406,000000,25.0445,25.07,25.0445,25.06,2282,0
BUCK.US,D,20230410,000000,25.0548,25.055,25.0548,25.055,268,0
BUCK.US,D,20230411,000000,25.065,25.065,25.065,25.065,31,0
BUCK.US,D,20230412,000000,25.08,25.08,25.06,25.075,2789,0
BUCK.US,D,20230413,000000,25.99,25.99,25.07,25.0795,2758,0
BUCK.US,D,20230414,000000,25.1,25.1,25.0856,25.1,8068,0
BUCK.US,D,20230417,000000,25.0995,25.0995,25.08,25.095,1244,0
BUCK.US,D,20230418,000000,25.09,25.09,25.0894,25.09,751,0
BUCK.US,D,20230419,000000,25.07,25.09,25.07,25.085,1431,0
BUCK.US,D,20230420,000000,25.05,25.1,25.05,25.1,1413,0
BUCK.US,D,20230421,000000,25.105,25.105,25.105,25.105,146,0
BUCK.US,D,20230424,000000,25.11,25.11,25.11,25.11,14,0
BUCK.US,D,20230425,000000,25.02,25.03,25.002,25.0147,3387,0
BUCK.US,D,20230426,000000,25.005,25.03,25.005,25.005,2858,0
BUCK.US,D,20230427,000000,25.02,25.02,25.005,25.005,498,0
BUCK.US,D,20230428,000000,25.0499,25.05,25.0182,25.04,2077,0
BUCK.US,D,20230501,000000,25.01,25.04,25.01,25.04,1241,0
BUCK.US,D,20230502,000000,24.97,25.04,24.97,25.04,572,0
BUCK.US,D,20230503,000000,25.02,25.02,25.02,25.02,1,0
BUCK.US,D,20230504,000000,25.0305,25.0305,25.025,25.025,1357,0
BUCK.US,D,20230505,000000,25.02,25.05,25.02,25.05,421,0
BUCK.US,D,20230508,000000,25.02,25.09,25.02,25.055,9829,0
BUCK.US,D,20230509,000000,25.08,25.08,25.0563,25.0563,130,0
BUCK.US,D,20230510,000000,25.03,25.09,25.03,25.033,20676,0
BUCK.US,D,20230511,000000,25.05,25.1,25.05,25.1,450,0
BUCK.US,D,20230512,000000,25.0897,25.1,25.0897,25.095,716,0
BUCK.US,D,20230515,000000,25.085,25.085,25.085,25.085,24,0
BUCK.US,D,20230516,000000,25.1,25.1,25.05,25.064,7208,0
BUCK.US,D,20230517,000000,25.105,25.105,25.105,25.105,104,0
BUCK.US,D,20230518,000000,25.105,25.105,25.105,25.105,29,0
BUCK.US,D,20230519,000000,25.11,25.11,25.11,25.11,12,0
BUCK.US,D,20230522,000000,25.0958,25.126,25.0958,25.115,658,0
BUCK.US,D,20230523,000000,25.135,25.135,25.135,25.135,78,0
BUCK.US,D,20230524,000000,25.115,25.115,25.115,25.115,180,0
BUCK.US,D,20230525,000000,25.09,25.1,25.05,25.05,13852,0
BUCK.US,D,20230526,000000,25.07,25.07,25.03,25.07,1665,0
BUCK.US,D,20230530,000000,25.06,25.06,25.06,25.06,63,0
BUCK.US,D,20230531,000000,25.05,25.0799,25.04,25.06,13820,0
BUCK.US,D,20230601,000000,25.08,25.08,25.055,25.055,7123,0
BUCK.US,D,20230602,000000,25.03,25.1,25.03,25.065,6473,0
BUCK.US,D,20230605,000000,25.085,25.085,25.085,25.085,70,0
BUCK.US,D,20230606,000000,25.04,25.0875,25.04,25.0875,1849,0
BUCK.US,D,20230607,000000,25.055,25.055,25.055,25.055,75,0
BUCK.US,D,20230608,000000,25.0729,25.1,25.04,25.075,1334,0
BUCK.US,D,20230609,000000,25.05,25.05,25.05,25.05,91,0
BUCK.US,D,20230612,000000,25.08,25.1,25.08,25.1,1827,0
BUCK.US,D,20230613,000000,25.105,25.105,25.105,25.105,194,0
BUCK.US,D,20230614,000000,25.1,25.12,25.1,25.12,291,0
BUCK.US,D,20230615,000000,25.1,25.13,25.1,25.12,4806,0
BUCK.US,D,20230616,000000,25.08,25.12,25.08,25.12,530,0
BUCK.US,D,20230620,000000,25.1544,25.1544,25.125,25.125,754,0
BUCK.US,D,20230621,000000,25.1274,25.1699,25.1,25.125,1906,0
BUCK.US,D,20230622,000000,25.16,25.16,25.125,25.125,2637,0
BUCK.US,D,20230623,000000,25.1373,25.17,25.135,25.135,441,0
BUCK.US,D,20230626,000000,25.16,25.16,25.14,25.16,1570,0
BUCK.US,D,20230627,000000,25.03,25.05,25.03,25.05,1649,0
