<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAML.US,D,20230823,000000,25.314,25.314,25.314,25.314,80,0
CAML.US,D,20230828,000000,25.3402,25.3402,25.3402,25.3402,4,0
CAML.US,D,20230829,000000,25.7477,25.7477,25.7477,25.7477,8,0
CAML.US,D,20230830,000000,25.8834,25.8834,25.8834,25.8834,1,0
CAML.US,D,20230831,000000,25.9657,25.9657,25.9657,25.9657,39,0
CAML.US,D,20230901,000000,26.0792,26.0792,26.0792,26.0792,1,0
CAML.US,D,20230905,000000,25.9979,25.9979,25.9979,25.9979,1,0
CAML.US,D,20230906,000000,25.8798,25.8798,25.8798,25.8798,21,0
CAML.US,D,20230907,000000,25.8859,25.8859,25.8859,25.8859,14,0
CAML.US,D,20230908,000000,25.8355,25.8355,25.8355,25.8355,1,0
CAML.US,D,20230911,000000,26.0161,26.0161,26.0161,26.0161,1,0
CAML.US,D,20230912,000000,25.7719,25.7719,25.7719,25.7719,5,0
CAML.US,D,20230913,000000,25.7891,25.7891,25.7891,25.7891,1,0
CAML.US,D,20230914,000000,25.8971,25.8971,25.8971,25.8971,5,0
CAML.US,D,20230915,000000,25.4938,25.4938,25.4938,25.4938,7,0
CAML.US,D,20230918,000000,25.5222,25.5222,25.5222,25.5222,7,0
CAML.US,D,20230919,000000,25.4657,25.4657,25.4657,25.4657,101,0
CAML.US,D,20230920,000000,25.2767,25.2767,25.2767,25.2767,100,0
CAML.US,D,20230921,000000,24.94,24.94,24.7261,24.7261,250,0
CAML.US,D,20230922,000000,24.7439,24.7439,24.7439,24.7439,100,0
CAML.US,D,20230925,000000,24.7869,24.7869,24.7869,24.7869,7,0
CAML.US,D,20230926,000000,24.503,24.503,24.503,24.503,5,0
CAML.US,D,20230927,000000,24.57,24.5943,24.57,24.5943,103,0
CAML.US,D,20230928,000000,24.7811,24.7811,24.7811,24.7811,3,0
CAML.US,D,20230929,000000,24.7173,24.7173,24.7173,24.7173,3,0
CAML.US,D,20231002,000000,24.75,24.76,24.7443,24.7443,418,0
CAML.US,D,20231003,000000,24.3605,24.3605,24.3605,24.3605,70,0
CAML.US,D,20231004,000000,24.6391,24.6391,24.6391,24.6391,3,0
CAML.US,D,20231005,000000,24.5833,24.5833,24.5833,24.5833,3,0
CAML.US,D,20231006,000000,25.0676,25.0676,25.0676,25.0676,1,0
CAML.US,D,20231009,000000,25.04,25.2105,25.04,25.2105,7299,0
CAML.US,D,20231010,000000,25.53,25.53,25.37,25.371,2762,0
CAML.US,D,20231011,000000,25.41,25.51,25.41,25.4883,1002,0
CAML.US,D,20231012,000000,25.5,25.59,25.3587,25.3587,7364,0
CAML.US,D,20231013,000000,25.5,25.5,25.12,25.1431,21822,0
CAML.US,D,20231016,000000,25.4,25.4428,25.4,25.4428,164,0
CAML.US,D,20231017,000000,25.47,25.47,25.404,25.404,42941,0
CAML.US,D,20231018,000000,25.23,25.23,24.99,25.0397,34222,0
CAML.US,D,20231019,000000,24.985,25.08,24.75,24.7918,71318,0
CAML.US,D,20231020,000000,24.37,24.43,24.37,24.3944,87316,0
CAML.US,D,20231023,000000,24.33,24.55,24.33,24.3454,31425,0
CAML.US,D,20231024,000000,24.52,24.5449,24.52,24.5449,29674,0
CAML.US,D,20231025,000000,24.315,24.36,24.0937,24.0937,50901,0
CAML.US,D,20231026,000000,24.15,24.15,23.7054,23.7226,44386,0
CAML.US,D,20231027,000000,23.88,23.94,23.7457,23.7457,24820,0
CAML.US,D,20231030,000000,23.8,23.9932,23.8,23.9932,39694,0
CAML.US,D,20231031,000000,24.1216,24.2664,24.12,24.2664,132770,0
CAML.US,D,20231101,000000,24.48,24.63,24.39,24.5915,40039,0
CAML.US,D,20231102,000000,24.9065,25.07,24.9065,25.0497,100441,0
CAML.US,D,20231103,000000,25.15,25.2425,25.145,25.2425,58138,0
CAML.US,D,20231106,000000,25.36,25.36,25.3,25.325,33324,0
CAML.US,D,20231107,000000,25.46,25.53,25.445,25.471,47133,0
CAML.US,D,20231108,000000,25.6,25.6,25.4799,25.5541,145908,0
CAML.US,D,20231109,000000,25.5,25.56,25.2875,25.2875,68579,0
CAML.US,D,20231110,000000,25.3174,25.5951,25.3174,25.5951,57319,0
CAML.US,D,20231113,000000,25.57,25.72,25.57,25.7007,242418,0
CAML.US,D,20231114,000000,26.21,26.2532,26.21,26.2118,35004,0
CAML.US,D,20231115,000000,26.23,26.29,26.1573,26.1573,45602,0
CAML.US,D,20231116,000000,26.1774,26.2171,26.16,26.2171,40474,0
