<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CFCV.US,D,20200529,000000,24.3544,24.3544,24.3544,24.3544,38.292724902922,0
CFCV.US,D,20200601,000000,24.4427,24.4992,24.4427,24.4992,456.4895889743,0
CFCV.US,D,20200602,000000,24.5985,24.6769,24.5985,24.6769,324.48045838792,0
CFCV.US,D,20200603,000000,25.1542,25.1959,25.1542,25.1959,1202.1900212944,0
CFCV.US,D,20200604,000000,25.1473,25.1473,25.1473,25.1473,110.84736156109,0
CFCV.US,D,20200605,000000,25.4082,25.7764,25.4082,25.7764,142.08616345558,0
CFCV.US,D,20200608,000000,25.9431,26.0186,25.9065,26.0186,3965.3124340262,0
CFCV.US,D,20200609,000000,25.7774,25.7774,25.6742,25.6742,429.28160022749,0
CFCV.US,D,20200610,000000,25.3458,25.3458,25.3458,25.3458,26.200285459894,0
CFCV.US,D,20200611,000000,24.3454,24.3454,23.9277,23.9277,1373.4995800706,0
CFCV.US,D,20200612,000000,24.2234,24.2234,24.2234,24.2234,149.14008646401,0
CFCV.US,D,20200615,000000,24.5122,24.5122,24.3356,24.4874,1007.703286919,0
CFCV.US,D,20200616,000000,24.8595,24.8595,24.8595,24.8595,463.54351198274,0
CFCV.US,D,20200617,000000,24.9696,25.0659,24.8447,24.8447,325.48816167483,0
CFCV.US,D,20200618,000000,24.8873,24.8873,24.8873,24.8873,8.0616262953519,0
CFCV.US,D,20200619,000000,24.788,24.788,24.788,24.788,214.64080011375,0
CFCV.US,D,20200622,000000,24.7563,24.7563,24.7344,24.7344,111.85506484801,0
CFCV.US,D,20200623,000000,24.8565,24.8565,24.8387,24.8387,104.80114183958,0
CFCV.US,D,20200624,000000,24.2591,24.2591,24.2293,24.2293,3299.2205613728,0
CFCV.US,D,20200625,000000,24.3841,24.529,24.3841,24.529,209.60228367915,0
CFCV.US,D,20200626,000000,23.9366,23.9366,23.9366,23.9366,5.038516434595,0
CFCV.US,D,20200629,000000,24.2293,24.2293,24.2293,24.2293,10.07703286919,0
CFCV.US,D,20200630,000000,24.4675,24.6114,24.4675,24.6114,415.17375421062,0
CFCV.US,D,20200701,000000,24.668,24.668,24.6431,24.6431,211.61769025299,0
CFCV.US,D,20200702,000000,24.7166,24.7166,24.7166,24.7166,6.0462197215139,0
CFCV.US,D,20200706,000000,25.1046,25.1046,25.0183,25.0183,715.46933371248,0
CFCV.US,D,20200707,000000,24.79,24.79,24.79,24.79,201.5406573838,0
CFCV.US,D,20200708,000000,24.8178,24.8178,24.8178,24.8178,8.0616262953519,0
CFCV.US,D,20200709,000000,24.5886,24.6283,24.5886,24.6283,617.72211488134,0
CFCV.US,D,20200710,000000,24.5687,24.935,24.5687,24.935,1153.8202635222,0
CFCV.US,D,20200713,000000,24.9716,24.9716,24.9716,24.9716,40.30813147676,0
CFCV.US,D,20200714,000000,25.1244,25.4043,25.1244,25.4043,205.57147053147,0
CFCV.US,D,20200715,000000,25.6415,25.6415,25.6415,25.6415,201.5406573838,0
