<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CGBL.US,D,20230929,000000,25.2,25.2,24.94,24.97,27765,0
CGBL.US,D,20231002,000000,25,25,24.76,24.8626,25746,0
CGBL.US,D,20231003,000000,24.76,24.8,24.53,24.57,38026,0
CGBL.US,D,20231004,000000,24.6661,24.6963,24.5999,24.6963,3770,0
CGBL.US,D,20231005,000000,24.727,24.73,24.6062,24.7,18807,0
CGBL.US,D,20231006,000000,24.6268,24.97,24.6268,24.91,15378,0
CGBL.US,D,20231009,000000,24.94,25.17,24.94,25.131,7076,0
CGBL.US,D,20231010,000000,25.22,25.3199,25.159,25.227,20364,0
CGBL.US,D,20231011,000000,25.34,25.37,25.23,25.37,27950,0
CGBL.US,D,20231012,000000,25.32,25.3391,25.125,25.21,52681,0
CGBL.US,D,20231013,000000,25.33,25.33,25.14,25.18,30392,0
CGBL.US,D,20231016,000000,25.3163,25.35,25.27,25.3206,21068,0
CGBL.US,D,20231017,000000,25.29,25.3258,25.165,25.2528,34723,0
CGBL.US,D,20231018,000000,25.17,25.2062,24.9968,25.0162,18909,0
CGBL.US,D,20231019,000000,24.98,25.065,24.79,24.79,28972,0
CGBL.US,D,20231020,000000,24.84,24.8537,24.66,24.66,28965,0
CGBL.US,D,20231023,000000,24.77,24.79,24.68,24.68,31455,0
CGBL.US,D,20231024,000000,24.735,24.82,24.6893,24.77,44067,0
CGBL.US,D,20231025,000000,24.6,24.66,24.52,24.535,32030,0
CGBL.US,D,20231026,000000,24.52,24.52,24.36,24.39,45754,0
CGBL.US,D,20231027,000000,24.4,24.42,24.23,24.26,31173,0
CGBL.US,D,20231030,000000,24.3562,24.4499,24.3,24.4134,42379,0
CGBL.US,D,20231031,000000,24.41,24.45,24.32,24.43,80218,0
CGBL.US,D,20231101,000000,24.54,24.66,24.465,24.65,37696,0
CGBL.US,D,20231102,000000,24.94,25.0391,24.8885,25.0307,17128,0
CGBL.US,D,20231103,000000,25.23,25.3035,25.2,25.2386,27901,0
CGBL.US,D,20231106,000000,25.29,25.29,25.15,25.15,19679,0
CGBL.US,D,20231107,000000,25.15,25.32,25.15,25.32,193403,0
CGBL.US,D,20231108,000000,25.26,25.3,25.2,25.27,47548,0
CGBL.US,D,20231109,000000,25.37,25.37,25.0898,25.11,60327,0
CGBL.US,D,20231110,000000,25.16,25.37,25.1352,25.36,35862,0
CGBL.US,D,20231113,000000,25.3,25.39,25.262,25.3658,23250,0
CGBL.US,D,20231114,000000,25.77,25.81,25.6982,25.77,47293,0
CGBL.US,D,20231115,000000,25.8,25.8204,25.71,25.7332,102301,0
CGBL.US,D,20231116,000000,25.76,25.77,25.6915,25.76,108778,0
CGBL.US,D,20231117,000000,25.83,25.8671,25.75,25.84,35075,0
CGBL.US,D,20231120,000000,26.38,26.38,25.838,25.99,41764,0
CGBL.US,D,20231121,000000,25.98,25.98,25.91,25.9266,62992,0
CGBL.US,D,20231122,000000,26.01,26.02,25.93,26,85673,0
CGBL.US,D,20231124,000000,26.97,26.97,25.98,26.01,8537,0
CGBL.US,D,20231127,000000,25.98,25.98,25.9362,25.9362,40375,0
CGBL.US,D,20231128,000000,25.94,26.0314,25.89,26.01,48835,0
CGBL.US,D,20231129,000000,26.15,26.15,26.05,26.0527,75929,0
CGBL.US,D,20231130,000000,26.19,26.19,26.01,26.1238,143193,0
CGBL.US,D,20231201,000000,26.16,26.3022,26.07,26.29,96451,0
CGBL.US,D,20231204,000000,26.14,26.21,26.095,26.21,73244,0
CGBL.US,D,20231205,000000,27.39,27.39,26.115,26.18,141755,0
CGBL.US,D,20231206,000000,26.38,26.38,26.105,26.11,153796,0
CGBL.US,D,20231207,000000,26.25,26.25,26.14,26.2221,96769,0
CGBL.US,D,20231208,000000,26.33,26.33,26.12,26.32,227584,0
CGBL.US,D,20231211,000000,26.38,26.47,26.28,26.46,187881,0
CGBL.US,D,20231212,000000,26.53,26.58,26.42,26.545,277043,0
CGBL.US,D,20231213,000000,27.12,27.12,26.5767,26.99,92449,0
CGBL.US,D,20231214,000000,27.21,27.2399,27.11,27.2,132116,0
CGBL.US,D,20231215,000000,27.09,27.2134,27.09,27.16,126836,0
CGBL.US,D,20231218,000000,27.3,27.3,27.17,27.19,97287,0
CGBL.US,D,20231219,000000,27.22,27.351,27.22,27.3347,69520,0
CGBL.US,D,20231220,000000,27.32,27.4099,27.13,27.13,100909,0
CGBL.US,D,20231221,000000,27.35,27.35,27.165,27.33,74225,0
CGBL.US,D,20231222,000000,27.41,27.415,27.28,27.35,68535,0
CGBL.US,D,20231226,000000,27.47,27.4919,27.37,27.459,70570,0
CGBL.US,D,20231227,000000,27.42,27.42,27.3399,27.42,88939,0
CGBL.US,D,20231228,000000,28.79,31.6,27.36,27.39,174041,0
CGBL.US,D,20231229,000000,27.37,27.38,27.26,27.34,189926,0
CGBL.US,D,20240102,000000,27.19,27.2498,27.1,27.19,36811,0
CGBL.US,D,20240103,000000,27.1,27.1299,26.955,27.05,52180,0
CGBL.US,D,20240104,000000,26.93,27.149,26.93,27,89575,0
CGBL.US,D,20240105,000000,27.09,27.1285,26.93,27,121877,0
CGBL.US,D,20240108,000000,27.06,27.2,26.98,27.2,87077,0
CGBL.US,D,20240109,000000,27.31,27.31,27.05,27.14,152280,0
CGBL.US,D,20240110,000000,27.16,27.2478,27.15,27.22,85797,0
CGBL.US,D,20240111,000000,27.26,27.3,27.064,27.3,47659,0
CGBL.US,D,20240112,000000,27.43,27.43,27.26,27.34,108397,0
CGBL.US,D,20240116,000000,27.33,27.33,27.11,27.18,90775,0
CGBL.US,D,20240117,000000,27.05,27.0797,26.959,27.0437,83033,0
CGBL.US,D,20240118,000000,27.14,27.22,27.03,27.22,85231,0
CGBL.US,D,20240119,000000,27.29,27.46,27.2,27.45,459428,0
CGBL.US,D,20240122,000000,27.46,27.49,27.37,27.41,1182412,0
CGBL.US,D,20240123,000000,27.38,27.43,27.35,27.43,388274,0
CGBL.US,D,20240124,000000,27.55,27.66,27.5,27.5,130626,0
CGBL.US,D,20240125,000000,27.74,27.74,27.5397,27.62,93491,0
CGBL.US,D,20240126,000000,27.7,27.7,27.62,27.67,87431,0
CGBL.US,D,20240129,000000,27.68,27.82,27.6657,27.82,68929,0
CGBL.US,D,20240130,000000,27.81,27.8496,27.74,27.84,105505,0
CGBL.US,D,20240131,000000,27.84,27.84,27.605,27.61,108358,0
CGBL.US,D,20240201,000000,27.69,27.86,27.6617,27.86,132148,0
CGBL.US,D,20240202,000000,27.92,27.94,27.76,27.9,118764,0
CGBL.US,D,20240205,000000,27.89,27.89,27.66,27.77,133497,0
CGBL.US,D,20240206,000000,27.87,27.87,27.79,27.86,86069,0
CGBL.US,D,20240207,000000,28.08,28.08,27.92,28.03,128831,0
CGBL.US,D,20240208,000000,28.07,28.119,28,28.11,95108,0
CGBL.US,D,20240209,000000,28.17,28.17,28.07,28.17,128713,0
CGBL.US,D,20240212,000000,28.24,28.2497,28.14,28.16,132266,0
CGBL.US,D,20240213,000000,27.95,27.95,27.6599,27.79,317212,0
CGBL.US,D,20240214,000000,27.95,27.99,27.8491,27.97,122017,0
CGBL.US,D,20240215,000000,28.03,28.1884,28.03,28.17,73700,0
CGBL.US,D,20240216,000000,28.18,28.18,28.026,28.06,126285,0
CGBL.US,D,20240220,000000,28.04,28.04,27.9201,27.99,138182,0
CGBL.US,D,20240221,000000,28.01,28.01,27.8669,27.9955,65632,0
CGBL.US,D,20240222,000000,28.29,28.4,28.211,28.36,443648,0
CGBL.US,D,20240223,000000,28.48,28.48,28.32,28.36,144103,0
CGBL.US,D,20240226,000000,28.39,28.39,28.265,28.29,106614,0
CGBL.US,D,20240227,000000,28.33,28.33,28.255,28.29,167995,0
CGBL.US,D,20240228,000000,28.3,28.3,28.19,28.28,119652,0
CGBL.US,D,20240229,000000,28.42,28.42,28.255,28.33,185391,0
CGBL.US,D,20240301,000000,28.49,28.69,28.39,28.68,158078,0
CGBL.US,D,20240304,000000,28.71,28.73,28.65,28.66,109919,0
CGBL.US,D,20240305,000000,28.67,28.67,28.42,28.51,123435,0
