<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CGRO.US,D,20231018,000000,19.95,19.95,19.8655,19.8655,51101,0
CGRO.US,D,20231019,000000,19.65,19.65,19.604,19.604,50757,0
CGRO.US,D,20231020,000000,19.39,19.4,19.2944,19.2944,51400,0
CGRO.US,D,20231023,000000,19.43,19.46,19.3927,19.3927,51334,0
CGRO.US,D,20231024,000000,19.9,19.936,19.9,19.936,50745,0
CGRO.US,D,20231025,000000,19.4759,19.4759,19.4759,19.4759,2,0
CGRO.US,D,20231026,000000,19.4917,19.4917,19.4917,19.4917,2,0
CGRO.US,D,20231027,000000,19.5928,19.5928,19.5928,19.5928,1,0
CGRO.US,D,20231030,000000,19.9166,19.9166,19.9166,19.9166,1,0
CGRO.US,D,20231031,000000,19.7101,19.7101,19.7101,19.7101,1,0
CGRO.US,D,20231101,000000,19.705,19.8225,19.705,19.8225,651,0
CGRO.US,D,20231102,000000,19.8867,19.8867,19.8867,19.8867,1,0
CGRO.US,D,20231103,000000,20.3817,20.3817,20.3817,20.3817,2,0
CGRO.US,D,20231106,000000,20.46,20.4905,20.46,20.4905,1091,0
CGRO.US,D,20231107,000000,20.4971,20.4971,20.4971,20.4971,2,0
CGRO.US,D,20231108,000000,20.516,20.516,20.4875,20.4875,425,0
CGRO.US,D,20231109,000000,20.2501,20.2501,20.2501,20.2501,10,0
CGRO.US,D,20231110,000000,20.3205,20.3205,20.3205,20.3205,39,0
CGRO.US,D,20231113,000000,20.48,20.48,20.4111,20.4111,980,0
CGRO.US,D,20231114,000000,20.6727,20.6727,20.6727,20.6727,54,0
CGRO.US,D,20231115,000000,20.8908,20.8908,20.8908,20.8908,1,0
CGRO.US,D,20231116,000000,20.3335,20.3335,20.3335,20.3335,1,0
CGRO.US,D,20231117,000000,20.4558,20.4558,20.4558,20.4558,1,0
CGRO.US,D,20231120,000000,20.8351,20.8351,20.8351,20.8351,1,0
CGRO.US,D,20231121,000000,20.4424,20.4424,20.4424,20.4424,43,0
CGRO.US,D,20231122,000000,20.3833,20.3833,20.3833,20.3833,2,0
CGRO.US,D,20231124,000000,20.5041,20.5041,20.5041,20.5041,2,0
CGRO.US,D,20231127,000000,20.35,20.35,20.35,20.35,375,0
CGRO.US,D,20231128,000000,20.59,20.59,20.4997,20.4997,300,0
CGRO.US,D,20231129,000000,20.51,20.51,20.3595,20.3595,140,0
CGRO.US,D,20231130,000000,20.4754,20.4754,20.4754,20.4754,2,0
CGRO.US,D,20231201,000000,20.3002,20.3002,20.3002,20.3002,54,0
CGRO.US,D,20231204,000000,19.9524,19.9524,19.9524,19.9524,10,0
CGRO.US,D,20231205,000000,19.725,19.725,19.725,19.725,9,0
CGRO.US,D,20231206,000000,19.6906,19.6906,19.6906,19.6906,2,0
CGRO.US,D,20231207,000000,19.8004,19.8004,19.8004,19.8004,12,0
CGRO.US,D,20231208,000000,19.689,19.689,19.689,19.689,12,0
CGRO.US,D,20231211,000000,19.915,19.915,19.915,19.915,43,0
CGRO.US,D,20231212,000000,19.9136,19.9136,19.9136,19.9136,1,0
CGRO.US,D,20231213,000000,19.9104,19.9104,19.9104,19.9104,6,0
CGRO.US,D,20231214,000000,19.953,19.953,19.953,19.953,20,0
CGRO.US,D,20231215,000000,19.9955,19.9955,19.9955,19.9955,64,0
CGRO.US,D,20231218,000000,19.8728,19.8728,19.8728,19.8728,1,0
CGRO.US,D,20231219,000000,20.1625,20.1625,20.1625,20.1625,79,0
CGRO.US,D,20231220,000000,19.6736,19.6736,19.6736,19.6736,20,0
CGRO.US,D,20231221,000000,20.1983,20.1983,20.1983,20.1983,20,0
CGRO.US,D,20231222,000000,19.8462,19.8462,19.8462,19.8462,2,0
CGRO.US,D,20231226,000000,20.0341,20.0341,20.0341,20.0341,1,0
CGRO.US,D,20231227,000000,20.12,20.12,19.9447,19.9447,2073,0
CGRO.US,D,20231228,000000,20.3499,20.3499,20.3499,20.3499,1,0
CGRO.US,D,20231229,000000,20.4477,20.4477,20.4477,20.4477,1,0
CGRO.US,D,20240102,000000,20.0286,20.0286,19.98,19.98,1512,0
CGRO.US,D,20240103,000000,20.1158,20.1158,20.1158,20.1158,122,0
CGRO.US,D,20240104,000000,20.0433,20.0433,20.0433,20.0433,10,0
CGRO.US,D,20240105,000000,19.87,19.87,19.7961,19.7961,200,0
CGRO.US,D,20240108,000000,19.55,19.7263,19.5499,19.7263,552,0
CGRO.US,D,20240109,000000,19.5284,19.5284,19.5284,19.5284,2,0
CGRO.US,D,20240110,000000,19.485,19.485,19.485,19.485,1,0
CGRO.US,D,20240111,000000,19.7168,19.7168,19.7168,19.7168,1,0
CGRO.US,D,20240112,000000,19.63,19.63,19.5865,19.5865,180,0
CGRO.US,D,20240116,000000,19.2,19.2,19.1158,19.1158,200,0
CGRO.US,D,20240117,000000,18.54,18.6579,18.54,18.6579,118,0
CGRO.US,D,20240118,000000,18.8557,18.8557,18.8557,18.8557,1,0
CGRO.US,D,20240119,000000,18.8761,18.8761,18.8761,18.8761,1,0
CGRO.US,D,20240122,000000,18.4917,18.4917,18.4917,18.4917,2,0
CGRO.US,D,20240123,000000,19.14,19.14,19.0649,19.0649,299,0
CGRO.US,D,20240124,000000,19.71,19.71,19.2941,19.2941,700,0
CGRO.US,D,20240125,000000,19.1576,19.1576,19.1576,19.1576,1,0
CGRO.US,D,20240126,000000,18.975,18.975,18.975,18.975,2,0
CGRO.US,D,20240129,000000,18.87,18.87,18.53,18.59,938,0
CGRO.US,D,20240130,000000,18.22,18.22,18.1752,18.1752,319,0
CGRO.US,D,20240131,000000,18.03,18.0961,18.03,18.0961,521,0
CGRO.US,D,20240201,000000,18.1981,18.1981,18.1981,18.1981,47,0
CGRO.US,D,20240202,000000,17.93,17.93,17.8788,17.8788,897,0
CGRO.US,D,20240205,000000,18.06,18.0742,18.06,18.0742,533,0
CGRO.US,D,20240206,000000,18.9064,18.9064,18.9064,18.9064,33,0
CGRO.US,D,20240207,000000,18.73,18.8452,18.73,18.8452,294,0
CGRO.US,D,20240208,000000,18.607,18.607,18.607,18.607,104,0
CGRO.US,D,20240209,000000,18.62,18.805,18.62,18.805,200,0
CGRO.US,D,20240212,000000,19.16,19.16,19.0153,19.0153,807,0
CGRO.US,D,20240213,000000,18.7037,18.7037,18.7037,18.7037,91,0
CGRO.US,D,20240214,000000,18.9686,18.9686,18.9686,18.9686,1,0
CGRO.US,D,20240215,000000,19.06,19.0697,19.06,19.0697,280,0
CGRO.US,D,20240216,000000,19.2284,19.2284,19.2284,19.2284,2,0
CGRO.US,D,20240220,000000,18.9428,18.9428,18.9428,18.9428,53,0
CGRO.US,D,20240221,000000,19.1911,19.1911,19.1911,19.1911,144,0
CGRO.US,D,20240222,000000,19.5268,19.5268,19.5268,19.5268,17,0
CGRO.US,D,20240223,000000,19.66,19.66,19.6157,19.6157,293,0
CGRO.US,D,20240226,000000,19.6053,19.6053,19.6053,19.6053,41,0
CGRO.US,D,20240227,000000,19.8209,19.8209,19.8153,19.8153,200,0
CGRO.US,D,20240228,000000,19.26,19.27,19.2485,19.2485,407,0
CGRO.US,D,20240229,000000,19.4,19.4,19.4,19.4,1,0
CGRO.US,D,20240301,000000,19.6571,19.6571,19.6571,19.6571,1,0
CGRO.US,D,20240304,000000,19.2081,19.2081,19.2081,19.2081,29,0
CGRO.US,D,20240305,000000,19.068,19.068,19.068,19.068,24,0
CGRO.US,D,20240306,000000,19.2799,19.2799,19.2799,19.2799,2,0
