<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CGSM.US,D,20230929,000000,25.02,25.03,25.02,25.03,3650,0
CGSM.US,D,20231002,000000,25.01,25.02,25,25,5195,0
CGSM.US,D,20231003,000000,24.97,24.97,24.965,24.965,210,0
CGSM.US,D,20231004,000000,24.96,24.98,24.9577,24.98,17204,0
CGSM.US,D,20231005,000000,24.98,24.98,24.98,24.98,20346,0
CGSM.US,D,20231006,000000,24.98,24.98,24.97,24.97,2632,0
CGSM.US,D,20231009,000000,24.97,24.97,24.9699,24.97,678,0
CGSM.US,D,20231010,000000,24.99,24.99,24.985,24.985,2997,0
CGSM.US,D,20231011,000000,25.02,25.07,25.015,25.07,8133,0
CGSM.US,D,20231012,000000,25.1,25.1,25.1,25.1,120,0
CGSM.US,D,20231013,000000,25.09,25.11,25.09,25.105,16084,0
CGSM.US,D,20231016,000000,25.085,25.085,25.085,25.085,300,0
CGSM.US,D,20231017,000000,25.08,25.08,25.0499,25.065,32664,0
CGSM.US,D,20231018,000000,25.04,25.06,25.04,25.045,15305,0
CGSM.US,D,20231019,000000,25.02,25.02,25.0047,25.005,3201,0
CGSM.US,D,20231020,000000,25.02,25.04,25.02,25.0393,66634,0
CGSM.US,D,20231023,000000,25,25.015,24.9856,24.995,78070,0
CGSM.US,D,20231024,000000,25,25,24.99,25,83201,0
CGSM.US,D,20231025,000000,25.005,25.01,25.005,25.005,21653,0
CGSM.US,D,20231026,000000,25.01,25.04,25.01,25.04,37103,0
CGSM.US,D,20231027,000000,25.0319,25.04,25.0299,25.035,2931,0
CGSM.US,D,20231030,000000,25.03,25.05,25.0199,25.04,14826,0
CGSM.US,D,20231031,000000,24.985,24.985,24.985,24.985,200,0
CGSM.US,D,20231101,000000,25.005,25.005,25.005,25.005,200,0
CGSM.US,D,20231102,000000,25.05,25.06,25.035,25.06,32542,0
CGSM.US,D,20231103,000000,25.08,25.15,25.08,25.14,106036,0
CGSM.US,D,20231106,000000,25.14,25.14,25.13,25.13,74431,0
CGSM.US,D,20231107,000000,25.17,25.22,25.17,25.21,20958,0
CGSM.US,D,20231108,000000,25.2175,25.26,25.2175,25.255,36854,0
CGSM.US,D,20231109,000000,25.25,25.25,25.25,25.25,306,0
CGSM.US,D,20231110,000000,25.27,25.27,25.265,25.265,232,0
CGSM.US,D,20231113,000000,25.2853,25.29,25.285,25.285,3763,0
CGSM.US,D,20231114,000000,25.32,25.37,25.32,25.358,166100,0
CGSM.US,D,20231115,000000,25.365,25.38,25.34,25.375,116256,0
CGSM.US,D,20231116,000000,25.4,25.43,25.4,25.405,14429,0
CGSM.US,D,20231117,000000,25.395,25.41,25.395,25.4004,11795,0
CGSM.US,D,20231120,000000,25.3997,25.4,25.3996,25.4,1634,0
CGSM.US,D,20231121,000000,25.42,25.47,25.4199,25.4597,210568,0
CGSM.US,D,20231122,000000,25.49,25.5,25.475,25.485,79871,0
CGSM.US,D,20231124,000000,25.47,25.475,25.47,25.475,553,0
CGSM.US,D,20231127,000000,25.5,25.505,25.5,25.505,999,0
CGSM.US,D,20231128,000000,25.5,25.5,25.5,25.5,603,0
CGSM.US,D,20231129,000000,25.54,25.63,25.54,25.63,19563,0
CGSM.US,D,20231130,000000,25.565,25.565,25.56,25.56,10053,0
CGSM.US,D,20231201,000000,25.57,25.615,25.57,25.615,24069,0
CGSM.US,D,20231204,000000,25.615,25.63,25.615,25.625,484,0
CGSM.US,D,20231205,000000,25.65,25.655,25.65,25.655,9958,0
CGSM.US,D,20231206,000000,25.68,25.71,25.6709,25.695,17001,0
CGSM.US,D,20231207,000000,25.7,25.71,25.695,25.705,9866,0
CGSM.US,D,20231208,000000,25.68,25.69,25.68,25.689,1992,0
CGSM.US,D,20231211,000000,25.705,25.705,25.705,25.705,1,0
CGSM.US,D,20231212,000000,25.6999,25.71,25.6937,25.705,4954,0
CGSM.US,D,20231213,000000,25.73,25.785,25.7299,25.77,65223,0
CGSM.US,D,20231214,000000,25.79,25.81,25.785,25.81,5700,0
CGSM.US,D,20231215,000000,25.86,25.87,25.8598,25.865,28776,0
CGSM.US,D,20231218,000000,25.8598,25.865,25.85,25.86,14175,0
CGSM.US,D,20231219,000000,25.86,25.9,25.86,25.88,20022,0
CGSM.US,D,20231220,000000,25.865,25.88,25.865,25.8779,2627,0
CGSM.US,D,20231221,000000,25.9,25.93,25.9,25.91,17734,0
CGSM.US,D,20231222,000000,25.92,25.92,25.895,25.895,5992,0
CGSM.US,D,20231226,000000,25.8899,25.8943,25.8899,25.8943,4564,0
CGSM.US,D,20231227,000000,25.8995,25.92,25.8995,25.92,1404,0
CGSM.US,D,20231228,000000,25.82,25.82,25.81,25.815,1881,0
CGSM.US,D,20231229,000000,25.8,25.835,25.8,25.835,7072,0
CGSM.US,D,20240102,000000,25.82,25.83,25.82,25.825,12200,0
CGSM.US,D,20240103,000000,25.81,25.84,25.81,25.8345,7007,0
CGSM.US,D,20240104,000000,25.84,25.84,25.805,25.805,8060,0
CGSM.US,D,20240105,000000,25.8,25.8,25.775,25.775,6193,0
CGSM.US,D,20240108,000000,25.82,25.83,25.8199,25.825,18602,0
CGSM.US,D,20240109,000000,25.82,25.82,25.815,25.815,8692,0
CGSM.US,D,20240110,000000,25.79,25.81,25.79,25.805,16825,0
CGSM.US,D,20240111,000000,25.75,25.8,25.75,25.795,152044,0
CGSM.US,D,20240112,000000,25.79,25.79,25.77,25.7895,43277,0
CGSM.US,D,20240116,000000,25.8,25.81,25.77,25.785,225789,0
CGSM.US,D,20240117,000000,25.75,25.75,25.71,25.73,17236,0
CGSM.US,D,20240118,000000,25.72,25.72,25.67,25.69,115630,0
