<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHAI.US,D,20231214,000000,25.635,25.82,25.635,25.7065,3024,0
CHAI.US,D,20231215,000000,25.5899,25.5899,25.5361,25.5469,365,0
CHAI.US,D,20231218,000000,25.73,25.75,25.68,25.69,5696,0
CHAI.US,D,20231219,000000,25.78,25.78,25.722,25.73,2709,0
CHAI.US,D,20231220,000000,25.78,25.87,25.78,25.8125,1048,0
CHAI.US,D,20231221,000000,25.95,25.95,25.95,25.95,2613,0
CHAI.US,D,20231222,000000,25.95,25.95,25.84,25.8666,1110,0
CHAI.US,D,20231226,000000,25.83,25.8455,25.83,25.8455,130,0
CHAI.US,D,20231227,000000,25.88,25.945,25.88,25.9244,234,0
CHAI.US,D,20231228,000000,25.78,25.8644,25.78,25.8644,221,0
CHAI.US,D,20231229,000000,25.915,25.94,25.8875,25.8875,1350,0
CHAI.US,D,20240102,000000,25.75,25.755,25.65,25.65,1405,0
CHAI.US,D,20240103,000000,25.5875,25.5875,25.5875,25.5875,99,0
CHAI.US,D,20240104,000000,25.56,25.56,25.54,25.54,215,0
CHAI.US,D,20240105,000000,25.41,25.41,25.382,25.3999,947,0
CHAI.US,D,20240108,000000,25.3484,25.3484,25.3484,25.3484,269,0
CHAI.US,D,20240109,000000,25.23,25.23,25.205,25.205,1605,0
CHAI.US,D,20240110,000000,25.2,25.2,25.175,25.175,163,0
CHAI.US,D,20240111,000000,25.16,25.32,25.16,25.32,1433,0
CHAI.US,D,20240112,000000,25.3,25.38,25.3,25.3,3436,0
CHAI.US,D,20240116,000000,25.09,25.09,24.93,24.96,536,0
CHAI.US,D,20240117,000000,24.92,24.96,24.92,24.96,396,0
CHAI.US,D,20240118,000000,25.0169,25.0169,25.0169,25.0169,111,0
CHAI.US,D,20240119,000000,25.07,25.1,25.0648,25.0945,1236,0
CHAI.US,D,20240122,000000,25.0144,25.0144,25.0103,25.0103,171,0
CHAI.US,D,20240123,000000,24.9722,24.9722,24.9722,24.9722,33,0
CHAI.US,D,20240124,000000,25.11,25.1398,25.1017,25.13,1640,0
CHAI.US,D,20240125,000000,25.2,25.225,25.2,25.225,567,0
CHAI.US,D,20240126,000000,25.28,25.28,25.2,25.2354,655,0
CHAI.US,D,20240129,000000,25.3996,25.4495,25.3996,25.4495,507,0
CHAI.US,D,20240130,000000,25.3287,25.3767,25.3287,25.3767,1021,0
CHAI.US,D,20240131,000000,25.48,25.48,25.3986,25.3986,211,0
CHAI.US,D,20240201,000000,25.47,25.57,25.47,25.545,837,0
CHAI.US,D,20240202,000000,25.46,25.46,25.34,25.455,1529,0
CHAI.US,D,20240205,000000,25.48,25.48,25.35,25.4,1917,0
CHAI.US,D,20240206,000000,25.5904,25.5904,25.57,25.57,111,0
CHAI.US,D,20240207,000000,25.512,25.512,25.512,25.512,100,0
CHAI.US,D,20240208,000000,25.405,25.41,25.405,25.41,384,0
CHAI.US,D,20240209,000000,25.4,25.4,25.4,25.4,301,0
CHAI.US,D,20240212,000000,25.47,25.52,25.44,25.4849,879,0
CHAI.US,D,20240213,000000,25.4,25.4,25.29,25.29,169,0
CHAI.US,D,20240214,000000,25.4498,25.4498,25.4498,25.4498,16,0
CHAI.US,D,20240215,000000,25.5776,25.72,25.57,25.5816,12091,0
CHAI.US,D,20240216,000000,25.5,25.5,25.5,25.5,241,0
CHAI.US,D,20240220,000000,25.39,25.39,25.3137,25.3137,695,0
CHAI.US,D,20240221,000000,25.37,25.37,25.3272,25.3272,216,0
CHAI.US,D,20240222,000000,25.4695,25.4695,25.4695,25.4695,80,0
CHAI.US,D,20240223,000000,25.5498,25.5498,25.5498,25.5498,77,0
CHAI.US,D,20240226,000000,25.56,25.56,25.476,25.476,484,0
CHAI.US,D,20240227,000000,25.61,25.61,25.5649,25.5649,208,0
CHAI.US,D,20240228,000000,25.68,25.68,25.6433,25.652,331,0
CHAI.US,D,20240229,000000,25.74,25.74,25.685,25.6898,794,0
