<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHIE.US,D,20091216,000000,11.1777,11.1777,11.0815,11.1211,35420.756887838,0
CHIE.US,D,20091217,000000,11.0299,11.0299,10.8453,10.889,16607.637748549,0
CHIE.US,D,20091218,000000,10.8225,10.8225,10.7323,10.7928,34132.546093795,0
CHIE.US,D,20091221,000000,11.3344,11.3344,10.7323,10.8146,23597.038097447,0
CHIE.US,D,20091222,000000,10.9247,10.9327,10.8453,10.8513,8899.5407672943,0
CHIE.US,D,20091223,000000,11.0368,11.0368,10.9406,11.0001,15111.781083166,0
CHIE.US,D,20091224,000000,11.1946,11.1946,11.1122,11.1211,9175.7299359701,0
CHIE.US,D,20091228,000000,11.2303,11.2303,11.0894,11.0894,12937.547372094,0
CHIE.US,D,20091229,000000,11.52,11.52,11.0815,11.1331,25160.430070499,0
CHIE.US,D,20091230,000000,11.0001,11.0815,11.0001,11.0815,8970.1000439633,0
CHIE.US,D,20091231,000000,11.1569,11.1569,11.1489,11.1489,140286.96186297,0
CHIE.US,D,20100104,000000,11.5289,11.5289,11.3265,11.4257,15426.273859177,0
CHIE.US,D,20100105,000000,11.5656,11.8553,11.4684,11.8553,33217.291476432,0
CHIE.US,D,20100106,000000,12.0249,12.0567,11.9446,12.0408,35231.254830498,0
CHIE.US,D,20100107,000000,12.015,12.02,11.9297,11.9753,30330.409071003,0
CHIE.US,D,20100108,000000,11.9386,12.0477,11.9386,12.0477,8470.1371692801,0
CHIE.US,D,20100111,000000,12.1827,12.1896,12.0339,12.0934,52012.26680172,0
CHIE.US,D,20100112,000000,12.015,12.015,11.7501,11.8335,45517.789379172,0
CHIE.US,D,20100113,000000,11.7888,11.7888,11.512,11.6608,29842.54207232,0
CHIE.US,D,20100114,000000,11.6162,11.6162,11.3424,11.3424,23486.15923411,0
CHIE.US,D,20100115,000000,11.1946,11.2015,11.1638,11.1777,12192.643008403,0
CHIE.US,D,20100119,000000,11.3573,11.393,11.1946,11.3791,20699.067805684,0
CHIE.US,D,20100120,000000,11.4912,11.7154,10.8146,11.0815,63972.064197115,0
CHIE.US,D,20100121,000000,10.8225,10.8225,10.5606,10.5914,48294.80091093,0
CHIE.US,D,20100122,000000,10.5239,10.5467,10.2938,10.2938,18951.213723627,0
CHIE.US,D,20100125,000000,10.4346,10.4495,10.384,10.4495,4127.7176851365,0
CHIE.US,D,20100126,000000,10.266,10.39,10.2134,10.2779,27905.185932923,0
CHIE.US,D,20100127,000000,10.1301,10.1301,9.95943,10.1082,47155.772587559,0
CHIE.US,D,20100128,000000,10.258,10.258,9.97431,10.0934,5112.5235895024,0
CHIE.US,D,20100129,000000,10.1519,10.1826,9.88502,9.90685,13313.527517774,0
CHIE.US,D,20100201,000000,10.1003,10.2491,10.1003,10.2342,7134.5508609026,0
CHIE.US,D,20100202,000000,10.2779,10.4346,10.258,10.4346,41789.235602049,0
CHIE.US,D,20100203,000000,10.5755,10.6211,10.509,10.5319,7247.445703573,0
CHIE.US,D,20100204,000000,10.2253,10.2253,9.94355,9.9505,7279.7013729074,0
CHIE.US,D,20100205,000000,9.76498,9.77292,9.638,9.77292,9546.6701333157,0
CHIE.US,D,20100208,000000,9.77292,9.86816,9.69851,9.69851,2634.8849887538,0
CHIE.US,D,20100209,000000,9.97431,10.0467,9.89197,10.0338,2254.8728844079,0
CHIE.US,D,20100210,000000,10.1658,10.2134,9.99613,10.14,41948.497969387,0
CHIE.US,D,20100211,000000,10.2045,10.3513,10.2045,10.3444,5915.8913538623,0
CHIE.US,D,20100212,000000,10.14,10.2253,10.0547,10.2253,672.3291076889,0
CHIE.US,D,20100216,000000,10.4128,10.5239,10.4128,10.5239,1882.9246973956,0
CHIE.US,D,20100217,000000,10.5755,10.5755,10.4862,10.4862,7970.1742945969,0
CHIE.US,D,20100218,000000,10.4426,10.5021,10.4426,10.5021,4146.8694888038,0
CHIE.US,D,20100219,000000,10.2134,10.269,10.2134,10.269,2152.0579384045,0
CHIE.US,D,20100222,000000,10.1826,10.266,10.1826,10.2134,6095.3135145349,0
CHIE.US,D,20100223,000000,10.2253,10.2253,10.0041,10.0041,1882.9246973956,0
CHIE.US,D,20100224,000000,10.1826,10.1826,10.1826,10.1826,807.3997230267,0
CHIE.US,D,20100225,000000,10.018,10.2174,10.018,10.2174,16033.08363853,0
CHIE.US,D,20100226,000000,10.3394,10.3394,10.3305,10.3305,2783.0594697587,0
CHIE.US,D,20100301,000000,10.4188,10.4793,10.4128,10.4793,2110.7303620698,0
CHIE.US,D,20100302,000000,10.4862,10.517,10.4862,10.517,1342.6422360444,0
CHIE.US,D,20100303,000000,10.6886,10.6886,10.636,10.636,2623.7971024201,0
CHIE.US,D,20100304,000000,10.5319,10.5467,10.4555,10.4654,1207.5716207066,0
CHIE.US,D,20100305,000000,10.6211,10.7402,10.6211,10.7402,3647.9146037873,0
CHIE.US,D,20100308,000000,10.8374,10.8374,10.7858,10.7858,2423.2071587468,0
CHIE.US,D,20100309,000000,10.7184,10.7184,10.7184,10.7184,2015.9793334,0
CHIE.US,D,20100310,000000,10.7977,10.8592,10.762,10.8374,15932.28467186,0
CHIE.US,D,20100311,000000,10.7471,10.7471,10.7471,10.7471,270.1412306756,0
CHIE.US,D,20100312,000000,10.7928,10.7928,10.7551,10.7551,2287.1285537423,0
CHIE.US,D,20100315,000000,10.6142,10.6727,10.6142,10.636,1708.5424850565,0
CHIE.US,D,20100316,000000,10.642,10.642,10.642,10.642,3641.8666657871,0
CHIE.US,D,20100317,000000,10.7769,10.7977,10.7471,10.7551,4392.8189674786,0
CHIE.US,D,20100318,000000,10.7035,10.7035,10.6142,10.6142,1073.5089950355,0
CHIE.US,D,20100319,000000,10.5973,10.5973,10.5973,10.5973,134.0626256711,0
CHIE.US,D,20100322,000000,10.4495,10.5547,10.4128,10.5547,7049.8797288998,0
CHIE.US,D,20100323,000000,10.5239,10.5398,10.4862,10.5398,939.4463693644,0
CHIE.US,D,20100324,000000,10.4862,10.5239,10.4346,10.4723,2452.4388590811,0
CHIE.US,D,20100325,000000,10.5686,10.5914,10.4128,10.4128,18824.207025622,0
CHIE.US,D,20100326,000000,10.6668,10.6886,10.5914,10.5914,7527.6668309156,0
CHIE.US,D,20100329,000000,10.7769,10.889,10.762,10.8801,9570.8618853165,0
CHIE.US,D,20100330,000000,10.8801,10.9952,10.8801,10.9704,10554.659800016,0
CHIE.US,D,20100331,000000,10.8225,10.9108,10.8225,10.8959,6243.4879955398,0
CHIE.US,D,20100401,000000,11.0438,11.0815,11.0368,11.0676,3435.2287841136,0
CHIE.US,D,20100405,000000,11.1638,11.2452,11.1569,11.2303,10689.730415353,0
CHIE.US,D,20100406,000000,11.1777,11.269,11.1777,11.2233,12248.082440072,0
CHIE.US,D,20100407,000000,11.269,11.3711,11.2233,11.2838,5794.9325938583,0
CHIE.US,D,20100408,000000,11.2233,11.3196,11.0973,11.3196,7894.5750695944,0
CHIE.US,D,20100409,000000,11.4019,11.4168,11.3711,11.3711,5612.4864641856,0
CHIE.US,D,20100412,000000,11.3344,11.3711,11.3047,11.3573,12571.647123082,0
CHIE.US,D,20100413,000000,11.2759,11.2759,11.1946,11.269,141254.631943,0
CHIE.US,D,20100414,000000,11.2838,11.4088,11.2838,11.4088,4704.2877744889,0
CHIE.US,D,20100415,000000,11.3791,11.4604,11.3791,11.4386,8630.4075262854,0
CHIE.US,D,20100416,000000,11.3424,11.3424,11.0219,11.0527,24053.657416462,0
CHIE.US,D,20100419,000000,10.8672,10.8721,10.8057,10.8513,3763.8334154578,0
CHIE.US,D,20100420,000000,11.0219,11.0745,11.0219,11.0745,604.79380002,0
CHIE.US,D,20100421,000000,11.0438,11.0438,10.9565,11.0071,5444.1521898467,0
CHIE.US,D,20100422,000000,10.8592,11.0219,10.8592,11.0219,2532.0700427504,0
CHIE.US,D,20100423,000000,11.0438,11.0527,10.9634,11.0527,5987.458620198,0
CHIE.US,D,20100426,000000,11.2065,11.2065,11.1489,11.1777,5199.2107008386,0
CHIE.US,D,20100427,000000,10.7977,10.8592,10.6727,10.6727,8065.9333129334,0
CHIE.US,D,20100428,000000,10.7769,10.8057,10.7184,10.8057,6069.1057832007,0
CHIE.US,D,20100429,000000,10.8374,10.9406,10.8374,10.9406,1535.1682623841,0
CHIE.US,D,20100430,000000,10.9485,10.9485,10.8801,10.8801,1073.5089950355,0
CHIE.US,D,20100503,000000,10.8453,10.889,10.7402,10.889,18284.932553938,0
CHIE.US,D,20100504,000000,10.6727,10.6727,10.3444,10.4128,25258.205068169,0
CHIE.US,D,20100505,000000,10.1519,10.2938,10.0249,10.0854,23654.493508449,0
CHIE.US,D,20100506,000000,10.0854,10.0854,9.3875,9.72927,14776.120524155,0
CHIE.US,D,20100507,000000,9.87709,9.87709,9.54176,9.76498,8335.0665539423,0
CHIE.US,D,20100510,000000,10.1826,10.4723,10.1826,10.269,5338.3132748432,0
CHIE.US,D,20100511,000000,10.3444,10.3444,10.011,10.011,1909.1324287298,0
CHIE.US,D,20100512,000000,10.1449,10.1955,10.1449,10.1826,2487.7184974156,0
CHIE.US,D,20100513,000000,10.2858,10.2938,10.2779,10.2938,818.4876093604,0
CHIE.US,D,20100514,000000,10.1658,10.1658,9.92074,9.92074,5178.0429178379,0
CHIE.US,D,20100517,000000,9.92967,9.92967,9.64593,9.74216,15446.433652511,0
CHIE.US,D,20100518,000000,9.92967,9.92967,9.67768,9.67768,2690.3244204223,0
CHIE.US,D,20100519,000000,9.51994,9.5874,9.51994,9.5874,1317.4424943769,0
CHIE.US,D,20100520,000000,9.22877,9.36994,9.15664,9.34156,11166.509527703,0
CHIE.US,D,20100521,000000,9.14136,9.4743,9.02261,9.4743,22307.819313738,0
CHIE.US,D,20100524,000000,9.52788,9.52788,9.52788,9.52788,939.4463693644,0
CHIE.US,D,20100525,000000,9.08154,9.2746,9.074,9.2746,3360.6375487778,0
CHIE.US,D,20100526,000000,9.3494,9.40803,9.26686,9.26686,7866.3513589268,0
CHIE.US,D,20100527,000000,9.66974,9.81855,9.66181,9.81855,4436.1625231467,0
CHIE.US,D,20100528,000000,9.79474,9.86121,9.79474,9.86121,270.1412306756,0
CHIE.US,D,20100601,000000,9.63204,9.64593,9.61716,9.61716,5378.6328615112,0
CHIE.US,D,20100602,000000,9.60228,9.66974,9.60228,9.66974,1342.6422360444,0
CHIE.US,D,20100603,000000,9.68363,9.68363,9.65486,9.65486,604.79380002,0
CHIE.US,D,20100604,000000,9.46637,9.46637,9.39345,9.41587,1477.7128513822,0
CHIE.US,D,20100607,000000,9.44653,9.44653,9.24444,9.24444,4833.3104518265,0
CHIE.US,D,20100608,000000,9.28234,9.32688,9.22222,9.32688,1207.5716207066,0
CHIE.US,D,20100609,000000,9.41587,9.41587,9.34156,9.34156,538.2664820178,0
CHIE.US,D,20100610,000000,9.60228,9.60228,9.60228,9.60228,134.0626256711,0
CHIE.US,D,20100614,000000,9.94355,9.9882,9.84832,9.84832,1477.7128513822,0
CHIE.US,D,20100615,000000,10.0934,10.0934,10.0934,10.0934,505.0028230167,0
CHIE.US,D,20100616,000000,9.9882,9.9882,9.9882,9.9882,270.1412306756,0
CHIE.US,D,20100617,000000,10.018,10.0467,10.0041,10.011,5647.7661025201,0
CHIE.US,D,20100621,000000,10.509,10.509,10.2779,10.2779,7992.3500672643,0
CHIE.US,D,20100622,000000,10.3394,10.3394,10.1826,10.1826,1196.4837343729,0
CHIE.US,D,20100623,000000,10.2045,10.2491,10.2045,10.2174,1207.5716207066,0
CHIE.US,D,20100624,000000,10.258,10.258,10.0338,10.0338,4476.4821098147,0
CHIE.US,D,20100625,000000,10.0695,10.0934,10.0695,10.0934,2199.4334527394,0
CHIE.US,D,20100628,000000,10.0338,10.0338,10.0249,10.0249,1817.4053690601,0
CHIE.US,D,20100629,000000,9.638,9.71339,9.60228,9.61716,3025.9849794334,0
CHIE.US,D,20100630,000000,9.73522,9.73522,9.70645,9.70645,939.4463693644,0
CHIE.US,D,20100701,000000,9.54176,9.61716,9.49712,9.60923,2707.4602447562,0
CHIE.US,D,20100702,000000,9.638,9.638,9.638,9.638,134.0626256711,0
CHIE.US,D,20100706,000000,9.92074,9.92074,9.7501,9.76498,3897.8960411289,0
CHIE.US,D,20100707,000000,9.77292,9.94355,9.7501,9.94355,5349.4011611769,0
CHIE.US,D,20100708,000000,9.84832,9.88502,9.84038,9.86121,2152.0579384045,0
CHIE.US,D,20100709,000000,10.0785,10.0785,10.0785,10.0785,270.1412306756,0
CHIE.US,D,20100712,000000,10.1747,10.1747,10.018,10.018,1349.6981637113,0
CHIE.US,D,20100713,000000,10.0854,10.1201,10.0854,10.1201,1305.3466183765,0
CHIE.US,D,20100715,000000,9.92074,9.92074,9.74216,9.7501,2453.4468487478,0
CHIE.US,D,20100716,000000,9.67768,9.67768,9.64593,9.64593,5112.5235895024,0
CHIE.US,D,20100719,000000,9.81062,9.81062,9.74216,9.7501,2084.5226307356,0
CHIE.US,D,20100720,000000,9.90685,10.0626,9.90685,10.0547,6424.9261355458,0
CHIE.US,D,20100721,000000,10.1449,10.1747,10.0695,10.1003,2438.3270037473,0
CHIE.US,D,20100722,000000,10.2134,10.3761,10.2134,10.3761,3281.0063651085,0
