<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHIH.US,D,20181213,000000,14.9986,14.9986,14.9986,14.9986,1.0011583996,0
CHIH.US,D,20181217,000000,14.3394,14.3394,14.3394,14.3394,15.017375994,0
CHIH.US,D,20181218,000000,14.3564,14.3564,14.3564,14.3564,77.0891967692,0
CHIH.US,D,20181219,000000,13.797,13.797,13.797,13.797,1.0011583996,0
CHIH.US,D,20181224,000000,13.3166,13.3166,13.3166,13.3166,90.104255964,0
CHIH.US,D,20181228,000000,13.7351,13.7351,13.6122,13.6122,996.152607602,0
CHIH.US,D,20181231,000000,13.7051,13.7051,13.4854,13.4854,402.4656766392,0
CHIH.US,D,20190103,000000,12.5415,12.5415,12.5415,12.5415,1.0011583996,0
CHIH.US,D,20190104,000000,13.4175,13.4175,13.2157,13.2157,100.11583996,0
CHIH.US,D,20190107,000000,13.2187,13.2966,13.2187,13.2966,411.4761022356,0
CHIH.US,D,20190108,000000,13.5433,13.5433,13.5433,13.5433,1.0011583996,0
CHIH.US,D,20190109,000000,13.6712,13.6712,13.6712,13.6712,1.0011583996,0
CHIH.US,D,20190110,000000,14.2325,14.2325,14.2325,14.2325,1.0011583996,0
CHIH.US,D,20190111,000000,14.2025,14.2025,14.0168,14.0168,209.2421055164,0
CHIH.US,D,20190114,000000,13.839,13.839,13.839,13.839,1.0011583996,0
CHIH.US,D,20190115,000000,13.9888,13.9888,13.9888,13.9888,1.0011583996,0
CHIH.US,D,20190116,000000,14.4712,14.4712,14.4712,14.4712,1.0011583996,0
CHIH.US,D,20190117,000000,14.5561,14.5561,14.5561,14.5561,1.0011583996,0
CHIH.US,D,20190118,000000,15.0056,15.0056,15.0056,15.0056,4.0046335984,0
CHIH.US,D,20190122,000000,14.5012,14.5012,14.3314,14.4602,417.4830526332,0
CHIH.US,D,20190123,000000,14.668,14.668,14.668,14.668,1.0011583996,0
