<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHIR.US,D,20181217,000000,40.3885,40.3885,40.3885,40.3885,5.035700408492341,0
CHIR.US,D,20181221,000000,38.6014,38.6014,38.6014,38.6014,5.035700408492341,0
CHIR.US,D,20181231,000000,39.6319,39.6319,39.6319,39.6319,342.09191441691297,0
CHIR.US,D,20190102,000000,38.2171,38.2171,38.2171,38.2171,114.14254259249304,0
CHIR.US,D,20190103,000000,37.7644,37.7644,37.7644,37.7644,0.335713360566156,0
CHIR.US,D,20190104,000000,39.6916,39.6916,39.6916,39.6916,0.335713360566156,0
CHIR.US,D,20190110,000000,40.4125,40.4125,40.4125,40.4125,0.335713360566156,0
CHIR.US,D,20190114,000000,40.1413,40.1413,40.1413,40.1413,0.335713360566156,0
CHIR.US,D,20190115,000000,40.5496,40.5496,40.5496,40.5496,0.335713360566156,0
CHIR.US,D,20190116,000000,41.6605,41.6605,41.6605,41.6605,0.335713360566156,0
CHIR.US,D,20190117,000000,40.2397,40.2397,40.2397,40.2397,0.335713360566156,0
CHIR.US,D,20190118,000000,41.1334,41.1334,41.1334,41.1334,0.335713360566156,0
CHIR.US,D,20190122,000000,40.0549,40.0549,39.6916,39.793,109.44255554456686,0
CHIR.US,D,20190123,000000,40.1056,40.1056,40.1056,40.1056,0.335713360566156,0
CHIR.US,D,20190124,000000,40.8355,40.8355,40.8355,40.8355,0.335713360566156,0
CHIR.US,D,20190125,000000,41.2672,41.2672,41.2672,41.2672,75.87121948795125,0
CHIR.US,D,20190128,000000,41.2912,41.452,41.0917,41.2555,2357.3792178955478,0
CHIR.US,D,20190129,000000,41.5801,41.5801,41.5801,41.5801,0.335713360566156,0
CHIR.US,D,20190130,000000,43.558,43.558,43.558,43.558,0.671426721132312,0
CHIR.US,D,20190131,000000,44.0107,44.0107,44.0107,44.0107,1.6785668028307799,0
CHIR.US,D,20190201,000000,43.5283,43.5283,43.5283,43.5283,8.728547374720057,0
CHIR.US,D,20190204,000000,43.8319,43.8319,43.8319,43.8319,760.3907616823433,0
CHIR.US,D,20190205,000000,44.2132,44.2132,44.2132,44.2132,119.8496697221177,0
CHIR.US,D,20190206,000000,43.978,43.978,43.978,43.978,2.0142801633969363,0
CHIR.US,D,20190207,000000,43.573,43.573,43.2928,43.2928,293.41347713482037,0
CHIR.US,D,20190208,000000,44.0524,44.1328,43.9066,43.9066,620.3982903262563,0
CHIR.US,D,20190211,000000,44.2132,44.2132,43.6801,43.6801,231.3065054300815,0
CHIR.US,D,20190212,000000,43.1947,43.1947,43.1947,43.1947,1.6785668028307799,0
CHIR.US,D,20190213,000000,43.4836,43.4836,43.4836,43.4836,1.6785668028307799,0
CHIR.US,D,20190214,000000,43.1587,43.1587,42.7657,42.9742,312.2134253265251,0
CHIR.US,D,20190215,000000,42.7924,42.7924,42.7924,42.7924,40.62131662850488,0
CHIR.US,D,20190219,000000,42.9502,42.9502,42.9502,42.9502,1.6785668028307799,0
CHIR.US,D,20190220,000000,43.3555,43.3555,43.3555,43.3555,1.6785668028307799,0
CHIR.US,D,20190221,000000,42.9472,42.9472,42.9472,42.9472,1.6785668028307799,0
CHIR.US,D,20190222,000000,44.2222,44.2372,43.9183,43.9183,171.21381388873954,0
CHIR.US,D,20190225,000000,44.5798,44.5798,44.5798,44.5798,119.8496697221177,0
CHIR.US,D,20190226,000000,43.9363,43.9363,43.9363,43.9363,19.47137491283705,0
CHIR.US,D,20190227,000000,42.7864,42.7864,42.7864,42.7864,4.699987047926184,0
CHIR.US,D,20190228,000000,42.8638,42.8638,42.8638,42.8638,76.54264620908357,0
CHIR.US,D,20190301,000000,43.975,43.975,43.7485,43.7485,381.03466424258704,0
CHIR.US,D,20190304,000000,45.4436,45.4466,45.0533,45.0533,1640.6311930868046,0
CHIR.US,D,20190305,000000,46.0274,46.0274,46.0274,46.0274,190.0137620804443,0
CHIR.US,D,20190306,000000,46.0424,46.0424,45.7952,45.7952,570.376999601899,0
CHIR.US,D,20190307,000000,44.4187,44.4187,44.4187,44.4187,1.6785668028307799,0
CHIR.US,D,20190308,000000,42.9949,42.9949,42.9949,42.9949,22.492795157932456,0
CHIR.US,D,20190311,000000,44.371,44.371,44.371,44.371,1.6785668028307799,0
CHIR.US,D,20190312,000000,45.1784,45.1784,45.1784,45.1784,1.6785668028307799,0
CHIR.US,D,20190313,000000,45.5777,45.5777,45.5777,45.5777,1.6785668028307799,0
CHIR.US,D,20190314,000000,44.7106,44.7106,44.6242,44.6242,102.72828833324374,0
CHIR.US,D,20190315,000000,45.8873,45.8873,45.8873,45.8873,5.371413769058496,0
CHIR.US,D,20190318,000000,48.2495,48.2495,48.2495,48.2495,2.685706884529248,0
CHIR.US,D,20190319,000000,48.443,48.443,48.443,48.443,2.685706884529248,0
CHIR.US,D,20190320,000000,48.9167,49.1342,48.9167,49.1342,48.00701056096031,0
CHIR.US,D,20190321,000000,48.05,48.5654,48.05,48.5654,65.46410531040043,0
CHIR.US,D,20190322,000000,46.8554,46.8554,46.8554,46.8554,2.685706884529248,0
CHIR.US,D,20190325,000000,47.7551,47.7551,47.7551,47.7551,2.685706884529248,0
CHIR.US,D,20190326,000000,47.8175,47.8175,47.8175,47.8175,114.14254259249304,0
CHIR.US,D,20190327,000000,48.1811,48.1811,48.1811,48.1811,2.685706884529248,0
CHIR.US,D,20190328,000000,48.2465,48.2465,48.2465,48.2465,2.685706884529248,0
CHIR.US,D,20190329,000000,49.0775,50.2334,49.0775,50.1797,1032.3185837409299,0
CHIR.US,D,20190401,000000,50.579,51.2492,50.4449,50.999,355.85616220012537,0
CHIR.US,D,20190402,000000,50.1113,50.1797,50.1053,50.1797,717.4194515298755,0
CHIR.US,D,20190403,000000,50.6504,50.6504,50.6504,50.6504,2.685706884529248,0
CHIR.US,D,20190404,000000,50.579,50.6861,50.579,50.6861,179.94236126345965,0
CHIR.US,D,20190405,000000,51.1955,51.1955,51.0584,51.0584,76.54264620908357,0
CHIR.US,D,20190408,000000,51.1658,51.6035,51.1658,51.6035,2120.3655853358414,0
CHIR.US,D,20190409,000000,52.4108,52.4108,51.9074,51.9074,544.527070838305,0
CHIR.US,D,20190410,000000,51.3116,51.827,51.3116,51.827,310.87057188426047,0
CHIR.US,D,20190411,000000,51.1538,51.3353,50.6921,50.6921,454.5558902065752,0
CHIR.US,D,20190412,000000,51.6512,52.0175,51.6512,52.0175,692.2409494874138,0
CHIR.US,D,20190415,000000,51.8657,51.8657,51.2759,51.2759,336.72050064785446,0
CHIR.US,D,20190416,000000,50.567,50.8649,50.567,50.8649,77.54978629078204,0
CHIR.US,D,20190417,000000,50.7575,50.7575,49.9922,49.9922,219.8922511708322,0
CHIR.US,D,20190418,000000,49.7864,49.7864,49.7864,49.7864,2.0142801633969363,0
CHIR.US,D,20190422,000000,48.7349,49.1966,48.6308,49.1966,2268.4151773455164,0
CHIR.US,D,20190423,000000,48.0767,48.1334,48.05,48.1334,163.15669323515183,0
CHIR.US,D,20190424,000000,48.1571,48.4163,48.1571,48.4163,171.21381388873954,0
CHIR.US,D,20190425,000000,47.9546,47.9546,47.9546,47.9546,2.349993523963092,0
CHIR.US,D,20190426,000000,48.1871,48.479,48.1871,48.479,114.47825595305919,0
CHIR.US,D,20190429,000000,48.5147,48.5147,48.5147,48.5147,2.0142801633969363,0
CHIR.US,D,20190430,000000,48.467,48.467,48.467,48.467,3.021420245095404,0
CHIR.US,D,20190501,000000,48.446,48.446,48.446,48.446,220.5636778919645,0
CHIR.US,D,20190502,000000,48.0203,48.0203,48.0203,48.0203,2.685706884529248,0
CHIR.US,D,20190503,000000,48.5771,48.9854,48.5771,48.9854,380.3632375214548,0
CHIR.US,D,20190506,000000,47.3111,47.5613,47.3111,47.5613,46.328443758129524,0
CHIR.US,D,20190507,000000,46.6826,46.6826,45.8636,45.8636,114.14254259249304,0
CHIR.US,D,20190508,000000,45.929,45.929,45.929,45.929,23.835648600197075,0
CHIR.US,D,20190509,000000,45.1427,45.1427,45.1427,45.1427,21.485655076233986,0
CHIR.US,D,20190510,000000,45.8843,45.8843,45.8843,45.8843,21.485655076233986,0
CHIR.US,D,20190513,000000,44.2072,44.2372,44.2072,44.2372,156.44242602382872,0
CHIR.US,D,20190514,000000,44.2906,44.4784,44.2906,44.4784,62.442685065305014,0
CHIR.US,D,20190515,000000,44.8447,44.8447,44.6809,44.6809,50.02129072435724,0
CHIR.US,D,20190516,000000,45.4763,45.4763,45.4763,45.4763,185.3137750325181,0
CHIR.US,D,20190517,000000,43.8676,43.8676,43.8676,43.8676,39.61417654680641,0
CHIR.US,D,20190520,000000,42.5272,42.6346,42.5272,42.6346,242.04933296819848,0
CHIR.US,D,20190521,000000,43.2631,43.2631,43.2631,43.2631,167.52096692251186,0
CHIR.US,D,20190522,000000,43.1083,43.1083,43.1083,43.1083,153.08529241816714,0
CHIR.US,D,20190523,000000,42.3694,42.4738,42.292,42.4738,913.8117674610767,0
