<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHIS.US,D,20181213,000000,14.7185,14.7185,14.7185,14.7185,1.0047250419,0
CHIS.US,D,20181214,000000,14.6836,14.6836,14.6836,14.6836,20.094500838,0
CHIS.US,D,20181219,000000,14.2049,14.2049,14.2049,14.2049,21.0992258799,0
CHIS.US,D,20181226,000000,14.3084,14.3084,14.3084,14.3084,1.0047250419,0
CHIS.US,D,20190104,000000,14.1163,14.1163,14.1163,14.1163,1.0047250419,0
CHIS.US,D,20190110,000000,14.6428,14.6428,14.6428,14.6428,1.0047250419,0
CHIS.US,D,20190114,000000,14.5901,14.5901,14.5901,14.5901,1.0047250419,0
CHIS.US,D,20190115,000000,14.9374,14.9374,14.9374,14.9374,1.0047250419,0
CHIS.US,D,20190116,000000,15.232,15.232,15.232,15.232,1.0047250419,0
CHIS.US,D,20190117,000000,15.2151,15.2151,15.2151,15.2151,1.0047250419,0
CHIS.US,D,20190118,000000,15.2947,15.2947,15.2947,15.2947,1.0047250419,0
CHIS.US,D,20190122,000000,14.9822,14.9822,14.9822,14.9822,14.0661505866,0
CHIS.US,D,20190123,000000,15.0638,15.0638,15.0638,15.0638,14.0661505866,0
CHIS.US,D,20190124,000000,15.2221,15.2221,15.2221,15.2221,14.0661505866,0
CHIS.US,D,20190125,000000,15.3166,15.3166,15.3166,15.3166,14.0661505866,0
CHIS.US,D,20190128,000000,15.1305,15.1305,15.1305,15.1305,14.0661505866,0
CHIS.US,D,20190129,000000,15.2251,15.2251,15.2251,15.2251,14.0661505866,0
CHIS.US,D,20190130,000000,15.3405,15.3405,15.3405,15.3405,14.0661505866,0
CHIS.US,D,20190131,000000,15.6132,15.6132,15.6132,15.6132,103.4866793157,0
CHIS.US,D,20190201,000000,15.6491,15.6491,15.6491,15.6491,14.0661505866,0
CHIS.US,D,20190204,000000,15.7197,15.7197,15.7197,15.7197,14.0661505866,0
CHIS.US,D,20190205,000000,15.9078,15.9078,15.9078,15.9078,50.236252095,0
CHIS.US,D,20190206,000000,15.7038,15.7038,15.7038,15.7038,251.181260475,0
CHIS.US,D,20190207,000000,15.7486,15.7486,15.6132,15.6132,203.9591835057,0
CHIS.US,D,20190208,000000,15.5973,15.5973,15.5326,15.5326,492.315270531,0
CHIS.US,D,20190211,000000,15.8242,15.8242,15.8242,15.8242,14.0661505866,0
CHIS.US,D,20190212,000000,15.9208,15.9208,15.9208,15.9208,14.0661505866,0
CHIS.US,D,20190213,000000,16.085,16.085,16.085,16.085,14.0661505866,0
CHIS.US,D,20190214,000000,16.2462,16.2462,16.2363,16.2363,166.7843569554,0
CHIS.US,D,20190215,000000,16.304,16.304,16.304,16.304,14.0661505866,0
CHIS.US,D,20190219,000000,16.303,16.4582,16.303,16.3657,1344.3221060622,0
CHIS.US,D,20190220,000000,16.5349,16.5349,16.4244,16.4244,166.7843569554,0
CHIS.US,D,20190221,000000,16.4592,16.4592,16.4204,16.4204,769.6193820954,0
CHIS.US,D,20190222,000000,16.7558,16.7558,16.6762,16.6762,743.496531006,0
CHIS.US,D,20190225,000000,16.8155,16.8255,16.7578,16.7578,1567.371065364,0
CHIS.US,D,20190226,000000,16.3716,16.6105,16.3716,16.6105,299.4080624862,0
CHIS.US,D,20190227,000000,16.3328,16.3328,16.3328,16.3328,75.3543781425,0
CHIS.US,D,20190228,000000,16.286,16.286,16.286,16.286,1.0047250419,0
CHIS.US,D,20190301,000000,16.6334,16.6334,16.6334,16.6334,116.5481048604,0
CHIS.US,D,20190304,000000,16.9131,16.9131,16.5448,16.6344,402.8947418019,0
CHIS.US,D,20190305,000000,16.7817,16.7817,16.7817,16.7817,6.0283502514,0
CHIS.US,D,20190306,000000,16.8006,16.8006,16.8006,16.8006,6.0283502514,0
CHIS.US,D,20190307,000000,16.4144,16.4144,16.4144,16.4144,112.5292046928,0
CHIS.US,D,20190308,000000,16.2024,16.2024,16.2024,16.2024,6.0283502514,0
CHIS.US,D,20190311,000000,16.6075,16.6075,16.6075,16.6075,6.0283502514,0
CHIS.US,D,20190312,000000,16.6722,16.6722,16.6722,16.6722,6.0283502514,0
CHIS.US,D,20190313,000000,16.4493,16.498,16.4264,16.4264,723.402030168,0
CHIS.US,D,20190314,000000,16.4961,16.498,16.4702,16.4702,586.7594244696,0
CHIS.US,D,20190315,000000,16.8146,16.8165,16.8146,16.8165,825.8839844418,0
CHIS.US,D,20190318,000000,17.4336,17.4336,17.4336,17.4336,40.189001676,0
CHIS.US,D,20190319,000000,17.4456,17.4456,17.3261,17.3261,786.6997078077,0
CHIS.US,D,20190320,000000,17.4814,17.4814,17.4814,17.4814,40.189001676,0
CHIS.US,D,20190321,000000,17.4068,17.4068,17.4018,17.4018,822.8698093161,0
CHIS.US,D,20190322,000000,17.0574,17.1938,17.0574,17.1151,655.0807273188,0
CHIS.US,D,20190325,000000,17.0674,17.136,17.0395,17.0395,3996.7962166782,0
CHIS.US,D,20190326,000000,17.357,17.3769,17.3281,17.3281,1462.8796610064,0
CHIS.US,D,20190327,000000,17.6476,17.6476,17.5839,17.5839,284.3371868577,0
CHIS.US,D,20190328,000000,17.9372,17.9372,17.9283,17.9283,586.7594244696,0
CHIS.US,D,20190329,000000,18.5852,18.6718,18.5215,18.614,4234.9160516085,0
CHIS.US,D,20190401,000000,18.828,18.828,18.6648,18.7345,4553.4138898908,0
CHIS.US,D,20190402,000000,18.614,18.614,18.4498,18.4498,1162.4668734783,0
CHIS.US,D,20190403,000000,18.6678,18.6678,18.614,18.614,1762.2877234926,0
CHIS.US,D,20190404,000000,18.8977,18.9923,18.8977,18.9246,1714.0609214814,0
CHIS.US,D,20190405,000000,19.1376,19.1376,19.0301,19.0301,1449.8182354617,0
CHIS.US,D,20190408,000000,19.041,19.0719,19.0281,19.05,4143.4860727956,0
CHIS.US,D,20190409,000000,19.2232,19.2232,19.1376,19.1386,2815.2395674038,0
CHIS.US,D,20190410,000000,19.1555,19.1804,19.1555,19.1804,294.3844372767,0
CHIS.US,D,20190411,000000,18.838,18.838,18.6539,18.6539,2280.725845113,0
CHIS.US,D,20190412,000000,18.8838,18.9534,18.8838,18.9534,361.701015084,0
CHIS.US,D,20190415,000000,19.0988,21.1869,18.7474,18.7474,7029.0563931324,0
CHIS.US,D,20190416,000000,18.8469,19.0868,18.7494,18.7494,1961.2232817888,0
CHIS.US,D,20190417,000000,18.9873,18.9873,18.9873,18.9873,1.0047250419,0
CHIS.US,D,20190418,000000,19.0022,19.0022,19.0022,19.0022,309.4553129052,0
CHIS.US,D,20190422,000000,18.8569,19.1515,18.7285,18.9405,1019.7959175285,0
CHIS.US,D,20190423,000000,20.8385,20.8385,19.1366,19.1366,1493.0214122634,0
CHIS.US,D,20190424,000000,18.9236,19.255,18.4697,19.0958,3078.4775283816,0
CHIS.US,D,20190425,000000,18.9654,19.1545,18.9534,19.0619,2919.7309717614,0
CHIS.US,D,20190426,000000,19.1276,19.1276,18.9564,18.9564,191.9024830029,0
CHIS.US,D,20190429,000000,19.2152,19.2152,18.9783,18.9783,525.4711969137,0
CHIS.US,D,20190430,000000,19.2859,19.2918,19.055,19.2918,1338.2937558108,0
CHIS.US,D,20190501,000000,19.2918,19.2918,19.1017,19.1017,1282.0291534644,0
CHIS.US,D,20190502,000000,19.2829,19.5526,19.2829,19.4163,1117.2542465928,0
CHIS.US,D,20190503,000000,19.4073,19.8612,19.4073,19.6253,327.5403636594,0
CHIS.US,D,20190506,000000,18.8569,19.2331,18.7942,19.0002,3982.7300660916,0
CHIS.US,D,20190507,000000,18.7076,18.7205,18.3254,18.7205,6990.8768415402,0
CHIS.US,D,20190508,000000,18.624,18.8639,18.624,18.8639,1383.5063826963,0
CHIS.US,D,20190509,000000,18.4498,18.5812,18.4498,18.5812,227.0678594694,0
CHIS.US,D,20190510,000000,18.8569,18.9823,18.8569,18.9823,321.512013408,0
CHIS.US,D,20190513,000000,18.4498,18.619,18.3652,18.3652,1081.0841450844,0
CHIS.US,D,20190514,000000,18.62,18.62,18.62,18.62,38.1795515922,0
CHIS.US,D,20190515,000000,18.8868,19.2003,18.8868,19.053,1467.9032862159,0
CHIS.US,D,20190516,000000,19.263,19.263,19.1177,19.1754,1161.4621484364,0
CHIS.US,D,20190517,000000,18.8569,19.4282,18.6807,18.6807,520.4475717042,0
CHIS.US,D,20190520,000000,18.402,18.402,18.203,18.203,206.9733586314,0
CHIS.US,D,20190521,000000,18.199,18.2756,18.199,18.2756,887.1722119977,0
CHIS.US,D,20190522,000000,18.3871,18.3871,18.3782,18.3782,721.3925800842,0
CHIS.US,D,20190523,000000,18.4498,18.4498,18.1801,18.2687,1760.2782734088,0
CHIS.US,D,20190524,000000,18.1482,18.1482,18.0149,18.0686,1397.5725332829,0
