<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHIX.US,D,20091211,000000,11.4372,11.489,11.3774,11.4073,967441.82183675,0
CHIX.US,D,20091214,000000,11.4681,11.483,11.3474,11.4222,124578.36045421,0
CHIX.US,D,20091215,000000,11.145,11.166,11.0533,11.1361,453271.62112754,0
CHIX.US,D,20091216,000000,11.0324,11.0384,10.9337,11.0005,992946.02941893,0
CHIX.US,D,20091217,000000,10.9187,10.9187,10.6106,10.6934,193599.8932471,0
CHIX.US,D,20091218,000000,10.6326,10.6405,10.496,10.5947,112802.6358397,0
CHIX.US,D,20091221,000000,10.3604,10.5029,10.3604,10.4351,1008292.2829175,0
CHIX.US,D,20091222,000000,10.5947,10.5947,10.482,10.5189,10034.590304758,0
CHIX.US,D,20091223,000000,10.0433,10.6684,10.0433,10.6106,8187.1424945271,0
CHIX.US,D,20091224,000000,10.6684,10.813,10.6684,10.7891,6178.218518472,0
CHIX.US,D,20091228,000000,10.7961,10.7961,10.6934,10.7223,28705.648087206,0
CHIX.US,D,20091229,000000,10.6934,10.7073,10.6326,10.6934,8790.9229406505,0
CHIX.US,D,20091230,000000,10.6405,10.6684,10.6186,10.6475,8791.9258982022,0
CHIX.US,D,20091231,000000,10.9028,10.9028,10.7602,10.7602,5916.4465974783,0
CHIX.US,D,20100104,000000,10.8818,10.9337,10.8818,10.9097,9280.3662258801,0
CHIX.US,D,20100105,000000,11.0623,11.0982,11.0623,11.0982,17760.372325504,0
CHIX.US,D,20100106,000000,11.1211,11.1281,11.0902,11.1062,29018.570843336,0
CHIX.US,D,20100107,000000,11.0902,11.0902,11.0164,11.0463,19851.538820798,0
CHIX.US,D,20100108,000000,10.9935,11.0463,10.9646,11.0463,13573.024547156,0
CHIX.US,D,20100111,000000,11.1062,11.1062,10.9486,10.9935,9150.9847017108,0
CHIX.US,D,20100112,000000,10.6186,10.9716,10.6106,10.6405,50926.172645119,0
CHIX.US,D,20100113,000000,10.482,10.482,10.3853,10.482,31519.946977276,0
CHIX.US,D,20100114,000000,10.3763,10.4441,10.2557,10.2706,5445.0565481793,0
CHIX.US,D,20100115,000000,10.2856,10.2856,10.1639,10.1789,8108.9118054945,0
CHIX.US,D,20100119,000000,10.3763,10.6326,10.3763,10.6326,15761.477924966,0
CHIX.US,D,20100120,000000,10.4002,10.4002,10.1709,10.2766,14276.097790898,0
CHIX.US,D,20100121,000000,10.1639,10.1639,9.85585,9.87779,25171.225675015,0
CHIX.US,D,20100122,000000,10.0154,10.0154,9.69832,9.75216,36013.196808892,0
CHIX.US,D,20100125,000000,9.97649,9.97649,9.75914,9.81098,12870.954260966,0
CHIX.US,D,20100126,000000,9.48196,9.66143,9.44965,9.56371,52996.277031828,0
CHIX.US,D,20100127,000000,9.39721,9.44965,9.30677,9.42054,6911.3804887647,0
CHIX.US,D,20100128,000000,9.50289,9.56371,9.35154,9.47298,17399.307606892,0
CHIX.US,D,20100129,000000,9.65245,9.66741,9.45843,9.45843,12687.413029005,0
CHIX.US,D,20100201,000000,9.70729,9.804,9.70729,9.78207,59769.249378458,0
CHIX.US,D,20100202,000000,9.75914,9.86482,9.70729,9.81098,23987.735764009,0
CHIX.US,D,20100203,000000,9.95456,9.96154,9.81098,9.88576,788321.62676354,0
CHIX.US,D,20100204,000000,9.69832,9.69832,9.40498,9.40498,92964.135467073,0
CHIX.US,D,20100205,000000,9.28444,9.32911,9.08274,9.28444,37340.109649791,0
CHIX.US,D,20100208,000000,9.24745,9.37577,9.18743,9.18743,269265.01686245,0
CHIX.US,D,20100209,000000,9.41276,9.57867,9.33788,9.42732,49783.803993733,0
CHIX.US,D,20100210,000000,9.55474,9.64647,9.44965,9.48894,77347.083429552,0
CHIX.US,D,20100211,000000,9.66143,9.82793,9.62852,9.81896,6127.0676833353,0
CHIX.US,D,20100212,000000,9.70729,9.70729,9.58366,9.67538,16201.776290162,0
CHIX.US,D,20100216,000000,9.72225,9.85585,9.72225,9.85585,7127.0163623802,0
CHIX.US,D,20100217,000000,9.87779,9.88576,9.81098,9.87081,7735.8115962621,0
CHIX.US,D,20100218,000000,9.82793,9.86482,9.76612,9.86482,9632.4043265268,0
CHIX.US,D,20100219,000000,9.66741,9.76612,9.66741,9.7362,43806.176985601,0
CHIX.US,D,20100222,000000,9.70729,9.7362,9.68336,9.69832,8083.837866702,0
CHIX.US,D,20100223,000000,9.68336,9.68336,9.53879,9.56371,13388.480357643,0
CHIX.US,D,20100224,000000,9.68336,9.8409,9.68336,9.76612,15813.631717654,0
CHIX.US,D,20100225,000000,9.59861,9.64647,9.57169,9.62852,10534.063165505,0
CHIX.US,D,20100226,000000,9.7362,9.84887,9.72723,9.8409,16552.811433257,0
CHIX.US,D,20100301,000000,10.143,10.1789,10.135,10.1639,26046.807617649,0
CHIX.US,D,20100302,000000,10.3324,10.3763,10.2936,10.3235,69133.864038681,0
CHIX.US,D,20100303,000000,10.3454,10.4441,10.3015,10.3394,621185.7714756,0
CHIX.US,D,20100304,000000,10.1789,10.1958,10.1141,10.1879,16344.196262503,0
CHIX.US,D,20100305,000000,10.3693,10.466,10.3324,10.4351,30557.107727644,0
CHIX.US,D,20100308,000000,10.5348,10.5947,10.5029,10.5568,745468.25945206,0
CHIX.US,D,20100309,000000,10.5568,10.7392,10.5568,10.6226,72765.573333387,0
CHIX.US,D,20100310,000000,10.7143,10.7452,10.6555,10.6854,165161.03186865,0
CHIX.US,D,20100311,000000,10.5498,10.6186,10.496,10.6186,18691.116933481,0
CHIX.US,D,20100312,000000,10.5418,10.5568,10.466,10.482,15477.640937834,0
CHIX.US,D,20100315,000000,10.3853,10.4142,10.3235,10.4142,22391.027341703,0
CHIX.US,D,20100316,000000,10.3015,10.4292,10.3015,10.4292,34384.393744931,0
CHIX.US,D,20100317,000000,10.5568,10.6475,10.5348,10.5727,17149.571176518,0
CHIX.US,D,20100318,000000,10.5787,10.5787,10.5189,10.5189,5644.6451009676,0
CHIX.US,D,20100319,000000,10.5568,10.5568,10.4531,10.4531,10352.527848647,0
CHIX.US,D,20100322,000000,10.3394,10.482,10.3394,10.4441,22857.402603243,0
CHIX.US,D,20100323,000000,10.3763,10.3913,10.3015,10.3913,10739.669463604,0
CHIX.US,D,20100324,000000,10.3524,10.3524,10.2487,10.2557,13983.234185801,0
CHIX.US,D,20100325,000000,10.3165,10.3454,10.1639,10.1709,23061.002986238,0
CHIX.US,D,20100326,000000,10.3693,10.4202,10.2766,10.3693,6519.22408605,0
CHIX.US,D,20100329,000000,10.5418,10.5857,10.5089,10.5857,15935.992538961,0
CHIX.US,D,20100330,000000,10.6934,10.7891,10.6934,10.7831,22047.012901469,0
CHIX.US,D,20100331,000000,10.7392,10.7961,10.6934,10.7392,13604.116231259,0
CHIX.US,D,20100401,000000,10.9785,11.0384,10.9486,10.9935,18305.981233628,0
CHIX.US,D,20100405,000000,11.0324,11.166,11.0324,11.1211,5413.9648640766,0
CHIX.US,D,20100406,000000,11.0384,11.174,11.0384,11.158,15052.386935914,0
CHIX.US,D,20100407,000000,11.2118,11.2118,11.0842,11.145,14692.325174853,0
CHIX.US,D,20100408,000000,11.1281,11.2198,11.0384,11.174,13910.018284527,0
CHIX.US,D,20100409,000000,11.1809,11.2956,11.158,11.2796,704983.87787769,0
CHIX.US,D,20100412,000000,11.0384,11.0902,11.0384,11.0533,167815.860508,0
CHIX.US,D,20100413,000000,11.0005,11.0005,10.9028,11.0005,170313.22481173,0
CHIX.US,D,20100414,000000,11.0005,11.0703,10.9865,11.0703,19024.098840646,0
CHIX.US,D,20100415,000000,10.8818,10.9028,10.835,10.8818,30471.856335749,0
CHIX.US,D,20100416,000000,10.5348,10.5348,10.2487,10.3324,140636.71381448,0
CHIX.US,D,20100419,000000,10.128,10.2417,10.0892,10.2088,205651.43118833,0
CHIX.US,D,20100420,000000,10.3235,10.3693,10.2936,10.3454,43506.292677643,0
CHIX.US,D,20100421,000000,10.2268,10.2327,10.1051,10.1879,16132.572219094,0
CHIX.US,D,20100422,000000,10.0892,10.1958,10.0303,10.1958,30140.880343688,0
CHIX.US,D,20100423,000000,10.0612,10.1639,10.0612,10.143,25343.734373907,0
CHIX.US,D,20100426,000000,10.1709,10.2268,10.1639,10.1789,13093.610837444,0
CHIX.US,D,20100427,000000,9.98547,9.98547,9.71527,9.71527,25114.057094568,0
CHIX.US,D,20100428,000000,9.90072,9.90072,9.79005,9.89474,20263.754374547,0
CHIX.US,D,20100429,000000,9.89474,10.0373,9.89474,9.99943,39705.0835567,0
CHIX.US,D,20100430,000000,10.0981,10.0981,9.89474,9.89474,71320.311501387,0
CHIX.US,D,20100503,000000,9.86482,9.99344,9.85585,9.99344,753530.03225262,0
CHIX.US,D,20100504,000000,9.69134,9.7362,9.50289,9.57169,105207.23830067,0
CHIX.US,D,20100505,000000,9.41276,9.66741,9.41276,9.48894,101903.49612538,0
CHIX.US,D,20100506,000000,9.41276,9.46431,8.2822,8.97466,80859.440775606,0
CHIX.US,D,20100507,000000,9.3661,9.45843,9.11933,9.19311,50798.797036053,0
CHIX.US,D,20100510,000000,9.69832,9.74318,9.63849,9.72723,70383.549148099,0
CHIX.US,D,20100511,000000,9.45843,9.71527,9.45843,9.57169,47414.818256618,0
CHIX.US,D,20100512,000000,9.57169,9.58366,9.50289,9.56371,11096.722352009,0
CHIX.US,D,20100513,000000,9.62453,9.63849,9.53281,9.57169,17489.573786545,0
CHIX.US,D,20100514,000000,9.42732,9.44965,9.31355,9.44965,1727276.4452594,0
CHIX.US,D,20100517,000000,9.40498,9.44188,9.23878,9.44188,226978.32056768,0
CHIX.US,D,20100518,000000,9.59861,9.62453,9.33788,9.38265,213899.75409351,0
CHIX.US,D,20100519,000000,9.24745,9.35932,9.18743,9.32911,98307.893302531,0
CHIX.US,D,20100520,000000,9.06479,9.15682,8.95113,9.00567,137747.19310803,0
CHIX.US,D,20100521,000000,8.83238,9.2316,8.8251,9.19311,99192.50186313,0
CHIX.US,D,20100524,000000,9.37577,9.59861,9.37577,9.44188,61092.15038915,0
CHIX.US,D,20100525,000000,9.04973,9.35932,9.04973,9.31355,21626.773687307,0
CHIX.US,D,20100526,000000,9.50289,9.59861,9.39721,9.42732,83138.160333068,0
CHIX.US,D,20100527,000000,9.61556,9.8409,9.61556,9.79005,22236.571878741,0
CHIX.US,D,20100528,000000,9.68336,9.77409,9.57169,9.71527,37837.576595434,0
CHIX.US,D,20100601,000000,9.53281,9.63849,9.42732,9.42732,7943.423809464,0
CHIX.US,D,20100602,000000,9.53281,9.68336,9.45843,9.67538,42093.125487297,0
CHIX.US,D,20100603,000000,9.60858,9.67538,9.55474,9.59163,14448.60648979,0
CHIX.US,D,20100604,000000,9.44188,9.60858,9.41276,9.42732,40502.434810301,0
CHIX.US,D,20100607,000000,9.53879,9.53879,9.33788,9.34466,28935.325366545,0
CHIX.US,D,20100608,000000,9.35932,9.48894,9.32233,9.48196,11863.984879059,0
CHIX.US,D,20100609,000000,9.56371,9.7362,9.51785,9.56371,37097.39392228,0
CHIX.US,D,20100610,000000,9.64647,9.78207,9.64647,9.75216,25258.482982013,0
CHIX.US,D,20100611,000000,9.61556,9.78207,9.61556,9.75216,10413.708259301,0
CHIX.US,D,20100614,000000,9.89474,9.9396,9.78207,9.81098,14687.310387095,0
CHIX.US,D,20100615,000000,9.84887,9.98547,9.84887,9.98547,23786.141296117,0
CHIX.US,D,20100616,000000,9.89474,10.0303,9.89474,9.96154,14810.674165954,0
CHIX.US,D,20100617,000000,9.90969,9.90969,9.8409,9.89474,12232.070300533,0
CHIX.US,D,20100618,000000,9.98547,10.0303,9.94658,9.94658,29172.023348746,0
CHIX.US,D,20100621,000000,10.4072,10.496,10.2856,10.3604,41672.886273135,0
CHIX.US,D,20100622,000000,10.3394,10.4142,10.2417,10.3015,17349.159729307,0
CHIX.US,D,20100623,000000,10.3165,10.3165,10.2038,10.2417,9367.623532878,0
CHIX.US,D,20100624,000000,10.1879,10.2327,10.135,10.152,14032.379105835,0
CHIX.US,D,20100625,000000,10.128,10.2487,10.128,10.2038,9101.8397816775,0
CHIX.US,D,20100628,000000,10.1709,10.2487,10.1639,10.1709,26666.6353846,0
CHIX.US,D,20100629,000000,9.83392,9.85585,9.71527,9.74318,24397.945402654,0
CHIX.US,D,20100630,000000,9.78207,9.81896,9.66143,9.66143,28156.027348874,0
CHIX.US,D,20100701,000000,9.67538,9.77409,9.57169,9.75914,27347.643562204,0
CHIX.US,D,20100702,000000,9.74318,9.75216,9.62852,9.69134,12166.878059673,0
CHIX.US,D,20100706,000000,9.93063,10.0054,9.804,9.82793,8460.9499061412,0
CHIX.US,D,20100707,000000,9.87081,10.0433,9.87081,10.0373,15669.205830209,0
CHIX.US,D,20100708,000000,9.9396,10.0054,9.91767,9.98547,12971.250016136,0
CHIX.US,D,20100709,000000,10.1051,10.2487,10.1051,10.2417,14849.78951047,0
CHIX.US,D,20100712,000000,10.2487,10.2706,10.1958,10.2487,353467.31515787,0
CHIX.US,D,20100713,000000,10.3693,10.3853,10.3165,10.3693,184191.1484546,0
CHIX.US,D,20100714,000000,10.2706,10.3165,10.2327,10.2856,125764.85923787,0
CHIX.US,D,20100715,000000,10.1709,10.1879,10.0303,10.1879,113118.56746848,0
CHIX.US,D,20100716,000000,10.0214,10.0214,9.90969,9.91767,28955.384517579,0
CHIX.US,D,20100719,000000,9.99344,10.0373,9.96852,10.0373,17038.24288828,0
CHIX.US,D,20100720,000000,10.128,10.3763,10.128,10.3394,26595.425398429,0
CHIX.US,D,20100721,000000,10.4142,10.4142,10.2168,10.2557,23299.706883543,0
CHIX.US,D,20100722,000000,10.4351,10.6186,10.4351,10.5568,31857.943672199,0
CHIX.US,D,20100723,000000,10.5498,10.6405,10.496,10.6405,13953.14545925,0
CHIX.US,D,20100726,000000,10.496,10.6615,10.496,10.6106,34491.710202963,0
CHIX.US,D,20100727,000000,10.5568,10.6106,10.482,10.5189,43080.03571817,0
CHIX.US,D,20100728,000000,10.489,10.5418,10.489,10.5418,13696.388326015,0
CHIX.US,D,20100729,000000,10.6016,10.6226,10.4601,10.5568,29082.760126645,0
CHIX.US,D,20100730,000000,10.4601,10.5947,10.4601,10.5947,45267.486138428,0
CHIX.US,D,20100802,000000,10.7223,10.8818,10.7223,10.821,18395.24445573,0
CHIX.US,D,20100803,000000,10.7522,10.8419,10.7452,10.813,35597.972382488,0
CHIX.US,D,20100804,000000,10.7522,10.7761,10.6555,10.7602,28963.408177993,0
CHIX.US,D,20100805,000000,10.5418,10.6226,10.5418,10.6226,8577.2929821384,0
CHIX.US,D,20100806,000000,10.6186,10.6226,10.496,10.5787,11873.011497025,0
CHIX.US,D,20100809,000000,10.6774,10.6994,10.6405,10.6684,27939.388517707,0
CHIX.US,D,20100810,000000,10.4002,10.4601,10.3853,10.4292,71247.095600113,0
CHIX.US,D,20100811,000000,10.1709,10.1879,10.0892,10.1191,11247.165984764,0
CHIX.US,D,20100812,000000,9.99943,10.128,9.99943,10.0892,19748.234192973,0
CHIX.US,D,20100813,000000,10.152,10.2268,10.152,10.152,12829.833001346,0
CHIX.US,D,20100816,000000,10.2327,10.2626,10.1789,10.2417,14973.153289329,0
CHIX.US,D,20100817,000000,10.3394,10.3454,10.2487,10.2856,6633.5612469438,0
CHIX.US,D,20100818,000000,10.2417,10.2856,10.1879,10.2856,62219.474677261,0
CHIX.US,D,20100819,000000,10.2706,10.3165,10.158,10.2088,48360.607227871,0
CHIX.US,D,20100820,000000,10.1709,10.2038,10.1191,10.2038,7452.9775666827,0
CHIX.US,D,20100823,000000,10.2088,10.2088,10.0892,10.0981,12993.315082274,0
CHIX.US,D,20100824,000000,9.98547,10.0373,9.9396,9.96154,38024.12670005,0
CHIX.US,D,20100825,000000,9.87779,9.9396,9.82793,9.9396,35596.969424936,0
CHIX.US,D,20100826,000000,9.92365,9.96154,9.85585,9.88576,20200.56804879,0
CHIX.US,D,20100827,000000,9.87081,10.0214,9.81896,9.99943,16424.432866639,0
CHIX.US,D,20100830,000000,9.98547,9.99344,9.87081,9.87081,30286.309188685,0
CHIX.US,D,20100831,000000,9.85585,9.96852,9.8409,9.90969,15558.880499522,0
CHIX.US,D,20100901,000000,9.99344,10.143,9.99344,10.143,10410.699386646,0
CHIX.US,D,20100902,000000,10.1141,10.158,10.0822,10.135,13701.403113774,0
CHIX.US,D,20100903,000000,10.2557,10.2557,10.1789,10.1958,23194.396340614,0
CHIX.US,D,20100907,000000,10.3235,10.3235,10.2038,10.2038,28962.405220441,0
CHIX.US,D,20100908,000000,10.152,10.2936,10.152,10.2088,35671.188283762,0
CHIX.US,D,20100909,000000,10.3524,10.3524,10.2327,10.2766,21790.255768234,0
CHIX.US,D,20100910,000000,10.1958,10.2487,10.1709,10.1709,19652.953225562,0
CHIX.US,D,20100913,000000,10.3913,10.482,10.3913,10.4202,59342.992418986,0
CHIX.US,D,20100914,000000,10.466,10.5857,10.4441,10.5498,20632.842753572,0
CHIX.US,D,20100915,000000,10.4601,10.5029,10.4202,10.5029,30403.655222234,0
CHIX.US,D,20100916,000000,10.3324,10.4441,10.3324,10.4202,15998.175907167,0
CHIX.US,D,20100917,000000,10.5089,10.5089,10.4351,10.482,17280.958615791,0
CHIX.US,D,20100920,000000,10.496,10.5857,10.466,10.5857,49838.966659076,0
CHIX.US,D,20100921,000000,10.496,10.5498,10.474,10.5189,22314.802567773,0
CHIX.US,D,20100922,000000,10.4351,10.5089,10.4351,10.482,6302.5852548828,0
CHIX.US,D,20100923,000000,10.4002,10.474,10.3853,10.3913,18475.481059866,0
CHIX.US,D,20100924,000000,10.5568,10.6016,10.5348,10.5857,10669.462434985,0
CHIX.US,D,20100927,000000,10.466,10.5029,10.4601,10.4601,18901.738019338,0
CHIX.US,D,20100928,000000,10.4601,10.496,10.3853,10.489,37819.523359504,0
CHIX.US,D,20100929,000000,10.482,10.489,10.4351,10.4351,18936.841533648,0
CHIX.US,D,20100930,000000,10.4351,10.4351,10.3085,10.3693,21220.575878869,0
CHIX.US,D,20101001,000000,10.4142,10.4351,10.3913,10.4292,9797.8923225573,0
CHIX.US,D,20101004,000000,10.4292,10.4531,10.3524,10.3693,10507.986269161,0
CHIX.US,D,20101005,000000,10.5189,10.6555,10.5189,10.6475,37029.192808764,0
CHIX.US,D,20101006,000000,10.7323,10.7323,10.6226,10.7073,1772435.6119822,0
CHIX.US,D,20101007,000000,10.6555,10.6555,10.5498,10.6106,39870.57155273,0
CHIX.US,D,20101008,000000,10.6016,10.7392,10.5947,10.7073,357969.59160745,0
CHIX.US,D,20101011,000000,10.7223,10.7522,10.6934,10.7143,29848.016738592,0
CHIX.US,D,20101012,000000,10.7682,10.7831,10.6934,10.7602,8879.1832052001,0
CHIX.US,D,20101013,000000,11.0384,11.2408,11.0384,11.166,73156.72677855,0
CHIX.US,D,20101014,000000,11.2956,11.3305,11.2198,11.2557,154339.1198858,0
CHIX.US,D,20101015,000000,11.489,11.506,11.3185,11.483,186746.68429633,0
CHIX.US,D,20101018,000000,11.4003,11.5349,11.3774,11.5349,45475.09835163,0
CHIX.US,D,20101019,000000,11.3305,11.3305,11.1809,11.1879,58309.946140735,0
CHIX.US,D,20101020,000000,11.3235,11.4372,11.3026,11.3774,47060.774240867,0
