<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPAI.US,D,20231130,000000,25.2,25.29,25.1372,25.1971,45582,0
CPAI.US,D,20231201,000000,25.24,25.5942,25.24,25.5942,48718,0
CPAI.US,D,20231204,000000,25.5927,25.68,25.5927,25.6569,35833,0
CPAI.US,D,20231205,000000,25.86,25.86,25.55,25.59,12525,0
CPAI.US,D,20231206,000000,25.7352,25.8,25.33,25.339,23874,0
CPAI.US,D,20231207,000000,25.33,25.42,25.33,25.3798,10205,0
CPAI.US,D,20231208,000000,25.52,25.65,25.45,25.5648,11698,0
CPAI.US,D,20231211,000000,25.77,25.77,25.5199,25.5339,1531,0
CPAI.US,D,20231212,000000,25.65,25.65,25.58,25.623,12234,0
CPAI.US,D,20231213,000000,25.67,26.03,25.53,26.0027,6262,0
CPAI.US,D,20231214,000000,26.06,26.0644,25.92,25.9736,15456,0
CPAI.US,D,20231215,000000,25.917,26.0686,25.917,26.0686,3433,0
CPAI.US,D,20231218,000000,26.312,26.37,26.2733,26.3227,20103,0
CPAI.US,D,20231219,000000,26.67,26.76,26.67,26.7403,2027,0
CPAI.US,D,20231220,000000,26.75,26.87,26.4127,26.4127,9952,0
CPAI.US,D,20231221,000000,26.688,26.85,26.688,26.85,3198,0
CPAI.US,D,20231222,000000,26.9165,26.9628,26.9116,26.9116,2005,0
CPAI.US,D,20231226,000000,26.925,27.04,26.925,27.014,722,0
CPAI.US,D,20231227,000000,27.17,27.17,27.1222,27.1222,11972,0
CPAI.US,D,20231228,000000,27.1,27.1,27.0741,27.0768,5456,0
CPAI.US,D,20231229,000000,27.0471,27.0471,26.8569,26.8569,3048,0
CPAI.US,D,20240102,000000,26.7733,26.7733,26.638,26.638,1101,0
CPAI.US,D,20240103,000000,26.4499,26.57,26.3998,26.3998,5431,0
CPAI.US,D,20240104,000000,26.5399,26.55,26.3297,26.3297,95786,0
CPAI.US,D,20240105,000000,26.4737,26.4737,26.4094,26.4094,4102,0
