<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DCOR.US,D,20230914,000000,50.11,50.3032,50.11,50.2761,1490,0
DCOR.US,D,20230915,000000,49.85,49.92,49.7321,49.7321,3978,0
DCOR.US,D,20230918,000000,49.78,50.02,49.7118,49.7118,4808,0
DCOR.US,D,20230919,000000,49.59,49.64,49.59,49.6297,85852,0
DCOR.US,D,20230920,000000,49.8,49.8,49.2632,49.2632,2689,0
DCOR.US,D,20230921,000000,48.73,48.7633,48.4828,48.4828,8043,0
DCOR.US,D,20230922,000000,48.58,48.6485,48.3856,48.3856,2281,0
DCOR.US,D,20230925,000000,48.47,48.5222,48.405,48.5222,6809,0
DCOR.US,D,20230926,000000,48.33,48.33,47.87,47.89,14320,0
DCOR.US,D,20230927,000000,48.036,48.26,47.7599,47.9884,9401,0
DCOR.US,D,20230928,000000,48.56,48.57,48.33,48.3474,147616,0
DCOR.US,D,20230929,000000,48.7278,48.7278,48.12,48.1711,188389,0
DCOR.US,D,20231002,000000,48.03,48.04,47.77,47.9431,13963,0
DCOR.US,D,20231003,000000,47.59,47.59,47.15,47.2479,828497,0
DCOR.US,D,20231004,000000,47.32,47.6,47.22,47.54,305914,0
DCOR.US,D,20231005,000000,47.22,47.5,47.22,47.4572,21665,0
DCOR.US,D,20231006,000000,47.245,48.13,47.07,47.9648,48206,0
DCOR.US,D,20231009,000000,47.93,48.3308,47.84,48.2702,5656,0
DCOR.US,D,20231010,000000,48.78,48.88,48.59,48.6,20295,0
DCOR.US,D,20231011,000000,48.66,48.7386,48.47,48.7386,24024,0
DCOR.US,D,20231012,000000,48.58,48.589,48.14,48.2654,55732,0
DCOR.US,D,20231013,000000,48.37,48.38,47.85,47.98,24879,0
DCOR.US,D,20231016,000000,48.3,48.74,48.3,48.6508,89983,0
DCOR.US,D,20231017,000000,48.7,49.06,48.7,48.7975,14332,0
DCOR.US,D,20231018,000000,48.49,48.49,47.9901,48.0708,27091,0
DCOR.US,D,20231019,000000,48,48.24,47.59,47.6228,36309,0
DCOR.US,D,20231020,000000,47.489,47.489,46.99,47.0095,21563,0
DCOR.US,D,20231023,000000,46.93,47.241,46.75,46.78,21557,0
DCOR.US,D,20231024,000000,47.08,47.2523,46.94,47.09,37842,0
DCOR.US,D,20231025,000000,46.89,46.89,46.42,46.45,109546,0
DCOR.US,D,20231026,000000,46.78,46.78,46.03,46.09,63870,0
DCOR.US,D,20231027,000000,46.0585,46.14,45.61,45.7618,67363,0
DCOR.US,D,20231030,000000,45.87,46.31,45.87,46.2491,26787,0
DCOR.US,D,20231031,000000,46.1905,46.59,46.1905,46.56,18758,0
DCOR.US,D,20231101,000000,46.505,46.945,46.505,46.9,274492,0
DCOR.US,D,20231102,000000,47.39,47.9,47.39,47.9,55703,0
DCOR.US,D,20231103,000000,48.4592,48.66,48.34,48.4812,35053,0
DCOR.US,D,20231106,000000,48.52,48.52,48.22,48.3393,17672,0
DCOR.US,D,20231107,000000,48.34,48.5,48.2079,48.43,194837,0
DCOR.US,D,20231108,000000,48.56,48.56,48.13,48.3347,42253,0
DCOR.US,D,20231109,000000,48.41,48.44,47.89,47.9,62357,0
DCOR.US,D,20231110,000000,48,48.62,48,48.598,28956,0
DCOR.US,D,20231113,000000,48.57,48.6694,48.36,48.56,42869,0
DCOR.US,D,20231114,000000,49.73,49.88,49.66,49.75,56364,0
DCOR.US,D,20231115,000000,50.04,50.19,49.9,49.9162,25368,0
DCOR.US,D,20231116,000000,49.91,49.91,49.61,49.7496,29188,0
DCOR.US,D,20231117,000000,49.91,50.0891,49.8825,50.0198,22793,0
DCOR.US,D,20231120,000000,50.08,50.42,50.08,50.3123,37034,0
DCOR.US,D,20231121,000000,50.3,50.3,50.1101,50.12,33732,0
DCOR.US,D,20231122,000000,50.44,50.46,50.14,50.3896,26237,0
DCOR.US,D,20231124,000000,50.48,50.51,50.43,50.45,6333,0
DCOR.US,D,20231127,000000,50.27,50.4387,50.27,50.3892,153849,0
DCOR.US,D,20231128,000000,50.25,50.52,50.17,50.3201,33779,0
DCOR.US,D,20231129,000000,50.64,50.735,50.3656,50.38,127789,0
DCOR.US,D,20231130,000000,50.6,50.67,50.3472,50.65,135996,0
DCOR.US,D,20231201,000000,50.66,51.2591,50.57,51.23,67772,0
DCOR.US,D,20231204,000000,50.57,51.15,50.57,51.15,35580,0
DCOR.US,D,20231205,000000,51.04,51.04,50.83,50.88,32519,0
DCOR.US,D,20231206,000000,51.13,51.25,50.72,50.745,110663,0
DCOR.US,D,20231207,000000,51.03,51.15,50.92,51.13,68455,0
DCOR.US,D,20231208,000000,51.13,51.41,51,51.38,51456,0
DCOR.US,D,20231211,000000,51.41,51.6199,51.365,51.6033,57683,0
DCOR.US,D,20231212,000000,51.46,51.78,51.46,51.71,131383,0
DCOR.US,D,20231213,000000,51.82,52.6,51.65,52.6,166475,0
DCOR.US,D,20231214,000000,53.08,53.32,52.86,53.15,62874,0
DCOR.US,D,20231215,000000,53.3,53.3,52.89,52.99,91525,0
DCOR.US,D,20231218,000000,53.2,53.31,53.13,53.24,81686,0
DCOR.US,D,20231219,000000,53.21,53.49,53.18,53.49,63699,0
DCOR.US,D,20231220,000000,53.44,53.6493,52.67,52.67,94347,0
DCOR.US,D,20231221,000000,53.09,53.25,52.82,53.2466,187191,0
DCOR.US,D,20231222,000000,53.4,53.5964,53.2221,53.41,48916,0
DCOR.US,D,20231226,000000,53.5,53.8,53.5,53.6798,28687,0
