<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DFCA.US,D,20230628,000000,50.1399,50.1399,50.1,50.12,2437,0
DFCA.US,D,20230629,000000,50.1,50.11,50.0895,50.095,7750,0
DFCA.US,D,20230630,000000,50.095,50.095,50.095,50.095,200,0
DFCA.US,D,20230703,000000,50.105,50.105,50.105,50.105,1,0
DFCA.US,D,20230705,000000,50.095,50.1,50.095,50.095,567,0
DFCA.US,D,20230706,000000,50.095,50.095,50.095,50.095,434,0
DFCA.US,D,20230707,000000,50.09,50.09,50.04,50.04,200,0
DFCA.US,D,20230710,000000,50.039,50.05,50.0335,50.0335,7243,0
DFCA.US,D,20230711,000000,50.05,50.07,50.035,50.035,9443,0
DFCA.US,D,20230712,000000,50.08,50.11,50.08,50.11,5049,0
DFCA.US,D,20230713,000000,50.1879,50.19,50.185,50.185,2380,0
DFCA.US,D,20230714,000000,50.195,50.23,50.181,50.19,12836,0
DFCA.US,D,20230717,000000,50.218,50.218,50.21,50.21,639,0
DFCA.US,D,20230718,000000,50.181,50.22,50.18,50.215,1351,0
DFCA.US,D,20230719,000000,50.28,50.28,50.2746,50.28,901,0
DFCA.US,D,20230720,000000,50.28,50.5,50.2799,50.2957,13446,0
DFCA.US,D,20230721,000000,50.3,50.31,50.285,50.295,59175,0
DFCA.US,D,20230724,000000,50.3,50.32,50.29,50.29,7768,0
DFCA.US,D,20230725,000000,50.28,50.35,50.28,50.295,4674,0
DFCA.US,D,20230726,000000,50.32,50.55,50.3,50.3,9096,0
DFCA.US,D,20230727,000000,50.28,50.28,50.235,50.235,351,0
DFCA.US,D,20230728,000000,50.49,50.49,50.19,50.19,9861,0
DFCA.US,D,20230731,000000,50.17,50.1799,50.13,50.135,37556,0
DFCA.US,D,20230801,000000,50.14,50.14,50.085,50.09,32580,0
DFCA.US,D,20230802,000000,50.03,50.12,49.99,50.118,10223,0
DFCA.US,D,20230803,000000,49.8999,49.8999,49.84,49.8592,3980,0
DFCA.US,D,20230804,000000,49.92,49.955,49.92,49.955,4902,0
DFCA.US,D,20230807,000000,49.92,49.96,49.87,49.885,2524166,0
DFCA.US,D,20230808,000000,49.84,49.88,49.8,49.82,49909,0
DFCA.US,D,20230809,000000,49.94,49.94,49.91,49.92,34826,0
DFCA.US,D,20230810,000000,49.87,49.95,49.87,49.9189,9481,0
DFCA.US,D,20230811,000000,49.89,49.91,49.88,49.895,4303,0
DFCA.US,D,20230814,000000,49.99,49.99,49.8,49.89,15375,0
DFCA.US,D,20230815,000000,49.93,49.9486,49.9001,49.9201,20353,0
DFCA.US,D,20230816,000000,49.9101,49.92,49.905,49.905,2228,0
DFCA.US,D,20230817,000000,49.9014,49.9049,49.8725,49.88,11263,0
DFCA.US,D,20230818,000000,50.11,50.11,49.845,49.845,10791,0
DFCA.US,D,20230821,000000,49.8,49.8,49.7649,49.7704,7087,0
DFCA.US,D,20230822,000000,49.74,49.98,49.72,49.74,28026,0
DFCA.US,D,20230823,000000,49.7203,49.77,49.7203,49.7468,9932,0
DFCA.US,D,20230824,000000,49.67,49.86,49.67,49.72,17880,0
DFCA.US,D,20230825,000000,49.7001,49.7269,49.7,49.7269,53616,0
DFCA.US,D,20230828,000000,49.85,49.85,49.71,49.715,28452,0
DFCA.US,D,20230829,000000,49.82,49.82,49.77,49.7857,10846,0
DFCA.US,D,20230830,000000,49.88,49.88,49.74,49.7602,12697,0
DFCA.US,D,20230831,000000,50.03,50.03,49.7603,49.83,52673,0
DFCA.US,D,20230901,000000,49.77,49.78,49.755,49.7694,56162,0
DFCA.US,D,20230905,000000,49.75,49.76,49.7001,49.73,15351,0
DFCA.US,D,20230906,000000,49.77,49.77,49.7,49.7,10241,0
DFCA.US,D,20230907,000000,49.685,49.71,49.59,49.7053,11479,0
DFCA.US,D,20230908,000000,49.73,49.73,49.68,49.7081,7905,0
DFCA.US,D,20230911,000000,49.6986,49.7,49.67,49.7,9694,0
DFCA.US,D,20230912,000000,49.66,49.71,49.62,49.66,16985,0
DFCA.US,D,20230913,000000,49.7099,49.74,49.7099,49.725,2629,0
DFCA.US,D,20230914,000000,49.7,49.72,49.63,49.6385,14790,0
DFCA.US,D,20230915,000000,49.75,49.75,49.635,49.65,11504,0
DFCA.US,D,20230918,000000,49.6501,49.69,49.62,49.665,19704,0
DFCA.US,D,20230919,000000,49.65,49.65,49.515,49.52,36125,0
DFCA.US,D,20230920,000000,49.49,49.57,49.48,49.5155,32881,0
DFCA.US,D,20230921,000000,49.39,49.39,49.36,49.36,13124,0
DFCA.US,D,20230922,000000,49.45,49.45,49.2,49.3001,33790,0
DFCA.US,D,20230925,000000,49.32,49.32,49,49.1076,9954,0
DFCA.US,D,20230926,000000,49.08,49.08,49.061,49.07,7634,0
DFCA.US,D,20230927,000000,49.06,49.06,49,49.06,20704,0
DFCA.US,D,20230928,000000,49,49.005,48.86,48.89,23046,0
DFCA.US,D,20230929,000000,48.88,48.9399,48.86,48.895,15901,0
DFCA.US,D,20231002,000000,48.79,48.83,48.74,48.8,19043,0
DFCA.US,D,20231003,000000,48.725,48.73,48.71,48.72,23420,0
DFCA.US,D,20231004,000000,48.69,48.77,48.6,48.77,19415,0
DFCA.US,D,20231005,000000,48.81,48.89,48.7804,48.82,20774,0
DFCA.US,D,20231006,000000,48.61,48.77,48.61,48.7,42142,0
DFCA.US,D,20231009,000000,48.76,48.84,48.75,48.84,7070,0
DFCA.US,D,20231010,000000,48.7852,48.89,48.76,48.87,9892,0
DFCA.US,D,20231011,000000,49.03,49.07,49.03,49.07,897,0
DFCA.US,D,20231012,000000,49.05,49.13,49,49.005,13050,0
DFCA.US,D,20231013,000000,49.0701,49.13,49.05,49.0751,39016,0
DFCA.US,D,20231016,000000,49.09,49.13,48.9572,49.01,17094,0
DFCA.US,D,20231017,000000,48.97,48.97,48.825,48.8355,20208,0
DFCA.US,D,20231018,000000,48.815,49,48.76,48.83,41273,0
DFCA.US,D,20231019,000000,48.76,48.77,48.59,48.66,40050,0
DFCA.US,D,20231020,000000,48.73,48.75,48.65,48.65,107292,0
DFCA.US,D,20231023,000000,48.78,48.78,48.64,48.67,91981,0
DFCA.US,D,20231024,000000,48.6,48.64,48.54,48.64,27654,0
DFCA.US,D,20231025,000000,48.61,48.62,48.4701,48.53,31070,0
DFCA.US,D,20231026,000000,48.53,48.585,48.525,48.5687,7906,0
DFCA.US,D,20231027,000000,48.5,48.57,48.5,48.5143,26910,0
DFCA.US,D,20231030,000000,48.53,48.575,48.39,48.4862,10282,0
DFCA.US,D,20231031,000000,48.44,48.53,48.44,48.4925,40860,0
DFCA.US,D,20231101,000000,48.6,48.65,48.55,48.615,18287,0
DFCA.US,D,20231102,000000,48.8,48.94,48.72,48.8445,6085,0
DFCA.US,D,20231103,000000,49.12,49.12,49.04,49.04,8561,0
DFCA.US,D,20231106,000000,49.0352,49.0352,49,49.02,7870,0
DFCA.US,D,20231107,000000,49.19,49.27,49.1641,49.27,10421,0
DFCA.US,D,20231108,000000,49.18,49.3,49.18,49.2703,14519,0
DFCA.US,D,20231109,000000,49.33,49.45,49.18,49.18,41824,0
DFCA.US,D,20231110,000000,49.3001,49.33,49.3001,49.325,982,0
DFCA.US,D,20231113,000000,49.2785,49.4,49.2785,49.31,75545,0
DFCA.US,D,20231114,000000,49.56,49.6,49.49,49.5209,29170,0
DFCA.US,D,20231115,000000,49.5129,49.545,49.5057,49.5106,11183,0
DFCA.US,D,20231116,000000,49.62,49.6669,49.6,49.63,90350,0
DFCA.US,D,20231117,000000,49.75,49.75,49.6201,49.67,13965,0
DFCA.US,D,20231120,000000,49.72,49.8,49.67,49.75,36168,0
DFCA.US,D,20231121,000000,49.66,49.7099,49.6107,49.69,10368,0
DFCA.US,D,20231122,000000,49.85,49.85,49.6957,49.73,8598,0
DFCA.US,D,20231124,000000,49.7,49.87,49.69,49.69,9117,0
DFCA.US,D,20231127,000000,49.78,49.83,49.765,49.81,15140,0
DFCA.US,D,20231128,000000,50,50,49.74,49.865,140176,0
DFCA.US,D,20231129,000000,50.12,50.12,49.99,50.06,35344,0
DFCA.US,D,20231130,000000,50.07,50.09,49.94,50.0748,3685,0
DFCA.US,D,20231201,000000,50.17,50.2099,50.051,50.19,14581,0
DFCA.US,D,20231204,000000,50.15,50.2088,50.1,50.195,17188,0
DFCA.US,D,20231205,000000,50.35,50.35,50.26,50.3186,58463,0
DFCA.US,D,20231206,000000,50.27,50.4,50.27,50.37,7724,0
DFCA.US,D,20231207,000000,50.43,50.4499,50.36,50.4071,34224,0
DFCA.US,D,20231208,000000,50.345,50.42,50.3187,50.3647,21846,0
DFCA.US,D,20231211,000000,50.42,50.48,50.325,50.394,27378,0
DFCA.US,D,20231212,000000,50.52,50.52,50.241,50.3884,19113,0
DFCA.US,D,20231213,000000,50.6,50.6,50.37,50.5698,48041,0
DFCA.US,D,20231214,000000,50.6499,50.74,50.6499,50.71,20427,0
DFCA.US,D,20231215,000000,50.73,50.73,50.7001,50.72,21123,0
DFCA.US,D,20231218,000000,50.6404,50.79,50.6404,50.76,35473,0
DFCA.US,D,20231219,000000,50.55,50.63,50.4,50.61,138827,0
DFCA.US,D,20231220,000000,50.57,50.84,50.5546,50.685,38757,0
DFCA.US,D,20231221,000000,50.75,50.75,50.485,50.6,46181,0
DFCA.US,D,20231222,000000,50.62,50.6299,50.59,50.6036,10912,0
DFCA.US,D,20231226,000000,50.64,50.647,50.6017,50.635,10530,0
DFCA.US,D,20231227,000000,50.67,50.76,50.67,50.715,16007,0
DFCA.US,D,20231228,000000,50.66,50.76,50.655,50.662,32503,0
DFCA.US,D,20231229,000000,50.7,50.89,50.7,50.74,61981,0
DFCA.US,D,20240102,000000,50.65,50.6789,50.62,50.6291,10879,0
DFCA.US,D,20240103,000000,50.62,50.74,50.62,50.695,26712,0
DFCA.US,D,20240104,000000,50.58,50.77,50.58,50.712,22618,0
DFCA.US,D,20240105,000000,50.56,50.85,50.56,50.684,22703,0
DFCA.US,D,20240108,000000,50.73,50.75,50.71,50.75,26034,0
DFCA.US,D,20240109,000000,50.78,50.78,50.6906,50.72,47397,0
DFCA.US,D,20240110,000000,50.72,50.72,50.65,50.665,28703,0
DFCA.US,D,20240111,000000,50.67,50.73,50.655,50.727,20666,0
DFCA.US,D,20240112,000000,50.72,50.72,50.68,50.695,9276,0
DFCA.US,D,20240116,000000,50.66,50.67,50.615,50.645,30940,0
DFCA.US,D,20240117,000000,50.48,50.57,50.48,50.56,41076,0
DFCA.US,D,20240118,000000,50.51,50.51,50.4513,50.5,37746,0
DFCA.US,D,20240119,000000,50.47,50.4798,50.4201,50.4508,38060,0
DFCA.US,D,20240122,000000,50.47,50.53,50.47,50.5195,13571,0
DFCA.US,D,20240123,000000,50.48,50.48,50.46,50.475,24749,0
DFCA.US,D,20240124,000000,50.45,50.46,50.4055,50.425,24943,0
DFCA.US,D,20240125,000000,50.466,50.53,50.466,50.5289,33127,0
DFCA.US,D,20240126,000000,50.43,50.5099,50.43,50.4854,9071,0
DFCA.US,D,20240129,000000,50.5209,50.59,50.5209,50.58,16367,0
DFCA.US,D,20240130,000000,50.565,50.62,50.55,50.595,26040,0
DFCA.US,D,20240131,000000,50.73,50.75,50.69,50.7367,3676,0
DFCA.US,D,20240201,000000,50.79,50.83,50.73,50.8009,44707,0
DFCA.US,D,20240202,000000,50.72,50.72,50.63,50.67,26583,0
DFCA.US,D,20240205,000000,50.63,50.63,50.54,50.5756,13962,0
DFCA.US,D,20240206,000000,50.6,50.6799,50.6,50.625,25531,0
