<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DFEM.US,D,20220428,000000,24.7693,25.0565,24.6519,24.9472,190491.25149127,0
DFEM.US,D,20220429,000000,25.323,26.3296,25.0071,25.0367,200445.00178198,0
DFEM.US,D,20220502,000000,24.8493,25.0662,24.7901,25.0262,211231.69340822,0
DFEM.US,D,20220503,000000,25.1058,25.3131,25.0565,25.3131,590646.60485053,0
DFEM.US,D,20220504,000000,25.0367,25.6486,24.8098,25.5203,208934.51821642,0
DFEM.US,D,20220505,000000,25.0565,25.0565,24.42,24.5957,215005.2621838,0
DFEM.US,D,20220506,000000,24.3756,24.869,24.2275,24.3132,455569.25831674,0
DFEM.US,D,20220509,000000,23.9314,23.9413,23.5762,23.6354,332395.27172032,0
DFEM.US,D,20220510,000000,23.8427,23.8427,23.4873,23.6726,628926.44041318,0
DFEM.US,D,20220511,000000,23.8919,24.0005,23.4775,23.5263,241992.76411725,0
DFEM.US,D,20220512,000000,23.369,23.5959,23.1172,23.4577,1410847.5858698,0
DFEM.US,D,20220513,000000,23.7144,23.9512,23.6936,23.9512,261723.94864953,0
DFEM.US,D,20220516,000000,23.8229,24.0992,23.7807,23.8565,437799.84315867,0
DFEM.US,D,20220517,000000,24.3756,24.4248,24.2019,24.3634,946573.98926565,0
DFEM.US,D,20220518,000000,24.2275,24.2769,23.7835,23.8229,893397.47417296,0
DFEM.US,D,20220519,000000,24.0597,24.267,23.961,24.1478,981129.90827344,0
DFEM.US,D,20220520,000000,24.415,24.4792,23.961,24.2868,450951.60178872,0
DFEM.US,D,20220523,000000,24.5334,24.562,24.3409,24.5236,217432.14113587,0
DFEM.US,D,20220524,000000,24.2275,24.2275,23.8812,24.0509,205016.04602115,0
DFEM.US,D,20220525,000000,24.0893,24.2374,23.9586,24.1607,306218.41828861,0
DFEM.US,D,20220526,000000,24.4545,24.6617,24.415,24.5125,180297.34658193,0
DFEM.US,D,20220527,000000,24.6124,24.7506,24.6025,24.6913,305360.1441874,0
DFEM.US,D,20220531,000000,25.1946,25.2144,25.017,25.0367,190172.05864372,0
DFEM.US,D,20220601,000000,25.2243,25.2243,24.7974,24.8936,1279672.4985612,0
DFEM.US,D,20220602,000000,24.9775,25.3328,24.938,25.2934,252758.17622032,0
DFEM.US,D,20220603,000000,25.0071,25.0268,24.8197,24.8493,214484.42052143,0
DFEM.US,D,20220606,000000,25.1552,25.2144,24.8789,24.9017,123248.97158282,0
DFEM.US,D,20220607,000000,24.7604,25.0565,24.7604,25.017,288357.8051741,0
