<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DFRA.US,D,20211216,000000,24.4709,24.4806,24.2836,24.2836,2089.5061880539,0
DFRA.US,D,20211217,000000,24.1154,24.2497,23.9754,24.0411,2299648.5916078,0
DFRA.US,D,20211220,000000,23.3718,23.6635,23.3361,23.6404,13358.136438099,0
DFRA.US,D,20211221,000000,24.0093,24.5482,24.0093,24.0797,16675.667571163,0
DFRA.US,D,20211222,000000,24.1251,24.2497,24.1251,24.2276,12439.706314807,0
DFRA.US,D,20211223,000000,24.4323,24.4516,24.3724,24.3724,19845.13161558,0
DFRA.US,D,20211227,000000,24.4129,24.7123,24.4129,24.7123,3728.5985050457,0
DFRA.US,D,20211228,000000,24.7983,24.8611,24.7403,24.749,6439.3652049095,0
DFRA.US,D,20211229,000000,24.7886,24.7935,24.7693,24.7858,2401.1718781452,0
DFRA.US,D,20211230,000000,24.6148,24.8456,24.6148,24.7346,5486.7657534676,0
DFRA.US,D,20211231,000000,24.7375,24.807,24.7017,24.7819,1272.5486150239,0
DFRA.US,D,20220103,000000,24.9036,24.9036,24.7307,24.8601,4806.4854930358,0
DFRA.US,D,20220104,000000,24.8842,25.3739,24.8842,25.2879,22637.697616166,0
DFRA.US,D,20220105,000000,25.3942,25.3942,25.0407,25.0407,1087.2058956673,0
DFRA.US,D,20220106,000000,25.2493,25.2782,25.0668,25.2261,4026.8035507144,0
DFRA.US,D,20220107,000000,25.3845,25.4231,25.3218,25.4135,2363.8962474366,0
DFRA.US,D,20220110,000000,25.0455,25.2252,24.7693,25.2252,4652.2057992697,0
DFRA.US,D,20220111,000000,25.3169,25.596,25.3169,25.596,3558.7872984843,0
DFRA.US,D,20220112,000000,25.74,25.8964,25.711,25.8964,6694.0820147515,0
DFRA.US,D,20220113,000000,26.019,26.0287,25.6917,25.7447,2056.3722940907,0
DFRA.US,D,20220114,000000,25.6771,25.7901,25.625,25.7901,1550.0449769657,0
DFRA.US,D,20220118,000000,25.8751,25.8751,25.0958,25.6964,6482.8534407361,0
DFRA.US,D,20220119,000000,25.7177,25.74,25.6511,25.6511,5521.9705158035,0
DFRA.US,D,20220120,000000,25.4994,25.8075,25.2309,25.2309,269063.78592812,0
DFRA.US,D,20220121,000000,25.1151,25.2213,24.6535,24.8949,114708.50546639,0
DFRA.US,D,20220124,000000,24.2854,24.779,24.1724,24.779,2126.7818187625,0
DFRA.US,D,20220125,000000,24.4806,25.1344,24.4419,25.0233,6475.6054014317,0
DFRA.US,D,20220126,000000,25.3072,25.3459,24.8698,25.0002,2241.7150134473,0
DFRA.US,D,20220127,000000,25.3555,25.5188,24.8166,25.0031,3460.4210507811,0
DFRA.US,D,20220128,000000,24.7113,24.9943,24.356,24.9943,3657.1535461875,0
DFRA.US,D,20220131,000000,25.0475,25.1344,24.9325,25.0881,2889.8968141023,0
DFRA.US,D,20220201,000000,25.3517,25.6115,25.3517,25.6115,1759.2026826083,0
DFRA.US,D,20220202,000000,25.6085,25.7863,25.4425,25.7863,1196.9619194204,0
DFRA.US,D,20220203,000000,25.3169,25.6221,25.3072,25.5342,2288.3095518331,0
DFRA.US,D,20220204,000000,25.2976,25.682,25.2976,25.5805,6381.3808904739,0
DFRA.US,D,20220207,000000,25.6684,25.7593,25.6154,25.6714,1616.312764892,0
DFRA.US,D,20220208,000000,25.6008,25.7013,25.5671,25.7013,1880.3484824113,0
DFRA.US,D,20220209,000000,25.9031,26.0036,25.7785,26.0036,17061.884522673,0
DFRA.US,D,20220210,000000,26.1533,26.2306,25.7611,25.7611,6359.6367725605,0
DFRA.US,D,20220211,000000,25.4994,26.0017,25.4994,25.8597,833.5245200116,0
DFRA.US,D,20220214,000000,25.3652,25.5767,25.2976,25.5227,6424.8691263006,0
DFRA.US,D,20220215,000000,25.4521,25.5381,25.2802,25.4831,7244.9330018896,0
DFRA.US,D,20220216,000000,25.6723,25.7689,25.5671,25.6984,3890.1262381162,0
DFRA.US,D,20220217,000000,25.3748,25.626,25.3072,25.3855,3516.3344968439,0
DFRA.US,D,20220218,000000,25.2309,25.2677,25.1248,25.2677,944.31597795102,0
DFRA.US,D,20220222,000000,25.2686,25.2995,24.9663,24.9663,2397.0301413998,0
DFRA.US,D,20220223,000000,24.8553,24.8978,24.8553,24.8978,314.77199265034,0
DFRA.US,D,20220224,000000,24.6196,24.7558,24.1434,24.7558,7904.5045785944,0
DFRA.US,D,20220225,000000,25.2058,25.4357,25.2058,25.4357,2533.707453998,0
DFRA.US,D,20220228,000000,25.4753,25.6288,25.4705,25.5188,4369.5322663962,0
DFRA.US,D,20220301,000000,25.6868,25.6868,25.2976,25.5188,6303.7233264976,0
DFRA.US,D,20220302,000000,25.9321,26.3271,25.74,26.219,5466.0570697406,0
DFRA.US,D,20220303,000000,26.2402,26.257,26.2402,26.257,667.85505019563,0
DFRA.US,D,20220304,000000,25.9891,26.3111,25.9408,26.3111,4540.3789071439,0
DFRA.US,D,20220307,000000,26.5589,26.5589,25.9698,26.0358,7366.0788016925,0
