<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DIVG.US,D,20231208,000000,25.8287,25.88,25.8287,25.8526,1197,0
DIVG.US,D,20231211,000000,25.92,25.98,25.92,25.9615,6558,0
DIVG.US,D,20231212,000000,25.9,25.94,25.9,25.9209,2997,0
DIVG.US,D,20231213,000000,26.591,26.591,26.591,26.591,10184,0
DIVG.US,D,20231214,000000,27.1994,27.1994,27.0456,27.0456,1745,0
DIVG.US,D,20231215,000000,26.8446,26.8446,26.8446,26.8446,401,0
DIVG.US,D,20231218,000000,26.91,26.91,26.7905,26.7968,748,0
DIVG.US,D,20231219,000000,26.9599,26.98,26.9599,26.9679,878,0
DIVG.US,D,20231220,000000,26.9651,26.9651,26.5456,26.5456,369,0
DIVG.US,D,20231221,000000,26.7911,26.7911,26.7911,26.7911,210,0
DIVG.US,D,20231222,000000,26.91,26.91,26.8877,26.8877,1054,0
DIVG.US,D,20231226,000000,27.04,27.09,27.0059,27.0822,790,0
DIVG.US,D,20231227,000000,27.06,27.0669,27.06,27.0669,843,0
DIVG.US,D,20231228,000000,27.19,27.19,27.1838,27.1838,160,0
DIVG.US,D,20231229,000000,27.1059,27.1059,27.1059,27.1059,219,0
DIVG.US,D,20240102,000000,27.06,27.3704,27.06,27.3683,2190,0
DIVG.US,D,20240103,000000,27.0725,27.0725,27.0725,27.0725,150,0
DIVG.US,D,20240104,000000,27,27,26.9893,26.9893,1079,0
DIVG.US,D,20240105,000000,27.0603,27.1225,27.0603,27.1225,279,0
DIVG.US,D,20240108,000000,27.1499,27.371,27.1499,27.371,245,0
DIVG.US,D,20240109,000000,27.33,27.33,27.2268,27.2268,174,0
DIVG.US,D,20240110,000000,27.1344,27.1344,27.1344,27.1344,34,0
DIVG.US,D,20240111,000000,26.9151,26.9151,26.9151,26.9151,46,0
DIVG.US,D,20240112,000000,26.87,26.9046,26.8501,26.9046,605,0
DIVG.US,D,20240116,000000,26.636,26.636,26.636,26.636,24,0
DIVG.US,D,20240117,000000,26.3723,26.3723,26.3723,26.3723,91,0
DIVG.US,D,20240118,000000,26.2923,26.2923,26.2923,26.2923,148,0
DIVG.US,D,20240119,000000,26.44,26.4772,26.44,26.4772,281,0
DIVG.US,D,20240122,000000,26.6169,26.6169,26.6169,26.6169,14,0
DIVG.US,D,20240123,000000,26.6336,26.6336,26.6336,26.6336,23,0
DIVG.US,D,20240124,000000,26.72,26.72,26.4778,26.4778,220,0
DIVG.US,D,20240125,000000,26.7924,26.7924,26.7924,26.7924,33,0
DIVG.US,D,20240126,000000,26.8182,26.8182,26.8182,26.8182,93,0
DIVG.US,D,20240129,000000,26.78,26.8948,26.78,26.8948,409,0
DIVG.US,D,20240130,000000,26.918,26.918,26.918,26.918,17,0
DIVG.US,D,20240131,000000,26.667,26.667,26.667,26.667,75,0
DIVG.US,D,20240201,000000,26.8664,26.8664,26.8664,26.8664,56,0
DIVG.US,D,20240202,000000,26.8,26.8,26.8,26.8,757,0
DIVG.US,D,20240205,000000,26.4507,26.4507,26.4507,26.4507,97,0
DIVG.US,D,20240206,000000,26.5337,26.5337,26.5337,26.5337,35,0
DIVG.US,D,20240207,000000,26.5056,26.5056,26.5056,26.5056,7,0
DIVG.US,D,20240208,000000,26.5061,26.5061,26.5061,26.5061,23,0
DIVG.US,D,20240209,000000,26.5042,26.5042,26.5042,26.5042,40,0
DIVG.US,D,20240212,000000,26.56,26.7413,26.56,26.7413,328,0
DIVG.US,D,20240213,000000,26.55,26.55,26.1885,26.1885,183,0
DIVG.US,D,20240214,000000,26.3545,26.3545,26.3545,26.3545,12,0
DIVG.US,D,20240215,000000,26.7799,26.7799,26.7799,26.7799,14,0
DIVG.US,D,20240216,000000,26.7452,26.7452,26.7452,26.7452,5,0
DIVG.US,D,20240220,000000,26.6992,26.6992,26.6992,26.6992,13,0
DIVG.US,D,20240221,000000,26.8981,26.8981,26.8981,26.8981,303,0
DIVG.US,D,20240222,000000,26.9679,26.9679,26.9679,26.9679,201,0
DIVG.US,D,20240223,000000,27.0704,27.0704,27.0704,27.0704,6,0
DIVG.US,D,20240226,000000,26.8092,26.8092,26.8092,26.8092,19,0
DIVG.US,D,20240227,000000,26.9304,26.9304,26.9304,26.9304,106,0
DIVG.US,D,20240228,000000,26.94,26.94,26.9025,26.9025,1012,0
DIVG.US,D,20240229,000000,27.07,27.0912,27.07,27.0912,711,0
DIVG.US,D,20240301,000000,27.1466,27.1466,27.1466,27.1466,89,0
DIVG.US,D,20240304,000000,27.22,27.42,27.22,27.3595,12349,0
DIVG.US,D,20240305,000000,27.4043,27.4043,27.4043,27.4043,49,0
DIVG.US,D,20240306,000000,27.6277,27.6277,27.6277,27.6277,69,0
DIVG.US,D,20240307,000000,27.7,27.81,27.7,27.7974,772,0
DIVG.US,D,20240308,000000,27.85,27.92,27.85,27.8936,382,0
DIVG.US,D,20240311,000000,27.78,27.9899,27.78,27.9899,266,0
DIVG.US,D,20240312,000000,28.01,28.01,27.88,28.0039,1708,0
DIVG.US,D,20240313,000000,28.11,28.16,27.95,27.9889,1697,0
DIVG.US,D,20240314,000000,27.85,27.85,27.61,27.6864,828,0
DIVG.US,D,20240315,000000,27.75,27.75,27.7048,27.7048,300,0
DIVG.US,D,20240318,000000,27.65,27.65,27.6284,27.6284,791,0
DIVG.US,D,20240319,000000,27.66,27.7778,27.66,27.7778,361,0
DIVG.US,D,20240320,000000,27.81,28.03,27.81,28.0202,1699,0
DIVG.US,D,20240321,000000,28.27,28.27,28.2358,28.2358,758,0
DIVG.US,D,20240322,000000,28.0987,28.0987,28.0678,28.0678,242,0
DIVG.US,D,20240325,000000,28.0137,28.0137,28.0137,28.0137,390,0
DIVG.US,D,20240326,000000,27.9474,27.9474,27.9474,27.9474,33,0
DIVG.US,D,20240327,000000,28.07,28.4639,28.07,28.4639,4620,0
DIVG.US,D,20240328,000000,28.7249,28.7249,28.7249,28.7249,185,0
DIVG.US,D,20240401,000000,28.5529,28.5529,28.5529,28.5529,100,0
DIVG.US,D,20240402,000000,28.3325,28.3325,28.3325,28.3325,1,0
DIVG.US,D,20240403,000000,28.35,28.35,28.3103,28.3103,255,0
DIVG.US,D,20240404,000000,28.51,28.51,28.1053,28.1053,571,0
DIVG.US,D,20240405,000000,28.03,28.1978,28.03,28.1978,1345,0
DIVG.US,D,20240408,000000,28.37,28.37,28.3115,28.3115,293,0
DIVG.US,D,20240409,000000,28.42,28.4409,28.4,28.4409,1745,0
DIVG.US,D,20240410,000000,27.83,27.9076,27.83,27.9076,1597,0
DIVG.US,D,20240411,000000,27.83,27.83,27.83,27.83,8,0
DIVG.US,D,20240412,000000,27.68,27.68,27.3848,27.3848,1062,0
DIVG.US,D,20240415,000000,27.62,27.62,27.2309,27.2309,208,0
DIVG.US,D,20240416,000000,27.09,27.09,26.9933,26.9933,442,0
DIVG.US,D,20240417,000000,27.1,27.21,27.0935,27.0935,727,0
DIVG.US,D,20240418,000000,27.1473,27.1473,27.1473,27.1473,5,0
DIVG.US,D,20240419,000000,27.41,27.41,27.41,27.41,347,0
DIVG.US,D,20240422,000000,27.52,27.547,27.52,27.547,225,0
DIVG.US,D,20240423,000000,27.7118,27.7118,27.7118,27.7118,21,0
DIVG.US,D,20240424,000000,27.75,27.9232,27.75,27.9232,343,0
DIVG.US,D,20240425,000000,27.71,27.7814,27.71,27.7814,286,0
DIVG.US,D,20240426,000000,27.755,27.81,27.7036,27.7036,638,0
DIVG.US,D,20240429,000000,27.9155,27.9155,27.9155,27.9155,20,0
DIVG.US,D,20240430,000000,27.77,27.78,27.669,27.669,705,0
DIVG.US,D,20240501,000000,27.54,27.81,27.5201,27.6043,1829,0
DIVG.US,D,20240502,000000,27.78,27.79,27.7232,27.7232,324,0
DIVG.US,D,20240503,000000,27.85,27.9277,27.85,27.9277,168,0
DIVG.US,D,20240506,000000,28.08,28.08,28.0753,28.0753,186,0
DIVG.US,D,20240507,000000,28.2262,28.2262,28.2262,28.2262,17,0
DIVG.US,D,20240508,000000,28.16,28.2767,28.16,28.2767,1097,0
DIVG.US,D,20240509,000000,28.5854,28.5854,28.5854,28.5854,83,0
DIVG.US,D,20240510,000000,28.66,28.6653,28.66,28.6653,117,0
DIVG.US,D,20240513,000000,28.86,28.86,28.6507,28.6507,387,0
DIVG.US,D,20240514,000000,28.8119,28.8119,28.8119,28.8119,26,0
DIVG.US,D,20240515,000000,29.0337,29.0337,29.0337,29.0337,152,0
DIVG.US,D,20240516,000000,29.06,29.06,29.0556,29.0556,213,0
DIVG.US,D,20240517,000000,29.0479,29.0479,29.0479,29.0479,190,0
DIVG.US,D,20240520,000000,28.8373,28.8373,28.8373,28.8373,272,0
DIVG.US,D,20240521,000000,28.8988,28.8988,28.8988,28.8988,157,0
DIVG.US,D,20240522,000000,28.87,28.87,28.72,28.72,411,0
DIVG.US,D,20240523,000000,28.39,28.39,28.1937,28.1937,603,0
DIVG.US,D,20240524,000000,28.2718,28.2718,28.2718,28.2718,156,0
DIVG.US,D,20240528,000000,28.0893,28.0893,28.0893,28.0893,119,0
DIVG.US,D,20240529,000000,27.7543,27.7543,27.7543,27.7543,116,0
DIVG.US,D,20240530,000000,27.6,28.0385,27.6,28.0385,1176,0
DIVG.US,D,20240531,000000,28.24,28.542,28.24,28.542,340,0
DIVG.US,D,20240603,000000,28.39,28.39,28.3721,28.3721,250,0
DIVG.US,D,20240604,000000,28.36,28.4335,28.31,28.4335,710,0
DIVG.US,D,20240605,000000,28.4095,28.4095,28.4095,28.4095,81,0
DIVG.US,D,20240606,000000,28.48,28.48,28.3327,28.3327,449,0
DIVG.US,D,20240607,000000,28.25,28.38,28.25,28.2846,488,0
DIVG.US,D,20240610,000000,28.24,28.35,28.231,28.2793,1015,0
DIVG.US,D,20240611,000000,28.1258,28.1258,28.1258,28.1258,54,0
DIVG.US,D,20240612,000000,28.36,28.36,28.14,28.149,556,0
DIVG.US,D,20240613,000000,28.03,28.1179,28.03,28.1179,302,0
DIVG.US,D,20240614,000000,27.86,27.99,27.86,27.9895,731,0
DIVG.US,D,20240617,000000,28.0925,28.0925,28.0925,28.0925,137,0
DIVG.US,D,20240618,000000,28.21,28.21,28.1971,28.1971,327,0
DIVG.US,D,20240620,000000,28.29,28.29,28.22,28.2554,1138,0
DIVG.US,D,20240621,000000,28.2587,28.2587,28.2587,28.2587,229,0
