<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DIVY.US,D,20230404,000000,25.4712,25.4712,25.4712,25.4712,93,0
DIVY.US,D,20230405,000000,25.6419,25.7034,25.47,25.7034,1229,0
DIVY.US,D,20230406,000000,25.8,25.88,25.48,25.48,5195,0
DIVY.US,D,20230410,000000,25.79,25.8,25.68,25.7781,2733,0
DIVY.US,D,20230411,000000,25.8601,26.22,25.86,25.96,2656,0
DIVY.US,D,20230412,000000,26.09,26.09,25.8324,25.8324,2857,0
DIVY.US,D,20230413,000000,25.8817,26.18,25.8817,25.9767,2923,0
DIVY.US,D,20230414,000000,26.07,26.07,25.62,25.8754,4137,0
DIVY.US,D,20230417,000000,26.01,26.08,25.58,26,8784,0
DIVY.US,D,20230418,000000,25.77,25.9463,25.7206,25.9463,3667,0
DIVY.US,D,20230419,000000,25.76,25.77,25.62,25.77,7592,0
DIVY.US,D,20230420,000000,25.4,25.5899,25.4,25.5899,579,0
DIVY.US,D,20230421,000000,25.44,25.53,25.1,25.5206,5053,0
DIVY.US,D,20230424,000000,25.44,25.66,25.44,25.63,2109,0
DIVY.US,D,20230425,000000,25.49,25.49,25.18,25.34,458,0
DIVY.US,D,20230426,000000,25.3,25.3,24.86,25.0497,4024,0
DIVY.US,D,20230427,000000,25.18,25.31,25.18,25.2006,2974,0
DIVY.US,D,20230428,000000,25.37,25.68,25.2,25.5513,7793,0
DIVY.US,D,20230501,000000,25.79,25.8,25.5,25.6101,2723,0
DIVY.US,D,20230502,000000,25.41,25.41,24.79,25.0028,3063,0
DIVY.US,D,20230503,000000,25.16,25.18,24.68,24.68,3896,0
DIVY.US,D,20230504,000000,24.2,24.6,24.2,24.4493,4586,0
DIVY.US,D,20230505,000000,24.88,24.95,24.69,24.8876,4067,0
DIVY.US,D,20230508,000000,24.98,25.25,24.78,24.9012,3108,0
DIVY.US,D,20230509,000000,24.9,25.08,24.85,24.85,676,0
DIVY.US,D,20230510,000000,24.83,24.83,24.7,24.7689,2572,0
DIVY.US,D,20230511,000000,24.59,24.59,24.31,24.5298,2397,0
DIVY.US,D,20230512,000000,24.78,24.78,24.6228,24.6228,695,0
DIVY.US,D,20230515,000000,24.55,24.6504,24.55,24.6504,1724,0
DIVY.US,D,20230516,000000,24.28,24.5,24.27,24.27,671,0
DIVY.US,D,20230517,000000,24.52,24.52,24.2401,24.4815,4150,0
DIVY.US,D,20230518,000000,24.46,24.7205,24.4001,24.7205,1116,0
DIVY.US,D,20230519,000000,24.8,24.8,24.59,24.5931,17703,0
DIVY.US,D,20230522,000000,24.652,24.6801,24.652,24.6801,319,0
DIVY.US,D,20230523,000000,23.77,24.74,23.77,24.6909,626,0
DIVY.US,D,20230524,000000,24.47,24.47,24.28,24.3999,3091,0
DIVY.US,D,20230525,000000,24.2599,24.2599,24.05,24.05,350,0
DIVY.US,D,20230526,000000,24.155,24.23,23.805,24.1393,2418,0
DIVY.US,D,20230530,000000,24.34,24.34,23.8,24.0311,4969,0
DIVY.US,D,20230531,000000,23.76,23.91,23.465,23.8204,3086,0
DIVY.US,D,20230601,000000,23.64,23.9502,23.62,23.9502,3203,0
DIVY.US,D,20230602,000000,24.416,24.4707,24.332,24.4707,1007,0
DIVY.US,D,20230605,000000,24.43,24.47,24.26,24.4471,2688,0
DIVY.US,D,20230606,000000,24.6406,24.6406,24.6406,24.6406,155,0
DIVY.US,D,20230607,000000,24.78,25.1302,24.78,25.1302,6596,0
DIVY.US,D,20230608,000000,24.96,25.33,24.96,25.1802,4604,0
DIVY.US,D,20230609,000000,25.14,25.1402,25.14,25.1402,1611,0
DIVY.US,D,20230612,000000,25.12,25.24,25,25.1236,1728,0
DIVY.US,D,20230613,000000,25.54,25.54,25.295,25.295,3370,0
DIVY.US,D,20230614,000000,25.39,25.64,25.1,25.1508,7367,0
DIVY.US,D,20230615,000000,25.35,25.4404,25.16,25.4404,850,0
DIVY.US,D,20230616,000000,25.3401,25.48,25.3001,25.4791,7678,0
DIVY.US,D,20230620,000000,25.1584,25.1584,25.1584,25.1584,241,0
DIVY.US,D,20230621,000000,25.09,25.4199,25.09,25.2074,3181,0
DIVY.US,D,20230622,000000,25.02,25.02,24.93,24.93,439,0
DIVY.US,D,20230623,000000,24.8,24.88,24.7441,24.7441,3948,0
DIVY.US,D,20230626,000000,24.92,25.01,24.8348,24.8348,916,0
DIVY.US,D,20230627,000000,25.02,25.07,24.92,25.06,2159,0
DIVY.US,D,20230628,000000,24.82,25.02,24.72,25.02,15705,0
DIVY.US,D,20230629,000000,25.18,25.184,25,25.1605,1445,0
DIVY.US,D,20230630,000000,25.54,25.54,25.268,25.3471,5456,0
DIVY.US,D,20230703,000000,25.38,25.4523,25.28,25.4523,3659,0
DIVY.US,D,20230705,000000,25.52,25.52,25.1001,25.25,696,0
DIVY.US,D,20230706,000000,24.7601,24.9601,24.7601,24.9601,568,0
DIVY.US,D,20230707,000000,25.04,25.41,25.02,25.0722,3270,0
DIVY.US,D,20230710,000000,25.15,25.16,25.1305,25.1305,2047,0
DIVY.US,D,20230711,000000,25.1801,25.3915,25.1801,25.3915,1807,0
DIVY.US,D,20230712,000000,25.6201,25.83,25.51,25.7326,6671,0
DIVY.US,D,20230713,000000,25.53,25.8077,25.52,25.6957,2592,0
DIVY.US,D,20230714,000000,25.5001,25.68,25.33,25.4101,1397,0
DIVY.US,D,20230717,000000,25.35,25.3546,25.35,25.3546,839,0
DIVY.US,D,20230718,000000,25.6799,25.7599,25.6303,25.6303,1209,0
DIVY.US,D,20230719,000000,25.61,25.84,25.58,25.7307,3300,0
DIVY.US,D,20230720,000000,25.67,25.9425,25.67,25.9425,2874,0
DIVY.US,D,20230721,000000,25.94,26.04,25.86,25.9446,1819,0
DIVY.US,D,20230724,000000,26.24,26.27,25.92,26.0703,3127,0
DIVY.US,D,20230725,000000,26.34,26.34,25.88,26.0161,6486,0
DIVY.US,D,20230726,000000,26.11,26.1131,26.11,26.1131,412,0
DIVY.US,D,20230727,000000,26.33,26.38,26,26.1358,8373,0
DIVY.US,D,20230728,000000,26.1,26.2604,26.1,26.2604,282,0
DIVY.US,D,20230731,000000,26.16,26.4,26.16,26.3683,4082,0
DIVY.US,D,20230801,000000,26.28,26.28,26.19,26.19,1544,0
DIVY.US,D,20230802,000000,26.08,26.08,25.9601,26.0604,3007,0
DIVY.US,D,20230803,000000,26.11,26.12,26.1,26.1,1375,0
DIVY.US,D,20230804,000000,26.24,26.34,25.46,26.02,6988,0
DIVY.US,D,20230807,000000,25.97,26.38,25.96,26.3202,11949,0
DIVY.US,D,20230808,000000,26.14,26.51,26.07,26.16,4513,0
DIVY.US,D,20230809,000000,26.26,26.32,26.15,26.2194,1532,0
DIVY.US,D,20230810,000000,26.55,27.535,26.2392,26.2392,2410,0
DIVY.US,D,20230811,000000,26.2,26.2,26.086,26.086,6374,0
DIVY.US,D,20230814,000000,26.0805,26.0805,26.0805,26.0805,204,0
DIVY.US,D,20230815,000000,25.76,25.82,25.6891,25.6891,6009,0
DIVY.US,D,20230816,000000,25.66,25.7358,25.65,25.6568,2333,0
DIVY.US,D,20230817,000000,25.8,25.8,25.53,25.6437,1389,0
DIVY.US,D,20230818,000000,25.62,25.66,25.62,25.6392,8349,0
DIVY.US,D,20230821,000000,25.64,25.6585,25.64,25.6585,793,0
DIVY.US,D,20230822,000000,25.98,25.98,25.42,25.56,1465,0
DIVY.US,D,20230823,000000,25.5216,25.5216,25.5216,25.5216,22,0
DIVY.US,D,20230824,000000,25.73,25.73,25.3953,25.3953,4208,0
DIVY.US,D,20230825,000000,25.55,25.55,25.5199,25.5199,618,0
DIVY.US,D,20230828,000000,25.68,25.704,25.58,25.6255,1785,0
DIVY.US,D,20230829,000000,25.7,25.9409,25.7,25.9409,1552,0
DIVY.US,D,20230830,000000,25.92,25.92,25.7,25.88,3410,0
DIVY.US,D,20230831,000000,26.11,26.11,25.72,25.8193,6336,0
DIVY.US,D,20230901,000000,26,26.02,25.8001,25.9015,1471,0
DIVY.US,D,20230905,000000,25.69,25.69,25.5662,25.5662,324,0
DIVY.US,D,20230906,000000,25.4,25.4406,25.4,25.4406,397,0
DIVY.US,D,20230907,000000,25.4,25.424,25.11,25.2721,2580,0
DIVY.US,D,20230908,000000,25.41,25.61,25.295,25.44,4019,0
DIVY.US,D,20230911,000000,25.6999,25.6999,25.53,25.53,328,0
DIVY.US,D,20230912,000000,25.34,25.67,25.34,25.67,3635,0
DIVY.US,D,20230913,000000,25.48,25.48,25.4062,25.4062,4573,0
DIVY.US,D,20230914,000000,25.76,25.76,25.76,25.76,289,0
DIVY.US,D,20230915,000000,25.56,25.7966,25.56,25.73,1917,0
DIVY.US,D,20230918,000000,25.49,25.65,25.49,25.5405,1018,0
DIVY.US,D,20230919,000000,25.39,25.57,25.39,25.57,246,0
DIVY.US,D,20230920,000000,25.5332,25.5332,25.5332,25.5332,171,0
DIVY.US,D,20230921,000000,25.25,25.4,25.23,25.28,10956,0
DIVY.US,D,20230922,000000,25.19,25.19,25.129,25.129,248,0
DIVY.US,D,20230925,000000,24.88,25.2399,24.88,25.1393,1531,0
DIVY.US,D,20230926,000000,24.94,24.94,24.8301,24.8301,510,0
DIVY.US,D,20230927,000000,24.75,24.92,24.74,24.7759,4944,0
DIVY.US,D,20230928,000000,24.9701,24.9701,24.9701,24.9701,96,0
DIVY.US,D,20230929,000000,24.92,25.08,24.8667,24.8667,10144,0
DIVY.US,D,20231002,000000,24.79,24.79,24.46,24.5783,1356,0
DIVY.US,D,20231003,000000,24.4172,24.4172,24.2905,24.2905,864,0
DIVY.US,D,20231004,000000,24.26,24.38,23.89,24.2808,6174,0
DIVY.US,D,20231005,000000,24.1,24.27,24.1,24.27,975,0
DIVY.US,D,20231006,000000,24.05,24.35,24.05,24.3099,13839,0
DIVY.US,D,20231009,000000,24.3,24.52,24.3,24.52,1295,0
DIVY.US,D,20231010,000000,24.58,24.8,24.46,24.7138,8793,0
DIVY.US,D,20231011,000000,24.74,24.75,24.4,24.63,9349,0
DIVY.US,D,20231012,000000,24.42,24.5,24.24,24.5,2758,0
DIVY.US,D,20231013,000000,24.57,24.57,24.22,24.3899,5965,0
DIVY.US,D,20231016,000000,24.63,24.7,24.63,24.7,606,0
DIVY.US,D,20231017,000000,24.625,24.8223,24.61,24.8223,12849,0
DIVY.US,D,20231018,000000,24.34,24.68,24.34,24.68,2324,0
DIVY.US,D,20231019,000000,24.51,24.54,24.33,24.33,442,0
DIVY.US,D,20231020,000000,24.1864,24.34,24.11,24.11,3809,0
DIVY.US,D,20231023,000000,23.8602,23.9485,23.86,23.9485,1179,0
DIVY.US,D,20231024,000000,24.0295,24.0295,24.0295,24.0295,22,0
DIVY.US,D,20231025,000000,23.9764,24,23.8552,23.8552,2449,0
DIVY.US,D,20231026,000000,23.682,23.77,23.64,23.77,2237,0
DIVY.US,D,20231027,000000,23.94,23.94,23.16,23.342,7410,0
DIVY.US,D,20231030,000000,23.79,23.79,23.56,23.61,2629,0
DIVY.US,D,20231031,000000,23.64,23.8999,23.5601,23.7402,8513,0
DIVY.US,D,20231101,000000,23.8018,23.97,23.76,23.97,655,0
DIVY.US,D,20231102,000000,23.96,24.24,23.9436,24.24,3412,0
DIVY.US,D,20231103,000000,24.526,24.66,24.32,24.4601,5965,0
DIVY.US,D,20231106,000000,24.4,24.4,24.26,24.2892,3188,0
DIVY.US,D,20231107,000000,24.29,24.29,24.1186,24.1195,2862,0
DIVY.US,D,20231108,000000,24.199,24.199,23.97,23.97,2057,0
DIVY.US,D,20231109,000000,24.01,24.01,23.8,23.8,715,0
DIVY.US,D,20231110,000000,23.94,24.07,23.94,24.07,533,0
DIVY.US,D,20231113,000000,23.92,24.7999,23.92,23.96,24720,0
DIVY.US,D,20231114,000000,24.5552,24.575,24.5,24.5244,4281,0
DIVY.US,D,20231115,000000,24.63,24.76,24.63,24.6644,2085,0
DIVY.US,D,20231116,000000,24.46,24.46,24.28,24.305,2122,0
DIVY.US,D,20231117,000000,24.5,24.679,24.37,24.55,7297,0
DIVY.US,D,20231120,000000,24.63,24.658,24.49,24.6,2899,0
DIVY.US,D,20231121,000000,24.38,24.65,24.38,24.5949,3343,0
DIVY.US,D,20231122,000000,24.45,24.66,24.43,24.58,10897,0
DIVY.US,D,20231124,000000,24.6801,24.6801,24.6801,24.6801,8,0
DIVY.US,D,20231127,000000,24.55,24.56,24.51,24.53,3158,0
DIVY.US,D,20231128,000000,24.5196,24.5196,24.51,24.51,1081,0
DIVY.US,D,20231129,000000,24.39,24.52,24.38,24.4293,4077,0
DIVY.US,D,20231130,000000,24.57,24.618,24.55,24.618,1456,0
DIVY.US,D,20231201,000000,24.66,25.07,24.66,24.986,2438,0
DIVY.US,D,20231204,000000,24.95,24.9804,24.95,24.9611,2201,0
DIVY.US,D,20231205,000000,24.8021,24.81,24.7001,24.81,2234,0
DIVY.US,D,20231206,000000,24.83,24.96,24.71,24.71,6437,0
DIVY.US,D,20231207,000000,24.73,24.8406,24.71,24.8406,1589,0
DIVY.US,D,20231208,000000,24.98,24.98,24.74,24.8721,2707,0
DIVY.US,D,20231211,000000,24.78,25.11,24.78,24.991,13498,0
DIVY.US,D,20231212,000000,24.79,25.08,24.79,24.9096,4855,0
DIVY.US,D,20231213,000000,24.78,25.3227,24.78,25.3227,1513,0
DIVY.US,D,20231214,000000,25.9251,25.9251,25.83,25.9088,1974,0
DIVY.US,D,20231215,000000,25.7939,25.7939,25.604,25.6925,2337,0
DIVY.US,D,20231218,000000,25.8017,25.81,25.71,25.7696,967,0
DIVY.US,D,20231219,000000,25.67,26.06,25.67,26.06,5392,0
DIVY.US,D,20231220,000000,26.144,26.22,25.7856,25.7856,2824,0
DIVY.US,D,20231221,000000,25.92,25.92,25.7383,25.9122,10633,0
DIVY.US,D,20231222,000000,26.0843,26.1349,25.59,26.0616,12434,0
DIVY.US,D,20231226,000000,25.955,26.18,25.8601,26.18,1017,0
DIVY.US,D,20231227,000000,26.21,26.26,26.14,26.1415,14875,0
DIVY.US,D,20231228,000000,26.1345,26.32,26.0455,26.1177,5733,0
DIVY.US,D,20231229,000000,26.13,26.13,25.92,25.9923,1492,0
DIVY.US,D,20240102,000000,26.16,26.32,26.16,26.1814,4797,0
DIVY.US,D,20240103,000000,26.15,26.15,25.84,25.9174,13454,0
DIVY.US,D,20240104,000000,25.8712,25.8712,25.8712,25.8712,72,0
DIVY.US,D,20240105,000000,25.86,26.065,25.8,25.9714,18986,0
DIVY.US,D,20240108,000000,25.93,26.1724,25.93,26.157,3784,0
DIVY.US,D,20240109,000000,26.05,26.15,25.9,25.9889,3628,0
DIVY.US,D,20240110,000000,26.04,26.04,25.88,25.89,3397,0
DIVY.US,D,20240111,000000,25.84,25.84,25.59,25.7306,16997,0
DIVY.US,D,20240112,000000,25.82,25.9,25.755,25.781,15145,0
DIVY.US,D,20240116,000000,25.64,25.75,25.54,25.54,4336,0
DIVY.US,D,20240117,000000,25.5,25.53,25.26,25.26,5201,0
DIVY.US,D,20240118,000000,25.34,25.5,25.2343,25.3918,4046,0
DIVY.US,D,20240119,000000,25.42,25.67,25.42,25.6603,3990,0
DIVY.US,D,20240122,000000,25.72,25.727,25.72,25.727,476,0
DIVY.US,D,20240123,000000,25.84,25.87,25.77,25.787,15536,0
DIVY.US,D,20240124,000000,25.92,25.96,25.7284,25.7284,7564,0
DIVY.US,D,20240125,000000,26.0415,26.17,25.96,26.17,24326,0
DIVY.US,D,20240126,000000,26.44,26.44,26.22,26.24,14398,0
DIVY.US,D,20240129,000000,26.19,26.3737,26.19,26.3261,2346,0
DIVY.US,D,20240130,000000,26.44,26.63,26.36,26.56,9054,0
DIVY.US,D,20240131,000000,26.11,26.11,25.71,25.819,1832,0
DIVY.US,D,20240201,000000,25.6866,25.9016,25.41,25.8693,6699,0
DIVY.US,D,20240202,000000,25.74,26.25,25.67,26.25,16088,0
DIVY.US,D,20240205,000000,25.82,25.82,25.465,25.5275,2227,0
DIVY.US,D,20240206,000000,25.6876,25.6876,25.4734,25.5296,5224,0
DIVY.US,D,20240207,000000,25.4325,25.4325,25.25,25.4234,8724,0
DIVY.US,D,20240208,000000,25.33,25.449,25.32,25.4455,1415,0
DIVY.US,D,20240209,000000,25.438,25.5582,25.39,25.5582,4222,0
DIVY.US,D,20240212,000000,25.8484,25.8484,25.8484,25.8484,256,0
DIVY.US,D,20240213,000000,25.61,25.61,25.08,25.217,7303,0
DIVY.US,D,20240214,000000,25.2761,25.52,24.93,25.11,43959,0
DIVY.US,D,20240215,000000,25.4,25.8559,25.4,25.8559,5807,0
DIVY.US,D,20240216,000000,25.64,25.87,25.64,25.795,3328,0
DIVY.US,D,20240220,000000,25.77,25.8,25.5,25.6896,4842,0
DIVY.US,D,20240221,000000,25.67,25.67,25.55,25.625,2927,0
DIVY.US,D,20240222,000000,25.6,25.86,25.56,25.85,2746,0
DIVY.US,D,20240223,000000,25.89,26.0299,25.89,26.0299,1570,0
DIVY.US,D,20240226,000000,25.93,25.935,25.75,25.7843,10522,0
DIVY.US,D,20240227,000000,25.68,25.93,25.68,25.834,834,0
DIVY.US,D,20240228,000000,26,26,25.6471,25.6471,3650,0
DIVY.US,D,20240229,000000,25.92,25.92,25.7763,25.8,7791,0
DIVY.US,D,20240301,000000,25.6656,25.715,25.6656,25.7011,1653,0
DIVY.US,D,20240304,000000,25.91,25.984,25.77,25.8419,2066,0
DIVY.US,D,20240305,000000,25.91,25.925,25.89,25.925,1197,0
DIVY.US,D,20240306,000000,26.16,26.16,25.826,25.9825,8724,0
DIVY.US,D,20240307,000000,26.15,26.26,25.95,26.09,2184,0
DIVY.US,D,20240308,000000,26.17,26.275,26.125,26.1545,1041,0
DIVY.US,D,20240311,000000,26.2999,26.43,25.77,26.0973,11878,0
DIVY.US,D,20240312,000000,26.345,26.345,26.3095,26.3095,495,0
DIVY.US,D,20240313,000000,26.4625,26.5,26.43,26.43,608,0
DIVY.US,D,20240314,000000,26.14,26.14,26.06,26.1,3430,0
DIVY.US,D,20240315,000000,26.0901,26.23,26.0901,26.1478,1355,0
DIVY.US,D,20240318,000000,26.2,26.21,26.1695,26.1695,2319,0
DIVY.US,D,20240319,000000,26.18,26.305,26.16,26.295,1123,0
DIVY.US,D,20240320,000000,26.15,26.5505,26.02,26.5505,6048,0
DIVY.US,D,20240321,000000,26.52,26.7143,26.52,26.7143,1337,0
DIVY.US,D,20240322,000000,26.48,26.69,26.42,26.5456,5108,0
DIVY.US,D,20240325,000000,26.6,26.75,26.58,26.58,4086,0
DIVY.US,D,20240326,000000,26.57,26.58,26.443,26.443,3984,0
DIVY.US,D,20240327,000000,26.4201,26.8209,26.4201,26.8209,1792,0
DIVY.US,D,20240328,000000,27,27.08,26.9,27.0735,5103,0
DIVY.US,D,20240401,000000,27.2,27.2,26.81,26.8406,5430,0
DIVY.US,D,20240402,000000,26.98,26.98,26.51,26.7153,5914,0
DIVY.US,D,20240403,000000,26.74,26.88,26.6001,26.7346,9298,0
DIVY.US,D,20240404,000000,26.8829,27.0199,26.4469,26.4469,8531,0
DIVY.US,D,20240405,000000,26.46,26.69,26.34,26.4822,7640,0
DIVY.US,D,20240408,000000,26.65,26.71,26.5,26.509,4658,0
DIVY.US,D,20240409,000000,26.52,26.59,26.3984,26.4926,2220,0
DIVY.US,D,20240410,000000,26.33,26.33,25.9652,26.0446,7382,0
DIVY.US,D,20240411,000000,26.09,26.17,25.88,26.1079,9551,0
DIVY.US,D,20240412,000000,26.1,26.11,25.52,25.6012,14522,0
DIVY.US,D,20240415,000000,25.74,25.84,25.3825,25.4329,4221,0
DIVY.US,D,20240416,000000,25.28,25.43,25.27,25.3011,2675,0
DIVY.US,D,20240417,000000,25.46,25.57,25.1101,25.21,8241,0
DIVY.US,D,20240418,000000,25.57,25.57,25.3301,25.3301,1485,0
DIVY.US,D,20240419,000000,25.46,25.7,25.46,25.5432,4095,0
DIVY.US,D,20240422,000000,25.74,26.1199,25.7162,25.8521,3062,0
DIVY.US,D,20240423,000000,26.0568,26.11,25.83,25.958,1491,0
DIVY.US,D,20240424,000000,25.91,26.07,25.8835,26.0494,3713,0
DIVY.US,D,20240425,000000,25.825,26.01,25.55,25.8146,6366,0
DIVY.US,D,20240426,000000,25.88,25.88,25.78,25.782,2636,0
DIVY.US,D,20240429,000000,25.91,26.005,25.7301,25.8212,6201,0
DIVY.US,D,20240430,000000,25.69,25.69,25.461,25.461,4828,0
DIVY.US,D,20240501,000000,25.405,25.4212,25.405,25.4212,953,0
DIVY.US,D,20240502,000000,25.4637,25.71,25.4637,25.5519,4162,0
DIVY.US,D,20240503,000000,25.75,25.75,25.45,25.7095,4298,0
DIVY.US,D,20240506,000000,25.87,25.87,25.8095,25.86,2888,0
DIVY.US,D,20240507,000000,26,26.168,25.9,26.0106,4652,0
DIVY.US,D,20240508,000000,26.12,26.25,26.044,26.1402,5674,0
DIVY.US,D,20240509,000000,26.22,26.4,26.15,26.28,4988,0
DIVY.US,D,20240510,000000,26.36,26.5,26.32,26.3277,8073,0
DIVY.US,D,20240513,000000,26.18,26.41,26.18,26.4,3670,0
DIVY.US,D,20240514,000000,26.57,26.57,26.41,26.5395,2035,0
DIVY.US,D,20240515,000000,26.47,26.62,26.41,26.6048,1923,0
DIVY.US,D,20240516,000000,26.57,26.69,26.548,26.5806,15322,0
DIVY.US,D,20240517,000000,26.64,26.6514,26.44,26.6514,1475,0
DIVY.US,D,20240520,000000,26.625,26.625,26.5,26.5694,2951,0
DIVY.US,D,20240521,000000,26.5,26.545,26.4324,26.533,1980,0
DIVY.US,D,20240522,000000,26.33,26.47,26.3,26.3343,4541,0
DIVY.US,D,20240523,000000,26.115,26.18,25.9808,25.9808,784,0
DIVY.US,D,20240524,000000,26.04,26.04,25.91,26.02,9462,0
DIVY.US,D,20240528,000000,25.88,25.9,25.79,25.8521,2183,0
DIVY.US,D,20240529,000000,25.51,25.6,25.33,25.4321,7386,0
DIVY.US,D,20240530,000000,25.55,25.55,25.55,25.55,102,0
DIVY.US,D,20240531,000000,25.75,26.0434,25.71,26.0434,4558,0
DIVY.US,D,20240603,000000,25.74,25.74,25.54,25.6658,2909,0
DIVY.US,D,20240604,000000,25.46,25.75,25.46,25.72,9372,0
DIVY.US,D,20240605,000000,25.55,25.73,25.55,25.73,1103,0
DIVY.US,D,20240606,000000,25.68,25.7,25.61,25.663,5570,0
DIVY.US,D,20240607,000000,25.5795,25.65,25.5,25.5843,3576,0
DIVY.US,D,20240610,000000,25.37,25.53,25.33,25.4812,3909,0
DIVY.US,D,20240611,000000,25.22,25.33,25.175,25.2455,1768,0
DIVY.US,D,20240612,000000,25.6,25.6,25.1101,25.2647,7371,0
DIVY.US,D,20240613,000000,25.11,25.14,25.06,25.1342,1364,0
DIVY.US,D,20240614,000000,24.96,24.96,24.75,24.92,6576,0
DIVY.US,D,20240617,000000,24.7,25.0705,24.7,25.0705,6575,0
DIVY.US,D,20240618,000000,25.01,25.3304,25.01,25.3304,1525,0
DIVY.US,D,20240620,000000,25.16,25.44,25.16,25.3966,10197,0
DIVY.US,D,20240621,000000,25.35,25.38,25.31,25.3458,4068,0
