<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DKRB.US,D,20221223,000000,24.68,24.7716,24.68,24.7716,101,0
DKRB.US,D,20221228,000000,24.53,24.53,24.4908,24.4908,100,0
DKRB.US,D,20221229,000000,24.83,24.9897,24.83,24.9897,107,0
DKRB.US,D,20221230,000000,24.91,24.91,24.8752,24.8752,306,0
DKRB.US,D,20230103,000000,24.7484,24.7484,24.7484,24.7484,30,0
DKRB.US,D,20230104,000000,24.978,24.978,24.978,24.978,33,0
DKRB.US,D,20230105,000000,24.6468,24.6468,24.6468,24.6468,45,0
DKRB.US,D,20230106,000000,25.3297,25.3297,25.3297,25.3297,9,0
DKRB.US,D,20230109,000000,25.684,25.684,25.684,25.684,18,0
DKRB.US,D,20230110,000000,25.8953,25.8953,25.8953,25.8953,13,0
DKRB.US,D,20230111,000000,26.2,26.2992,26.2,26.2992,245,0
DKRB.US,D,20230112,000000,26.5429,26.5429,26.5429,26.5429,36,0
DKRB.US,D,20230113,000000,26.6368,26.6368,26.6368,26.6368,2,0
DKRB.US,D,20230117,000000,26.4706,26.4706,26.4706,26.4706,56,0
DKRB.US,D,20230118,000000,26.2147,26.2147,26.2147,26.2147,72,0
DKRB.US,D,20230119,000000,25.7899,25.8055,25.7899,25.8055,1000,0
DKRB.US,D,20230120,000000,26.302,26.302,26.302,26.302,10,0
DKRB.US,D,20230123,000000,26.8201,26.8201,26.8201,26.8201,7,0
DKRB.US,D,20230124,000000,26.9674,26.9674,26.9674,26.9674,2,0
DKRB.US,D,20230125,000000,27.0626,27.0626,27.0626,27.0626,122,0
DKRB.US,D,20230126,000000,27.1324,27.1324,27.1324,27.1324,42,0
DKRB.US,D,20230127,000000,27.4956,27.4956,27.4956,27.4956,53,0
DKRB.US,D,20230130,000000,27.0787,27.0787,27.0787,27.0787,22,0
DKRB.US,D,20230131,000000,27.6523,27.6523,27.6523,27.6523,96,0
DKRB.US,D,20230201,000000,28.049,28.049,28.049,28.049,53,0
DKRB.US,D,20230202,000000,27.99,28.0602,27.99,28.0602,201,0
DKRB.US,D,20230203,000000,27.6978,27.6978,27.6978,27.6978,7,0
DKRB.US,D,20230206,000000,27.378,27.378,27.378,27.378,45,0
DKRB.US,D,20230207,000000,27.578,27.578,27.578,27.578,4,0
DKRB.US,D,20230208,000000,27.2005,27.2005,27.2005,27.2005,326,0
DKRB.US,D,20230209,000000,27.0877,27.0877,27.0877,27.0877,10,0
DKRB.US,D,20230210,000000,27.1461,27.1461,27.1461,27.1461,73,0
DKRB.US,D,20230213,000000,27.3715,27.3715,27.3715,27.3715,26,0
DKRB.US,D,20230214,000000,27.38,27.49,27.38,27.4811,456,0
