<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DMBS.US,D,20230405,000000,50.5948,50.5948,50.48,50.48,792,0
DMBS.US,D,20230406,000000,50.45,50.4847,50.4167,50.4167,917,0
DMBS.US,D,20230410,000000,49.9705,50.059,49.9705,49.9895,525,0
DMBS.US,D,20230411,000000,49.91,50.065,49.91,50.065,230,0
DMBS.US,D,20230412,000000,50.15,50.15,50.0727,50.1453,2386,0
DMBS.US,D,20230413,000000,50.33,50.33,50.1312,50.1468,469,0
DMBS.US,D,20230414,000000,49.9297,49.9394,49.8573,49.8573,986,0
DMBS.US,D,20230417,000000,49.63,49.63,49.613,49.613,200,0
DMBS.US,D,20230418,000000,49.705,49.705,49.7,49.7,7265,0
DMBS.US,D,20230419,000000,49.67,49.7387,49.57,49.7387,8505,0
DMBS.US,D,20230420,000000,49.89,49.89,49.8708,49.8708,100,0
DMBS.US,D,20230421,000000,49.7732,49.7732,49.75,49.75,211,0
DMBS.US,D,20230424,000000,49.939,49.939,49.92,49.92,110,0
DMBS.US,D,20230425,000000,50.1497,50.18,50.1497,50.18,102,0
DMBS.US,D,20230426,000000,50.1,50.1,50.08,50.08,726,0
DMBS.US,D,20230427,000000,49.9451,49.9451,49.9451,49.9451,1,0
DMBS.US,D,20230428,000000,50.05,50.1285,50.05,50.1285,449,0
DMBS.US,D,20230501,000000,49.5535,49.5535,49.5535,49.5535,67,0
DMBS.US,D,20230502,000000,50,50,50,50,1,0
DMBS.US,D,20230503,000000,50.1311,50.2263,50.1311,50.2263,1115,0
DMBS.US,D,20230504,000000,50.34,50.46,50.2508,50.2508,903,0
DMBS.US,D,20230505,000000,50.12,50.14,50.12,50.14,215,0
DMBS.US,D,20230508,000000,49.95,49.95,49.92,49.92,12610,0
DMBS.US,D,20230509,000000,49.855,49.855,49.8216,49.83,200,0
DMBS.US,D,20230510,000000,50.1935,50.1935,50.1935,50.1935,101,0
DMBS.US,D,20230511,000000,50.29,50.29,50.29,50.29,1,0
DMBS.US,D,20230512,000000,49.996,49.996,49.996,49.996,62,0
DMBS.US,D,20230515,000000,49.93,49.93,49.895,49.895,100,0
DMBS.US,D,20230516,000000,49.8245,49.8245,49.8245,49.8245,50,0
DMBS.US,D,20230517,000000,49.74,49.7831,49.7399,49.7831,205,0
DMBS.US,D,20230518,000000,49.63,49.64,49.505,49.505,4325,0
DMBS.US,D,20230519,000000,49.45,49.45,49.33,49.3488,270,0
DMBS.US,D,20230522,000000,49.3171,49.3171,49.3171,49.3171,1,0
DMBS.US,D,20230523,000000,49.2905,49.39,49.2905,49.3845,774,0
DMBS.US,D,20230524,000000,49.39,49.39,49.21,49.21,29526,0
DMBS.US,D,20230525,000000,48.9565,48.9761,48.9565,48.9761,481,0
DMBS.US,D,20230526,000000,49.011,49.011,48.89,49.0029,1221,0
DMBS.US,D,20230530,000000,49.2,49.4371,49.19,49.4371,35015,0
DMBS.US,D,20230531,000000,49.54,49.7098,49.52,49.7098,2308,0
DMBS.US,D,20230601,000000,49.64,49.67,49.6,49.615,1216,0
DMBS.US,D,20230602,000000,49.26,49.2849,49.26,49.2849,378,0
DMBS.US,D,20230605,000000,49.39,49.39,49.31,49.31,1054,0
DMBS.US,D,20230606,000000,49.2999,49.445,49.295,49.44,33754,0
DMBS.US,D,20230607,000000,49.45,49.45,49.11,49.1915,5409,0
DMBS.US,D,20230608,000000,49.34,49.47,49.31,49.46,4760,0
DMBS.US,D,20230609,000000,49.34,49.46,49.34,49.3874,279841,0
DMBS.US,D,20230612,000000,49.3515,49.53,49.3201,49.5208,10499,0
DMBS.US,D,20230613,000000,49.66,49.66,49.18,49.247,1534113,0
DMBS.US,D,20230614,000000,49.3999,49.495,49.13,49.3153,7052,0
DMBS.US,D,20230615,000000,49.5901,49.64,49.39,49.64,13019,0
DMBS.US,D,20230616,000000,49.465,49.52,49.455,49.5,18281,0
DMBS.US,D,20230620,000000,49.5461,49.5927,49.32,49.47,10688,0
DMBS.US,D,20230621,000000,49.37,49.66,49.37,49.6024,19168,0
DMBS.US,D,20230622,000000,49.5,49.54,49.3101,49.3219,7233,0
DMBS.US,D,20230623,000000,49.509,49.6,49.5001,49.585,5296,0
DMBS.US,D,20230626,000000,49.58,49.7,49.58,49.6614,9439,0
DMBS.US,D,20230627,000000,49.6,49.6,49.5201,49.5567,3626,0
DMBS.US,D,20230628,000000,49.575,49.7,49.575,49.6809,4285,0
DMBS.US,D,20230629,000000,49.3,49.3,49.2399,49.2474,2235,0
DMBS.US,D,20230630,000000,49.4,49.4299,49.3415,49.4172,6650,0
DMBS.US,D,20230703,000000,49.205,49.205,49.14,49.149,3640,0
DMBS.US,D,20230705,000000,49.03,49.03,48.8701,48.89,6788,0
DMBS.US,D,20230706,000000,48.44,48.525,48.385,48.525,15250,0
DMBS.US,D,20230707,000000,48.65,48.66,48.525,48.53,8831,0
DMBS.US,D,20230710,000000,48.58,48.77,48.58,48.6799,5326,0
DMBS.US,D,20230711,000000,48.681,48.7756,48.68,48.7756,5580,0
DMBS.US,D,20230712,000000,49.1573,49.3299,49.1473,49.3039,9466,0
DMBS.US,D,20230713,000000,49.56,49.66,49.53,49.5969,9297,0
DMBS.US,D,20230714,000000,49.6,49.6,49.3398,49.3398,5923,0
DMBS.US,D,20230717,000000,49.3601,49.4533,49.3601,49.4459,6874,0
DMBS.US,D,20230718,000000,49.5911,49.64,49.4501,49.465,12827,0
DMBS.US,D,20230719,000000,49.511,49.64,49.511,49.595,13982,0
DMBS.US,D,20230720,000000,49.33,49.37,49.2601,49.315,16796,0
DMBS.US,D,20230721,000000,49.385,49.385,49.32,49.3247,10329,0
DMBS.US,D,20230724,000000,49.3598,49.36,49.25,49.2636,10120,0
DMBS.US,D,20230725,000000,49.131,49.165,49.1149,49.165,2878,0
DMBS.US,D,20230726,000000,49.239,49.4065,49.239,49.4065,6177,0
DMBS.US,D,20230727,000000,49.1101,49.13,48.8611,48.9116,6242,0
DMBS.US,D,20230728,000000,49.1701,49.179,49.1001,49.17,3900,0
DMBS.US,D,20230731,000000,49.23,49.2497,49.14,49.1549,23327,0
DMBS.US,D,20230801,000000,48.72,48.79,48.58,48.6629,20027,0
DMBS.US,D,20230802,000000,48.57,48.57,48.33,48.4693,3812,0
DMBS.US,D,20230803,000000,48.26,48.3,48.12,48.1403,13256,0
DMBS.US,D,20230804,000000,48.55,48.63,48.55,48.62,7283,0
DMBS.US,D,20230807,000000,48.58,48.6101,48.54,48.5845,11430,0
DMBS.US,D,20230808,000000,48.83,48.83,48.73,48.7749,9687,0
DMBS.US,D,20230809,000000,48.68,48.89,48.68,48.875,10321,0
DMBS.US,D,20230810,000000,48.96,48.96,48.56,48.56,657,0
DMBS.US,D,20230811,000000,48.39,48.39,48.2335,48.2335,5117,0
DMBS.US,D,20230814,000000,48.285,48.285,48.199,48.1998,4432,0
DMBS.US,D,20230815,000000,48.1801,48.29,48.0603,48.0664,6339,0
DMBS.US,D,20230816,000000,48.15,48.15,47.9801,47.9806,6884,0
DMBS.US,D,20230817,000000,47.8633,47.9587,47.8501,47.9587,5101,0
DMBS.US,D,20230818,000000,48.023,48.1,48.02,48.0224,4528,0
DMBS.US,D,20230821,000000,47.9,47.9,47.655,47.7058,11151,0
DMBS.US,D,20230822,000000,47.785,47.8401,47.75,47.7701,12415,0
DMBS.US,D,20230823,000000,48.17,48.295,48.11,48.2747,9052,0
DMBS.US,D,20230824,000000,48.21,48.21,48.1,48.115,7881,0
DMBS.US,D,20230825,000000,48.1301,48.151,48.11,48.12,6064,0
DMBS.US,D,20230828,000000,48.135,48.235,48.135,48.23,6878,0
DMBS.US,D,20230829,000000,48.52,48.6228,48.52,48.6228,2754,0
DMBS.US,D,20230830,000000,48.585,48.59,48.5202,48.5202,1200,0
DMBS.US,D,20230831,000000,48.68,48.6885,48.6393,48.6393,534,0
DMBS.US,D,20230901,000000,48.19,48.21,48.165,48.2,4627,0
DMBS.US,D,20230905,000000,47.938,47.938,47.8518,47.8518,638,0
DMBS.US,D,20230906,000000,47.85,47.88,47.76,47.8706,8497,0
DMBS.US,D,20230907,000000,47.9725,48.05,47.9725,48.0177,4268,0
DMBS.US,D,20230908,000000,48.0401,48.08,48.02,48.07,6153,0
DMBS.US,D,20230911,000000,47.9001,47.97,47.9001,47.9397,5267,0
DMBS.US,D,20230912,000000,48.01,48.04,47.94,48.04,7953,0
DMBS.US,D,20230913,000000,48,48.2101,47.9999,48.1632,6116,0
DMBS.US,D,20230914,000000,48.13,48.14,48.05,48.108,7246,0
DMBS.US,D,20230915,000000,47.96,47.999,47.9433,47.9433,2190,0
DMBS.US,D,20230918,000000,48.01,48.23,48.01,48.0474,17648,0
DMBS.US,D,20230919,000000,47.96,48,47.82,47.82,26234,0
DMBS.US,D,20230920,000000,47.9986,48.008,47.8106,47.8106,5686,0
DMBS.US,D,20230921,000000,47.62,47.62,47.44,47.449,10391,0
DMBS.US,D,20230922,000000,47.49,47.6901,47.49,47.6751,9857,0
DMBS.US,D,20230925,000000,47.17,47.325,47.17,47.1914,1933,0
DMBS.US,D,20230926,000000,47.29,47.29,47.135,47.1885,9555,0
DMBS.US,D,20230927,000000,47.29,47.29,46.78,46.9,8547,0
DMBS.US,D,20230928,000000,46.855,47.192,46.805,47.192,3918,0
DMBS.US,D,20230929,000000,47.25,47.25,47.0087,47.0149,9721,0
DMBS.US,D,20231002,000000,46.62,46.65,46.43,46.43,28232,0
DMBS.US,D,20231003,000000,46.54,46.54,45.9,45.9136,8005,0
DMBS.US,D,20231004,000000,46.3,46.3845,46.24,46.3845,5982,0
DMBS.US,D,20231005,000000,46.42,46.44,46.4137,46.44,137485,0
DMBS.US,D,20231006,000000,46.3,46.3394,46.22,46.22,17701,0
DMBS.US,D,20231009,000000,46.665,46.7497,46.665,46.7497,1315,0
DMBS.US,D,20231010,000000,46.768,46.78,46.665,46.687,11197,0
DMBS.US,D,20231011,000000,46.81,46.95,46.8,46.9088,14006,0
DMBS.US,D,20231012,000000,46.7,46.7,46.4,46.41,39283,0
DMBS.US,D,20231013,000000,46.67,46.67,46.67,46.67,387,0
DMBS.US,D,20231016,000000,46.3501,46.4395,46.32,46.32,6914,0
DMBS.US,D,20231017,000000,46.19,46.19,45.93,46.03,8893,0
DMBS.US,D,20231018,000000,45.67,45.77,45.65,45.65,5666,0
DMBS.US,D,20231019,000000,45.68,45.71,45.54,45.58,14147,0
DMBS.US,D,20231020,000000,45.69,45.76,45.56,45.5852,21197,0
DMBS.US,D,20231023,000000,45.3,45.7899,45.27,45.68,30771,0
DMBS.US,D,20231024,000000,45.82,46.085,45.82,46.085,3548,0
DMBS.US,D,20231025,000000,45.75,45.78,45.51,45.51,5496,0
DMBS.US,D,20231026,000000,45.74,46.02,45.74,45.98,10323,0
DMBS.US,D,20231027,000000,45.89,46.01,45.8029,45.94,66369,0
DMBS.US,D,20231030,000000,45.67,45.86,45.67,45.82,18232,0
DMBS.US,D,20231031,000000,45.97,45.97,45.8401,45.9197,37045,0
DMBS.US,D,20231101,000000,46.07,46.29,46.02,46.2804,9827,0
DMBS.US,D,20231102,000000,46.56,46.5642,46.3701,46.4,15107,0
DMBS.US,D,20231103,000000,47.105,47.11,46.83,46.8366,70062,0
DMBS.US,D,20231106,000000,46.55,46.56,46.4399,46.4777,9217,0
DMBS.US,D,20231107,000000,46.72,46.8528,46.71,46.7999,6324,0
DMBS.US,D,20231108,000000,46.85,46.975,46.85,46.86,13402,0
DMBS.US,D,20231109,000000,46.905,46.91,46.54,46.56,28813,0
DMBS.US,D,20231110,000000,46.77,46.77,46.57,46.625,26479,0
DMBS.US,D,20231113,000000,46.45,46.59,46.45,46.56,17107,0
DMBS.US,D,20231114,000000,47.34,47.3901,47.26,47.351,4460,0
DMBS.US,D,20231115,000000,46.9,47,46.9,46.94,9361,0
DMBS.US,D,20231116,000000,47.31,47.35,47.22,47.22,24887,0
DMBS.US,D,20231117,000000,47.26,47.47,47.2,47.39,44993,0
DMBS.US,D,20231120,000000,47.29,47.35,47.14,47.34,399430,0
DMBS.US,D,20231121,000000,47.375,47.46,47.36,47.45,17224,0
DMBS.US,D,20231122,000000,47.56,47.56,47.35,47.42,52910,0
DMBS.US,D,20231124,000000,47.15,47.15,47.1093,47.125,4117,0
DMBS.US,D,20231127,000000,47.3,47.44,47.27,47.44,404971,0
DMBS.US,D,20231128,000000,47.44,47.76,47.43,47.73,33190,0
DMBS.US,D,20231129,000000,48.03,48.03,47.91,47.99,60260,0
