<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DVDN.US,D,20231103,000000,26.9162,26.9162,26.9162,26.9162,2,0
DVDN.US,D,20231106,000000,26.8488,26.8488,26.8488,26.8488,21,0
DVDN.US,D,20231107,000000,26.7681,26.7681,26.7681,26.7681,2,0
DVDN.US,D,20231108,000000,26.8497,26.8497,26.8497,26.8497,21,0
DVDN.US,D,20231109,000000,26.4652,26.4652,26.4652,26.4652,19,0
DVDN.US,D,20231110,000000,26.8314,26.8314,26.8314,26.8314,19,0
DVDN.US,D,20231113,000000,26.6589,26.6589,26.6589,26.6589,1,0
DVDN.US,D,20231114,000000,27.8681,27.8681,27.8629,27.8629,1000,0
DVDN.US,D,20231115,000000,28.0429,28.0429,28.0429,28.0429,1,0
DVDN.US,D,20231116,000000,27.9399,27.9399,27.783,27.783,110,0
DVDN.US,D,20231117,000000,28.1005,28.1005,28.1005,28.1005,1,0
DVDN.US,D,20231120,000000,28.2053,28.2053,28.2053,28.2053,1,0
DVDN.US,D,20231121,000000,28.0521,28.0521,28.0521,28.0521,22,0
DVDN.US,D,20231122,000000,28.12,28.12,28.1148,28.1148,109,0
DVDN.US,D,20231124,000000,28.0114,28.0114,28.0114,28.0114,11,0
DVDN.US,D,20231127,000000,27.8854,27.8854,27.8854,27.8854,1,0
DVDN.US,D,20231128,000000,28.0322,28.0322,28.0322,28.0322,1,0
DVDN.US,D,20231129,000000,28.4576,28.4576,28.4576,28.4576,3,0
DVDN.US,D,20231130,000000,28.4746,28.4746,28.4746,28.4746,3,0
DVDN.US,D,20231201,000000,29.0838,29.0838,29.0838,29.0838,3,0
DVDN.US,D,20231204,000000,29.196,29.196,29.196,29.196,3,0
DVDN.US,D,20231205,000000,29.45,29.45,29.0588,29.0588,112,0
DVDN.US,D,20231206,000000,28.5681,28.5681,28.5681,28.5681,3,0
DVDN.US,D,20231207,000000,28.8591,28.8591,28.8591,28.8591,1,0
DVDN.US,D,20231208,000000,29.1215,29.1215,29.1215,29.1215,6,0
DVDN.US,D,20231211,000000,29.0894,29.0894,29.0894,29.0894,1,0
DVDN.US,D,20231212,000000,29.19,29.19,29.19,29.19,3,0
DVDN.US,D,20231213,000000,30.1724,30.1724,30.1724,30.1724,3,0
DVDN.US,D,20231214,000000,30.7424,30.7424,30.7424,30.7424,3,0
DVDN.US,D,20231215,000000,30.2108,30.2108,30.2108,30.2108,3,0
DVDN.US,D,20231218,000000,29.9781,29.9781,29.9781,29.9781,1,0
DVDN.US,D,20231219,000000,30.4527,30.4527,30.4527,30.4527,1,0
DVDN.US,D,20231220,000000,30.3274,30.3274,30.3274,30.3274,1,0
DVDN.US,D,20231221,000000,30.6423,30.6423,30.6423,30.6423,1,0
DVDN.US,D,20231222,000000,30.6962,30.6962,30.6962,30.6962,5,0
DVDN.US,D,20231226,000000,30.2564,30.2564,30.2564,30.2564,1,0
DVDN.US,D,20231227,000000,30.2605,30.2605,30.2605,30.2605,1,0
DVDN.US,D,20231228,000000,30.1619,30.1619,30.1619,30.1619,2,0
DVDN.US,D,20231229,000000,30.07,30.07,29.652,29.652,302,0
DVDN.US,D,20240102,000000,29.503,29.503,29.503,29.503,35,0
DVDN.US,D,20240103,000000,28.9825,28.9825,28.9825,28.9825,1,0
DVDN.US,D,20240104,000000,29.0586,29.0586,29.0586,29.0586,147,0
DVDN.US,D,20240105,000000,29.3115,29.3115,29.3115,29.3115,43,0
DVDN.US,D,20240108,000000,29.9184,29.9184,29.9184,29.9184,1,0
DVDN.US,D,20240109,000000,29.8683,29.8683,29.8683,29.8683,30,0
DVDN.US,D,20240110,000000,29.9148,29.9148,29.9148,29.9148,10,0
DVDN.US,D,20240111,000000,29.7705,29.7705,29.7705,29.7705,1,0
DVDN.US,D,20240112,000000,29.9121,29.9121,29.9121,29.9121,1,0
DVDN.US,D,20240116,000000,29.5584,29.5584,29.5584,29.5584,51,0
DVDN.US,D,20240117,000000,29.2969,29.2969,29.2969,29.2969,28,0
DVDN.US,D,20240118,000000,29.3618,29.3618,29.3618,29.3618,21,0
DVDN.US,D,20240119,000000,29.4759,29.4759,29.4759,29.4759,1,0
DVDN.US,D,20240122,000000,29.5784,29.5784,29.5784,29.5784,1,0
DVDN.US,D,20240123,000000,29.7466,29.7466,29.7466,29.7466,2,0
DVDN.US,D,20240124,000000,29.6925,29.6925,29.6925,29.6925,28,0
DVDN.US,D,20240125,000000,29.945,29.945,29.945,29.945,4,0
DVDN.US,D,20240126,000000,30.116,30.116,30.116,30.116,28,0
DVDN.US,D,20240129,000000,30.3164,30.3164,30.3164,30.3164,51,0
DVDN.US,D,20240130,000000,29.8221,29.8221,29.8221,29.8221,1,0
DVDN.US,D,20240131,000000,29.2196,29.2196,29.2196,29.2196,56,0
DVDN.US,D,20240201,000000,29.544,29.544,29.544,29.544,28,0
DVDN.US,D,20240202,000000,29.2684,29.2684,29.2684,29.2684,53,0
DVDN.US,D,20240205,000000,28.8078,28.8078,28.8078,28.8078,53,0
DVDN.US,D,20240206,000000,28.8428,28.8428,28.8428,28.8428,11,0
DVDN.US,D,20240207,000000,28.217,28.217,28.217,28.217,12,0
DVDN.US,D,20240208,000000,28.2821,28.2821,28.2821,28.2821,3,0
DVDN.US,D,20240209,000000,28.4934,28.4934,28.4934,28.4934,57,0
DVDN.US,D,20240212,000000,28.8948,28.8948,28.8948,28.8948,10,0
DVDN.US,D,20240213,000000,27.9364,27.9364,27.9364,27.9364,11,0
DVDN.US,D,20240214,000000,28.2582,28.2582,28.2582,28.2582,11,0
DVDN.US,D,20240215,000000,29.007,29.007,29.007,29.007,4,0
DVDN.US,D,20240216,000000,28.96,28.96,28.8068,28.8068,3720,0
DVDN.US,D,20240220,000000,28.5404,28.5404,28.5404,28.5404,6,0
DVDN.US,D,20240221,000000,28.5415,28.5415,28.5415,28.5415,3,0
DVDN.US,D,20240222,000000,28.9097,28.9097,28.9097,28.9097,2,0
DVDN.US,D,20240223,000000,29.0434,29.0434,29.0434,29.0434,2,0
DVDN.US,D,20240226,000000,28.8904,28.8904,28.8904,28.8904,50,0
DVDN.US,D,20240227,000000,28.8158,28.8158,28.8158,28.8158,2,0
DVDN.US,D,20240228,000000,28.5572,28.5572,28.5572,28.5572,1,0
DVDN.US,D,20240229,000000,28.37,28.94,28.37,28.94,280,0
DVDN.US,D,20240301,000000,29.1886,29.1886,29.1886,29.1886,38,0
DVDN.US,D,20240304,000000,28.9277,28.9277,28.9277,28.9277,5,0
DVDN.US,D,20240305,000000,28.9086,28.9086,28.9086,28.9086,1,0
DVDN.US,D,20240306,000000,29.1236,29.1236,29.1236,29.1236,4,0
DVDN.US,D,20240307,000000,29.3649,29.3649,29.3649,29.3649,10,0
DVDN.US,D,20240308,000000,29.0348,29.0348,29.0348,29.0348,16,0
DVDN.US,D,20240311,000000,29.0703,29.0703,29.0703,29.0703,5,0
DVDN.US,D,20240312,000000,29.1475,29.1475,29.1475,29.1475,3,0
DVDN.US,D,20240313,000000,29.1849,29.1849,29.1849,29.1849,1,0
DVDN.US,D,20240314,000000,28.5671,28.5671,28.5671,28.5671,2,0
DVDN.US,D,20240315,000000,28.9034,28.9034,28.9034,28.9034,1,0
DVDN.US,D,20240318,000000,28.7877,28.7877,28.7877,28.7877,3,0
DVDN.US,D,20240319,000000,28.81,28.81,28.7375,28.7375,1117,0
DVDN.US,D,20240320,000000,29.1707,29.1707,29.1707,29.1707,2,0
DVDN.US,D,20240321,000000,29.55,29.55,29.4386,29.4386,413,0
DVDN.US,D,20240322,000000,29.1861,29.1861,29.1861,29.1861,39,0
DVDN.US,D,20240325,000000,29.3961,29.3961,29.3961,29.3961,25,0
DVDN.US,D,20240326,000000,28.55,28.55,28.4992,28.4992,217,0
DVDN.US,D,20240327,000000,28.9833,28.9833,28.9833,28.9833,3,0
DVDN.US,D,20240328,000000,29.24,29.28,29.1873,29.2694,667,0
DVDN.US,D,20240401,000000,29.25,29.25,29.1396,29.1396,241,0
DVDN.US,D,20240402,000000,28.7546,28.7546,28.7222,28.7222,234,0
DVDN.US,D,20240403,000000,28.7924,28.81,28.7453,28.7453,220,0
DVDN.US,D,20240404,000000,28.6169,28.6169,28.6169,28.6169,2,0
DVDN.US,D,20240405,000000,28.51,28.7136,28.51,28.7136,1002,0
DVDN.US,D,20240408,000000,28.72,28.72,28.72,28.72,70,0
DVDN.US,D,20240409,000000,28.8692,28.8692,28.8692,28.8692,2,0
DVDN.US,D,20240410,000000,28.1164,28.1164,28.1164,28.1164,2,0
DVDN.US,D,20240411,000000,28.4822,28.4822,28.4822,28.4822,4,0
DVDN.US,D,20240412,000000,28.1157,28.1157,28.1157,28.1157,78,0
DVDN.US,D,20240415,000000,28.0199,28.0199,27.832,27.832,102,0
DVDN.US,D,20240416,000000,27.6585,27.6585,27.6585,27.6585,1,0
DVDN.US,D,20240417,000000,27.8542,27.8542,27.8542,27.8542,2,0
DVDN.US,D,20240418,000000,28.0271,28.0271,28.0271,28.0271,5,0
DVDN.US,D,20240419,000000,28.3327,28.3327,28.3327,28.3327,2,0
DVDN.US,D,20240422,000000,28.5669,28.5669,28.5669,28.5669,3,0
DVDN.US,D,20240423,000000,28.6735,28.6735,28.6735,28.6735,8,0
DVDN.US,D,20240424,000000,28.6516,28.6516,28.6516,28.6516,9,0
DVDN.US,D,20240425,000000,28.3981,28.3981,28.3981,28.3981,24,0
DVDN.US,D,20240426,000000,28.6767,28.6767,28.6767,28.6767,1,0
DVDN.US,D,20240429,000000,28.7073,28.7073,28.7073,28.7073,15,0
DVDN.US,D,20240430,000000,28.4365,28.4365,28.4365,28.4365,20,0
DVDN.US,D,20240501,000000,28.6862,28.6862,28.6862,28.6862,26,0
DVDN.US,D,20240502,000000,28.82,28.82,28.82,28.82,5,0
DVDN.US,D,20240503,000000,28.8948,28.8948,28.8948,28.8948,85,0
DVDN.US,D,20240506,000000,29.4095,29.4095,29.4095,29.4095,9,0
DVDN.US,D,20240507,000000,29.3304,29.3304,29.3304,29.3304,25,0
DVDN.US,D,20240508,000000,29.353,29.353,29.2927,29.2927,104,0
DVDN.US,D,20240509,000000,29.3568,29.3568,29.3568,29.3568,4,0
DVDN.US,D,20240510,000000,29.1995,29.1995,29.1995,29.1995,5,0
DVDN.US,D,20240513,000000,29.2187,29.2187,29.2187,29.2187,7,0
DVDN.US,D,20240514,000000,29.65,29.65,29.5276,29.5276,200,0
DVDN.US,D,20240515,000000,29.59,29.6216,29.59,29.6216,100,0
DVDN.US,D,20240516,000000,29.7007,29.7007,29.7007,29.7007,8,0
DVDN.US,D,20240517,000000,29.685,29.685,29.685,29.685,1,0
DVDN.US,D,20240520,000000,29.4411,29.4411,29.4411,29.4411,8,0
DVDN.US,D,20240521,000000,29.378,29.378,29.378,29.378,1,0
DVDN.US,D,20240522,000000,29.246,29.246,29.246,29.246,8,0
DVDN.US,D,20240523,000000,28.5376,28.5376,28.5376,28.5376,8,0
DVDN.US,D,20240524,000000,28.8074,28.8074,28.8074,28.8074,6,0
DVDN.US,D,20240528,000000,28.688,28.688,28.688,28.688,5,0
DVDN.US,D,20240529,000000,28.4217,28.4217,28.4217,28.4217,5,0
DVDN.US,D,20240530,000000,28.8063,28.8063,28.8063,28.8063,2,0
DVDN.US,D,20240531,000000,29.1304,29.1304,29.1304,29.1304,20,0
DVDN.US,D,20240603,000000,29.3618,29.3618,29.3618,29.3618,4,0
DVDN.US,D,20240604,000000,29.1013,29.1013,29.1013,29.1013,22,0
DVDN.US,D,20240605,000000,29.4152,29.4152,29.4152,29.4152,20,0
DVDN.US,D,20240606,000000,29.1589,29.1589,29.1589,29.1589,23,0
DVDN.US,D,20240607,000000,29.0068,29.0068,29.0068,29.0068,3,0
DVDN.US,D,20240610,000000,29.26,29.26,28.9738,28.9738,337,0
DVDN.US,D,20240611,000000,28.7414,28.7414,28.7414,28.7414,100,0
DVDN.US,D,20240612,000000,29.32,29.32,29.198,29.198,231,0
DVDN.US,D,20240613,000000,29.26,29.3516,29.26,29.3516,309,0
DVDN.US,D,20240614,000000,29.15,29.15,29.1346,29.1346,200,0
DVDN.US,D,20240617,000000,29.3869,29.3869,29.3869,29.3869,47,0
DVDN.US,D,20240618,000000,29.2169,29.2169,29.2169,29.2169,27,0
DVDN.US,D,20240620,000000,29.3217,29.3217,29.3217,29.3217,6,0
DVDN.US,D,20240621,000000,29.3,29.4394,29.3,29.4394,452,0
