<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EAGL.US,D,20240327,000000,25.16,25.26,25.1039,25.257,363783,0
EAGL.US,D,20240328,000000,25.32,25.32,25.1999,25.2291,6781,0
EAGL.US,D,20240401,000000,25.31,25.31,25.1925,25.2701,15742,0
EAGL.US,D,20240402,000000,25.2,25.21,25.05,25.1187,138725,0
EAGL.US,D,20240403,000000,25.13,25.37,25.13,25.33,19107,0
EAGL.US,D,20240404,000000,25.53,25.59,25.1092,25.1092,13213,0
EAGL.US,D,20240405,000000,25.19,25.5013,25.19,25.5013,19900,0
EAGL.US,D,20240408,000000,25.552,25.6114,25.54,25.5453,117938,0
EAGL.US,D,20240409,000000,25.58,25.58,25.2662,25.4404,15991,0
EAGL.US,D,20240410,000000,25.25,25.3778,25.25,25.3778,68629,0
EAGL.US,D,20240411,000000,25.33,25.52,25.19,25.4774,11823,0
EAGL.US,D,20240412,000000,25.34,25.34,25.0492,25.102,12522,0
EAGL.US,D,20240415,000000,25.42,25.42,24.92,24.9209,2781,0
EAGL.US,D,20240416,000000,24.92,24.95,24.9073,24.9156,71029,0
EAGL.US,D,20240417,000000,25.079,25.079,24.9051,24.9051,2703,0
EAGL.US,D,20240418,000000,25.05,25.11,24.91,24.9116,4867,0
EAGL.US,D,20240419,000000,24.88,24.88,24.7092,24.7092,3410,0
EAGL.US,D,20240422,000000,24.83,25.015,24.75,24.9361,168735,0
EAGL.US,D,20240423,000000,25.065,25.34,25.065,25.3092,1917,0
EAGL.US,D,20240424,000000,25.4099,25.4099,25.17,25.2605,108975,0
EAGL.US,D,20240425,000000,24.75,24.99,24.645,24.9578,29843,0
EAGL.US,D,20240426,000000,25.09,25.24,25.09,25.1917,42354,0
EAGL.US,D,20240429,000000,25.1,25.1335,25.07,25.1046,1923,0
EAGL.US,D,20240430,000000,25.1,25.1,24.7595,24.7595,11194,0
EAGL.US,D,20240501,000000,24.8008,25.13,24.8008,24.8157,31150,0
EAGL.US,D,20240502,000000,25.05,25.0668,25,25.06,4056,0
EAGL.US,D,20240503,000000,25.19,25.32,25.1825,25.3047,13564,0
EAGL.US,D,20240506,000000,25.43,25.556,25.42,25.556,8897,0
EAGL.US,D,20240507,000000,25.66,25.7294,25.62,25.6518,256440,0
EAGL.US,D,20240508,000000,25.66,25.74,25.66,25.7105,9576,0
EAGL.US,D,20240509,000000,25.855,25.9,25.855,25.8796,16847,0
EAGL.US,D,20240510,000000,25.94,25.9841,25.93,25.9841,280,0
EAGL.US,D,20240513,000000,26.02,26.02,25.8582,25.8582,86649,0
EAGL.US,D,20240514,000000,25.88,26.02,25.88,26.0152,21655,0
EAGL.US,D,20240515,000000,26.14,26.1891,26.1175,26.1891,31509,0
EAGL.US,D,20240516,000000,26.21,26.21,26.0821,26.0821,61291,0
EAGL.US,D,20240517,000000,26.11,26.12,26.05,26.1149,23357,0
EAGL.US,D,20240520,000000,26.21,26.21,26.08,26.13,254761,0
EAGL.US,D,20240521,000000,26.15,26.17,26.1325,26.1679,162111,0
EAGL.US,D,20240522,000000,26.115,26.115,26,26.0369,396805,0
EAGL.US,D,20240523,000000,26.13,26.13,25.8169,25.8169,391865,0
EAGL.US,D,20240524,000000,26.03,26.03,25.9866,25.9866,34954,0
EAGL.US,D,20240528,000000,25.975,26,25.95,25.9731,15540,0
EAGL.US,D,20240529,000000,25.64,25.73,25.62,25.7116,51863,0
EAGL.US,D,20240530,000000,25.61,25.64,25.5619,25.63,2952,0
EAGL.US,D,20240531,000000,25.6,25.7959,25.485,25.7959,31039,0
EAGL.US,D,20240603,000000,25.91,25.91,25.63,25.82,65824,0
EAGL.US,D,20240604,000000,25.6597,25.695,25.63,25.68,12692,0
EAGL.US,D,20240605,000000,25.81,25.9144,25.81,25.9144,16047,0
EAGL.US,D,20240606,000000,25.96,25.97,25.88,25.93,7933,0
EAGL.US,D,20240607,000000,25.9,25.9,25.82,25.82,15727,0
EAGL.US,D,20240610,000000,25.8284,26,25.8284,25.97,58153,0
EAGL.US,D,20240611,000000,25.84,25.91,25.825,25.91,325287,0
EAGL.US,D,20240612,000000,26.21,26.21,26.095,26.124,48708,0
EAGL.US,D,20240613,000000,26.01,26.01,25.82,25.9437,34245,0
EAGL.US,D,20240614,000000,25.7799,25.7804,25.7068,25.7804,5412,0
EAGL.US,D,20240617,000000,25.75,26.02,25.75,25.9802,53430,0
EAGL.US,D,20240618,000000,26.03,26.03,25.94,25.9532,50094,0
EAGL.US,D,20240620,000000,26.115,26.14,26.07,26.12,16455,0
EAGL.US,D,20240621,000000,26.152,26.1903,26.1399,26.1903,5028,0
