<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECML.US,D,20230519,000000,25.1865,25.1865,25.1686,25.1686,8881,0
ECML.US,D,20230522,000000,25.41,25.41,25.18,25.3185,720,0
ECML.US,D,20230523,000000,25.4,25.4499,25.1978,25.2144,2186,0
ECML.US,D,20230524,000000,25.15,25.15,25.0199,25.0199,4115,0
ECML.US,D,20230525,000000,24.86,24.92,24.76,24.8539,5095,0
ECML.US,D,20230526,000000,24.93,24.94,24.86,24.9056,2251,0
ECML.US,D,20230530,000000,25.14,25.14,24.564,24.6574,91700,0
ECML.US,D,20230531,000000,24.9,24.9,24.2,24.2542,26977,0
ECML.US,D,20230601,000000,24.49,24.49,24.42,24.4266,1912,0
ECML.US,D,20230602,000000,25.0999,25.5331,25.0999,25.5331,841,0
ECML.US,D,20230605,000000,25.2899,25.38,25.2629,25.2629,1979,0
ECML.US,D,20230606,000000,25.97,25.9897,25.87,25.9887,1137,0
ECML.US,D,20230607,000000,26.54,26.7666,26.51,26.7666,4392,0
ECML.US,D,20230608,000000,26.405,26.555,26.405,26.5404,451,0
ECML.US,D,20230609,000000,26.587,26.587,26.4078,26.4078,1338,0
ECML.US,D,20230612,000000,26.46,26.55,26.46,26.5392,411,0
ECML.US,D,20230613,000000,26.8448,26.8448,26.8448,26.8448,94,0
ECML.US,D,20230614,000000,26.85,26.89,26.4776,26.4776,543,0
ECML.US,D,20230615,000000,26.6,26.82,26.59,26.7764,1000,0
ECML.US,D,20230616,000000,26.74,26.77,26.62,26.6246,19296,0
ECML.US,D,20230620,000000,26.52,26.53,26.52,26.53,303,0
ECML.US,D,20230621,000000,26.8,26.8154,26.8,26.8154,122,0
ECML.US,D,20230622,000000,26.65,26.71,26.602,26.602,1206,0
ECML.US,D,20230623,000000,26.4086,26.4086,26.4086,26.4086,2,0
ECML.US,D,20230626,000000,26.6361,26.67,26.5599,26.5599,325,0
ECML.US,D,20230627,000000,27.02,27.066,26.98,27.066,672,0
ECML.US,D,20230628,000000,27.15,27.18,27.1483,27.1483,433,0
ECML.US,D,20230629,000000,27.46,27.5353,27.43,27.5353,299,0
ECML.US,D,20230630,000000,27.98,27.98,27.6401,27.6401,350,0
ECML.US,D,20230703,000000,27.86,27.86,27.7571,27.7571,498,0
