<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EETH.US,D,20231004,000000,37.3717,37.7522,37.3431,37.5955,6058.8123346127,0
EETH.US,D,20231005,000000,37.5144,37.6079,36.8392,36.9139,11083.116368469,0
EETH.US,D,20231006,000000,37.1531,37.8093,37.1531,37.697,7079.6533509079,0
EETH.US,D,20231009,000000,36.2685,36.3348,35.479,36.0929,25045.824439958,0
EETH.US,D,20231010,000000,35.9354,36.0496,35.6215,35.6881,19640.939100336,0
EETH.US,D,20231011,000000,35.8783,35.9268,35.6196,35.6196,3064.6257080333,0
EETH.US,D,20231012,000000,35.2887,35.2887,34.762,34.8775,12549.721124115,0
EETH.US,D,20231013,000000,35.0888,35.2707,35.0888,35.2163,2690.3523797109,0
EETH.US,D,20231016,000000,37.229,37.4287,35.983,36.2536,31895.236614173,0
EETH.US,D,20231017,000000,35.8689,36.002,35.536,35.6806,4910.7604398709,0
EETH.US,D,20231018,000000,36.0306,36.0306,35.7008,35.7008,6500.3707556673,0
EETH.US,D,20231019,000000,35.5372,35.8309,35.479,35.818,6023.0671290988,0
EETH.US,D,20231020,000000,36.8199,36.8661,36.6965,36.7666,5483.7350576679,0
EETH.US,D,20231023,000000,38.047,39.1503,38.047,39.1503,5729.7461779697,0
EETH.US,D,20231024,000000,42.0133,42.0133,40.6687,40.7246,11020.036594033,0
EETH.US,D,20231025,000000,41.3952,41.519,41.1383,41.1626,3178.1693020188,0
EETH.US,D,20231026,000000,41.7281,41.7281,41.029,41.1641,2076.3759085303,0
EETH.US,D,20231027,000000,41.1478,41.1478,40.406,40.7475,5450.0925113018,0
EETH.US,D,20231030,000000,41.6805,41.7947,41.3287,41.4211,5158.8742193206,0
EETH.US,D,20231031,000000,41.2811,41.7281,41.0339,41.6902,2878.5403734461,0
EETH.US,D,20231101,000000,41.6937,42.5983,41.1984,42.3263,7481.550795635,0
EETH.US,D,20231102,000000,42.0506,42.0506,41.3029,41.6183,5627.1762405344,0
EETH.US,D,20231103,000000,41.2463,41.8173,41.2463,41.8124,3656.2469993545,0
EETH.US,D,20231106,000000,44.0078,44.084,43.4648,43.5652,16855.27766618,0
EETH.US,D,20231107,000000,43.084,43.8373,42.6078,43.8373,5890.7368369842,0
EETH.US,D,20231108,000000,43.3172,43.8162,43.3172,43.597,5638.7267049207,0
EETH.US,D,20231109,000000,44.6745,47.3409,44.6745,46.8915,29664.742670524,0
EETH.US,D,20231110,000000,47.7314,48.4933,47.6125,48.1219,37563.160226281,0
EETH.US,D,20231113,000000,47.541,48.6264,47.0314,47.9989,20451.672259169,0
EETH.US,D,20231114,000000,46.9982,47.1111,44.2839,45.3124,37948.525719894,0
EETH.US,D,20231115,000000,46.1034,47.2981,46.0647,46.9484,15491.272826386,0
EETH.US,D,20231116,000000,46.3029,46.5505,44.503,44.8465,24660.24146463,0
EETH.US,D,20231117,000000,44.6839,44.6839,43.684,44.5009,15125.858134894,0
EETH.US,D,20231120,000000,46.3982,46.9286,45.9886,46.6088,32419.003405535,0
EETH.US,D,20231121,000000,45.7411,46.0791,44.7601,45.6121,18590.997450767,0
EETH.US,D,20231122,000000,46.4353,47.7085,46.4353,47.5599,24726.394124296,0
EETH.US,D,20231124,000000,48.3314,49.1028,48.1313,48.3577,17514.704178413,0
EETH.US,D,20231127,000000,45.8838,46.0935,45.2553,45.3949,23056.826999376,0
EETH.US,D,20231128,000000,46.2649,47.4933,46.2361,47.2076,14555.685211101,0
EETH.US,D,20231129,000000,46.8457,46.8457,45.9981,46.1315,24302.177068656,0
EETH.US,D,20231130,000000,46.141,46.4755,46.141,46.4755,4307.2731738519,0
EETH.US,D,20231201,000000,47.4339,48.0067,47.31,47.6145,34142.704974553,0
EETH.US,D,20231204,000000,50.5453,50.8031,50.2781,50.6399,22823.621876287,0
EETH.US,D,20231205,000000,50.4117,52.4828,50.2208,51.4981,40121.293159197,0
EETH.US,D,20231206,000000,51.5666,51.9102,51.1562,51.2445,18529.851392468,0
EETH.US,D,20231207,000000,51.2326,53.5134,51.2049,53.3661,44794.357180141,0
EETH.US,D,20231208,000000,53.3705,53.9335,53.2654,53.8249,28661.808585862,0
EETH.US,D,20231211,000000,50.4213,50.5835,48.98,49.7254,55505.732401244,0
EETH.US,D,20231212,000000,50.0969,50.2495,49.1327,49.4704,14995.715755103,0
EETH.US,D,20231213,000000,49.5547,51.2515,49.5193,51.2019,26464.630278256,0
EETH.US,D,20231214,000000,51.9197,52.4064,51.4138,51.838,29289.424134863,0
EETH.US,D,20231215,000000,50.784,50.9288,50.4404,50.9288,18363.255612349,0
EETH.US,D,20231218,000000,49.0182,49.4564,48.6462,49.4356,18586.431091377,0
EETH.US,D,20231219,000000,49.8963,49.9631,48.1403,48.9959,15990.051574807,0
EETH.US,D,20231220,000000,50.8118,51.185,48.9845,49.3194,17676.908226685,0
EETH.US,D,20231221,000000,50.4865,50.5631,50.1804,50.5257,10508.729618679,0
EETH.US,D,20231222,000000,52.1131,52.9645,50.7545,52.3481,110065.72061227,0
EETH.US,D,20231226,000000,50.8788,50.8788,49.2715,49.9879,136626.02778755,0
EETH.US,D,20231227,000000,52.1982,53.7959,52.1704,53.1913,30722.407965171,0
EETH.US,D,20231228,000000,53.9499,54.0169,52.888,53.0984,515491.12959898,0
EETH.US,D,20231229,000000,53.1558,53.682,51.4912,51.8684,147205.83295964,0
EETH.US,D,20240102,000000,53.8447,53.9276,52.907,53.1174,149342.28047711,0
EETH.US,D,20240103,000000,49.2332,50.2188,49.0657,49.6924,125575.86968841,0
EETH.US,D,20240104,000000,50.0752,51.3763,49.9508,50.9523,136897.7872565,0
EETH.US,D,20240105,000000,50.0847,50.4196,49.6638,50.3265,155273.95350138,0
EETH.US,D,20240108,000000,50.9171,52.9735,50.6397,52.4766,196356.66860603,0
EETH.US,D,20240109,000000,50.6875,50.831,50.3239,50.3258,31786.450808996,0
EETH.US,D,20240110,000000,53.6247,55.7772,53.2706,55.5094,165916.47239708,0
EETH.US,D,20240111,000000,58.944,60.2835,57.32,57.9108,191634.3252186,0
EETH.US,D,20240112,000000,60.3217,60.6173,57.1549,57.2506,113937.24781612,0
EETH.US,D,20240116,000000,56.3896,57.6985,55.6347,57.6678,50595.341746744,0
EETH.US,D,20240117,000000,56.9063,57.108,56.2079,56.6956,24626.634030803,0
EETH.US,D,20240118,000000,56.1983,56.3513,53.8829,54.4187,55704.419763066,0
EETH.US,D,20240119,000000,55.1842,55.7295,53.7873,55.3372,79124.859843207,0
EETH.US,D,20240122,000000,52.7348,53.0027,51.3587,51.979,43304.871377709,0
EETH.US,D,20240123,000000,48.8314,49.5633,48.2861,48.841,45514.484906044,0
