<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMSF.US,D,20230928,000000,25.09,25.19,25.09,25.19,1217,0
EMSF.US,D,20230929,000000,25.475,25.475,25.2396,25.2396,2701,0
EMSF.US,D,20231002,000000,25.144,25.144,25.144,25.144,80,0
EMSF.US,D,20231003,000000,24.83,24.855,24.8198,24.8198,560,0
EMSF.US,D,20231004,000000,24.82,24.86,24.77,24.79,2501,0
EMSF.US,D,20231005,000000,24.775,24.775,24.775,24.775,85,0
EMSF.US,D,20231006,000000,25.0528,25.0528,25.0528,25.0528,21,0
EMSF.US,D,20231009,000000,24.83,24.83,24.83,24.83,85,0
EMSF.US,D,20231010,000000,25.315,25.315,25.3097,25.3097,243,0
EMSF.US,D,20231011,000000,25.3562,25.3562,25.3562,25.3562,85,0
EMSF.US,D,20231012,000000,25.1204,25.1204,25.1204,25.1204,85,0
EMSF.US,D,20231013,000000,25.2,25.22,25.04,25.04,1150,0
EMSF.US,D,20231016,000000,25.245,25.245,25.2438,25.2438,223,0
EMSF.US,D,20231017,000000,25.1,25.1,25.0225,25.0225,2040,0
EMSF.US,D,20231018,000000,24.5708,24.5708,24.5708,24.5708,85,0
EMSF.US,D,20231019,000000,24.4152,24.4152,24.4152,24.4152,85,0
EMSF.US,D,20231020,000000,24.15,24.15,24.11,24.1291,144604,0
EMSF.US,D,20231023,000000,24.046,24.046,24.046,24.046,40,0
EMSF.US,D,20231024,000000,24.36,24.4242,24.36,24.4242,290,0
EMSF.US,D,20231025,000000,23.8657,23.8657,23.8657,23.8657,93,0
EMSF.US,D,20231026,000000,23.5622,23.5622,23.5622,23.5622,20,0
EMSF.US,D,20231027,000000,23.775,23.83,23.775,23.7801,4272,0
EMSF.US,D,20231030,000000,24.1363,24.1363,24.1363,24.1363,65,0
EMSF.US,D,20231031,000000,23.6691,23.6691,23.6691,23.6691,40,0
EMSF.US,D,20231101,000000,23.9551,23.9551,23.9551,23.9551,85,0
EMSF.US,D,20231102,000000,24.51,24.52,24.51,24.52,794,0
EMSF.US,D,20231103,000000,25.0768,25.0768,25.0768,25.0768,85,0
EMSF.US,D,20231106,000000,25.4299,25.4299,25.3084,25.3084,200,0
EMSF.US,D,20231107,000000,25.2811,25.2811,25.2811,25.2811,39,0
EMSF.US,D,20231108,000000,25.27,25.27,25.1751,25.1751,1000,0
EMSF.US,D,20231109,000000,24.91,24.9359,24.91,24.9359,2319,0
EMSF.US,D,20231110,000000,25.15,25.15,25.0963,25.0963,200,0
EMSF.US,D,20231113,000000,25.0942,25.0942,25.0942,25.0942,92,0
EMSF.US,D,20231114,000000,25.655,25.655,25.655,25.655,21675,0
EMSF.US,D,20231115,000000,25.85,25.85,25.8105,25.8105,13085,0
EMSF.US,D,20231116,000000,25.4348,25.4348,25.4348,25.4348,85,0
EMSF.US,D,20231117,000000,25.5,25.5122,25.5,25.5122,2381,0
EMSF.US,D,20231120,000000,26.09,26.09,26.0231,26.0231,220,0
EMSF.US,D,20231121,000000,25.6857,25.6857,25.6857,25.6857,93,0
EMSF.US,D,20231122,000000,25.68,25.69,25.661,25.661,1838,0
EMSF.US,D,20231124,000000,25.6157,25.6157,25.6157,25.6157,11,0
EMSF.US,D,20231127,000000,25.58,25.58,25.552,25.552,46846,0
EMSF.US,D,20231128,000000,25.585,25.585,25.585,25.585,93,0
EMSF.US,D,20231129,000000,25.3277,25.3277,25.3277,25.3277,2,0
EMSF.US,D,20231130,000000,25.3429,25.3429,25.3429,25.3429,2,0
EMSF.US,D,20231201,000000,25.42,25.42,25.36,25.36,690,0
EMSF.US,D,20231204,000000,25.08,25.09,25.06,25.085,2897,0
EMSF.US,D,20231205,000000,24.92,24.935,24.92,24.935,276,0
EMSF.US,D,20231206,000000,25.01,25.01,24.8575,24.8575,6134,0
EMSF.US,D,20231207,000000,25.069,25.069,25.024,25.024,7052,0
EMSF.US,D,20231208,000000,24.88,25.02,24.88,24.92,192513,0
EMSF.US,D,20231211,000000,25.09,25.09,25.09,25.09,32,0
EMSF.US,D,20231212,000000,24.9335,25.08,24.93,24.9731,17501,0
EMSF.US,D,20231213,000000,24.87,25.38,24.87,25.32,4073,0
EMSF.US,D,20231214,000000,25.66,26.08,25.66,25.85,8731,0
