<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ESGA.US,D,20200716,000000,39.4324,39.4423,39.2753,39.4284,4091.1230673326,0
ESGA.US,D,20200717,000000,39.5695,39.6361,39.5595,39.6361,5577.249179101,0
ESGA.US,D,20200720,000000,39.7265,40.0615,39.7265,40.0615,7463.8344597819,0
ESGA.US,D,20200721,000000,40.2652,40.3338,40.0307,40.0377,4214.8830617453,0
ESGA.US,D,20200722,000000,40.1261,40.2752,40.0783,40.2752,8779.9163515849,0
ESGA.US,D,20200723,000000,40.294,40.294,39.6083,39.6828,12116.405306645,0
ESGA.US,D,20200724,000000,39.4612,39.5595,39.3648,39.4264,8559.5631908013,0
ESGA.US,D,20200727,000000,39.6669,39.7951,39.6669,39.7951,989.07377648498,0
ESGA.US,D,20200728,000000,39.7752,39.7752,39.5039,39.5039,2517.4593985406,0
ESGA.US,D,20200729,000000,39.8438,40.0873,39.8438,40.0137,4918.2020543831,0
ESGA.US,D,20200730,000000,39.481,39.9223,39.481,39.8498,1920.7953604373,0
ESGA.US,D,20200731,000000,39.9809,40.146,39.5983,40.146,5827.7877043754,0
ESGA.US,D,20200803,000000,40.4501,40.5763,40.4411,40.5385,4533.8417465324,0
ESGA.US,D,20200804,000000,40.4123,40.5266,40.3835,40.5266,2429.921841517,0
ESGA.US,D,20200805,000000,40.8913,40.9211,40.8427,40.8487,4849.7818948704,0
ESGA.US,D,20200806,000000,40.95,41.1845,40.941,41.1557,4104.2033919453,0
ESGA.US,D,20200807,000000,41.1845,41.1845,40.9698,41.1458,4492.5884150615,0
ESGA.US,D,20200810,000000,41.0672,41.2143,41.0474,41.2143,2798.1832883059,0
ESGA.US,D,20200811,000000,41.4012,41.5165,40.9142,40.9142,7515.1495794164,0
ESGA.US,D,20200812,000000,41.5364,41.6845,41.5364,41.6089,12230.103512894,0
ESGA.US,D,20200813,000000,41.6159,41.7043,41.4548,41.5612,5388.0875616247,0
ESGA.US,D,20200814,000000,41.5165,41.591,41.5145,41.5145,6067.2582626698,0
ESGA.US,D,20200817,000000,41.759,41.8037,41.754,41.754,148740.39588651,0
ESGA.US,D,20200818,000000,41.7242,41.92,41.7143,41.8355,7804.929078529,0
ESGA.US,D,20200819,000000,41.9578,41.9578,41.6845,41.6845,141609.60661495,0
ESGA.US,D,20200820,000000,41.6645,41.8504,41.6645,41.8504,5736.2254320863,0
ESGA.US,D,20200821,000000,41.9578,42.0761,41.8326,42.0353,10219.7582378,0
ESGA.US,D,20200824,000000,42.3404,42.3603,42.2728,42.3354,5887.1522545408,0
ESGA.US,D,20200825,000000,42.4089,42.5411,42.4089,42.5411,7933.7199670235,0
ESGA.US,D,20200826,000000,42.7926,43.0331,42.7439,43.0331,10845.601461578,0
ESGA.US,D,20200827,000000,43.1842,43.3372,42.9705,43.1246,14199.195456517,0
ESGA.US,D,20200828,000000,43.2339,43.9166,43.2339,43.9166,9392.67925075,0
ESGA.US,D,20200831,000000,43.4168,43.4257,43.2428,43.2647,8734.6383048485,0
ESGA.US,D,20200901,000000,43.3829,43.6135,43.3491,43.6125,6704.1694534277,0
ESGA.US,D,20200902,000000,43.9445,44.4643,43.8768,44.4007,8559.5631908013,0
ESGA.US,D,20200903,000000,44.0339,44.0637,42.4189,42.6802,13983.873189815,0
ESGA.US,D,20200904,000000,42.9556,42.9556,41.3912,42.2868,9936.0158115861,0
ESGA.US,D,20200908,000000,41.2044,41.596,40.9996,41.0662,6884.2754615567,0
ESGA.US,D,20200909,000000,41.7838,42.2628,41.7838,42.078,7125.7583774839,0
ESGA.US,D,20200910,000000,42.3026,42.3026,41.2353,41.3525,4030.7523383508,0
ESGA.US,D,20200911,000000,41.6645,41.6645,41.1448,41.3157,3138.2717282367,0
ESGA.US,D,20200914,000000,42.0363,42.0462,41.8464,41.8644,7001.9983830712,0
ESGA.US,D,20200915,000000,42.2778,42.3215,42.1019,42.1019,9926.9602022389,0
ESGA.US,D,20200916,000000,42.1456,42.1456,42.1108,42.1108,3737.9543027891,0
ESGA.US,D,20200917,000000,41.4112,41.7043,41.3425,41.431,8245.635400096,0
ESGA.US,D,20200918,000000,41.4698,41.4698,40.8525,41.0832,3067.8392110913,0
ESGA.US,D,20200921,000000,40.1956,40.5405,40.1261,40.5405,8477.0565278596,0
ESGA.US,D,20200922,000000,40.6756,41.105,40.6458,41.105,8849.3426899139,0
ESGA.US,D,20200923,000000,41.108,41.1358,40.1141,40.1141,4290.3464729725,0
ESGA.US,D,20200924,000000,40.0963,40.6448,40.0863,40.2434,4785.3864506232,0
ESGA.US,D,20200925,000000,40.3238,40.8983,40.304,40.8983,3494.4590292292,0
ESGA.US,D,20200928,000000,41.4518,41.6477,41.4518,41.5026,5022.8446512849,0
ESGA.US,D,20200929,000000,41.5781,41.6179,41.3257,41.4082,4097.1601402308,0
ESGA.US,D,20200930,000000,41.8057,41.9747,41.7848,41.7848,4510.699633756,0
ESGA.US,D,20201001,000000,41.9329,41.9697,41.8574,41.8574,6829.9418054731,0
ESGA.US,D,20201002,000000,41.4032,41.6229,41.4032,41.4628,4090.1168885162,0
ESGA.US,D,20201005,000000,42.0144,42.1684,42.0095,42.1684,7122.7398410348,0
ESGA.US,D,20201006,000000,42.1864,42.3444,41.589,41.589,9233.7029977647,0
ESGA.US,D,20201007,000000,42.079,42.3632,42.079,42.3245,7132.8016291984,0
ESGA.US,D,20201008,000000,42.5103,42.5391,42.5103,42.5123,4985.6160350794,0
ESGA.US,D,20201009,000000,42.8453,42.9337,42.8453,42.9119,1417.7059522557,0
ESGA.US,D,20201012,000000,43.5112,43.9038,43.5112,43.7029,15129.910861652,0
ESGA.US,D,20201013,000000,43.6989,43.6989,43.4932,43.4932,4393.9828910579,0
ESGA.US,D,20201014,000000,43.4227,43.4227,43.061,43.1613,23154.186922149,0
ESGA.US,D,20201015,000000,42.8165,43.0013,42.8165,43.0013,4316.5071221979,0
ESGA.US,D,20201016,000000,43.1534,43.3839,43.0659,43.0659,4187.7162337034,0
