<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ESUS.US,D,20211013,000000,24.087,24.087,24.087,24.087,2,0
ESUS.US,D,20211019,000000,25.7779,25.7779,25.7779,25.7779,5,0
ESUS.US,D,20211026,000000,26.3663,26.3663,26.3663,26.3663,2,0
ESUS.US,D,20211027,000000,26.0919,26.0919,26.0919,26.0919,5,0
ESUS.US,D,20211028,000000,26.547,26.547,26.547,26.547,5,0
ESUS.US,D,20211101,000000,26.7322,26.7322,26.7322,26.7322,1,0
ESUS.US,D,20211102,000000,26.83,26.8937,26.83,26.8937,153,0
ESUS.US,D,20211103,000000,27.2665,27.2665,27.2665,27.2665,37,0
ESUS.US,D,20211104,000000,27.4473,27.4473,27.4473,27.4473,2,0
ESUS.US,D,20211108,000000,27.6633,27.6633,27.6633,27.6633,37,0
ESUS.US,D,20211112,000000,27.4725,27.4725,27.4725,27.4725,1,0
ESUS.US,D,20211115,000000,27.412,27.412,27.412,27.412,1,0
ESUS.US,D,20211122,000000,27.4109,27.4109,27.4109,27.4109,2,0
ESUS.US,D,20211129,000000,27.0887,27.0887,27.0887,27.0887,1,0
ESUS.US,D,20211203,000000,25.5767,25.5767,25.5767,25.5767,7,0
ESUS.US,D,20211207,000000,27.2201,27.2201,27.2201,27.2201,3,0
ESUS.US,D,20211208,000000,27.476,27.476,27.476,27.476,1,0
ESUS.US,D,20211209,000000,27.0704,27.0704,27.0704,27.0704,6,0
ESUS.US,D,20211210,000000,27.4333,27.4333,27.4333,27.4333,1,0
ESUS.US,D,20211213,000000,26.9452,26.9452,26.9452,26.9452,1,0
ESUS.US,D,20211214,000000,26.524,26.524,26.524,26.524,8,0
ESUS.US,D,20211215,000000,27.3978,27.3978,27.3978,27.3978,1,0
ESUS.US,D,20211216,000000,26.9677,26.9677,26.9677,26.9677,1,0
ESUS.US,D,20211217,000000,26.5332,26.5332,26.5332,26.5332,1,0
ESUS.US,D,20211220,000000,25.8199,25.8199,25.8199,25.8199,7,0
ESUS.US,D,20211221,000000,26.7156,26.7156,26.7156,26.7156,1,0
ESUS.US,D,20211222,000000,27.2066,27.2066,27.2066,27.2066,1,0
ESUS.US,D,20211223,000000,27.6037,27.6037,27.6037,27.6037,1,0
ESUS.US,D,20211227,000000,28.2207,28.2207,28.2207,28.2207,1,0
