<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVHY.US,D,20231020,000000,49.4361,49.47,49.4361,49.4537,601,0
EVHY.US,D,20231023,000000,49.545,49.6275,49.545,49.6275,264,0
EVHY.US,D,20231024,000000,49.81,49.87,49.81,49.87,100,0
EVHY.US,D,20231025,000000,49.64,49.64,49.637,49.637,409,0
EVHY.US,D,20231026,000000,49.8141,49.8141,49.8141,49.8141,7,0
EVHY.US,D,20231027,000000,49.73,49.7554,49.73,49.7554,200,0
EVHY.US,D,20231030,000000,49.78,49.78,49.78,49.78,7,0
EVHY.US,D,20231031,000000,49.95,50.0192,49.95,50.0192,102,0
EVHY.US,D,20231101,000000,50.49,50.49,50.49,50.49,7,0
EVHY.US,D,20231102,000000,51.07,51.07,51.0291,51.0291,200,0
EVHY.US,D,20231103,000000,51.5308,51.5308,51.5308,51.5308,21,0
EVHY.US,D,20231106,000000,51.2993,51.2993,51.2993,51.2993,7,0
EVHY.US,D,20231107,000000,51.3388,51.3388,51.3388,51.3388,116,0
EVHY.US,D,20231108,000000,51.4,51.4,51.356,51.356,100,0
EVHY.US,D,20231109,000000,51.1097,51.1097,51,51,100,0
EVHY.US,D,20231110,000000,51.22,51.22,51.22,51.22,7,0
EVHY.US,D,20231113,000000,51.19,51.19,51.161,51.161,118,0
EVHY.US,D,20231114,000000,51.7022,51.7022,51.7022,51.7022,2,0
EVHY.US,D,20231115,000000,51.495,51.495,51.495,51.495,2,0
EVHY.US,D,20231116,000000,51.5374,51.5374,51.5374,51.5374,2,0
EVHY.US,D,20231117,000000,51.62,51.62,51.6153,51.6153,215,0
EVHY.US,D,20231120,000000,51.6588,51.6588,51.6588,51.6588,2,0
EVHY.US,D,20231121,000000,51.7109,51.7109,51.7109,51.7109,10,0
EVHY.US,D,20231122,000000,51.852,51.852,51.852,51.852,21,0
EVHY.US,D,20231124,000000,51.8024,51.8082,51.8024,51.8082,100,0
EVHY.US,D,20231127,000000,51.91,51.91,51.8845,51.8845,122,0
EVHY.US,D,20231128,000000,52.0592,52.0592,52.0592,52.0592,3,0
EVHY.US,D,20231129,000000,52.38,52.38,52.3203,52.3203,1767,0
EVHY.US,D,20231130,000000,51.7751,51.7751,51.7751,51.7751,30,0
EVHY.US,D,20231201,000000,52.1814,52.1814,52.1814,52.1814,10,0
EVHY.US,D,20231204,000000,52.13,52.14,52.1263,52.1263,718,0
EVHY.US,D,20231205,000000,52.1415,52.1415,52.1415,52.1415,51,0
EVHY.US,D,20231206,000000,52.1704,52.1704,52.1704,52.1704,75,0
EVHY.US,D,20231207,000000,52.245,52.245,52.245,52.245,14,0
EVHY.US,D,20231208,000000,52.1329,52.155,52.115,52.155,311,0
EVHY.US,D,20231211,000000,52.1,52.119,52.0865,52.1082,2365,0
EVHY.US,D,20231212,000000,52.1799,52.2494,52.1799,52.2494,217,0
EVHY.US,D,20231213,000000,52.34,52.95,52.34,52.95,3746,0
EVHY.US,D,20231214,000000,53.2493,53.27,53.145,53.2182,5896,0
EVHY.US,D,20231215,000000,53.05,53.06,53.0191,53.0484,836,0
EVHY.US,D,20231218,000000,53.11,53.11,52.9719,53.0754,13928,0
EVHY.US,D,20231219,000000,53.209,53.25,53.1746,53.1746,8624,0
EVHY.US,D,20231220,000000,53.15,53.33,53.15,53.1828,6775,0
EVHY.US,D,20231221,000000,53.12,53.16,53,53.0664,6016,0
EVHY.US,D,20231222,000000,53.18,53.18,53.025,53.025,771,0
EVHY.US,D,20231226,000000,53.08,53.0819,53.0515,53.0819,592,0
EVHY.US,D,20231227,000000,53.24,53.3705,53.24,53.3449,512,0
EVHY.US,D,20231228,000000,53.31,53.31,53.13,53.2641,2505,0
EVHY.US,D,20231229,000000,53.2499,53.2499,53.0042,53.0042,583,0
EVHY.US,D,20240102,000000,52.85,52.85,52.77,52.7959,361,0
EVHY.US,D,20240103,000000,52.575,52.6962,52.575,52.6859,212,0
EVHY.US,D,20240104,000000,52.66,52.66,52.5112,52.5112,300,0
EVHY.US,D,20240105,000000,52.57,52.57,52.55,52.5565,1157,0
EVHY.US,D,20240108,000000,52.62,52.8311,52.62,52.8311,486,0
EVHY.US,D,20240109,000000,52.77,52.8897,52.77,52.8897,105,0
EVHY.US,D,20240110,000000,53.06,53.06,52.9797,52.9797,253,0
EVHY.US,D,20240111,000000,53.13,53.13,53.13,53.13,1,0
EVHY.US,D,20240112,000000,53.28,53.28,53.2119,53.2119,1788,0
EVHY.US,D,20240116,000000,53.17,53.17,52.9289,52.9289,522,0
EVHY.US,D,20240117,000000,52.82,52.83,52.7912,52.7912,1151,0
EVHY.US,D,20240118,000000,52.8014,52.8365,52.8014,52.8365,257,0
EVHY.US,D,20240119,000000,52.8858,52.8858,52.8858,52.8858,71,0
EVHY.US,D,20240122,000000,52.98,53.07,52.96,52.992,3916,0
EVHY.US,D,20240123,000000,52.8375,52.92,52.835,52.8899,1297,0
EVHY.US,D,20240124,000000,52.98,52.98,52.86,52.8659,789,0
EVHY.US,D,20240125,000000,53.04,53.1587,53.02,53.1587,513,0
EVHY.US,D,20240126,000000,53.22,53.22,53.1625,53.1625,691,0
EVHY.US,D,20240129,000000,53.1699,53.2603,53.1699,53.2603,414,0
EVHY.US,D,20240130,000000,53.194,53.24,53.165,53.2295,4458,0
EVHY.US,D,20240131,000000,52.986,52.986,52.8057,52.8057,5124,0
EVHY.US,D,20240201,000000,53.01,53.13,53,53.0897,3671,0
EVHY.US,D,20240202,000000,52.88,52.9,52.88,52.9,914,0
EVHY.US,D,20240205,000000,52.73,52.73,52.5714,52.6653,1395,0
EVHY.US,D,20240206,000000,52.62,52.91,52.62,52.9,7124,0
EVHY.US,D,20240207,000000,52.9389,52.99,52.86,52.925,3064,0
EVHY.US,D,20240208,000000,52.905,52.9221,52.905,52.9221,258,0
EVHY.US,D,20240209,000000,52.939,53.05,52.939,53.05,2316,0
EVHY.US,D,20240212,000000,52.96,52.98,52.9449,52.9449,1061,0
EVHY.US,D,20240213,000000,52.62,52.65,52.5,52.5612,3249,0
EVHY.US,D,20240214,000000,52.72,52.76,52.69,52.712,1093,0
EVHY.US,D,20240215,000000,52.8375,52.88,52.8375,52.855,1228,0
EVHY.US,D,20240216,000000,52.75,52.75,52.71,52.724,1654,0
EVHY.US,D,20240220,000000,52.7821,52.85,52.7821,52.825,2775,0
EVHY.US,D,20240221,000000,52.84,52.84,52.67,52.7176,3949,0
EVHY.US,D,20240222,000000,52.91,52.91,52.8502,52.89,1116,0
EVHY.US,D,20240223,000000,52.9558,52.97,52.9268,52.9362,1132,0
EVHY.US,D,20240226,000000,52.81,52.84,52.775,52.78,6423,0
EVHY.US,D,20240227,000000,52.67,52.79,52.67,52.7553,6423,0
EVHY.US,D,20240228,000000,52.73,52.75,52.7193,52.7193,1967,0
EVHY.US,D,20240229,000000,52.4415,52.4415,52.4415,52.4415,40,0
EVHY.US,D,20240301,000000,52.56,52.6302,52.56,52.598,652,0
EVHY.US,D,20240304,000000,52.5401,52.65,52.54,52.6188,1421,0
EVHY.US,D,20240305,000000,52.66,52.6799,52.6295,52.6295,430,0
EVHY.US,D,20240306,000000,52.69,52.73,52.6829,52.6829,524,0
EVHY.US,D,20240307,000000,52.802,52.802,52.75,52.7619,540,0
EVHY.US,D,20240308,000000,52.98,52.98,52.8008,52.8008,972,0
EVHY.US,D,20240311,000000,52.72,52.83,52.72,52.8019,850,0
EVHY.US,D,20240312,000000,52.7968,52.7968,52.7968,52.7968,25,0
EVHY.US,D,20240313,000000,52.8334,52.8334,52.8334,52.8334,51,0
EVHY.US,D,20240314,000000,52.6162,52.6162,52.6162,52.6162,60,0
EVHY.US,D,20240315,000000,52.57,52.57,52.5599,52.56,2833,0
EVHY.US,D,20240318,000000,52.688,52.688,52.688,52.688,30,0
EVHY.US,D,20240319,000000,52.83,52.91,52.83,52.8884,2159,0
EVHY.US,D,20240320,000000,53.0906,53.0906,53.0906,53.0906,211,0
EVHY.US,D,20240321,000000,53.22,53.22,53.165,53.165,563,0
EVHY.US,D,20240322,000000,53.1389,53.1389,53.1389,53.1389,112,0
