<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVTR.US,D,20240327,000000,49.99,50.14,49.99,50.1006,48220,0
EVTR.US,D,20240328,000000,49.85,49.92,49.75,49.75,41482,0
EVTR.US,D,20240401,000000,49.69,49.6901,49.51,49.53,37529,0
EVTR.US,D,20240402,000000,49.35,49.495,49.35,49.46,29746,0
EVTR.US,D,20240403,000000,49.3,49.5,49.2985,49.48,46101,0
EVTR.US,D,20240404,000000,49.64,49.64,49.47,49.58,36188,0
EVTR.US,D,20240405,000000,49.4,49.51,49.36,49.38,20706,0
EVTR.US,D,20240408,000000,49.34,49.38,49.28,49.37,22878,0
EVTR.US,D,20240409,000000,49.39,49.54,49.39,49.54,17436,0
EVTR.US,D,20240410,000000,49.12,49.21,48.91,48.96,60965,0
EVTR.US,D,20240411,000000,48.95,48.9692,48.81,48.85,66261,0
EVTR.US,D,20240412,000000,48.98,49.04,48.94,48.9561,30750,0
EVTR.US,D,20240415,000000,48.78,48.79,48.74,48.76,13923,0
EVTR.US,D,20240416,000000,48.52,48.55,48.43,48.46,33213,0
EVTR.US,D,20240417,000000,48.65,48.75,48.52,48.7242,45984,0
EVTR.US,D,20240418,000000,48.69,48.7,48.6,48.62,23211,0
EVTR.US,D,20240419,000000,48.67,48.72,48.62,48.64,175311,0
EVTR.US,D,20240422,000000,48.53,48.78,48.53,48.77,936892,0
EVTR.US,D,20240423,000000,48.77,48.9706,48.77,48.95,32393,0
EVTR.US,D,20240424,000000,48.765,48.79,48.7,48.75,28886,0
EVTR.US,D,20240425,000000,48.58,48.73,48.58,48.69,40941,0
EVTR.US,D,20240426,000000,48.62,48.78,48.62,48.74,26802,0
EVTR.US,D,20240429,000000,48.83,48.9199,48.8003,48.8262,21342,0
EVTR.US,D,20240430,000000,48.5608,48.58,48.52,48.5251,21228,0
EVTR.US,D,20240501,000000,48.63,48.655,48.54,48.64,27724,0
EVTR.US,D,20240502,000000,48.67,48.9,48.6,48.85,77737,0
EVTR.US,D,20240503,000000,49.21,49.21,48.85,49.07,66839,0
EVTR.US,D,20240506,000000,49,49.21,49,49.19,24980,0
EVTR.US,D,20240507,000000,49.15,49.34,49.15,49.32,25032,0
EVTR.US,D,20240508,000000,49.2,49.25,49.185,49.21,22293,0
EVTR.US,D,20240509,000000,49.15,49.4,49.15,49.37,10719,0
EVTR.US,D,20240510,000000,49.28,49.288,49.245,49.25,45940,0
EVTR.US,D,20240513,000000,49.3,49.325,49.23,49.23,39188,0
EVTR.US,D,20240514,000000,49.32,49.3909,49.31,49.37,43203,0
EVTR.US,D,20240515,000000,49.65,49.76,49.63,49.72,31333,0
EVTR.US,D,20240516,000000,49.64,49.72,49.62,49.64,47845,0
EVTR.US,D,20240517,000000,49.55,49.57,49.5075,49.53,22469,0
EVTR.US,D,20240520,000000,49.44,49.49,49.44,49.48,13071,0
EVTR.US,D,20240521,000000,49.58,49.6,49.55,49.56,18265,0
EVTR.US,D,20240522,000000,49.51,49.59,49.4964,49.54,17841,0
EVTR.US,D,20240523,000000,49.45,49.53,49.34,49.39,38969,0
EVTR.US,D,20240524,000000,49.3907,49.4599,49.3907,49.42,6089,0
EVTR.US,D,20240528,000000,49.38,49.45,49.27,49.27,55600,0
EVTR.US,D,20240529,000000,49.15,49.15,49.0309,49.096,18986,0
EVTR.US,D,20240530,000000,49.19,49.2398,49.17,49.17,21436,0
EVTR.US,D,20240531,000000,49.13,49.23,49.13,49.14,32180,0
EVTR.US,D,20240603,000000,49.41,49.49,49.39,49.43,7614,0
EVTR.US,D,20240604,000000,49.56,49.69,49.56,49.63,26049,0
EVTR.US,D,20240605,000000,49.77,49.8096,49.64,49.79,15197,0
EVTR.US,D,20240606,000000,49.75,49.85,49.75,49.825,10363,0
EVTR.US,D,20240607,000000,49.51,49.54,49.4501,49.4848,43043,0
EVTR.US,D,20240610,000000,49.355,49.3913,49.31,49.39,6377,0
EVTR.US,D,20240611,000000,49.36,49.55,49.36,49.52,28857,0
EVTR.US,D,20240612,000000,49.52,49.98,49.52,49.75,23596,0
EVTR.US,D,20240613,000000,49.96,50.05,49.96,50.01,8744,0
EVTR.US,D,20240614,000000,50.1,50.2,50.07,50.1,41930,0
EVTR.US,D,20240617,000000,50.05,50.05,49.9101,49.95,65924,0
EVTR.US,D,20240618,000000,49.91,50.065,49.91,50.03,78690,0
EVTR.US,D,20240620,000000,49.83,50.05,49.7,49.98,100451,0
EVTR.US,D,20240621,000000,49.98,50.08,49.98,50.08,40839,0
