<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EZBC.US,D,20240112,000000,26.87,26.87,25.23,25.42,593052,0
EZBC.US,D,20240116,000000,25.1,25.31,24.5665,25.18,304286,0
EZBC.US,D,20240117,000000,24.89,24.95,24.6,24.76,195228,0
EZBC.US,D,20240118,000000,24.8,24.9099,23.613,23.73,314818,0
EZBC.US,D,20240119,000000,23.99,24.53,23.46,24.21,165972,0
EZBC.US,D,20240122,000000,23.75,23.75,22.94,23.34,214928,0
EZBC.US,D,20240123,000000,22.6,23.01,22.4144,22.74,158157,0
EZBC.US,D,20240124,000000,23.24,23.35,22.94,22.98,114009,0
EZBC.US,D,20240125,000000,23.24,23.26,22.99,23.13,103581,0
EZBC.US,D,20240126,000000,23.92,24.52,23.885,24.37,340885,0
EZBC.US,D,20240129,000000,24.38,25.15,24.27,25.05,146411,0
EZBC.US,D,20240130,000000,25.22,25.39,25.12,25.29,115503,0
EZBC.US,D,20240131,000000,24.81,25.39,24.67,24.68,166725,0
EZBC.US,D,20240201,000000,24.62,25.1,24.595,24.96,140404,0
EZBC.US,D,20240202,000000,24.8,25.22,24.7989,24.95,111406,0
EZBC.US,D,20240205,000000,25.18,25.19,24.54,24.58,94967,0
EZBC.US,D,20240206,000000,25,25.18,24.87,25.01,116747,0
EZBC.US,D,20240207,000000,25.05,25.69,24.93,25.62,209347,0
EZBC.US,D,20240208,000000,26.17,26.4782,26.09,26.46,131480,0
EZBC.US,D,20240209,000000,27.3,27.98,27.21,27.61,208791,0
EZBC.US,D,20240212,000000,27.99,29.24,27.9513,29.18,116515,0
EZBC.US,D,20240213,000000,28.5,28.75,28.1,28.72,99108,0
EZBC.US,D,20240214,000000,30.08,30.27,29.8,30.07,379312,0
EZBC.US,D,20240215,000000,30.51,30.71,30.03,30.09,243034,0
EZBC.US,D,20240216,000000,30.37,30.45,30,30.15,118174,0
EZBC.US,D,20240220,000000,30.4,30.4,29.49,30.21,307549,0
EZBC.US,D,20240221,000000,29.59,29.855,29.43,29.6,703409,0
EZBC.US,D,20240222,000000,29.69,30.23,29.64,30.23,183474,0
EZBC.US,D,20240223,000000,29.76,29.79,29.4,29.65,205903,0
EZBC.US,D,20240226,000000,29.85,31.91,29.85,31.654,693946,0
EZBC.US,D,20240227,000000,33.1,33.46,32.69,33.11,745997,0
EZBC.US,D,20240228,000000,35.02,37.3,34.31,35.08,914973,0
EZBC.US,D,20240229,000000,36.8,36.97,35.195,36.03,336087,0
EZBC.US,D,20240301,000000,36.27,36.76,35.58,36.64,358129,0
EZBC.US,D,20240304,000000,38,39.4842,37.98,39.34,416536,0
EZBC.US,D,20240305,000000,39.34,40.31,34.46,35.97,545841,0
EZBC.US,D,20240306,000000,38.88,39.22,37.9675,38.94,256972,0
EZBC.US,D,20240307,000000,39.13,39.53,38.7022,39.34,202281,0
EZBC.US,D,20240308,000000,39.58,40.8,38.46,40.28,306246,0
EZBC.US,D,20240311,000000,42.05,42.33,41.46,41.9,408669,0
EZBC.US,D,20240312,000000,42,42.52,39.89,41.48,404095,0
EZBC.US,D,20240313,000000,42.28,42.75,41.64,42.74,644129,0
EZBC.US,D,20240314,000000,42.21,42.25,39.865,40.29,786643,0
EZBC.US,D,20240315,000000,39.42,40.9299,39.2,40.1,398399,0
EZBC.US,D,20240318,000000,39.43,39.7487,38.64,38.85,343433,0
EZBC.US,D,20240319,000000,36.95,38.16,36.16,37.38,324889,0
EZBC.US,D,20240320,000000,36.81,38.33,36.04,38.22,1242128,0
EZBC.US,D,20240321,000000,39.25,39.28,37.71,37.89,816704,0
EZBC.US,D,20240322,000000,37.26,37.32,36.38,37.11,736174,0
EZBC.US,D,20240325,000000,38.88,41.295,38.88,41.27,949925,0
EZBC.US,D,20240326,000000,41.18,41.19,40.27,40.34,838346,0
EZBC.US,D,20240327,000000,41.59,41.64,39.72,39.88,423966,0
EZBC.US,D,20240328,000000,41.31,41.59,40.93,41.19,397116,0
EZBC.US,D,20240401,000000,40.68,40.7,39.55,40.48,159379,0
EZBC.US,D,20240402,000000,37.66,38.48,37.475,38.25,267207,0
EZBC.US,D,20240403,000000,38.2,38.85,38.05,38.21,119346,0
