<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FDGR.US,D,20231027,000000,9.5606,9.5606,9.5606,9.5606,14,0
FDGR.US,D,20231030,000000,9.6682,9.6682,9.6682,9.6682,19,0
FDGR.US,D,20231031,000000,9.7185,9.7185,9.7185,9.7185,10,0
FDGR.US,D,20231101,000000,9.8286,9.8286,9.8286,9.8286,74,0
FDGR.US,D,20231102,000000,10.0011,10.0011,10.0011,10.0011,87,0
FDGR.US,D,20231103,000000,10.103,10.103,10.103,10.103,165,0
FDGR.US,D,20231106,000000,10.1226,10.1226,10.1226,10.1226,11,0
FDGR.US,D,20231107,000000,10.2003,10.2003,10.2003,10.2003,7,0
FDGR.US,D,20231108,000000,10.2265,10.2265,10.2265,10.2265,1,0
FDGR.US,D,20231109,000000,10.1329,10.1329,10.1329,10.1329,1,0
FDGR.US,D,20231110,000000,10.305,10.305,10.305,10.305,16,0
FDGR.US,D,20231113,000000,10.305,10.305,10.305,10.305,4,0
FDGR.US,D,20231114,000000,10.5107,10.5107,10.5107,10.5107,57,0
FDGR.US,D,20231115,000000,10.5154,10.5154,10.5154,10.5154,1,0
FDGR.US,D,20231116,000000,10.5259,10.5259,10.5259,10.5259,5,0
FDGR.US,D,20231117,000000,10.535,10.535,10.535,10.535,10,0
FDGR.US,D,20231120,000000,10.635,10.635,10.635,10.635,21,0
FDGR.US,D,20231121,000000,10.605,10.605,10.605,10.605,8,0
FDGR.US,D,20231122,000000,10.655,10.655,10.655,10.655,3,0
FDGR.US,D,20231124,000000,10.71,10.71,10.6401,10.6401,311,0
FDGR.US,D,20231127,000000,10.6373,10.6373,10.6373,10.6373,44,0
FDGR.US,D,20231128,000000,10.6102,10.6519,10.61,10.6519,306,0
FDGR.US,D,20231129,000000,10.647,10.647,10.647,10.647,2,0
FDGR.US,D,20231130,000000,10.657,10.657,10.657,10.657,41,0
FDGR.US,D,20231201,000000,10.7247,10.7247,10.7247,10.7247,18,0
FDGR.US,D,20231204,000000,10.655,10.655,10.655,10.655,4,0
FDGR.US,D,20231205,000000,10.6665,10.6665,10.6665,10.6665,1,0
FDGR.US,D,20231206,000000,10.622,10.622,10.622,10.622,1,0
FDGR.US,D,20231207,000000,10.725,10.725,10.725,10.725,52,0
FDGR.US,D,20231208,000000,10.775,10.775,10.775,10.775,45,0
FDGR.US,D,20231211,000000,10.7906,10.7906,10.7906,10.7906,16,0
FDGR.US,D,20231212,000000,10.8451,10.8451,10.8451,10.8451,1,0
FDGR.US,D,20231213,000000,10.9784,10.9784,10.9784,10.9784,10,0
FDGR.US,D,20231214,000000,11.02,11.02,10.997,10.997,41796,0
FDGR.US,D,20231215,000000,11.0271,11.0271,11.0271,11.0271,3,0
FDGR.US,D,20231218,000000,11.0876,11.0876,11.0876,11.0876,13,0
FDGR.US,D,20231219,000000,11.1445,11.1445,11.1445,11.1445,23,0
FDGR.US,D,20231220,000000,11.0168,11.0168,11.0168,11.0168,49,0
FDGR.US,D,20231221,000000,11.1248,11.1248,11.1248,11.1248,48,0
FDGR.US,D,20231222,000000,11.14,11.17,11.136,11.136,3228,0
FDGR.US,D,20231226,000000,11.1626,11.1626,11.1626,11.1626,51,0
FDGR.US,D,20231227,000000,11.1715,11.1715,11.1715,11.1715,200,0
FDGR.US,D,20231228,000000,11.1807,11.1807,11.1807,11.1807,1462,0
FDGR.US,D,20231229,000000,11.1246,11.1246,11.1246,11.1246,12,0
FDGR.US,D,20240102,000000,10.8716,10.8716,10.8716,10.8716,46,0
FDGR.US,D,20240103,000000,10.8,10.8,10.7425,10.7425,12821,0
FDGR.US,D,20240104,000000,10.7062,10.7062,10.7062,10.7062,32,0
FDGR.US,D,20240105,000000,10.77,10.77,10.725,10.725,827,0
FDGR.US,D,20240108,000000,10.923,10.923,10.923,10.923,137,0
FDGR.US,D,20240109,000000,10.9294,10.9294,10.9294,10.9294,777,0
FDGR.US,D,20240110,000000,11.0153,11.0153,11.0153,11.0153,238,0
FDGR.US,D,20240111,000000,10.97,11.0425,10.97,11.0425,18284,0
FDGR.US,D,20240112,000000,11.03,11.0419,11.03,11.0419,77789,0
FDGR.US,D,20240116,000000,10.995,11.0146,10.995,11.0146,178,0
