<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEI.US,D,20121128,000000,8.24296,8.25417,8.23224,8.25417,4836815.9156425,0
FEI.US,D,20121129,000000,8.25417,8.25417,8.24296,8.25417,478070.34697942,0
FEI.US,D,20121130,000000,8.2645,8.2645,8.25235,8.2645,652837.94320391,0
FEI.US,D,20121203,000000,8.26181,8.2846,8.25417,8.26181,395784.35511469,0
FEI.US,D,20121204,000000,8.30364,8.30364,8.25837,8.2756,285141.68536561,0
FEI.US,D,20121205,000000,8.26181,8.2846,8.24984,8.26631,239678.40836986,0
FEI.US,D,20121206,000000,8.30364,8.30364,8.26181,8.27071,285698.70273542,0
FEI.US,D,20121207,000000,8.30364,8.30364,8.25417,8.26181,284436.26937194,0
FEI.US,D,20121210,000000,8.2931,8.2931,8.25417,8.26181,176735.44558161,0
FEI.US,D,20121211,000000,8.26181,8.2846,8.25837,8.2756,234252.4530527,0
FEI.US,D,20121212,000000,8.26181,8.30364,8.26181,8.30364,216837.56102557,0
FEI.US,D,20121213,000000,8.30364,8.4464,8.2801,8.2801,275713.1474474,0
FEI.US,D,20121214,000000,8.34036,8.34036,8.24984,8.26181,280286.33320778,0
FEI.US,D,20121217,000000,8.26181,8.32458,8.26181,8.30364,213037.72020638,0
FEI.US,D,20121218,000000,8.30364,8.37722,8.26631,8.32458,246989.65324636,0
FEI.US,D,20121219,000000,8.34544,8.42766,8.30364,8.36603,243726.97364309,0
FEI.US,D,20121220,000000,8.36142,8.36603,8.2801,8.29942,246935.31008833,0
FEI.US,D,20121221,000000,8.34036,8.3555,8.28604,8.31761,165332.78794189,0
FEI.US,D,20121224,000000,8.2756,8.36603,8.2756,8.34544,67195.314904097,0
FEI.US,D,20121226,000000,8.36603,8.4464,8.28967,8.42766,195199.57858304,0
FEI.US,D,20121227,000000,8.44257,8.44257,8.32909,8.36603,84655.144542697,0
FEI.US,D,20121228,000000,8.41989,8.41989,8.3332,8.41109,113911.61971674,0
FEI.US,D,20121231,000000,8.42594,8.60879,8.37914,8.52964,311790.73401494,0
FEI.US,D,20130102,000000,8.58878,8.6196,8.49262,8.49786,176639.29999433,0
FEI.US,D,20130103,000000,8.26181,8.39051,8.2177,8.32458,1250070.2950144,0
FEI.US,D,20130104,000000,8.27071,8.33577,8.26181,8.28604,368425.71022878,0
FEI.US,D,20130107,000000,8.28967,8.41444,8.2846,8.36142,318888.78650224,0
FEI.US,D,20130108,000000,8.39596,8.39596,8.26631,8.27071,351857.31739402,0
FEI.US,D,20130109,000000,8.26181,8.39846,8.26181,8.37042,505483.33502338,0
FEI.US,D,20130110,000000,8.40191,8.44257,8.3332,8.37387,365480.72908784,0
FEI.US,D,20130111,000000,8.38526,8.50851,8.38095,8.49262,449979.11452085,0
FEI.US,D,20130114,000000,8.4464,8.49262,8.36603,8.45271,280789.00741955,0
FEI.US,D,20130115,000000,8.46669,8.46669,8.31244,8.36603,555301.38008665,0
FEI.US,D,20130116,000000,8.43128,8.43128,8.3332,8.38095,415602.88682394,0
FEI.US,D,20130117,000000,8.39051,8.4464,8.33577,8.3555,444042.12450606,0
FEI.US,D,20130118,000000,8.32458,8.42766,8.32458,8.39051,370570.17484951,0
FEI.US,D,20130122,000000,8.38095,8.38526,8.32458,8.37042,469602.21987334,0
