<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FELC.US,D,20231121,000000,24.95,25.132,24.81,25.0639,113675,0
FELC.US,D,20231122,000000,25.01,25.28,25.01,25.0634,103181,0
FELC.US,D,20231124,000000,24.97,25.01,24.91,25.01,46391,0
FELC.US,D,20231127,000000,24.95,25.23,24.88,25.1656,169316,0
FELC.US,D,20231128,000000,25.09,25.28,25.09,25.21,185787,0
FELC.US,D,20231129,000000,25.17,25.3899,25.17,25.2,109423,0
FELC.US,D,20231130,000000,25.17,25.3085,25.15,25.3085,120354,0
FELC.US,D,20231201,000000,25.2,25.5,25.2,25.46,107252,0
FELC.US,D,20231204,000000,25.19,25.3691,25.19,25.35,150581,0
FELC.US,D,20231205,000000,25.22,25.4431,25.22,25.38,63223,0
FELC.US,D,20231206,000000,25.42,25.51,25.26,25.27,75415,0
FELC.US,D,20231207,000000,25.43,25.505,25.38,25.46,63134,0
FELC.US,D,20231208,000000,25.47,25.64,25.45,25.58,115187,0
FELC.US,D,20231211,000000,25.53,25.6729,25.53,25.6729,72757,0
FELC.US,D,20231212,000000,25.51,25.86,25.51,25.82,131490,0
FELC.US,D,20231213,000000,25.82,26.14,25.81,26.13,136567,0
FELC.US,D,20231214,000000,26.19,26.3035,26.12,26.1693,121928,0
FELC.US,D,20231215,000000,26.17,26.25,26.15,26.18,123803,0
FELC.US,D,20231218,000000,26.19,26.4001,26.19,26.39,169130,0
FELC.US,D,20231219,000000,26.36,26.52,26.36,26.5116,153219,0
FELC.US,D,20231220,000000,26.41,26.64,26.2,26.2,184460,0
FELC.US,D,20231221,000000,26.35,26.49,26.26,26.44,150289,0
FELC.US,D,20231222,000000,26.46,26.6,26.4,26.48,175576,0
FELC.US,D,20231226,000000,26.51,26.71,26.51,26.6334,142704,0
FELC.US,D,20231227,000000,26.6,26.67,26.5797,26.62,98767,0
FELC.US,D,20231228,000000,26.7,26.7,26.63,26.66,147805,0
FELC.US,D,20231229,000000,26.59,26.65,26.4738,26.58,132941,0
FELC.US,D,20240102,000000,26.33,26.47,26.29,26.38,210945,0
FELC.US,D,20240103,000000,26.25,26.34,26.21,26.24,174492,0
FELC.US,D,20240104,000000,26.15,26.32,26.1,26.15,128263,0
FELC.US,D,20240105,000000,26.1,26.29,26.1,26.15,174242,0
FELC.US,D,20240108,000000,26.15,26.58,26.15,26.58,158911,0
FELC.US,D,20240109,000000,26.42,26.62,26.4017,26.61,664674,0
FELC.US,D,20240110,000000,26.6,26.76,26.585,26.71,169206,0
FELC.US,D,20240111,000000,26.71,26.83,26.48,26.71,163071,0
FELC.US,D,20240112,000000,26.85,26.85,26.67,26.7588,138003,0
FELC.US,D,20240116,000000,26.68,26.7299,26.57,26.64,239430,0
FELC.US,D,20240117,000000,26.59,26.63,26.4001,26.54,168441,0
FELC.US,D,20240118,000000,26.62,26.75,26.51,26.74,131849,0
FELC.US,D,20240119,000000,26.77,27.1,26.77,27.09,227017,0
FELC.US,D,20240122,000000,27.13,27.25,27.12,27.17,210704,0
FELC.US,D,20240123,000000,27.18,27.24,27.1208,27.235,257482,0
FELC.US,D,20240124,000000,27.41,27.46,27.23,27.23,197731,0
FELC.US,D,20240125,000000,27.3,27.38,27.215,27.35,173961,0
FELC.US,D,20240126,000000,27.35,27.49,27.2852,27.33,237110,0
FELC.US,D,20240129,000000,27.3,27.55,27.3,27.5,653913,0
FELC.US,D,20240130,000000,27.5,27.5644,27.29,27.51,811087,0
FELC.US,D,20240131,000000,27.39,27.48,27.0624,27.12,280852,0
FELC.US,D,20240201,000000,27.2,27.44,27.13,27.44,295160,0
FELC.US,D,20240202,000000,27.48,27.87,27.47,27.71,350746,0
FELC.US,D,20240205,000000,27.7,27.76,27.5101,27.7,308099,0
FELC.US,D,20240206,000000,27.71,27.7829,27.64,27.74,273006,0
FELC.US,D,20240207,000000,27.96,28.06,27.8704,28.06,275459,0
FELC.US,D,20240208,000000,28.1,28.16,27.98,28.05,2713896,0
FELC.US,D,20240209,000000,28.06,28.26,28.06,28.2,412469,0
FELC.US,D,20240212,000000,28.26,28.37,28.18,28.23,433268,0
FELC.US,D,20240213,000000,27.86,27.9375,27.6401,27.81,381286,0
FELC.US,D,20240214,000000,27.95,28.12,27.86,28.07,303831,0
FELC.US,D,20240215,000000,28.09,28.27,28.09,28.22,1267233,0
FELC.US,D,20240216,000000,28.22,28.3,28.07,28.07,754813,0
FELC.US,D,20240220,000000,28.02,28.02,27.8,27.92,376509,0
FELC.US,D,20240221,000000,27.98,27.99,27.775,27.98,306461,0
FELC.US,D,20240222,000000,28.31,28.61,28.3,28.54,326719,0
FELC.US,D,20240223,000000,28.67,28.7658,28.6,28.64,297634,0
FELC.US,D,20240226,000000,28.69,28.695,28.54,28.55,294615,0
FELC.US,D,20240227,000000,28.59,28.59,28.475,28.59,176704,0
FELC.US,D,20240228,000000,28.47,28.5599,28.44,28.51,287749,0
FELC.US,D,20240229,000000,28.64,28.715,28.4606,28.64,269660,0
FELC.US,D,20240301,000000,28.73,28.925,28.68,28.9,288246,0
FELC.US,D,20240304,000000,28.9,28.955,28.83,28.83,304965,0
FELC.US,D,20240305,000000,28.71,28.725,28.39,28.53,288438,0
