<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FELV.US,D,20231121,000000,24.85,25.05,24.85,25.039,167922,0
FELV.US,D,20231122,000000,24.96,25.16,24.96,25.13,86026,0
FELV.US,D,20231124,000000,25.13,25.25,25,25.2032,197290,0
FELV.US,D,20231127,000000,25.01,25.1762,25.01,25.14,186247,0
FELV.US,D,20231128,000000,25,25.25,25,25.13,119027,0
FELV.US,D,20231129,000000,25.08,25.3478,25.08,25.17,142180,0
FELV.US,D,20231130,000000,25.3,25.435,25.2244,25.4,141193,0
FELV.US,D,20231201,000000,25.34,25.7,25.34,25.6964,88113,0
FELV.US,D,20231204,000000,25.42,25.73,25.42,25.6855,96982,0
FELV.US,D,20231205,000000,25.51,25.6374,25.49,25.5283,81853,0
FELV.US,D,20231206,000000,25.56,25.6926,25.43,25.46,94387,0
FELV.US,D,20231207,000000,25.49,25.6,25.46,25.5409,109499,0
FELV.US,D,20231208,000000,25.45,25.69,25.45,25.64,82296,0
FELV.US,D,20231211,000000,25.55,25.87,25.55,25.84,141234,0
FELV.US,D,20231212,000000,25.79,25.9202,25.76,25.9005,59962,0
FELV.US,D,20231213,000000,25.86,26.3035,25.83,26.3035,124164,0
FELV.US,D,20231214,000000,26.37,26.68,26.37,26.555,194081,0
FELV.US,D,20231215,000000,26.41,26.51,26.36,26.4712,143332,0
FELV.US,D,20231218,000000,26.48,26.5903,26.48,26.522,123898,0
FELV.US,D,20231219,000000,26.48,26.75,26.48,26.75,114335,0
FELV.US,D,20231220,000000,26.61,26.77,26.32,26.32,210126,0
FELV.US,D,20231221,000000,26.45,26.5988,26.41,26.5988,76266,0
FELV.US,D,20231222,000000,26.61,26.8,26.61,26.69,47468,0
FELV.US,D,20231226,000000,26.71,26.9014,26.7,26.85,111475,0
FELV.US,D,20231227,000000,26.83,26.9199,26.81,26.88,111913,0
FELV.US,D,20231228,000000,26.81,26.94,26.81,26.92,102794,0
FELV.US,D,20231229,000000,26.86,26.925,26.75,26.85,114958,0
FELV.US,D,20240102,000000,26.64,26.995,26.64,26.8957,131154,0
FELV.US,D,20240103,000000,26.75,26.84,26.65,26.69,111681,0
FELV.US,D,20240104,000000,26.65,26.82,26.6425,26.6426,89705,0
FELV.US,D,20240105,000000,26.6,26.82,26.6,26.71,89201,0
FELV.US,D,20240108,000000,26.65,26.96,26.63,26.9544,107255,0
FELV.US,D,20240109,000000,26.8,26.88,26.77,26.82,69751,0
FELV.US,D,20240110,000000,26.8,26.8747,26.7435,26.86,90784,0
FELV.US,D,20240111,000000,26.86,26.86,26.5895,26.76,63210,0
FELV.US,D,20240112,000000,26.78,26.91,26.72,26.7829,43818,0
FELV.US,D,20240116,000000,26.7,26.7,26.52,26.61,108900,0
FELV.US,D,20240117,000000,26.35,26.55,26.34,26.44,79129,0
FELV.US,D,20240118,000000,26.44,26.53,26.29,26.5185,105375,0
FELV.US,D,20240119,000000,26.54,26.82,26.4842,26.77,82617,0
FELV.US,D,20240122,000000,26.87,26.94,26.82,26.85,95703,0
FELV.US,D,20240123,000000,26.83,26.92,26.8,26.88,88851,0
FELV.US,D,20240124,000000,26.97,26.99,26.7779,26.78,93175,0
FELV.US,D,20240125,000000,26.86,27.05,26.85,27.05,152313,0
FELV.US,D,20240126,000000,26.96,27.08,26.96,27.0382,91194,0
