<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FENI.US,D,20231121,000000,25.05,25.115,24.89,24.93,85148,0
FENI.US,D,20231122,000000,24.88,25.03,24.88,24.9674,41577,0
FENI.US,D,20231124,000000,24.88,25.23,24.88,25.1899,21228,0
FENI.US,D,20231127,000000,25.01,25.22,25.01,25.1165,78813,0
FENI.US,D,20231128,000000,25.04,25.2099,25.03,25.13,44259,0
FENI.US,D,20231129,000000,25.11,25.23,25.1,25.11,133973,0
FENI.US,D,20231130,000000,25.2,25.23,25.13,25.1795,63367,0
FENI.US,D,20231201,000000,25.08,25.4,25.08,25.4,43060,0
FENI.US,D,20231204,000000,25.16,25.3,25.06,25.205,40840,0
FENI.US,D,20231205,000000,25.08,25.2,25.0674,25.11,67467,0
FENI.US,D,20231206,000000,25.3,25.45,25.1901,25.1961,32486,0
FENI.US,D,20231207,000000,25.2,25.35,25.0759,25.32,51747,0
FENI.US,D,20231208,000000,25.27,25.46,25.27,25.355,53281,0
FENI.US,D,20231211,000000,25.28,25.5,25.28,25.47,84321,0
FENI.US,D,20231212,000000,25.43,25.55,25.4294,25.5049,55384,0
FENI.US,D,20231213,000000,25.46,25.9,25.4,25.9,42488,0
FENI.US,D,20231214,000000,25.87,26.1,25.87,26,54277,0
FENI.US,D,20231215,000000,25.81,25.97,25.75,25.75,64528,0
FENI.US,D,20231218,000000,25.9,25.98,25.83,25.8786,115312,0
FENI.US,D,20231219,000000,25.92,26.15,25.92,26.07,96514,0
FENI.US,D,20231220,000000,26.01,26.18,25.89,25.89,36923,0
FENI.US,D,20231221,000000,26.09,26.2,26.0801,26.2,33498,0
FENI.US,D,20231222,000000,26.41,26.4299,26.24,26.2919,38204,0
FENI.US,D,20231226,000000,26.23,26.4,26.23,26.36,105700,0
FENI.US,D,20231227,000000,26.27,26.56,26.27,26.52,143458,0
FENI.US,D,20231228,000000,26.6,26.64,26.45,26.55,141446,0
FENI.US,D,20231229,000000,26.43,26.6,26.43,26.5,34154,0
FENI.US,D,20240102,000000,26.21,26.38,26.2,26.26,64753,0
FENI.US,D,20240103,000000,25.93,26.17,25.93,26.107,42388,0
FENI.US,D,20240104,000000,26.02,26.3,26.02,26.2088,104151,0
FENI.US,D,20240105,000000,26.15,26.47,26.15,26.213,25793,0
FENI.US,D,20240108,000000,26.31,26.53,26.31,26.47,48267,0
FENI.US,D,20240109,000000,26.18,26.37,26.18,26.2723,60053,0
FENI.US,D,20240110,000000,26.31,26.465,26.31,26.4209,44889,0
FENI.US,D,20240111,000000,26.5,26.5,26.2001,26.45,33755,0
FENI.US,D,20240112,000000,26.5,26.6378,26.45,26.4823,67301,0
FENI.US,D,20240116,000000,26.24,26.2599,26.0701,26.17,47979,0
FENI.US,D,20240117,000000,25.91,25.93,25.7664,25.92,83166,0
FENI.US,D,20240118,000000,26.08,26.1874,25.98,26.12,31506,0
FENI.US,D,20240119,000000,26.05,26.22,26,26.19,41068,0
FENI.US,D,20240122,000000,26.21,26.43,26.21,26.3248,90366,0
FENI.US,D,20240123,000000,26.23,26.24,26.07,26.219,62596,0
FENI.US,D,20240124,000000,26.48,26.5801,26.4,26.46,45322,0
FENI.US,D,20240125,000000,26.5,26.53,26.4,26.53,34791,0
FENI.US,D,20240126,000000,26.55,26.62,26.4801,26.58,35814,0
FENI.US,D,20240129,000000,26.62,26.75,26.5463,26.73,34162,0
FENI.US,D,20240130,000000,26.65,26.75,26.63,26.705,48176,0
FENI.US,D,20240131,000000,26.75,26.88,26.53,26.61,35274,0
FENI.US,D,20240201,000000,26.59,26.85,26.59,26.82,45673,0
FENI.US,D,20240202,000000,26.69,26.7,26.5501,26.67,35917,0
FENI.US,D,20240205,000000,26.53,26.57,26.37,26.5,37065,0
FENI.US,D,20240206,000000,26.55,26.69,26.53,26.675,33062,0
FENI.US,D,20240207,000000,26.7,26.7852,26.6801,26.73,21200,0
FENI.US,D,20240208,000000,26.73,26.73,26.55,26.66,45769,0
FENI.US,D,20240209,000000,26.72,26.81,26.6031,26.7874,72255,0
FENI.US,D,20240212,000000,26.69,26.8893,26.69,26.82,49919,0
FENI.US,D,20240213,000000,26.48,26.5593,26.31,26.3822,63538,0
FENI.US,D,20240214,000000,26.56,26.7122,26.56,26.7122,38182,0
FENI.US,D,20240215,000000,26.83,27,26.83,27,49308,0
FENI.US,D,20240216,000000,26.97,27.2,26.97,27.0677,81124,0
FENI.US,D,20240220,000000,27.19,27.28,27.12,27.195,53064,0
FENI.US,D,20240221,000000,27.14,27.26,27.13,27.21,54478,0
FENI.US,D,20240222,000000,27.5,27.58,27.4412,27.5659,40437,0
FENI.US,D,20240223,000000,27.63,27.66,27.5921,27.6206,31096,0
FENI.US,D,20240226,000000,27.59,27.65,27.54,27.5732,44995,0
FENI.US,D,20240227,000000,27.6,27.68,27.555,27.65,49050,0
FENI.US,D,20240228,000000,27.55,27.63,27.48,27.57,525757,0
FENI.US,D,20240229,000000,27.69,27.75,27.545,27.663,69422,0
FENI.US,D,20240301,000000,27.73,28,27.704,27.9578,146143,0
FENI.US,D,20240304,000000,27.85,28.03,27.85,27.96,184413,0
FENI.US,D,20240305,000000,27.94,28.08,27.85,27.87,142412,0
FENI.US,D,20240306,000000,28.17,28.34,28.1565,28.23,51551,0
FENI.US,D,20240307,000000,28.44,28.6199,28.37,28.6,58673,0
FENI.US,D,20240308,000000,28.62,28.68,28.37,28.47,50068,0
FENI.US,D,20240311,000000,28.22,28.29,28.1238,28.29,37352,0
FENI.US,D,20240312,000000,28.34,28.52,28.23,28.52,51930,0
FENI.US,D,20240313,000000,28.55,28.59,28.45,28.53,69627,0
FENI.US,D,20240314,000000,28.56,28.56,28.19,28.32,40873,0
FENI.US,D,20240315,000000,28.14,28.17,28.0053,28.06,24701,0
FENI.US,D,20240318,000000,28.24,28.24,28.06,28.1184,36273,0
FENI.US,D,20240319,000000,28.13,28.36,28.1,28.24,268467,0
FENI.US,D,20240320,000000,28.2,28.52,28.15,28.4846,32003,0
FENI.US,D,20240321,000000,28.54,28.6,28.38,28.53,78837,0
FENI.US,D,20240322,000000,28.5,28.535,28.39,28.44,109383,0
FENI.US,D,20240325,000000,28.44,28.52,28.3822,28.41,77298,0
FENI.US,D,20240326,000000,28.52,28.63,28.47,28.47,86231,0
FENI.US,D,20240327,000000,28.57,28.63,28.475,28.55,30613,0
FENI.US,D,20240328,000000,28.47,28.569,28.45,28.55,39997,0
FENI.US,D,20240401,000000,28.32,28.46,28.3011,28.382,57556,0
FENI.US,D,20240402,000000,28.26,28.27,28.124,28.19,63606,0
FENI.US,D,20240403,000000,28.16,28.4399,28.16,28.41,47424,0
FENI.US,D,20240404,000000,28.53,28.58,28.1686,28.19,59788,0
FENI.US,D,20240405,000000,28.16,28.2701,28.0901,28.24,27190,0
FENI.US,D,20240408,000000,28.34,28.47,28.32,28.42,96597,0
FENI.US,D,20240409,000000,28.43,28.51,28.23,28.42,51674,0
FENI.US,D,20240410,000000,28,28.13,27.9265,28.04,86827,0
FENI.US,D,20240411,000000,28.09,28.13,27.8327,28.06,54670,0
FENI.US,D,20240412,000000,27.84,27.91,27.6,27.65,81362,0
FENI.US,D,20240415,000000,28.07,28.07,27.53,27.58,52847,0
FENI.US,D,20240416,000000,27.44,27.44,27.1901,27.33,44119,0
FENI.US,D,20240417,000000,27.39,27.4143,27.1901,27.34,44591,0
FENI.US,D,20240418,000000,27.35,27.4,27.2004,27.26,52503,0
FENI.US,D,20240419,000000,27.27,27.3699,27.16,27.19,52890,0
FENI.US,D,20240422,000000,27.3,27.5499,27.27,27.47,60665,0
FENI.US,D,20240423,000000,27.55,27.86,27.55,27.8171,49011,0
FENI.US,D,20240424,000000,27.81,27.81,27.66,27.76,36439,0
FENI.US,D,20240425,000000,27.42,27.67,27.35,27.62,90545,0
FENI.US,D,20240426,000000,27.76,27.93,27.7401,27.89,94480,0
FENI.US,D,20240429,000000,27.99,28.022,27.89,28.01,82169,0
FENI.US,D,20240430,000000,27.93,28.01,27.6601,27.71,40028,0
FENI.US,D,20240501,000000,27.68,27.92,27.58,27.58,58024,0
FENI.US,D,20240502,000000,27.95,28.039,27.69,27.92,30627,0
FENI.US,D,20240503,000000,28.27,28.27,28.0701,28.15,66892,0
FENI.US,D,20240506,000000,28.35,28.5,28.2867,28.4113,67828,0
FENI.US,D,20240507,000000,28.47,28.58,28.3,28.51,903548,0
FENI.US,D,20240508,000000,28.42,28.46,28.3163,28.4335,33861,0
FENI.US,D,20240509,000000,28.44,28.68,28.4104,28.68,86730,0
FENI.US,D,20240510,000000,28.7,28.75,28.6782,28.69,63867,0
FENI.US,D,20240513,000000,28.71,28.82,28.71,28.72,125099,0
FENI.US,D,20240514,000000,28.85,29,28.8001,28.99,62919,0
FENI.US,D,20240515,000000,29.02,29.25,29.0115,29.25,52911,0
FENI.US,D,20240516,000000,29.29,29.29,29.0501,29.11,83276,0
FENI.US,D,20240517,000000,29.09,29.2,29.0501,29.18,169559,0
FENI.US,D,20240520,000000,29.15,29.29,29.15,29.23,90786,0
FENI.US,D,20240521,000000,29.17,29.23,29.13,29.19,68248,0
FENI.US,D,20240522,000000,29.06,29.08,28.85,28.951,94168,0
FENI.US,D,20240523,000000,29.26,29.2645,28.8368,28.9,63767,0
FENI.US,D,20240524,000000,29.02,29.19,28.9801,29.19,47720,0
FENI.US,D,20240528,000000,29.25,29.26,29.1,29.19,57879,0
FENI.US,D,20240529,000000,28.85,28.88,28.71,28.73,101365,0
FENI.US,D,20240530,000000,28.86,29.02,28.8,28.95,57549,0
FENI.US,D,20240531,000000,29.19,29.2,28.95,29.2,105938,0
FENI.US,D,20240603,000000,29.37,29.37,29.13,29.34,40040,0
FENI.US,D,20240604,000000,29.22,29.24,29.08,29.16,39950,0
FENI.US,D,20240605,000000,29.32,29.4199,29.1635,29.37,58835,0
FENI.US,D,20240606,000000,29.42,29.64,29.37,29.51,101501,0
FENI.US,D,20240607,000000,29.51,29.51,29.21,29.28,85313,0
FENI.US,D,20240610,000000,29.01,29.3,29.01,29.24,89199,0
FENI.US,D,20240611,000000,29,29.028,28.7761,28.9,79199,0
FENI.US,D,20240612,000000,29.48,29.48,29.1694,29.2161,60323,0
FENI.US,D,20240613,000000,29.05,29.06,28.7501,28.88,144330,0
FENI.US,D,20240614,000000,28.44,28.63,28.1476,28.51,86160,0
FENI.US,D,20240617,000000,28.55,28.72,28.37,28.63,49079,0
FENI.US,D,20240618,000000,28.56,28.83,28.56,28.82,134592,0
FENI.US,D,20240620,000000,28.84,28.84,28.625,28.79,90702,0
FENI.US,D,20240621,000000,28.38,28.38,28.18,28.27,53175,0
