<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FIF.US,D,20110930,000000,7.62761,7.62761,7.60499,7.62761,79366.388055289,0
FIF.US,D,20111003,000000,7.62683,7.63091,7.60499,7.62683,291870.30689461,0
FIF.US,D,20111004,000000,7.61372,7.62683,7.58919,7.62683,329265.02730648,0
FIF.US,D,20111005,000000,7.62683,7.63091,7.58695,7.62683,298703.26346859,0
FIF.US,D,20111006,000000,7.62683,7.68505,7.60499,7.62683,259345.22748002,0
FIF.US,D,20111007,000000,7.62683,7.68505,7.61372,7.62683,259557.53352139,0
FIF.US,D,20111010,000000,7.62683,7.63517,7.60199,7.63091,239566.7554421,0
FIF.US,D,20111011,000000,7.66107,7.66107,7.62683,7.63091,103291.01157092,0
FIF.US,D,20111012,000000,7.62683,7.65002,7.62683,7.63091,47953.338828249,0
FIF.US,D,20111013,000000,7.62683,7.66107,7.62382,7.64507,36077.598465939,0
FIF.US,D,20111014,000000,7.67796,7.68505,7.65855,7.68505,46655.798507486,0
FIF.US,D,20111017,000000,7.67796,7.69677,7.66925,7.69677,24822.2864381,0
FIF.US,D,20111018,000000,7.78246,7.78246,7.70757,7.75083,160460.08157333,0
FIF.US,D,20111019,000000,7.75957,7.82866,7.70757,7.74141,142616.06798025,0
FIF.US,D,20111020,000000,7.8104,7.8104,7.64507,7.71911,95567.606357425,0
FIF.US,D,20111021,000000,7.8173,7.8173,7.72754,7.74141,98986.145868124,0
FIF.US,D,20111024,000000,7.78246,7.81409,7.77033,7.77771,57057.763922464,0
FIF.US,D,20111025,000000,7.85747,7.86126,7.66107,7.72318,203364.45294215,0
FIF.US,D,20111026,000000,7.70446,7.71249,7.62683,7.67409,116995.05735741,0
FIF.US,D,20111027,000000,7.69677,7.70757,7.61372,7.64013,187947.53025884,0
FIF.US,D,20111028,000000,7.62683,7.6374,7.60499,7.62683,208305.20615719,0
FIF.US,D,20111031,000000,7.63877,7.63877,7.61955,7.62761,116628.15953836,0
FIF.US,D,20111101,000000,7.64013,7.65409,7.62683,7.64507,105939.68402872,0
FIF.US,D,20111102,000000,7.64507,7.75626,7.62683,7.66107,178051.59526284,0
FIF.US,D,20111103,000000,7.67796,7.75957,7.62683,7.72318,131293.76618208,0
FIF.US,D,20111104,000000,7.60499,7.68505,7.54493,7.58919,430315.48871272,0
FIF.US,D,20111107,000000,7.58695,7.63091,7.54941,7.58919,163120.09076148,0
FIF.US,D,20111108,000000,7.62683,7.68136,7.59811,7.62683,234841.40010397,0
FIF.US,D,20111109,000000,7.58919,7.58919,7.49098,7.58919,284300.46284694,0
FIF.US,D,20111110,000000,7.59811,7.64013,7.59811,7.63091,120057.00516756,0
FIF.US,D,20111111,000000,7.64507,7.64507,7.58695,7.61024,158989.39846155,0
FIF.US,D,20111114,000000,7.6374,7.6374,7.37998,7.41841,357930.465338,0
FIF.US,D,20111115,000000,7.46439,7.59237,7.42851,7.54941,224565.16933485,0
FIF.US,D,20111116,000000,7.54941,7.61024,7.50302,7.53204,218422.72270122,0
FIF.US,D,20111117,000000,7.62683,7.62683,7.54493,7.54941,100476.41060508,0
FIF.US,D,20111118,000000,7.54785,7.58919,7.47537,7.57008,114124.80335158,0
FIF.US,D,20111121,000000,7.58919,7.60499,7.34156,7.42851,135041.07087334,0
FIF.US,D,20111122,000000,7.37009,7.60499,7.34525,7.50632,249758.47603941,0
FIF.US,D,20111123,000000,7.46003,7.59811,7.45557,7.57008,88491.425386531,0
FIF.US,D,20111125,000000,7.54493,7.54941,7.41444,7.48945,36790.781867024,0
FIF.US,D,20111128,000000,7.55901,7.55901,7.36155,7.4058,174991.70867638,0
FIF.US,D,20111129,000000,7.37387,7.46439,7.34525,7.43296,161116.58132259,0
FIF.US,D,20111130,000000,7.5885,7.61625,7.48071,7.56542,238154.81720585,0
FIF.US,D,20111201,000000,7.53504,7.58919,7.48012,7.54941,198790.59754617,0
FIF.US,D,20111202,000000,7.60499,7.60499,7.52729,7.56706,113863.02794136,0
