<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLTN.US,D,20220107,000000,24.989,25.0183,24.9733,24.9733,21534.855148074,0
FLTN.US,D,20220110,000000,24.9783,24.9883,24.9683,24.9722,7011.6743121319,0
FLTN.US,D,20220111,000000,25.047,25.047,25.047,25.047,9.0150098298838,0
FLTN.US,D,20220112,000000,25.0383,25.0473,24.982,24.982,12117.174879123,0
FLTN.US,D,20220113,000000,24.9577,24.9577,24.9577,24.9577,40.066710355039,0
FLTN.US,D,20220114,000000,24.9476,24.9476,24.8974,24.8974,101.16844364647,0
FLTN.US,D,20220118,000000,24.9185,24.9185,24.8935,24.8935,354.5903866421,0
FLTN.US,D,20220119,000000,24.9633,24.9633,24.9633,24.9633,83.138423986707,0
FLTN.US,D,20220120,000000,24.9434,24.9434,24.9434,24.9434,1.001667758876,0
FLTN.US,D,20220121,000000,24.9908,24.9908,24.9908,24.9908,1.001667758876,0
FLTN.US,D,20220124,000000,24.9085,24.9388,24.9085,24.9388,24376.586580006,0
FLTN.US,D,20220125,000000,24.8839,24.8935,24.8839,24.8935,831.38423986707,0
FLTN.US,D,20220126,000000,24.8776,24.8776,24.8776,24.8776,7.0116743121319,0
FLTN.US,D,20220127,000000,24.9682,24.9682,24.9682,24.9682,1.001667758876,0
FLTN.US,D,20220128,000000,24.9831,24.9831,24.9831,24.9831,2.003335517752,0
FLTN.US,D,20220131,000000,24.9484,24.974,24.9484,24.974,1479.4632798598,0
FLTN.US,D,20220201,000000,24.9132,24.9132,24.9132,24.9132,18.030019659768,0
FLTN.US,D,20220202,000000,24.9185,24.9185,24.9185,24.9185,101.16844364647,0
FLTN.US,D,20220203,000000,24.8585,24.8685,24.8405,24.8405,1006.6760976704,0
FLTN.US,D,20220204,000000,24.8087,24.8087,24.8087,24.8087,155.25850262578,0
FLTN.US,D,20220207,000000,24.9484,24.9631,24.9484,24.9631,6036.0499149867,0
FLTN.US,D,20220208,000000,24.9228,24.9228,24.9183,24.9183,140.23348624264,0
FLTN.US,D,20220209,000000,25.0182,25.0182,24.9971,24.9971,328.54702491132,0
FLTN.US,D,20220210,000000,24.9582,24.9582,24.8834,24.8834,180.30019659768,0
FLTN.US,D,20220211,000000,25.0815,25.1343,25.0732,25.1343,986.64274249284,0
FLTN.US,D,20220214,000000,24.9983,25.0083,24.9683,24.9931,825.37423331381,0
FLTN.US,D,20220215,000000,25.0101,25.0101,25.0032,25.0032,1007.6777654292,0
FLTN.US,D,20220216,000000,25.0383,25.0481,25.0383,25.0481,124069.57361766,0
FLTN.US,D,20220217,000000,25.0604,25.0604,25.0604,25.0604,1.001667758876,0
FLTN.US,D,20220218,000000,25.0283,25.0283,24.9917,24.9917,304.5069986983,0
