<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMDE.US,D,20231121,000000,24.99,25.1,24.82,24.9936,156227,0
FMDE.US,D,20231122,000000,24.97,25.2086,24.97,25.1,46460,0
FMDE.US,D,20231124,000000,24.98,25.2499,24.98,25.2009,22589,0
FMDE.US,D,20231127,000000,25.02,25.23,25.02,25.22,82123,0
FMDE.US,D,20231128,000000,25.22,25.29,25.09,25.14,50950,0
FMDE.US,D,20231129,000000,25.17,25.4104,25.17,25.2532,79804,0
FMDE.US,D,20231130,000000,25.23,25.4509,25.23,25.4509,48938,0
FMDE.US,D,20231201,000000,25.35,25.91,25.35,25.9,103159,0
FMDE.US,D,20231204,000000,25.69,26.06,25.69,25.91,70144,0
FMDE.US,D,20231205,000000,25.81,25.91,25.73,25.772,34671,0
FMDE.US,D,20231206,000000,25.81,26.0563,25.72,25.7252,60784,0
FMDE.US,D,20231207,000000,25.8,25.88,25.76,25.8458,52009,0
FMDE.US,D,20231208,000000,25.74,26.11,25.74,26.02,95438,0
FMDE.US,D,20231211,000000,26,26.26,26,26.2452,100744,0
FMDE.US,D,20231212,000000,26.17,26.444,26.17,26.36,77592,0
FMDE.US,D,20231213,000000,26.35,26.8801,26.301,26.87,83873,0
FMDE.US,D,20231214,000000,27.03,27.35,27.03,27.2486,89751,0
FMDE.US,D,20231215,000000,27.23,27.23,27.01,27.01,82866,0
FMDE.US,D,20231218,000000,27.05,27.1993,27.02,27.16,93508,0
FMDE.US,D,20231219,000000,27.17,27.4455,27.17,27.4329,119010,0
FMDE.US,D,20231220,000000,27.31,27.51,26.98,26.98,107909,0
FMDE.US,D,20231221,000000,27.19,27.33,27.12,27.33,55303,0
FMDE.US,D,20231222,000000,27.36,27.49,27.32,27.39,52145,0
FMDE.US,D,20231226,000000,27.4,27.62,27.4,27.5652,73145,0
FMDE.US,D,20231227,000000,27.53,27.63,27.5,27.526,99875,0
FMDE.US,D,20231228,000000,27.47,27.6001,27.47,27.6,64361,0
FMDE.US,D,20231229,000000,27.49,27.58,27.3,27.3,72603,0
FMDE.US,D,20240102,000000,27.13,27.36,27.1,27.19,147443,0
FMDE.US,D,20240103,000000,26.96,26.9787,26.73,26.84,65303,0
FMDE.US,D,20240104,000000,26.74,26.95,26.72,26.81,105318,0
FMDE.US,D,20240105,000000,26.67,26.97,26.67,26.86,55615,0
FMDE.US,D,20240108,000000,26.83,27.2247,26.83,27.22,111530,0
FMDE.US,D,20240109,000000,27.02,27.25,27.02,27.1614,49697,0
FMDE.US,D,20240110,000000,27.14,27.3058,27.1399,27.28,93957,0
FMDE.US,D,20240111,000000,27.13,27.3,26.95,27.22,86780,0
FMDE.US,D,20240112,000000,27.23,27.391,27.1433,27.1996,69129,0
FMDE.US,D,20240116,000000,26.89,27.1282,26.89,27.07,132809,0
FMDE.US,D,20240117,000000,26.69,26.88,26.69,26.82,79575,0
FMDE.US,D,20240118,000000,26.9,27.03,26.73,27.03,81749,0
FMDE.US,D,20240119,000000,27.03,27.25,26.92,27.25,86495,0
FMDE.US,D,20240122,000000,27.35,27.6,27.35,27.46,89524,0
FMDE.US,D,20240123,000000,27.54,27.5548,27.3501,27.42,89894,0
FMDE.US,D,20240124,000000,27.61,27.61,27.25,27.257,71503,0
FMDE.US,D,20240125,000000,27.18,27.52,27.18,27.44,61929,0
FMDE.US,D,20240126,000000,27.4,27.5958,27.4,27.46,48795,0
FMDE.US,D,20240129,000000,27.35,27.76,27.35,27.73,162711,0
FMDE.US,D,20240130,000000,27.65,27.7847,27.65,27.72,62133,0
FMDE.US,D,20240131,000000,27.69,27.75,27.31,27.31,67239,0
FMDE.US,D,20240201,000000,27.4,27.69,27.27,27.66,74462,0
FMDE.US,D,20240202,000000,27.59,27.9258,27.48,27.8472,88525,0
FMDE.US,D,20240205,000000,27.61,27.659,27.42,27.56,112895,0
FMDE.US,D,20240206,000000,27.6,27.75,27.6,27.73,90934,0
FMDE.US,D,20240207,000000,27.88,28.07,27.76,27.97,70473,0
FMDE.US,D,20240208,000000,27.98,28.1857,27.98,28.1699,86168,0
FMDE.US,D,20240209,000000,28.2,28.36,28.17,28.328,50636,0
FMDE.US,D,20240212,000000,28.33,28.5447,28.31,28.42,82003,0
FMDE.US,D,20240213,000000,27.87,28.06,27.7401,27.915,81270,0
FMDE.US,D,20240214,000000,28.38,28.38,28.09,28.33,223720,0
FMDE.US,D,20240215,000000,28.43,28.665,28.43,28.65,53337,0
FMDE.US,D,20240216,000000,28.52,28.7,28.42,28.42,138735,0
