<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FNDA.US,D,20130820,000000,21.5923,21.8704,21.5923,21.8376,16630.769077954,0
FNDA.US,D,20130821,000000,21.7343,21.8465,21.6539,21.6728,11154.32964504,0
FNDA.US,D,20130822,000000,21.8962,22.0094,21.8962,21.9845,8417.6208094275,0
FNDA.US,D,20130823,000000,21.9458,22.0014,21.9279,22.0014,3132.5596167667,0
FNDA.US,D,20130826,000000,22.055,22.1186,21.9458,21.9845,9627.3327386034,0
FNDA.US,D,20130827,000000,21.6956,21.7591,21.4693,21.4891,7486.9182094621,0
FNDA.US,D,20130828,000000,21.4693,21.6023,21.4693,21.5299,27156.572291849,0
FNDA.US,D,20130829,000000,21.5209,21.779,21.5209,21.6897,11399.092341784,0
FNDA.US,D,20130830,000000,21.645,21.645,21.3491,21.3491,8082.2052620374,0
FNDA.US,D,20130903,000000,21.7244,21.7244,21.2895,21.3829,3839.6518518054,0
FNDA.US,D,20130904,000000,21.5467,21.644,21.5467,21.6023,1691.1792914956,0
FNDA.US,D,20130905,000000,21.6817,21.7502,21.6817,21.7145,8267.5399789136,0
FNDA.US,D,20130906,000000,21.8078,21.8465,21.5665,21.7145,24287.913195851,0
FNDA.US,D,20130909,000000,21.7591,22.0838,21.7591,22.0838,40754.499888746,0
FNDA.US,D,20130910,000000,22.2158,22.3122,22.198,22.3122,24775.424081547,0
FNDA.US,D,20130911,000000,22.2864,22.3568,22.2506,22.3568,19773.401233681,0
FNDA.US,D,20130912,000000,22.338,22.338,22.2158,22.2158,23250.441682903,0
FNDA.US,D,20130913,000000,22.2864,22.3122,22.1553,22.3032,18751.038529174,0
FNDA.US,D,20130916,000000,22.6378,22.6378,22.2684,22.3946,57534.342543317,0
FNDA.US,D,20130917,000000,22.4214,22.5812,22.4214,22.5812,21658.980527118,0
FNDA.US,D,20130918,000000,22.5713,22.8919,22.3856,22.7768,89268.883792788,0
FNDA.US,D,20130919,000000,22.9108,22.9108,22.751,22.7857,30243.805483292,0
FNDA.US,D,20130920,000000,22.8383,22.8383,22.6527,22.6706,18582.82712853,0
FNDA.US,D,20130923,000000,22.6805,22.6805,22.4938,22.5901,13777.218790397,0
FNDA.US,D,20130924,000000,22.7152,22.8205,22.6189,22.6378,11695.224987228,0
FNDA.US,D,20130925,000000,22.7073,22.7947,22.6,22.6706,15392.854039688,0
FNDA.US,D,20130926,000000,22.7152,22.8205,22.6527,22.7073,14513.521388421,0
FNDA.US,D,20130927,000000,22.6278,22.7152,22.6,22.6805,26371.921506812,0
FNDA.US,D,20130930,000000,22.4859,22.7093,22.4224,22.6616,7671.2456724423,0
