<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FNDB.US,D,20130820,000000,20.2197,20.378,20.2019,20.3266,36267.571073666,0
FNDB.US,D,20130821,000000,20.2514,20.2593,20.1603,20.1703,29829.122053565,0
FNDB.US,D,20130822,000000,20.1861,20.4958,20.1861,20.3266,29703.789607961,0
FNDB.US,D,20130823,000000,20.378,20.4413,20.3345,20.4413,5566.1756285234,0
FNDB.US,D,20130826,000000,20.4255,20.4681,20.3434,20.3434,36089.679860551,0
FNDB.US,D,20130827,000000,20.1445,20.1703,20.0169,20.0169,17859.873498458,0
FNDB.US,D,20130828,000000,20.0031,20.1267,20.0031,20.0841,10644.161166512,0
FNDB.US,D,20130829,000000,20.0447,20.2109,20.0447,20.1179,9267.5257559344,0
FNDB.US,D,20130830,000000,20.1811,20.1811,20.0209,20.0297,11273.855631115,0
FNDB.US,D,20130903,000000,19.9951,20.2197,19.9951,20.0683,46241.607954412,0
FNDB.US,D,20130904,000000,20.0773,20.2741,20.0615,20.2365,13922.008917247,0
FNDB.US,D,20130905,000000,20.3019,20.3097,20.2672,20.2929,9404.9871478863,0
FNDB.US,D,20130906,000000,20.3434,20.3949,20.1179,20.2841,24112.345341212,0
FNDB.US,D,20130909,000000,20.3602,20.4958,20.3523,20.4779,9524.2551203152,0
FNDB.US,D,20130910,000000,20.5987,20.6333,20.5601,20.6333,32874.498332617,0
FNDB.US,D,20130911,000000,20.66,20.7174,20.6254,20.7174,15920.252828196,0
FNDB.US,D,20130912,000000,20.7332,20.749,20.6432,20.6521,32069.944891487,0
FNDB.US,D,20130913,000000,20.6689,20.7332,20.66,20.7332,17083.620932142,0
FNDB.US,D,20130916,000000,20.9696,20.9696,20.844,20.844,50687.877536738,0
FNDB.US,D,20130917,000000,20.8896,20.9598,20.8896,20.9508,10601.709854291,0
FNDB.US,D,20130918,000000,20.9508,21.217,20.8351,21.1586,44381.836180945,0
FNDB.US,D,20130919,000000,21.2428,21.2428,21.0982,21.125,50593.878202536,0
FNDB.US,D,20130920,000000,21.1408,21.1488,20.9786,20.9786,11554.842888193,0
FNDB.US,D,20130923,000000,20.9152,20.9152,20.8024,20.85,24701.609984653,0
FNDB.US,D,20130924,000000,20.8203,20.9508,20.8024,20.8124,24812.791992849,0
FNDB.US,D,20130925,000000,20.8559,20.8896,20.757,20.7846,14809.443491761,0
FNDB.US,D,20130926,000000,20.8262,20.9074,20.7846,20.7946,10766.461375528,0
FNDB.US,D,20130927,000000,20.757,20.932,20.7035,20.7174,19320.400787947,0
FNDB.US,D,20130930,000000,20.656,20.7461,20.563,20.6798,34154.102172405,0
FNDB.US,D,20131001,000000,20.6738,20.8708,20.6738,20.753,32854.283422036,0
FNDB.US,D,20131002,000000,20.7144,20.8074,20.656,20.8074,6674.9634739002,0
FNDB.US,D,20131003,000000,20.7609,20.7609,20.5057,20.656,32977.594376582,0
FNDB.US,D,20131004,000000,20.6481,20.7985,20.5937,20.753,28227.090390008,0
FNDB.US,D,20131007,000000,20.563,20.6887,20.5561,20.5937,27073.829741353,0
FNDB.US,D,20131008,000000,20.563,20.6135,20.3731,20.381,68796.394435345,0
FNDB.US,D,20131009,000000,20.4057,20.473,20.2959,20.4127,87558.863691251,0
FNDB.US,D,20131010,000000,20.7302,20.8153,20.6293,20.8153,84940.022025462,0
FNDB.US,D,20131011,000000,20.8074,20.9914,20.8074,20.9657,32028.504324795,0
FNDB.US,D,20131014,000000,20.8153,21.0558,20.8153,21.038,26868.648398953,0
