<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPL.US,D,20140327,000000,9.03649,9.09421,9.03228,9.05267,1136630.7991371,0
FPL.US,D,20140328,000000,9.15164,9.15164,9.05267,9.05267,268414.38665387,0
FPL.US,D,20140331,000000,9.12197,9.188,9.05267,9.14302,140091.11850903,0
FPL.US,D,20140401,000000,9.188,9.188,9.05267,9.05267,275992.86557272,0
FPL.US,D,20140402,000000,9.05936,9.07075,9.04031,9.06501,179502.55202634,0
FPL.US,D,20140403,000000,9.05267,9.14302,9.05267,9.08119,248490.32110916,0
FPL.US,D,20140404,000000,9.12197,9.12197,9.05267,9.05267,150826.77461187,0
FPL.US,D,20140407,000000,9.07075,9.10283,9.05267,9.05267,137893.00441402,0
FPL.US,D,20140408,000000,9.06501,9.1057,9.05267,9.05267,152871.31324492,0
FPL.US,D,20140409,000000,9.07363,9.07363,9.05267,9.05267,63352.489886779,0
FPL.US,D,20140410,000000,9.07075,9.07075,9.04605,9.05267,145964.59638079,0
FPL.US,D,20140411,000000,9.05267,9.10283,9.04605,9.05267,166754.74395248,0
FPL.US,D,20140414,000000,9.05267,9.08311,9.04605,9.05267,159429.0899438,0
FPL.US,D,20140415,000000,9.06501,9.06501,9.04605,9.05936,107689.83022822,0
FPL.US,D,20140416,000000,9.07363,9.09421,9.05936,9.08884,61863.748163681,0
FPL.US,D,20140417,000000,9.09421,9.1641,9.07745,9.1057,119648.86637159,0
FPL.US,D,20140421,000000,9.25691,9.25691,9.10953,9.1641,95542.742498775,0
FPL.US,D,20140422,000000,9.18322,9.18514,9.08119,9.12197,209108.14006082,0
FPL.US,D,20140423,000000,9.14302,9.14302,9.09708,9.12197,51513.59781229,0
FPL.US,D,20140424,000000,9.13059,9.13919,9.06501,9.07745,33836.74872119,0
FPL.US,D,20140425,000000,9.06501,9.06501,9.04031,9.05267,272251.68374085,0
FPL.US,D,20140428,000000,9.05267,9.10953,9.04605,9.05936,160143.68597088,0
FPL.US,D,20140429,000000,9.05936,9.09421,9.04605,9.05267,134097.49656839,0
FPL.US,D,20140430,000000,9.08884,9.08884,9.04605,9.07745,177062.06033149,0
FPL.US,D,20140501,000000,9.08884,9.39189,9.08884,9.188,354802.15110388,0
FPL.US,D,20140502,000000,9.24831,9.26553,9.1057,9.17078,65251.810906142,0
FPL.US,D,20140505,000000,9.1679,9.19471,9.12674,9.19471,86934.158780651,0
FPL.US,D,20140506,000000,9.05267,9.05267,8.8462,8.93013,530111.15276072,0
FPL.US,D,20140507,000000,8.91829,8.99915,8.91829,8.99915,192820.78324461,0
FPL.US,D,20140508,000000,9.00471,9.00471,8.86832,8.96213,318319.09867419,0
FPL.US,D,20140509,000000,9.00012,9.05267,8.85443,9.05267,622405.82647555,0
FPL.US,D,20140512,000000,9.01332,9.01332,8.81644,8.81644,254247.83383618,0
